,Close
2000-01-03,89.875
2000-01-04,89.5625
2000-01-05,90.0
2000-01-06,88.25
2000-01-07,87.8125
2000-01-10,85.8125
2000-01-11,85.375
2000-01-12,87.625
2000-01-13,92.5
2000-01-14,90.25
2000-01-18,88.0625
2000-01-19,88.25
2000-01-20,82.3125
2000-01-21,80.875
2000-01-24,92.5
2000-01-25,96.5
2000-01-26,94.25
2000-01-27,92.3125
2000-01-28,94.4375
2000-01-31,94.25
2000-02-01,95.875
2000-02-02,100.8125
2000-02-03,105.4375
2000-02-04,116.8125
2000-02-07,109.4375
2000-02-08,115.5
2000-02-09,112.9375
2000-02-10,114.3125
2000-02-11,108.6875
2000-02-14,109.875
2000-02-15,108.5
2000-02-16,107.6875
2000-02-17,116.75
2000-02-18,113.0
2000-02-22,114.5625
2000-02-23,111.375
2000-02-24,114.375
2000-02-25,111.0
2000-02-28,120.0625
2000-02-29,119.25
2000-03-01,119.0
2000-03-02,117.5
2000-03-03,119.875
2000-03-06,116.0
2000-03-07,117.875
2000-03-08,128.0
2000-03-09,126.8125
2000-03-10,129.125
2000-03-13,128.1875
2000-03-14,124.5
2000-03-15,124.0
2000-03-16,119.875
2000-03-17,123.3125
2000-03-20,130.0625
2000-03-21,130.75
2000-03-22,129.125
2000-03-23,125.9375
2000-03-24,124.8125
2000-03-27,121.5
2000-03-28,117.5
2000-03-29,110.125
2000-03-30,102.8125
2000-03-31,105.75
2000-04-03,106.0625
2000-04-04,106.25
2000-04-05,107.9375
2000-04-06,111.25
2000-04-07,119.5
2000-04-10,115.1875
2000-04-11,105.25
2000-04-12,105.1875
2000-04-13,105.0
2000-04-14,102.3125
2000-04-17,100.3125
2000-04-18,118.0
2000-04-19,109.1875
2000-04-20,114.875
2000-04-24,107.1875
2000-04-25,109.625
2000-04-26,111.625
2000-04-27,115.125
2000-04-28,118.0
2000-05-01,118.4375
2000-05-02,116.3125
2000-05-03,108.0625
2000-05-04,101.125
2000-05-05,103.75
2000-05-08,97.75
2000-05-09,91.3125
2000-05-10,84.9375
2000-05-11,87.0
2000-05-12,94.625
2000-05-15,92.0
2000-05-16,97.6875
2000-05-17,90.0
2000-05-18,89.5
2000-05-19,90.1875
2000-05-22,80.875
2000-05-23,72.75
2000-05-24,66.375
2000-05-25,69.875
2000-05-26,74.0625
2000-05-30,72.6875
2000-05-31,69.75
2000-06-01,70.25
2000-06-02,77.5625
2000-06-05,79.375
2000-06-06,73.0
2000-06-07,70.0
2000-06-08,73.125
2000-06-09,70.875
2000-06-12,67.375
2000-06-13,65.1875
2000-06-14,63.1875
2000-06-15,57.9375
2000-06-16,62.125
2000-06-19,62.875
2000-06-20,61.5
2000-06-21,62.5625
2000-06-22,62.8125
2000-06-23,60.5625
2000-06-26,66.5
2000-06-27,68.5
2000-06-28,67.4375
2000-06-29,65.6875
