,Close
2014-01-02,58.38
2014-01-03,58.69
2014-01-06,58.74
2014-01-07,58.99
2014-01-08,59.02
2014-01-09,58.82
2014-01-10,58.91
2014-01-13,58.46
2014-01-14,58.8
2014-01-15,59.0
2014-01-16,58.9
2014-01-17,58.04
2014-01-21,58.25
2014-01-22,58.92
2014-01-23,58.34
2014-01-24,57.1
2014-01-27,56.16
2014-01-28,56.24
2014-01-29,55.58
2014-01-30,56.13
2014-01-31,56.6
2014-02-03,55.74
2014-02-04,56.62
2014-02-05,57.49
2014-02-06,58.44
2014-02-07,59.23
2014-02-10,59.82
2014-02-11,60.19
2014-02-12,60.14
2014-02-13,60.49
2014-02-14,60.9
2014-02-18,61.26
2014-02-19,60.59
2014-02-20,60.12
2014-02-21,60.67
2014-02-24,60.76
2014-02-25,60.54
2014-02-26,60.48
2014-02-27,60.03
2014-02-28,60.13
2014-03-03,60.12
2014-03-04,61.76
2014-03-05,61.8
2014-03-06,61.12
2014-03-07,60.25
2014-03-10,59.58
2014-03-11,59.88
2014-03-12,60.1
2014-03-13,59.71
2014-03-14,59.97
2014-03-17,60.52
2014-03-18,60.86
2014-03-19,59.57
2014-03-20,59.55
2014-03-21,60.56
2014-03-24,60.11
2014-03-25,61.0
2014-03-26,60.63
2014-03-27,61.11
2014-03-28,61.69
2014-03-31,62.33
2014-04-01,62.45
2014-04-02,62.48
2014-04-03,62.32
2014-04-04,62.67
2014-04-07,63.26
2014-04-08,63.43
2014-04-09,63.49
2014-04-10,63.01
2014-04-11,63.09
2014-04-14,63.64
2014-04-15,65.0
2014-04-16,66.08
2014-04-17,65.58
2014-04-21,65.25
2014-04-22,64.74
2014-04-23,64.0
2014-04-24,64.26
2014-04-25,63.92
2014-04-28,64.65
2014-04-29,64.37
2014-04-30,64.91
2014-05-01,65.05
2014-05-02,65.11
2014-05-05,65.01
2014-05-06,64.97
2014-05-07,65.43
2014-05-08,65.76
2014-05-09,65.88
2014-05-12,65.85
2014-05-13,65.25
2014-05-14,65.49
2014-05-15,65.25
2014-05-16,66.07
2014-05-19,65.72
2014-05-20,65.36
2014-05-21,65.25
2014-05-22,65.04
2014-05-23,65.56
2014-05-27,65.8
2014-05-28,65.57
2014-05-29,65.72
2014-05-30,66.04
2014-06-02,66.41
2014-06-03,66.46
2014-06-04,66.55
2014-06-05,67.91
2014-06-06,67.54
2014-06-09,66.47
2014-06-10,65.93
2014-06-11,65.43
2014-06-12,65.09
2014-06-13,65.36
2014-06-16,65.32
2014-06-17,65.5
2014-06-18,66.36
2014-06-19,66.8
2014-06-20,67.18
2014-06-23,66.69
2014-06-24,66.6
2014-06-25,66.44
2014-06-26,66.01
2014-06-27,66.8
2014-06-30,66.75
2014-07-01,67.22
2014-07-02,66.77
2014-07-03,66.25
2014-07-07,66.77
2014-07-08,66.9
2014-07-09,66.94
2014-07-10,67.05
2014-07-11,67.32
2014-07-14,67.9
2014-07-15,67.73
2014-07-16,68.02
2014-07-17,67.83
2014-07-18,68.41
2014-07-21,68.26
2014-07-22,68.58
2014-07-23,68.77
2014-07-24,67.28
2014-07-25,66.92
2014-07-28,67.51
2014-07-29,66.61
2014-07-30,66.11
2014-07-31,65.01
2014-08-01,64.81
2014-08-04,64.91
2014-08-05,64.35
2014-08-06,63.76
2014-08-07,64.24
2014-08-08,64.86
2014-08-11,65.34
2014-08-12,65.14
2014-08-13,66.27
2014-08-14,65.74
2014-08-15,65.46
2014-08-18,65.27
2014-08-19,65.32
2014-08-20,65.48
2014-08-21,65.47
2014-08-22,64.89
2014-08-25,64.79
2014-08-26,65.39
2014-08-27,65.2
2014-08-28,64.96
2014-08-29,65.29
2014-09-02,65.52
2014-09-03,65.84
2014-09-04,66.0
2014-09-05,66.52
2014-09-08,66.24
2014-09-09,66.12
2014-09-10,65.82
2014-09-11,65.94
2014-09-12,64.11
2014-09-15,64.25
2014-09-16,65.4
2014-09-17,65.2
2014-09-18,64.87
2014-09-19,65.07
2014-09-22,64.43
2014-09-23,63.81
2014-09-24,63.34
2014-09-25,62.83
2014-09-26,63.83
2014-09-29,63.7
2014-09-30,63.83
2014-10-01,63.82
2014-10-02,63.82
2014-10-03,64.32
2014-10-06,64.54
2014-10-07,64.09
2014-10-08,65.61
2014-10-09,65.5
2014-10-10,66.04
2014-10-13,65.61
2014-10-14,66.37
2014-10-15,65.95
2014-10-16,65.18
2014-10-17,65.96
2014-10-20,66.88
2014-10-21,67.64
2014-10-22,67.64
2014-10-23,68.28
2014-10-24,68.3
2014-10-27,68.71
2014-10-28,69.14
2014-10-29,68.52
2014-10-30,69.25
2014-10-31,70.5
2014-11-03,71.28
2014-11-04,71.33
2014-11-05,70.74
2014-11-06,69.47
2014-11-07,68.48
2014-11-10,69.55
2014-11-11,69.37
2014-11-12,68.6
2014-11-13,68.35
2014-11-14,68.07
2014-11-17,68.55
2014-11-18,69.88
2014-11-19,76.58
2014-11-20,76.49
2014-11-21,77.74
2014-11-24,78.06
2014-11-25,78.31
2014-11-26,79.06
2014-11-28,79.08
2014-12-01,79.0
2014-12-02,80.16
2014-12-03,79.91
2014-12-04,80.08
2014-12-05,80.2
2014-12-08,80.48
2014-12-09,81.28
2014-12-10,82.11
2014-12-11,81.14
2014-12-12,80.29
2014-12-15,79.99
2014-12-16,80.22
2014-12-17,82.37
2014-12-18,82.84
2014-12-19,82.31
2014-12-22,83.51
2014-12-23,83.54
2014-12-24,83.33
2014-12-26,83.76
2014-12-29,84.0
2014-12-30,84.87
2014-12-31,83.41
2015-01-02,84.14
2015-01-05,84.56
2015-01-06,85.49
2015-01-07,87.43
2015-01-08,87.0
2015-01-09,86.96
2015-01-12,88.19
2015-01-13,88.26
2015-01-14,89.35
2015-01-15,88.11
2015-01-16,88.72
2015-01-20,87.61
2015-01-21,87.67
2015-01-22,89.94
2015-01-23,88.94
2015-01-26,88.11
2015-01-27,87.66
2015-01-28,86.59
2015-01-29,86.93
2015-01-30,86.01
2015-02-02,87.04
2015-02-03,88.39
2015-02-04,88.08
2015-02-05,89.26
2015-02-06,87.56
2015-02-09,87.34
2015-02-10,87.73
2015-02-11,87.67
2015-02-12,87.21
2015-02-13,85.88
2015-02-17,85.13
2015-02-18,85.5
2015-02-19,82.75
2015-02-20,83.74
2015-02-23,84.84
2015-02-24,83.19
2015-02-25,82.97
2015-02-26,82.19
2015-02-27,83.65
2015-03-02,84.63
2015-03-03,84.41
2015-03-04,83.8
2015-03-05,88.07
2015-03-06,86.72
2015-03-09,92.76
2015-03-10,92.39
2015-03-11,91.74
2015-03-12,92.31
2015-03-13,94.39
2015-03-16,94.89
2015-03-17,91.6
2015-03-18,92.22
2015-03-19,93.5
2015-03-20,89.21
2015-03-23,87.49
2015-03-24,87.42
2015-03-25,87.02
2015-03-26,86.96
2015-03-27,86.15
2015-03-30,86.34
2015-03-31,84.33
2015-04-01,78.73
2015-04-02,80.66
2015-04-06,79.65
2015-04-07,77.4
2015-04-08,78.95
2015-04-09,80.3
2015-04-10,81.35
2015-04-13,81.91
2015-04-14,81.12
2015-04-15,82.3
2015-04-16,82.99
2015-04-17,82.52
2015-04-20,82.63
2015-04-21,82.6
2015-04-22,83.25
2015-04-23,82.34
2015-04-24,83.23
2015-04-27,83.28
2015-04-28,83.06
2015-04-29,81.72
2015-04-30,81.76
2015-05-01,82.5
2015-05-04,82.46
2015-05-05,81.42
2015-05-06,80.94
2015-05-07,82.75
2015-05-08,82.07
2015-05-11,81.81
2015-05-12,81.8
2015-05-13,82.15
2015-05-14,83.5
2015-05-15,83.59
2015-05-18,83.5
2015-05-19,83.07
2015-05-20,82.14
2015-05-21,82.89
2015-05-22,82.56
2015-05-26,81.65
2015-05-27,82.33
2015-05-28,81.91
2015-05-29,82.11
2015-06-01,83.45
2015-06-02,82.59
2015-06-03,81.76
2015-06-04,80.83
2015-06-05,80.76
2015-06-08,80.0
2015-06-09,79.69
2015-06-10,80.03
2015-06-11,80.65
2015-06-12,81.11
2015-06-15,81.1
2015-06-16,81.62
2015-06-17,82.61
2015-06-18,82.45
2015-06-19,76.87
2015-06-22,76.35
2015-06-23,76.57
2015-06-24,77.09
2015-06-25,76.04
2015-06-26,77.17
2015-06-29,75.0
2015-06-30,74.6
2015-07-01,76.77
2015-07-02,77.29
2015-07-06,77.16
2015-07-07,77.84
2015-07-08,77.45
2015-07-09,77.09
2015-07-10,77.68
2015-07-13,78.21
2015-07-14,78.3
2015-07-15,78.45
2015-07-16,78.49
2015-07-17,78.25
2015-07-20,77.99
2015-07-21,76.7
2015-07-22,77.25
2015-07-23,76.01
2015-07-24,77.44
2015-07-27,77.91
2015-07-28,78.49
2015-07-29,78.78
2015-07-30,78.08
2015-07-31,79.16
2015-08-03,79.03
2015-08-04,78.8
2015-08-05,79.81
2015-08-06,80.07
2015-08-07,80.36
2015-08-10,79.89
2015-08-11,79.87
2015-08-12,79.99
2015-08-13,80.36
2015-08-14,80.39
2015-08-17,81.17
2015-08-18,81.0
2015-08-19,81.04
2015-08-20,80.43
2015-08-21,78.59
2015-08-24,73.99
2015-08-25,72.75
2015-08-26,75.43
2015-08-27,77.52
2015-08-28,77.54
2015-08-31,76.18
2015-09-01,74.36
2015-09-02,75.74
2015-09-03,75.3
2015-09-04,73.62
2015-09-08,74.04
2015-09-09,72.53
2015-09-10,72.63
2015-09-11,74.2
2015-09-14,74.52
2015-09-15,75.23
2015-09-16,76.26
2015-09-17,76.42
2015-09-18,77.5
