,Close
2000-01-03,11.0911
2000-01-04,10.9057
2000-01-05,11.1683
2000-01-06,11.4464
2000-01-07,11.987
2000-01-10,11.848
2000-01-11,11.7399
2000-01-12,11.5854
2000-01-13,11.5699
2000-01-14,11.6626
2000-01-18,11.6317
2000-01-19,11.4773
2000-01-20,11.2147
2000-01-21,11.0602
2000-01-24,10.983
2000-01-25,10.4886
2000-01-26,10.535
2000-01-27,10.535
2000-01-28,10.1025
2000-01-31,9.8708
2000-02-01,9.8708
2000-02-02,9.5464
2000-02-03,9.3147
2000-02-04,9.7163
2000-02-07,9.3919
2000-02-08,9.3455
2000-02-09,9.0057
2000-02-10,8.8049
2000-02-11,8.8203
2000-02-14,8.8976
2000-02-15,9.2992
2000-02-16,9.4846
2000-02-17,9.6545
2000-02-18,9.2838
2000-02-22,9.3919
2000-02-23,7.5537
2000-02-24,7.6618
2000-02-25,7.1675
2000-02-28,7.2911
2000-02-29,7.0285
2000-03-01,6.9667
2000-03-02,6.7041
2000-03-03,6.6423
2000-03-06,6.3025
2000-03-07,5.9781
2000-03-08,7.0594
2000-03-09,6.5959
2000-03-10,6.6732
2000-03-13,6.7195
2000-03-14,6.9358
2000-03-15,7.1829
2000-03-16,7.5228
2000-03-17,7.6
2000-03-20,7.6464
2000-03-21,7.4764
2000-03-22,7.6155
2000-03-23,8.0789
2000-03-24,8.0171
2000-03-27,7.8626
2000-03-28,7.8008
2000-03-29,7.8472
2000-03-30,7.909
2000-03-31,7.6618
2000-04-03,7.8781
2000-04-04,7.5846
2000-04-05,7.5537
2000-04-06,7.6927
2000-04-07,7.6309
2000-04-10,7.6464
2000-04-11,7.8317
2000-04-12,8.0789
2000-04-13,8.048
2000-04-14,7.8163
2000-04-17,7.6618
2000-04-18,7.6927
2000-04-19,7.8472
2000-04-20,7.8008
2000-04-24,7.6309
2000-04-25,8.2025
2000-04-26,8.0634
2000-04-27,8.2025
2000-04-28,8.2951
2000-05-01,8.3415
2000-05-02,8.2334
2000-05-03,7.909
2000-05-04,8.0789
2000-05-05,8.5886
2000-05-08,8.4342
2000-05-09,8.5423
2000-05-10,8.3878
2000-05-11,8.3724
2000-05-12,8.4187
2000-05-15,8.6968
2000-05-16,8.913
2000-05-17,8.7277
2000-05-18,8.774
2000-05-19,8.774
2000-05-22,8.5886
2000-05-23,8.496
2000-05-24,8.4033
2000-05-25,8.1407
2000-05-26,7.8008
2000-05-30,7.9707
2000-05-31,8.0325
2000-06-01,8.0789
2000-06-02,8.1561
2000-06-05,8.0325
2000-06-06,8.0634
2000-06-07,7.9707
2000-06-08,8.7586
2000-06-09,9.0366
2000-06-12,8.7431
2000-06-13,8.6504
2000-06-14,8.8358
2000-06-15,8.7277
2000-06-16,8.7122
2000-06-19,8.4805
2000-06-20,8.2642
2000-06-21,8.187
2000-06-22,8.0789
2000-06-23,8.0016
2000-06-26,7.8781
2000-06-27,8.1407
2000-06-28,7.9862
2000-06-29,8.0171
2000-06-30,7.8163
2000-07-03,7.9399
2000-07-05,8.1252
2000-07-06,7.9399
2000-07-07,7.9399
2000-07-10,7.9399
2000-07-11,8.1561
2000-07-12,8.048
2000-07-13,7.8935
2000-07-14,7.8008
2000-07-17,7.6309
2000-07-18,7.7699
2000-07-19,7.6464
2000-07-20,7.6618
2000-07-21,7.6309
2000-07-24,7.5846
2000-07-25,7.6
2000-07-26,7.461
2000-07-27,7.4919
2000-07-28,7.3374
2000-07-31,7.3683
2000-08-01,7.3683
2000-08-02,7.461
2000-08-03,7.4147
2000-08-04,7.4764
2000-08-07,7.5228
2000-08-08,7.8008
2000-08-09,7.6927
2000-08-10,7.8163
2000-08-11,8.0943
2000-08-14,7.909
2000-08-15,7.8781
2000-08-16,7.909
2000-08-17,7.8472
2000-08-18,7.8008
2000-08-21,7.9399
2000-08-22,7.9553
2000-08-23,7.322
2000-08-24,7.1675
2000-08-25,7.1984
2000-08-28,7.2293
2000-08-29,7.2602
2000-08-30,7.2447
2000-08-31,7.3992
2000-09-01,7.3529
2000-09-05,7.3683
2000-09-06,7.5228
2000-09-07,7.4147
2000-09-08,7.4147
2000-09-11,7.5228
2000-09-12,7.4455
2000-09-13,7.4147
2000-09-14,7.4147
2000-09-15,7.322
2000-09-18,7.1675
2000-09-19,7.2138
2000-09-20,7.2447
2000-09-21,7.1675
2000-09-22,7.1829
2000-09-25,7.2911
2000-09-26,7.1984
2000-09-27,7.1675
2000-09-28,7.322
2000-09-29,7.4147
2000-10-02,7.461
2000-10-03,7.5846
2000-10-04,7.6618
2000-10-05,7.6464
2000-10-06,7.6155
2000-10-09,7.8626
2000-10-10,7.9244
2000-10-11,7.9399
2000-10-12,7.7854
2000-10-13,7.909
2000-10-16,7.9399
2000-10-17,7.7854
2000-10-18,7.8935
2000-10-19,8.048
2000-10-20,8.1561
2000-10-23,8.2025
2000-10-24,8.6195
2000-10-25,8.187
2000-10-26,7.8008
2000-10-27,7.8935
2000-10-30,8.2334
2000-10-31,8.6504
2000-11-01,8.8358
2000-11-02,8.9439
2000-11-03,9.0366
2000-11-06,9.222
2000-11-07,8.8821
2000-11-08,9.0212
2000-11-09,9.1293
2000-11-10,8.8203
2000-11-13,8.9903
2000-11-14,9.0057
2000-11-15,9.1911
2000-11-16,9.3301
2000-11-17,9.1447
2000-11-20,9.0675
2000-11-21,9.1447
2000-11-22,9.1911
2000-11-24,9.3147
2000-11-27,9.5155
2000-11-28,9.3455
2000-11-29,9.1756
2000-11-30,9.0212
2000-12-01,9.4846
2000-12-04,10.3805
2000-12-05,10.3187
2000-12-06,10.1334
2000-12-07,9.7008
2000-12-08,9.9171
2000-12-11,10.087
2000-12-12,10.226
2000-12-13,9.9634
