,Close
2000-01-03,40.3125
2000-01-04,38.7813
2000-01-05,36.7188
2000-01-06,38.1875
2000-01-07,38.4063
2000-01-10,38.6875
2000-01-11,39.1875
2000-01-12,40.0938
2000-01-13,39.9375
2000-01-14,40.4688
2000-01-18,39.7813
2000-01-19,39.9688
2000-01-20,39.3438
2000-01-21,38.4688
2000-01-24,37.8438
2000-01-25,40.3438
2000-01-26,43.5938
2000-01-27,44.0625
2000-01-28,42.0
2000-01-31,43.375
2000-02-01,42.875
2000-02-02,44.7813
2000-02-03,45.375
2000-02-04,45.75
2000-02-07,47.0938
2000-02-08,48.4375
2000-02-09,46.5938
2000-02-10,46.5938
2000-02-11,45.6875
2000-02-14,45.1875
2000-02-15,46.3438
2000-02-16,44.7813
2000-02-17,44.9063
2000-02-18,44.0
2000-02-22,43.8125
2000-02-23,46.75
2000-02-24,50.9063
2000-02-25,48.0
2000-02-28,48.4688
2000-02-29,51.25
2000-03-01,52.6875
2000-03-02,52.1563
2000-03-03,53.5
2000-03-06,53.4063
2000-03-07,52.2188
2000-03-08,50.2188
2000-03-09,51.5
2000-03-10,52.4688
2000-03-13,50.75
2000-03-14,49.125
2000-03-15,48.5625
2000-03-16,50.25
2000-03-17,52.375
2000-03-20,51.0
2000-03-21,51.5313
2000-03-22,52.5938
2000-03-23,54.9688
2000-03-24,56.875
2000-03-27,54.5
2000-03-28,53.875
2000-03-29,53.125
2000-03-30,51.8438
2000-03-31,52.5
2000-04-03,53.5625
2000-04-04,49.625
2000-04-05,49.625
2000-04-06,51.75
2000-04-07,50.4063
2000-04-10,52.125
2000-04-11,52.4063
2000-04-12,50.75
2000-04-13,49.3125
2000-04-14,45.0
2000-04-17,45.0
2000-04-18,49.75
2000-04-19,49.4063
2000-04-20,49.8125
2000-04-24,51.1875
2000-04-25,53.0625
2000-04-26,53.0938
2000-04-27,51.9375
2000-04-28,50.9688
2000-05-01,53.9375
2000-05-02,51.9063
2000-05-03,50.375
2000-05-04,50.375
2000-05-05,52.4375
2000-05-08,52.1563
2000-05-09,52.1875
2000-05-10,50.3438
2000-05-11,50.375
2000-05-12,51.375
2000-05-15,54.8125
2000-05-16,53.9688
2000-05-17,54.0
2000-05-18,54.5313
2000-05-19,51.7813
2000-05-22,50.9063
2000-05-23,49.9063
2000-05-24,50.0625
2000-05-25,47.0625
2000-05-26,45.5313
2000-05-30,47.3125
2000-05-31,49.3125
2000-06-01,52.125
2000-06-02,54.0938
2000-06-05,53.75
2000-06-06,54.0938
2000-06-07,54.2813
2000-06-08,54.0625
2000-06-09,53.9688
2000-06-12,54.25
2000-06-13,55.0
2000-06-14,56.9063
2000-06-15,57.9375
2000-06-16,57.1875
2000-06-19,59.0
2000-06-20,60.8438
2000-06-21,60.3125
2000-06-22,57.5938
2000-06-23,55.8125
2000-06-26,58.25
2000-06-27,57.5625
2000-06-28,56.5625
2000-06-29,58.5
2000-06-30,57.5
2000-07-03,57.7813
2000-07-05,59.0
2000-07-06,62.0
2000-07-07,61.625
2000-07-10,63.1563
2000-07-11,64.5625
2000-07-12,65.875
2000-07-13,67.4375
2000-07-14,67.75
2000-07-17,66.0
2000-07-18,64.5
2000-07-19,62.4688
2000-07-20,63.7188
2000-07-21,66.5313
2000-07-24,64.375
2000-07-25,65.9063
2000-07-26,63.8438
2000-07-27,63.5313
2000-07-28,60.9063
2000-07-31,64.625
2000-08-01,62.8125
2000-08-02,63.5
2000-08-03,65.4063
2000-08-04,68.0625
2000-08-07,68.5938
2000-08-08,69.4375
2000-08-09,69.8125
2000-08-10,68.75
2000-08-11,69.6563
2000-08-14,71.3125
2000-08-15,70.0
2000-08-16,67.9688
2000-08-17,70.7813
2000-08-18,70.2813
2000-08-21,72.25
2000-08-22,71.7813
2000-08-23,69.8125
2000-08-24,69.9063
2000-08-25,68.5938
2000-08-28,70.25
2000-08-29,70.8125
2000-08-30,71.0313
2000-08-31,72.5
2000-09-01,71.6875
2000-09-05,72.125
2000-09-06,71.125
2000-09-07,70.0
2000-09-08,69.0
2000-09-11,71.5
2000-09-12,69.8125
2000-09-13,68.8125
2000-09-14,71.6875
2000-09-15,69.1875
2000-09-18,65.25
2000-09-19,67.125
2000-09-20,66.1875
2000-09-21,62.6875
2000-09-22,63.4375
2000-09-25,66.375
2000-09-26,64.4375
2000-09-27,63.5
2000-09-28,65.1875
2000-09-29,66.0
2000-10-02,69.5
2000-10-03,67.5625
2000-10-04,65.5
2000-10-05,66.3125
2000-10-06,61.1875
2000-10-09,59.3125
2000-10-10,58.0
2000-10-11,59.0625
2000-10-12,55.0
2000-10-13,58.125
2000-10-16,58.1875
2000-10-17,57.8125
2000-10-18,59.25
2000-10-19,62.625
2000-10-20,66.4375
2000-10-23,63.6875
2000-10-24,65.25
2000-10-25,63.375
2000-10-26,61.5
2000-10-27,65.8125
2000-10-30,67.8125
2000-10-31,70.0
2000-11-01,68.5
2000-11-02,69.8125
2000-11-03,72.9375
2000-11-06,70.375
2000-11-07,70.4375
2000-11-08,68.6875
2000-11-09,67.5
2000-11-10,64.3125
2000-11-13,63.0625
2000-11-14,63.9375
2000-11-15,66.5625
2000-11-16,66.5625
2000-11-17,64.75
2000-11-20,62.0
2000-11-21,60.5
2000-11-22,58.8125
2000-11-24,59.0625
2000-11-27,61.6875
2000-11-28,61.375
2000-11-29,60.375
2000-11-30,57.875
2000-12-01,58.4375
2000-12-04,58.9375
2000-12-05,64.75
2000-12-06,63.9375
2000-12-07,64.375
2000-12-08,69.75
2000-12-11,72.25
2000-12-12,70.375
2000-12-13,67.0625
2000-12-14,63.875
2000-12-15,63.625
2000-12-18,64.0
2000-12-19,63.875
2000-12-20,62.75
2000-12-21,64.0
2000-12-22,63.5625
2000-12-26,65.1875
2000-12-27,66.4375
2000-12-28,68.3125
2000-12-29,68.1875
2001-01-02,65.75
2001-01-03,73.4375
2001-01-04,73.3125
2001-01-05,71.5625
2001-01-08,71.25
2001-01-09,70.25
2001-01-10,72.3125
2001-01-11,73.75
2001-01-12,74.25
2001-01-16,73.625
2001-01-17,74.5625
2001-01-18,73.5625
2001-01-19,73.875
2001-01-22,75.125
2001-01-23,80.0
2001-01-24,76.4375
2001-01-25,73.9375
2001-01-26,74.4375
2001-01-29,75.1
2001-01-30,74.65
2001-01-31,72.5
2001-02-01,76.0
2001-02-02,73.0
2001-02-05,74.0
2001-02-06,71.4
2001-02-07,68.0
2001-02-08,67.45
2001-02-09,68.49
2001-02-12,69.65
2001-02-13,68.01
2001-02-14,66.47
2001-02-15,69.61
2001-02-16,66.9
2001-02-20,62.97
2001-02-21,59.38
2001-02-22,62.1
2001-02-23,61.23
2001-02-26,63.5
2001-02-27,62.7
2001-02-28,59.9
2001-03-01,60.0
2001-03-02,59.34
2001-03-05,59.78
2001-03-06,60.88
2001-03-07,61.7
2001-03-08,58.9
2001-03-09,56.5
2001-03-12,51.25
2001-03-13,55.0
2001-03-14,52.7
2001-03-15,55.51
2001-03-16,54.8
2001-03-19,58.5
2001-03-20,55.75
2001-03-21,54.9
2001-03-22,54.45
2001-03-23,57.7
2001-03-26,58.0
2001-03-27,59.77
2001-03-28,57.15
2001-03-29,55.5
2001-03-30,55.4
2001-04-02,55.73
2001-04-03,52.54
2001-04-04,51.95
2001-04-05,56.06
2001-04-06,55.2
2001-04-09,55.0
2001-04-10,59.0
2001-04-11,60.62
2001-04-12,62.35
2001-04-16,60.55
2001-04-17,60.6
2001-04-18,66.25
2001-04-19,64.3
2001-04-20,63.7
2001-04-23,62.48
2001-04-24,61.1
2001-04-25,62.73
2001-04-26,63.15
2001-04-27,63.91
2001-04-30,61.7
2001-05-01,63.0
2001-05-02,67.0
2001-05-03,66.0
2001-05-04,67.55
2001-05-07,66.3
2001-05-08,66.3
2001-05-09,65.67
2001-05-10,65.85
2001-05-11,64.99
2001-05-14,66.57
2001-05-15,67.15
2001-05-16,69.98
2001-05-17,68.86
2001-05-18,66.65
2001-05-21,68.95
2001-05-22,70.5
2001-05-23,68.3
2001-05-24,69.04
2001-05-25,67.55
2001-05-29,65.6
2001-05-30,64.27
2001-05-31,64.97
2001-06-01,64.0
2001-06-04,65.45
2001-06-05,66.18
2001-06-06,65.53
2001-06-07,65.36
2001-06-08,64.1
2001-06-11,62.96
2001-06-12,63.12
2001-06-13,61.0
2001-06-14,60.89
2001-06-15,62.5
2001-06-18,61.99
2001-06-19,63.55
2001-06-20,63.98
2001-06-21,67.3
2001-06-22,66.98
2001-06-25,66.45
2001-06-26,58.91
2001-06-27,57.86
2001-06-28,58.49
2001-06-29,59.25
2001-07-02,59.35
