,Close
2002-01-02,16.4
2002-01-03,15.75
2002-01-04,16.03
2002-01-07,15.98
2002-01-08,15.53
2002-01-09,14.48
2002-01-10,14.38
2002-01-11,13.7
2002-01-14,12.98
2002-01-15,12.22
2002-01-16,13.07
2002-01-17,12.67
2002-01-18,12.36
2002-01-22,11.65
2002-01-23,12.07
2002-01-24,11.65
2002-01-25,11.29
2002-01-28,10.84
2002-01-29,10.0
2002-01-30,10.05
2002-01-31,10.01
2002-02-01,11.04
2002-02-04,10.15
2002-02-05,9.65
2002-02-06,8.67
2002-02-07,9.36
2002-02-08,9.92
2002-02-11,10.15
2002-02-12,10.35
2002-02-13,10.02
2002-02-14,9.7
2002-02-15,9.08
2002-02-19,8.99
2002-02-20,8.15
2002-02-21,8.0
2002-02-22,7.9
2002-02-25,8.0
2002-02-26,8.55
2002-02-27,8.9
2002-02-28,8.68
2002-03-01,8.84
2002-03-04,9.92
2002-03-05,10.97
2002-03-06,12.0
2002-03-07,12.58
2002-03-08,12.5
2002-03-11,12.8
2002-03-12,12.65
2002-03-13,12.01
2002-03-14,12.35
2002-03-15,12.4
2002-03-18,13.26
2002-03-19,13.8
2002-03-20,13.51
2002-03-21,14.53
2002-03-22,14.35
2002-03-25,14.01
2002-03-26,13.4
2002-03-27,14.5
2002-03-28,14.45
2002-04-01,14.24
2002-04-02,14.5
2002-04-03,13.6
2002-04-04,13.4
2002-04-05,13.64
2002-04-08,13.43
2002-04-09,13.08
2002-04-10,13.45
2002-04-11,12.89
2002-04-12,12.55
2002-04-15,12.55
2002-04-16,13.1
2002-04-17,14.0
2002-04-18,14.05
2002-04-19,14.1
2002-04-22,13.45
2002-04-23,13.85
2002-04-24,13.23
2002-04-25,12.4
2002-04-26,12.7
2002-04-29,12.25
2002-04-30,12.08
2002-05-01,11.8
2002-05-02,11.26
2002-05-03,11.32
2002-05-06,11.09
2002-05-07,9.75
2002-05-08,9.5
2002-05-09,9.03
2002-05-10,8.11
2002-05-13,8.03
2002-05-14,8.9
2002-05-15,8.64
2002-05-16,8.15
2002-05-17,7.9
2002-05-20,8.62
2002-05-21,8.59
2002-05-22,8.92
2002-05-23,9.55
2002-05-24,10.0
2002-05-28,9.85
2002-05-29,9.43
2002-05-30,9.05
2002-05-31,9.5
