,Close
2000-01-03,30.625
2000-01-04,30.5625
2000-01-05,30.6875
2000-01-06,30.875
2000-01-07,33.1875
2000-01-10,32.0625
2000-01-11,31.875
2000-01-12,31.875
2000-01-13,32.0
2000-01-14,31.25
2000-01-18,30.875
2000-01-19,30.75
2000-01-20,30.375
2000-01-21,29.5625
2000-01-24,28.75
2000-01-25,29.0
2000-01-26,28.75
2000-01-27,28.8125
2000-01-28,28.3125
2000-01-31,28.8125
2000-02-01,29.375
2000-02-02,29.4375
2000-02-03,29.75
2000-02-04,30.1875
2000-02-07,30.0625
2000-02-08,30.125
2000-02-09,29.875
2000-02-10,27.625
2000-02-11,27.0
2000-02-14,27.9375
2000-02-15,26.625
2000-02-16,26.3125
2000-02-17,26.25
2000-02-18,24.1875
2000-02-22,24.375
2000-02-23,24.75
2000-02-24,24.5625
2000-02-25,24.5625
2000-02-28,24.625
2000-02-29,24.625
2000-03-01,23.6875
2000-03-02,23.1875
2000-03-03,24.8125
2000-03-06,24.8125
2000-03-07,22.3125
2000-03-08,23.125
2000-03-09,23.75
2000-03-10,23.8125
2000-03-13,23.875
2000-03-14,23.9375
2000-03-15,24.625
2000-03-16,26.5
2000-03-17,25.8125
2000-03-20,26.0625
2000-03-21,25.5625
2000-03-22,25.9375
2000-03-23,25.5625
2000-03-24,25.375
2000-03-27,25.125
2000-03-28,25.1875
2000-03-29,24.9375
2000-03-30,26.125
2000-03-31,28.75
2000-04-03,27.375
2000-04-04,27.4375
2000-04-05,27.1875
2000-04-06,26.6875
2000-04-07,26.25
2000-04-10,26.625
2000-04-11,26.6875
2000-04-12,27.125
2000-04-13,27.1875
2000-04-14,25.9375
2000-04-17,26.5
2000-04-18,26.8125
2000-04-19,27.125
2000-04-20,26.0625
2000-04-24,27.4375
2000-04-25,27.75
2000-04-26,27.625
2000-04-27,26.875
2000-04-28,26.875
2000-05-01,27.25
2000-05-02,27.125
2000-05-03,27.625
2000-05-04,28.0
2000-05-05,28.5625
2000-05-08,28.3125
2000-05-09,28.9375
2000-05-10,29.125
2000-05-11,29.375
2000-05-12,29.5625
2000-05-15,29.8125
2000-05-16,29.75
2000-05-17,29.625
2000-05-18,29.5625
2000-05-19,30.1875
2000-05-22,30.375
2000-05-23,30.3125
2000-05-24,30.625
2000-05-25,29.8125
2000-05-26,29.625
2000-05-30,29.125
2000-05-31,28.9375
2000-06-01,29.0625
2000-06-02,28.0
2000-06-05,28.1875
2000-06-06,28.8125
2000-06-07,28.0
2000-06-08,28.0
2000-06-09,28.9375
2000-06-12,27.75
2000-06-13,27.8125
2000-06-14,27.8125
2000-06-15,27.5
2000-06-16,27.6875
2000-06-19,27.5
2000-06-20,27.0
2000-06-21,27.125
2000-06-22,27.125
2000-06-23,26.6875
2000-06-26,27.0625
2000-06-27,28.75
2000-06-28,31.375
2000-06-29,43.625
2000-06-30,43.4375
2000-07-03,43.625
2000-07-05,44.0625
2000-07-06,43.625
2000-07-07,43.5
2000-07-10,43.5
2000-07-11,43.75
2000-07-12,43.875
2000-07-13,44.75
2000-07-14,45.125
2000-07-17,44.875
2000-07-18,45.3125
2000-07-19,45.25
2000-07-20,45.375
2000-07-21,45.375
2000-07-24,45.4375
2000-07-25,45.1875
2000-07-26,45.625
2000-07-27,45.75
2000-07-28,45.75
2000-07-31,45.75
2000-08-01,45.9375
2000-08-02,45.9375
2000-08-03,45.9375
2000-08-04,45.75
2000-08-07,45.8125
2000-08-08,46.0
2000-08-09,46.0
2000-08-10,46.3125
2000-08-11,46.3125
2000-08-14,46.25
2000-08-15,46.25
2000-08-16,46.3125
2000-08-17,46.0
2000-08-18,46.0625
2000-08-21,46.125
2000-08-22,45.625
2000-08-23,45.5
2000-08-24,45.4375
2000-08-25,45.375
2000-08-28,45.125
2000-08-29,45.0
2000-08-30,45.125
2000-08-31,45.0625
2000-09-01,44.875
2000-09-05,44.75
2000-09-06,44.5
2000-09-07,44.5625
2000-09-08,44.625
2000-09-11,44.625
2000-09-12,45.1875
2000-09-13,45.875
2000-09-14,45.875
2000-09-15,46.0
2000-09-18,45.75
2000-09-19,45.3125
2000-09-20,45.3125
2000-09-21,45.125
2000-09-22,45.125
2000-09-25,45.125
2000-09-26,44.9375
2000-09-27,45.0
2000-09-28,45.0625
2000-09-29,45.625
2000-10-02,45.0
2000-10-03,44.75
2000-10-04,45.1875
2000-10-05,45.8125
2000-10-06,45.4375
2000-10-09,45.3125
2000-10-10,45.5
2000-10-11,44.625
2000-10-12,43.5625
2000-10-13,45.0
2000-10-16,44.75
2000-10-17,43.9375
