,Close
2000-01-03,7.3606
2000-01-04,7.114
2000-01-05,7.3037
2000-01-06,7.9677
2000-01-07,8.2712
2000-01-10,7.8728
2000-01-11,7.9487
2000-01-12,7.8728
2000-01-13,7.8918
2000-01-14,7.8918
2000-01-18,8.0246
2000-01-19,8.1005
2000-01-20,7.8159
2000-01-21,8.0815
2000-01-24,7.7021
2000-01-25,7.5314
2000-01-26,7.5883
2000-01-27,7.3986
2000-01-28,7.3986
2000-01-31,7.797
2000-02-01,7.4934
2000-02-02,7.759
2000-02-03,7.6072
2000-02-04,7.3796
2000-02-07,7.5883
2000-02-08,7.4175
2000-02-09,7.095
2000-02-10,7.2658
2000-02-11,6.9812
2000-02-14,7.095
2000-02-15,7.2658
2000-02-16,7.4175
2000-02-17,7.3796
2000-02-18,7.0571
2000-02-22,6.9812
2000-02-23,6.6587
2000-02-24,6.5449
2000-02-25,6.45
2000-02-28,6.469
2000-02-29,6.5639
2000-03-01,6.8105
2000-03-02,7.1519
2000-03-03,7.0381
2000-03-06,7.0192
2000-03-07,7.5693
2000-03-08,7.4555
2000-03-09,7.5883
2000-03-10,7.5883
2000-03-13,7.5883
2000-03-14,7.4934
2000-03-15,7.6262
2000-03-16,7.8728
2000-03-17,7.3796
2000-03-20,7.3227
2000-03-21,7.4175
2000-03-22,7.2658
2000-03-23,6.9053
2000-03-24,6.9053
2000-03-27,7.0571
2000-03-28,6.8484
2000-03-29,7.2468
2000-03-30,7.6642
2000-03-31,7.9108
2000-04-03,7.8349
2000-04-04,7.6642
2000-04-05,7.3796
2000-04-06,7.4934
2000-04-07,7.4555
2000-04-10,7.2468
2000-04-11,7.3606
2000-04-12,7.759
2000-04-13,7.6452
2000-04-14,7.3796
2000-04-17,7.1709
2000-04-18,7.2658
2000-04-19,7.7211
2000-04-20,7.1899
2000-04-24,7.1709
2000-04-25,7.3606
2000-04-26,7.3037
2000-04-27,7.3606
2000-04-28,7.0761
2000-05-01,7.0192
2000-05-02,7.2468
2000-05-03,6.9812
2000-05-04,7.0761
2000-05-05,7.1899
2000-05-08,7.3227
2000-05-09,7.1709
2000-05-10,7.095
2000-05-11,7.5124
2000-05-12,7.5883
2000-05-15,7.778
2000-05-16,7.6072
2000-05-17,7.8159
2000-05-18,7.7021
2000-05-19,7.7021
2000-05-22,7.6072
2000-05-23,7.6072
2000-05-24,7.6642
2000-05-25,7.4555
2000-05-26,7.8539
2000-05-30,7.8159
2000-05-31,8.2522
2000-06-01,8.1574
2000-06-02,7.9867
2000-06-05,7.8539
2000-06-06,8.1195
2000-06-07,7.9677
2000-06-08,8.1764
2000-06-09,8.0625
2000-06-12,8.4609
2000-06-13,8.423
2000-06-14,8.6506
2000-06-15,8.1953
2000-06-16,8.4989
2000-06-19,8.2522
2000-06-20,8.2522
2000-06-21,8.385
2000-06-22,8.2522
2000-06-23,8.2522
2000-06-26,8.1195
2000-06-27,8.0246
2000-06-28,7.9487
2000-06-29,8.0625
2000-06-30,7.6072
2000-07-03,7.8159
2000-07-05,7.4365
2000-07-06,7.4555
2000-07-07,7.4745
2000-07-10,7.6642
2000-07-11,7.8918
2000-07-12,7.7211
2000-07-13,7.6831
2000-07-14,7.8159
2000-07-17,7.7211
2000-07-18,7.759
2000-07-19,7.7021
2000-07-20,7.7211
2000-07-21,7.4555
2000-07-24,7.2847
2000-07-25,7.2278
2000-07-26,7.1899
2000-07-27,7.5124
2000-07-28,7.4365
2000-07-31,7.3796
2000-08-01,7.4365
2000-08-02,7.6262
2000-08-03,7.8159
2000-08-04,7.8349
2000-08-07,7.8349
2000-08-08,7.74
2000-08-09,7.9108
2000-08-10,8.1005
2000-08-11,8.0246
2000-08-14,8.0625
2000-08-15,8.0625
2000-08-16,8.2143
2000-08-17,8.3661
2000-08-18,8.1953
2000-08-21,8.2712
2000-08-22,8.3471
2000-08-23,8.5558
2000-08-24,8.1005
2000-08-25,8.2712
2000-08-28,8.1574
2000-08-29,8.404
2000-08-30,8.2902
2000-08-31,8.3281
2000-09-01,8.3661
2000-09-05,8.4989
2000-09-06,8.7075
2000-09-07,8.6127
2000-09-08,8.6127
2000-09-11,8.8783
2000-09-12,8.7834
2000-09-13,8.5558
2000-09-14,8.5178
2000-09-15,8.8403
2000-09-18,8.8214
2000-09-19,8.5748
2000-09-20,8.6127
2000-09-21,8.442
2000-09-22,8.2333
2000-09-25,8.0625
2000-09-26,8.3281
2000-09-27,8.5748
2000-09-28,8.5748
2000-09-29,8.6127
2000-10-02,8.8593
2000-10-03,8.7455
2000-10-04,8.4989
2000-10-05,8.404
2000-10-06,8.2902
2000-10-09,8.6127
2000-10-10,8.8403
2000-10-11,8.8024
2000-10-12,9.049
2000-10-13,8.6886
2000-10-16,8.6696
2000-10-17,8.6506
2000-10-18,8.3471
2000-10-19,8.442
2000-10-20,8.6317
2000-10-23,8.404
2000-10-24,8.2522
2000-10-25,8.0246
2000-10-26,8.0815
2000-10-27,7.9677
2000-10-30,8.2333
2000-10-31,8.2522
2000-11-01,8.5368
2000-11-02,8.3471
2000-11-03,8.3471
2000-11-06,8.2712
2000-11-07,8.2902
2000-11-08,8.1953
2000-11-09,8.0625
2000-11-10,8.2522
2000-11-13,8.2143
2000-11-14,8.2902
2000-11-15,8.3471
2000-11-16,8.423
2000-11-17,8.423
2000-11-20,8.385
2000-11-21,8.4609
2000-11-22,8.4799
2000-11-24,8.4799
2000-11-27,8.5558
2000-11-28,8.6317
2000-11-29,8.3471
2000-11-30,8.0056
2000-12-01,8.1953
2000-12-04,8.1574
2000-12-05,8.1005
2000-12-06,8.1005
2000-12-07,8.1005
2000-12-08,8.0246
2000-12-11,7.9487
2000-12-12,8.0056
2000-12-13,8.0056
2000-12-14,7.7211
2000-12-15,7.8539
2000-12-18,7.9867
2000-12-19,8.1005
2000-12-20,7.9297
2000-12-21,8.1005
2000-12-22,8.2143
2000-12-26,8.4799
2000-12-27,8.6317
2000-12-28,8.7265
2000-12-29,8.423
2001-01-02,8.4799
2001-01-03,8.2902
2001-01-04,8.3281
2001-01-05,8.5748
2001-01-08,8.4799
2001-01-09,8.3661
2001-01-10,8.3471
2001-01-11,8.3281
2001-01-12,8.404
2001-01-16,8.4989
2001-01-17,8.3281
2001-01-18,8.1384
2001-01-19,8.1953
2001-01-22,8.1953
2001-01-23,8.3471
2001-01-24,8.2902
2001-01-25,8.3092
2001-01-26,8.2522
2001-01-29,8.335
2001-01-30,8.2014
2001-01-31,8.3046
2001-02-01,8.1953
2001-02-02,8.3775
2001-02-05,8.4898
2001-02-06,8.6112
2001-02-07,8.5778
2001-02-08,8.5717
2001-02-09,8.7235
2001-02-12,8.7872
2001-02-13,8.6506
2001-02-14,8.7174
2001-02-15,8.6506
2001-02-16,8.5505
2001-02-20,8.593
2001-02-21,8.4989
2001-02-22,8.4746
2001-02-23,8.4533
2001-02-26,8.4867
2001-02-27,8.4655
2001-02-28,8.3835
2001-03-01,8.3775
2001-03-02,8.511
2001-03-05,8.6415
2001-03-06,8.7022
2001-03-07,8.9329
2001-03-08,8.9663
2001-03-09,8.9086
2001-03-12,8.7933
2001-03-13,8.6385
2001-03-14,8.5656
2001-03-15,8.4351
2001-03-16,8.4108
2001-03-19,8.5778
2001-03-20,8.6203
2001-03-21,8.3471
2001-03-22,8.0163
2001-03-23,8.0436
2001-03-26,8.1286
2001-03-27,8.1953
2001-03-28,8.1346
2001-03-29,8.0982
2001-03-30,8.1802
2001-04-02,8.0982
2001-04-03,8.0011
2001-04-04,8.1073
2001-04-05,8.3896
2001-04-06,8.4351
2001-04-09,8.6324
2001-04-10,8.7417
2001-04-11,8.6051
2001-04-12,8.8206
2001-04-16,9.0392
2001-04-17,9.0816
2001-04-18,8.9815
2001-04-19,8.8419
2001-04-20,9.0149
2001-04-23,9.5218
2001-04-24,9.6948
2001-04-25,9.6675
2001-04-26,9.631
2001-04-27,9.5916
2001-04-30,9.7009
2001-05-01,9.6068
2001-05-02,9.1818
2001-05-03,9.1454
2001-05-04,9.3154
2001-05-07,9.4034
2001-05-08,9.4307
2001-05-09,9.6857
2001-05-10,9.6735
2001-05-11,9.6553
2001-05-14,9.8071
2001-05-15,9.9164
2001-05-16,10.1106
2001-05-17,10.0074
2001-05-18,10.1319
2001-05-21,10.1501
2001-05-22,9.9953
2001-05-23,9.8041
2001-05-24,9.9346
2001-05-25,9.8253
2001-05-29,9.8526
2001-05-30,9.7889
2001-05-31,9.8192
2001-06-01,9.7585
2001-06-04,9.9315
2001-06-05,10.0408
2001-06-06,9.6948
2001-06-07,9.6189
2001-06-08,9.7039
2001-06-11,9.6978
2001-06-12,9.7919
2001-06-13,9.6675
2001-06-14,9.5703
2001-06-15,9.6098
2001-06-18,9.5127
2001-06-19,9.54
2001-06-20,9.2941
2001-06-21,9.0452
2001-06-22,9.1636
2001-06-25,9.1059
2001-06-26,9.1666
2001-06-27,8.8328
2001-06-28,8.5565
2001-06-29,8.9572
2001-07-02,8.766
2001-07-03,8.678
2001-07-05,8.8145
2001-07-06,8.9511
2001-07-09,8.7174
2001-07-10,8.6931
2001-07-11,8.5687
2001-07-12,8.5474
2001-07-13,8.6719
2001-07-16,8.5292
2001-07-17,8.5444
2001-07-18,8.3016
2001-07-19,8.4989
2001-07-20,8.5626
2001-07-23,8.5748
2001-07-24,8.3896
2001-07-25,8.7569
2001-07-26,9.0088
2001-07-27,9.0574
2001-07-30,9.0331
2001-07-31,9.0058
2001-08-01,8.9845
2001-08-02,9.0756
2001-08-03,8.9845
2001-08-06,8.9602
2001-08-07,9.0452
2001-08-08,8.9572
2001-08-09,9.0027
2001-08-10,9.1059
2001-08-13,9.1332
2001-08-14,9.1636
2001-08-15,9.4186
2001-08-16,9.4034
2001-08-17,9.2789
2001-08-20,9.2425
2001-08-21,9.2486
2001-08-22,9.2941
2001-08-23,9.285
2001-08-24,9.3791
2001-08-27,9.367
2001-08-28,9.4216
2001-08-29,9.546
2001-08-30,9.5643
2001-08-31,9.5643
2001-09-04,9.5643
2001-09-05,9.6341
2001-09-06,9.7433
2001-09-07,9.8344
2001-09-10,9.6796
2001-09-17,9.3488
2001-09-18,9.03
2001-09-19,8.4685
2001-09-20,8.4382
2001-09-21,8.1195
2001-09-24,7.74
2001-09-25,7.7097
2001-09-26,7.6733
2001-09-27,7.8766
2001-09-28,8.1195
2001-10-01,8.0132
2001-10-02,8.4048
2001-10-03,8.5171
2001-10-04,8.6962
2001-10-05,8.8145
2001-10-08,8.7569
2001-10-09,8.8661
2001-10-10,9.109
2001-10-11,9.0725
2001-10-12,9.0149
2001-10-15,8.7994
2001-10-16,8.9117
2001-10-17,8.8024
2001-10-18,8.4807
2001-10-19,8.5565
2001-10-22,8.5626
2001-10-23,8.5535
2001-10-24,8.4594
2001-10-25,8.511
2001-10-26,8.6628
2001-10-29,8.5899
2001-10-30,8.2773
2001-10-31,8.3744
2001-11-01,8.6081
2001-11-02,8.2985
2001-11-05,8.3046
2001-11-06,8.1802
2001-11-07,8.2257
2001-11-08,8.3441
2001-11-09,8.5323
2001-11-12,8.426
2001-11-13,8.4351
2001-11-14,8.0709
2001-11-15,7.7613
2001-11-16,7.9222
2001-11-19,7.8918
2001-11-20,8.2712
2001-11-21,8.2044
2001-11-23,8.4017
2001-11-26,8.2773
2001-11-27,8.335
2001-11-28,8.1923
2001-11-29,8.256
2001-11-30,8.3167
2001-12-03,8.3987
2001-12-04,8.514
2001-12-05,8.6294
2001-12-06,8.3775
2001-12-07,8.5171
2001-12-10,8.3532
2001-12-11,8.3259
2001-12-12,8.426
2001-12-13,8.2803
2001-12-14,8.4533
2001-12-17,8.3683
2001-12-18,8.4624
2001-12-19,8.5687
2001-12-20,8.5839
2001-12-21,8.7569
2001-12-24,8.8085
2001-12-26,8.9876
2001-12-27,9.0725
2001-12-28,9.1393
2001-12-31,9.1059
2002-01-02,9.03
2002-01-03,8.9117
2002-01-04,9.0331
2002-01-07,9.112
2002-01-08,9.0877
2002-01-09,9.1029
2002-01-10,8.8601
2002-01-11,8.7326
2002-01-14,8.5899
2002-01-15,8.7447
2002-01-16,8.5748
2002-01-17,8.4837
2002-01-18,8.338
2002-01-22,8.3107
2002-01-23,8.4989
2002-01-24,8.681
2002-01-25,8.6385
2002-01-28,8.4989
2002-01-29,8.3167
2002-01-30,8.4108
2002-01-31,8.514
2002-02-01,8.6112
2002-02-04,8.3926
2002-02-05,8.426
2002-02-06,8.511
2002-02-07,8.3926
2002-02-08,8.341
2002-02-11,8.3714
2002-02-12,8.3441
2002-02-13,8.3016
2002-02-14,8.3744
2002-02-15,8.4473
2002-02-19,8.2773
2002-02-20,8.2196
2002-02-21,8.3076
2002-02-22,8.426
2002-02-25,8.5505
2002-02-26,8.4078
2002-02-27,8.3592
2002-02-28,8.3471
