,Close
2019-01-02,146.94
2019-01-03,141.34
2019-01-04,146.6
2019-01-07,147.28
2019-01-08,150.34
2019-01-09,151.81
2019-01-10,153.94
2019-01-11,154.83
2019-01-14,153.71
2019-01-15,157.06
2019-01-16,160.25
2019-01-17,160.73
2019-01-18,165.97
2019-01-22,162.26
2019-01-23,162.78
2019-01-24,161.74
2019-01-25,163.83
2019-01-28,162.44
2019-01-29,160.85
2019-01-30,162.77
2019-01-31,170.27
2019-02-01,172.85
2019-02-04,172.56
2019-02-05,174.49
2019-02-06,171.95
2019-02-07,172.45
2019-02-08,172.29
2019-02-11,171.75
2019-02-12,174.62
2019-02-13,174.87
2019-02-14,174.13
2019-02-15,175.17
2019-02-19,174.8
2019-02-20,176.11
2019-02-21,174.22
2019-02-22,177.16
2019-02-25,178.16
2019-02-26,178.33
2019-02-27,180.74
2019-02-28,184.72
2019-03-01,190.21
2019-03-04,187.16
2019-03-05,187.67
2019-03-06,186.46
2019-03-07,182.06
2019-03-08,182.44
2019-03-11,183.66
2019-03-12,185.02
2019-03-13,185.59
2019-03-14,186.81
2019-03-15,189.58
2019-03-18,190.97
2019-03-19,191.77
2019-03-20,191.97
2019-03-21,195.67
2019-03-22,191.86
2019-03-25,191.58
2019-03-26,194.44
2019-03-27,193.36
2019-03-28,196.64
2019-03-29,198.84
2019-04-01,201.88
2019-04-02,204.89
2019-04-03,206.34
2019-04-04,206.28
2019-04-05,206.99
2019-04-08,211.0
2019-04-09,211.89
2019-04-10,214.61
2019-04-11,216.3
2019-04-12,217.99
2019-04-15,218.99
2019-04-16,219.34
2019-04-17,219.0
2019-04-18,221.35
2019-04-22,222.53
2019-04-23,226.03
2019-04-24,224.77
2019-04-25,223.28
2019-04-26,226.02
2019-04-29,223.78
2019-04-30,225.38
2019-05-01,222.72
2019-05-02,221.29
2019-05-03,226.93
2019-05-06,229.63
2019-05-07,221.93
2019-05-08,223.83
2019-05-09,221.88
2019-05-10,224.28
2019-05-13,215.35
2019-05-14,220.44
2019-05-15,220.9
2019-05-16,226.07
2019-05-17,224.81
2019-05-20,222.67
2019-05-21,224.91
2019-05-22,225.12
2019-05-23,217.67
2019-05-24,218.86
2019-05-28,221.36
2019-05-29,220.54
2019-05-30,222.78
2019-05-31,220.01
2019-06-03,216.26
2019-06-04,224.83
2019-06-05,234.5
2019-06-06,237.58
2019-06-07,240.3
2019-06-10,243.99
2019-06-11,236.35
2019-06-12,234.85
2019-06-13,234.82
2019-06-14,235.78
2019-06-17,232.59
2019-06-18,233.59
2019-06-19,236.65
2019-06-20,237.44
2019-06-21,232.4
2019-06-24,235.01
2019-06-25,230.75
2019-06-26,231.52
2019-06-27,234.1
2019-06-28,238.79
2019-07-01,240.51
2019-07-02,244.58
2019-07-03,245.57
2019-07-05,242.29
2019-07-08,234.7
2019-07-09,238.0
2019-07-10,238.0
2019-07-11,240.28
2019-07-12,245.12
2019-07-15,245.2
2019-07-16,241.57
2019-07-17,241.58
2019-07-18,245.73
2019-07-19,240.98
2019-07-22,240.59
2019-07-23,235.61
2019-07-24,232.25
2019-07-25,231.89
2019-07-26,237.27
2019-07-29,232.37
2019-07-30,227.88
2019-07-31,227.24
2019-08-01,225.33
2019-08-02,220.18
2019-08-05,209.24
2019-08-06,214.34
2019-08-07,217.18
2019-08-08,225.47
2019-08-09,224.05
2019-08-12,219.96
2019-08-13,226.31
2019-08-14,218.9
2019-08-15,222.16
2019-08-16,226.23
2019-08-19,230.31
2019-08-20,231.5
2019-08-21,235.03
2019-08-22,236.0
2019-08-23,233.0
2019-08-26,231.64
2019-08-27,231.23
2019-08-28,231.73
2019-08-29,235.61
2019-08-30,234.63
2019-09-03,233.49
2019-09-04,230.2
2019-09-05,235.43
2019-09-06,241.27
2019-09-09,237.51
2019-09-10,228.43
2019-09-11,226.71
2019-09-12,232.39
2019-09-13,229.64
2019-09-16,230.0
2019-09-17,240.15
2019-09-18,233.75
2019-09-19,235.39
2019-09-20,225.73
2019-09-23,225.96
2019-09-24,225.61
2019-09-25,227.06
2019-09-26,223.55
2019-09-27,215.89
2019-09-30,217.75
2019-10-01,216.23
2019-10-02,212.7
2019-10-03,217.84
2019-10-04,221.01
2019-10-07,220.79
2019-10-08,214.51
2019-10-09,219.47
2019-10-10,222.65
2019-10-11,225.33
2019-10-14,225.11
2019-10-15,227.08
2019-10-16,225.98
2019-10-17,229.03
2019-10-18,224.4
2019-10-21,226.15
2019-10-22,216.38
2019-10-23,218.33
2019-10-24,222.58
2019-10-25,222.2
2019-10-28,225.03
2019-10-29,228.07
2019-10-30,229.14
2019-10-31,234.56
2019-11-01,245.91
2019-11-04,245.79
2019-11-05,238.47
2019-11-06,241.28
2019-11-07,246.68
2019-11-08,245.0
2019-11-11,245.0
2019-11-12,246.18
2019-11-13,249.21
2019-11-14,250.0
2019-11-15,250.0
2019-11-18,252.59
2019-11-19,257.5
2019-11-20,256.37
2019-11-21,255.62
2019-11-22,257.97
2019-11-25,264.01
2019-11-26,259.77
2019-11-27,258.18
2019-11-29,259.19
2019-12-02,256.57
2019-12-03,254.35
2019-12-04,259.03
2019-12-05,260.42
2019-12-06,266.32
2019-12-09,263.53
2019-12-10,261.5
2019-12-11,260.79
2019-12-12,259.86
2019-12-13,260.09
2019-12-16,261.19
2019-12-17,258.49
2019-12-18,257.5
2019-12-19,259.78
2019-12-20,259.25
2019-12-23,258.72
2019-12-24,260.36
2019-12-26,260.48
2019-12-27,259.99
2019-12-30,256.92
2019-12-31,258.18
2020-01-02,266.05
2020-01-03,260.75
2020-01-06,262.05
2020-01-07,262.41
2020-01-08,266.56
2020-01-09,267.83
2020-01-10,265.72
2020-01-13,271.99
2020-01-14,266.67
2020-01-15,269.74
2020-01-16,277.29
2020-01-17,279.07
2020-01-21,278.03
2020-01-22,279.23
2020-01-23,279.15
2020-01-24,276.11
2020-01-27,273.94
2020-01-28,278.17
2020-01-29,282.28
2020-01-30,292.77
2020-01-31,285.8
2020-02-03,292.65
2020-02-04,301.15
2020-02-05,295.18
2020-02-06,296.9
2020-02-07,297.83
2020-02-10,301.47
2020-02-11,303.57
2020-02-12,308.18
2020-02-13,313.4
2020-02-14,322.56
2020-02-18,327.09
2020-02-19,332.11
2020-02-20,321.71
2020-02-21,309.08
2020-02-24,303.53
2020-02-25,300.31
2020-02-26,305.61
2020-02-27,297.36
2020-02-28,295.44
2020-03-02,315.53
2020-03-03,308.65
2020-03-04,318.47
2020-03-05,300.89
