,Close
2000-01-03,57.0625
2000-01-04,54.75
2000-01-05,54.0
2000-01-06,54.125
2000-01-07,53.875
2000-01-10,53.6875
2000-01-11,52.1875
2000-01-12,52.5625
2000-01-13,52.3125
2000-01-14,50.5
2000-01-18,48.25
2000-01-19,47.5625
2000-01-20,45.75
2000-01-21,44.4375
2000-01-24,44.4375
2000-01-25,45.0
2000-01-26,45.3125
2000-01-27,46.0
2000-01-28,45.5625
2000-01-31,46.5625
2000-02-01,46.1875
2000-02-02,45.4375
2000-02-03,47.125
2000-02-04,47.125
2000-02-07,45.5
2000-02-08,45.3125
2000-02-09,44.0
2000-02-10,42.5625
2000-02-11,42.4375
2000-02-14,42.5
2000-02-15,43.25
2000-02-16,44.4375
2000-02-17,44.0625
2000-02-18,42.25
2000-02-22,42.5625
2000-02-23,41.625
2000-02-24,40.25
2000-02-25,39.6875
2000-02-28,39.5
2000-02-29,37.375
2000-03-01,35.875
2000-03-02,35.5
2000-03-03,33.125
2000-03-06,34.9375
2000-03-07,33.8125
2000-03-08,32.125
2000-03-09,34.125
2000-03-10,33.3125
2000-03-13,34.4375
2000-03-14,34.875
2000-03-15,35.0
2000-03-16,40.0
2000-03-17,40.0
2000-03-20,38.75
2000-03-21,39.9375
2000-03-22,40.0625
2000-03-23,41.0
2000-03-24,42.3125
2000-03-27,42.0
2000-03-28,42.5625
2000-03-29,43.0625
2000-03-30,44.375
2000-03-31,43.625
2000-04-03,44.25
2000-04-04,43.4375
2000-04-05,45.125
2000-04-06,44.5
2000-04-07,43.75
2000-04-10,48.0
2000-04-11,46.25
2000-04-12,46.1875
2000-04-13,47.3125
2000-04-14,44.5
2000-04-17,44.6875
2000-04-18,45.9375
2000-04-19,44.8125
2000-04-20,45.5625
2000-04-24,45.1875
2000-04-25,47.8125
2000-04-26,47.1875
2000-04-27,46.375
2000-04-28,47.8125
2000-05-01,49.0625
2000-05-02,49.9375
2000-05-03,47.3125
2000-05-04,47.9375
2000-05-05,46.8125
2000-05-08,47.125
2000-05-09,45.9375
2000-05-10,45.125
2000-05-11,46.1875
2000-05-12,47.125
2000-05-15,48.75
2000-05-16,49.0625
2000-05-17,46.5
2000-05-18,48.4375
2000-05-19,46.5
2000-05-22,48.375
2000-05-23,49.0
2000-05-24,51.8125
2000-05-25,50.625
2000-05-26,50.375
2000-05-30,50.5
2000-05-31,49.5625
2000-06-01,51.3125
2000-06-02,54.5
2000-06-05,53.8125
2000-06-06,53.0625
2000-06-07,54.1875
2000-06-08,51.5
2000-06-09,49.6875
2000-06-12,50.8125
2000-06-13,51.0
2000-06-14,50.9375
2000-06-15,47.5625
2000-06-16,46.4375
2000-06-19,45.75
2000-06-20,43.0
2000-06-21,43.9375
2000-06-22,43.25
2000-06-23,44.6875
2000-06-26,43.5
2000-06-27,46.125
2000-06-28,46.1875
2000-06-29,46.8125
2000-06-30,45.5
2000-07-03,45.5
2000-07-05,47.5625
2000-07-06,46.9375
2000-07-07,48.6875
2000-07-10,49.0625
2000-07-11,48.0
2000-07-12,52.125
2000-07-13,51.25
2000-07-14,54.9375
2000-07-17,54.0625
2000-07-18,53.3125
2000-07-19,53.5625
2000-07-20,53.9375
2000-07-21,52.0625
2000-07-24,53.1875
2000-07-25,53.5625
2000-07-26,55.5
2000-07-27,58.0
2000-07-28,57.375
2000-07-31,56.8125
2000-08-01,56.4375
2000-08-02,56.25
2000-08-03,56.125
2000-08-04,59.4375
2000-08-07,58.875
2000-08-08,59.1875
2000-08-09,58.125
2000-08-10,58.125
2000-08-11,58.0
2000-08-14,58.5625
2000-08-15,57.625
2000-08-16,56.6875
2000-08-17,57.4375
2000-08-18,57.3125
2000-08-21,57.875
2000-08-22,58.8125
2000-08-23,56.8125
2000-08-24,56.25
2000-08-25,54.5625
2000-08-28,55.5625
2000-08-29,56.0625
2000-08-30,56.8125
2000-08-31,58.8125
2000-09-01,58.5625
2000-09-05,59.4375
2000-09-06,59.3125
2000-09-07,59.6875
2000-09-08,61.875
2000-09-11,63.125
2000-09-12,62.3125
2000-09-13,61.125
2000-09-14,62.5625
2000-09-15,62.0
2000-09-18,59.375
2000-09-19,60.0625
2000-09-20,59.0625
2000-09-21,58.6875
2000-09-22,60.25
2000-09-25,61.625
2000-09-26,60.125
2000-09-27,59.6875
2000-09-28,63.125
2000-09-29,61.125
2000-10-02,62.6875
2000-10-03,62.5625
2000-10-04,62.5
2000-10-05,61.5625
2000-10-06,58.8125
2000-10-09,59.5
2000-10-10,60.0
2000-10-11,60.5
2000-10-12,60.1875
2000-10-13,61.375
2000-10-16,62.0
2000-10-17,60.3125
2000-10-18,59.625
2000-10-19,59.5
2000-10-20,60.375
2000-10-23,60.1875
2000-10-24,62.25
2000-10-25,63.8125
2000-10-26,61.5
2000-10-27,64.6875
2000-10-30,71.5
2000-10-31,68.125
2000-11-01,67.75
2000-11-02,66.75
2000-11-03,63.6875
2000-11-06,64.9375
2000-11-07,64.6875
2000-11-08,63.375
2000-11-09,63.5
2000-11-10,63.625
2000-11-13,64.125
2000-11-14,66.5625
2000-11-15,65.9375
2000-11-16,65.375
2000-11-17,65.1875
2000-11-20,64.75
2000-11-21,63.5625
2000-11-22,62.0625
2000-11-24,61.75
2000-11-27,60.1875
2000-11-28,62.9375
2000-11-29,64.0
2000-11-30,63.0
2000-12-01,63.0625
2000-12-04,62.9375
2000-12-05,63.0625
2000-12-06,62.8125
2000-12-07,63.5625
2000-12-08,64.9375
2000-12-11,64.125
2000-12-12,62.625
2000-12-13,61.1875
2000-12-14,60.5
2000-12-15,60.1875
2000-12-18,62.0
2000-12-19,63.0625
2000-12-20,66.75
2000-12-21,68.875
2000-12-22,66.5625
2000-12-26,68.0625
2000-12-27,67.25
2000-12-28,67.0
2000-12-29,67.4375
2001-01-02,64.25
2001-01-03,63.375
2001-01-04,59.9375
2001-01-05,59.3125
2001-01-08,60.5625
2001-01-09,57.25
2001-01-10,56.0
2001-01-11,53.5
2001-01-12,52.875
2001-01-16,53.875
2001-01-17,53.6875
2001-01-18,52.9375
2001-01-19,51.625
2001-01-22,53.9375
2001-01-23,55.625
2001-01-24,57.875
2001-01-25,58.0
2001-01-26,58.0625
2001-01-29,58.73
2001-01-30,60.0
2001-01-31,57.49
2001-02-01,56.99
2001-02-02,57.79
2001-02-05,58.07
2001-02-06,56.28
2001-02-07,57.25
2001-02-08,56.95
2001-02-09,56.96
2001-02-12,60.26
2001-02-13,59.0
2001-02-14,60.0
2001-02-15,59.55
2001-02-16,60.54
2001-02-20,59.45
2001-02-21,57.9
2001-02-22,58.06
2001-02-23,57.3
2001-02-26,58.19
2001-02-27,59.19
2001-02-28,57.95
2001-03-01,58.07
2001-03-02,57.89
2001-03-05,57.96
2001-03-06,58.36
2001-03-07,59.62
2001-03-08,61.72
2001-03-09,62.01
2001-03-12,60.1
2001-03-13,61.05
2001-03-14,58.58
2001-03-15,59.7
2001-03-16,60.55
2001-03-19,62.7
2001-03-20,64.05
2001-03-21,63.5
2001-03-22,62.9
2001-03-23,64.37
2001-03-26,64.99
2001-03-27,63.7
2001-03-28,64.0
2001-03-29,65.7
2001-03-30,68.42
2001-04-02,68.3
2001-04-03,67.77
2001-04-04,67.08
2001-04-05,68.98
2001-04-06,68.89
2001-04-09,67.65
2001-04-10,66.98
2001-04-11,66.17
2001-04-12,63.45
2001-04-16,64.5
2001-04-17,63.45
2001-04-18,61.7
2001-04-19,62.77
2001-04-20,62.3
2001-04-23,61.95
2001-04-24,62.25
2001-04-25,63.15
2001-04-26,63.88
2001-04-27,64.8
2001-04-30,64.99
2001-05-01,64.99
2001-05-02,64.91
2001-05-03,64.42
2001-05-04,64.15
2001-05-07,64.3
2001-05-08,64.92
2001-05-09,65.0
2001-05-10,65.01
2001-05-11,65.29
2001-05-14,66.54
2001-05-15,66.4
2001-05-16,67.61
2001-05-17,68.0
2001-05-18,67.91
2001-05-21,67.45
2001-05-22,67.09
2001-05-23,67.4
2001-05-24,67.09
2001-05-25,66.84
2001-05-29,68.55
2001-05-30,68.1
2001-05-31,70.37
2001-06-01,68.63
2001-06-04,69.05
2001-06-05,70.1
2001-06-06,72.4
2001-06-07,71.76
2001-06-08,71.4
2001-06-11,72.0
2001-06-12,72.36
2001-06-13,73.79
2001-06-14,72.21
2001-06-15,74.38
2001-06-18,73.17
2001-06-19,73.4
2001-06-20,73.85
2001-06-21,74.99
2001-06-22,73.79
2001-06-25,73.72
2001-06-26,74.69
2001-06-27,77.0
2001-06-28,74.98
2001-06-29,72.64
2001-07-02,72.05
2001-07-03,71.89
2001-07-05,71.44
2001-07-06,71.08
2001-07-09,70.85
2001-07-10,69.1
2001-07-11,70.16
2001-07-12,73.4
2001-07-13,75.65
2001-07-16,75.6
2001-07-17,75.93
2001-07-18,75.99
2001-07-19,73.5
2001-07-20,74.06
2001-07-23,75.45
2001-07-24,71.18
2001-07-25,73.47
2001-07-26,73.92
2001-07-27,75.0
2001-07-30,74.58
2001-07-31,75.04
2001-08-01,75.47
2001-08-02,74.66
2001-08-03,75.0
2001-08-06,73.95
2001-08-07,74.6
2001-08-08,73.45
2001-08-09,73.33
2001-08-10,73.45
2001-08-13,72.85
2001-08-14,73.4
2001-08-15,73.38
2001-08-16,73.39
2001-08-17,73.42
2001-08-20,74.12
2001-08-21,74.74
2001-08-22,75.01
2001-08-23,75.53
2001-08-24,75.71
2001-08-27,73.65
2001-08-28,70.8
2001-08-29,70.76
2001-08-30,70.26
2001-08-31,69.9
2001-09-04,70.04
2001-09-05,68.94
2001-09-06,67.1
2001-09-07,65.92
2001-09-10,66.06
2001-09-17,61.48
2001-09-18,62.49
2001-09-19,60.5
2001-09-20,56.81
2001-09-21,56.19
2001-09-24,58.7
2001-09-25,59.85
2001-09-26,60.31
2001-09-27,62.89
2001-09-28,65.34
2001-10-01,62.61
2001-10-02,64.2
2001-10-03,67.0
2001-10-04,67.3
2001-10-05,63.16
2001-10-08,62.08
2001-10-09,62.16
2001-10-10,54.61
2001-10-11,57.65
2001-10-12,56.75
2001-10-15,57.31
2001-10-16,56.3
2001-10-17,54.86
2001-10-18,52.56
2001-10-19,52.0
2001-10-22,53.0
2001-10-23,53.37
2001-10-24,53.7
2001-10-25,53.86
2001-10-26,54.73
2001-10-29,53.29
2001-10-30,52.73
2001-10-31,51.74
2001-11-01,53.88
2001-11-02,54.71
2001-11-05,55.8
2001-11-06,57.19
2001-11-07,56.35
2001-11-08,55.68
2001-11-09,55.02
2001-11-12,55.59
2001-11-13,56.92
2001-11-14,56.81
2001-11-15,56.6
2001-11-16,56.48
2001-11-19,57.75
2001-11-20,58.73
2001-11-21,58.74
2001-11-23,59.47
2001-11-26,59.37
2001-11-27,59.45
2001-11-28,57.98
2001-11-29,58.99
2001-11-30,58.55
2001-12-03,58.49
2001-12-04,57.5
2001-12-05,58.18
2001-12-06,56.95
2001-12-07,56.4
2001-12-10,54.99
2001-12-11,56.14
2001-12-12,56.47
2001-12-13,55.92
2001-12-14,55.95
2001-12-17,56.61
2001-12-18,57.38
2001-12-19,58.87
2001-12-20,59.7
2001-12-21,59.7
2001-12-24,60.02
2001-12-26,60.4
2001-12-27,61.06
2001-12-28,61.48
2001-12-31,61.72
2002-01-02,61.84
2002-01-03,61.6
2002-01-04,61.7
2002-01-07,60.55
2002-01-08,60.15
2002-01-09,59.89
2002-01-10,62.2
2002-01-11,64.48
2002-01-14,63.13
2002-01-15,64.07
2002-01-16,63.98
2002-01-17,63.95
2002-01-18,64.81
2002-01-22,64.89
2002-01-23,63.8
2002-01-24,64.08
2002-01-25,66.06
2002-01-28,65.98
2002-01-29,65.47
2002-01-30,66.67
2002-01-31,67.0
2002-02-01,67.13
2002-02-04,65.74
2002-02-05,64.3
2002-02-06,63.52
2002-02-07,63.04
2002-02-08,64.39
2002-02-11,65.35
2002-02-12,64.79
2002-02-13,65.85
2002-02-14,66.4
2002-02-15,65.31
2002-02-19,64.77
2002-02-20,65.17
2002-02-21,64.17
2002-02-22,64.7
2002-02-25,65.4
2002-02-26,65.31
2002-02-27,67.03
2002-02-28,67.12
2002-03-01,68.02
2002-03-04,69.03
2002-03-05,69.56
2002-03-06,69.74
2002-03-07,69.2
2002-03-08,69.58
2002-03-11,69.45
2002-03-12,69.89
2002-03-13,68.94
2002-03-14,69.05
