,Close
2000-01-03,46.125
2000-01-04,45.1875
2000-01-05,42.9375
2000-01-06,45.5
2000-01-07,46.625
2000-01-10,46.75
2000-01-11,43.0
2000-01-12,44.0
2000-01-13,45.3125
2000-01-14,45.5
2000-01-18,44.9375
2000-01-19,43.875
2000-01-20,44.3125
2000-01-21,43.8125
2000-01-24,43.875
2000-01-25,41.375
2000-01-26,41.1875
2000-01-27,39.875
2000-01-28,38.4375
2000-01-31,39.3125
2000-02-01,39.6875
2000-02-02,38.9375
2000-02-03,38.6875
2000-02-04,38.625
2000-02-07,37.0
2000-02-08,36.9375
2000-02-09,36.5
2000-02-10,34.6875
2000-02-11,34.4375
2000-02-14,35.5
2000-02-15,36.0
2000-02-16,35.375
2000-02-17,35.125
2000-02-18,33.5625
2000-02-22,33.4375
2000-02-23,32.8125
2000-02-24,32.875
2000-02-25,33.1875
2000-02-28,33.0
2000-02-29,32.75
2000-03-01,34.1875
2000-03-02,34.375
2000-03-03,35.875
2000-03-06,33.75
2000-03-07,32.3125
2000-03-08,34.25
2000-03-09,33.875
2000-03-10,33.5
2000-03-13,34.4375
2000-03-14,36.25
2000-03-15,36.9375
2000-03-16,39.625
2000-03-17,39.4375
2000-03-20,37.9375
2000-03-21,39.3125
2000-03-22,38.9375
2000-03-23,38.875
2000-03-24,39.75
2000-03-27,39.5
2000-03-28,39.375
2000-03-29,39.5625
2000-03-30,39.9375
2000-03-31,40.125
2000-04-03,40.4375
2000-04-04,38.5
2000-04-05,39.0
2000-04-06,38.25
2000-04-07,37.9375
2000-04-10,38.625
2000-04-11,38.75
2000-04-12,38.1875
2000-04-13,37.8125
2000-04-14,35.25
2000-04-17,35.1875
2000-04-18,35.0
2000-04-19,34.3125
2000-04-20,34.3125
2000-04-24,33.75
2000-04-25,35.125
2000-04-26,35.5625
2000-04-27,35.0
2000-04-28,35.0
2000-05-01,35.375
2000-05-02,33.8125
2000-05-03,31.8125
2000-05-04,31.9375
2000-05-05,33.625
2000-05-08,34.625
2000-05-09,34.4375
2000-05-10,34.0625
2000-05-11,34.5
2000-05-12,35.1875
2000-05-15,35.375
2000-05-16,36.0625
2000-05-17,35.1875
2000-05-18,34.6875
2000-05-19,33.875
2000-05-22,32.875
2000-05-23,34.0625
2000-05-24,34.4375
2000-05-25,34.0
2000-05-26,32.625
2000-05-30,32.5625
2000-05-31,32.125
2000-06-01,33.0625
2000-06-02,33.0625
2000-06-05,33.0625
2000-06-06,32.5625
2000-06-07,31.875
2000-06-08,31.5
2000-06-09,30.875
2000-06-12,31.1875
2000-06-13,31.0
2000-06-14,33.0
2000-06-15,32.5625
2000-06-16,32.125
2000-06-19,32.0625
2000-06-20,32.8125
2000-06-21,31.4375
2000-06-22,30.4375
2000-06-23,30.5625
2000-06-26,31.5
2000-06-27,33.875
2000-06-28,33.375
2000-06-29,32.9375
2000-06-30,31.0625
2000-07-03,32.4375
2000-07-05,33.6875
2000-07-06,32.5
2000-07-07,31.9375
2000-07-10,32.5625
2000-07-11,32.25
2000-07-12,32.625
2000-07-13,32.0625
2000-07-14,31.875
2000-07-17,31.8125
2000-07-18,33.5625
2000-07-19,33.125
2000-07-20,32.0
2000-07-21,31.8125
2000-07-24,35.4375
2000-07-25,34.875
2000-07-26,34.125
2000-07-27,35.0625
2000-07-28,34.6875
2000-07-31,35.6875
2000-08-01,36.375
2000-08-02,36.1875
2000-08-03,36.0625
2000-08-04,37.1875
2000-08-07,37.6875
2000-08-08,38.25
2000-08-09,39.75
2000-08-10,39.4375
2000-08-11,39.4375
2000-08-14,39.0625
2000-08-15,37.125
2000-08-16,38.0
2000-08-17,39.3125
2000-08-18,39.5
2000-08-21,38.625
2000-08-22,38.8125
2000-08-23,38.125
2000-08-24,38.75
2000-08-25,38.75
