,Close
2000-01-03,3.8659
2000-01-04,3.7249
2000-01-05,3.7931
2000-01-06,3.9069
2000-01-07,3.9432
2000-01-10,3.8887
2000-01-11,3.8841
2000-01-12,3.8022
2000-01-13,3.9159
2000-01-14,3.9796
2000-01-18,3.925
2000-01-19,3.8568
2000-01-20,3.8113
2000-01-21,3.7113
2000-01-24,3.6749
2000-01-25,3.6613
2000-01-26,3.7158
2000-01-27,3.6658
2000-01-28,3.6476
2000-01-31,3.6931
2000-02-01,3.7477
2000-02-02,3.6931
2000-02-03,3.6749
2000-02-04,3.7204
2000-02-07,3.6794
2000-02-08,3.5794
2000-02-09,3.5703
2000-02-10,3.4748
2000-02-11,3.4702
2000-02-14,3.4293
2000-02-15,3.634
2000-02-16,3.5294
2000-02-17,3.4702
2000-02-18,3.4293
2000-02-22,3.4384
2000-02-23,3.3884
2000-02-24,3.2519
2000-02-25,3.1246
2000-02-28,3.2474
2000-02-29,3.161
2000-03-01,3.0882
2000-03-02,3.1382
2000-03-03,3.1473
2000-03-06,3.1564
2000-03-07,3.0518
2000-03-08,3.0745
2000-03-09,3.0563
2000-03-10,3.0654
2000-03-13,3.02
2000-03-14,2.9608
2000-03-15,3.0473
2000-03-16,3.4293
2000-03-17,3.2656
2000-03-20,3.2383
2000-03-21,3.2974
2000-03-22,3.3156
2000-03-23,3.3611
2000-03-24,3.4066
2000-03-27,3.4157
2000-03-28,3.3747
2000-03-29,3.4657
2000-03-30,3.5794
2000-03-31,3.4884
2000-04-03,3.5021
2000-04-04,3.4566
2000-04-05,3.452
2000-04-06,3.5703
2000-04-07,3.4611
2000-04-10,3.4657
2000-04-11,3.5748
2000-04-12,3.6385
2000-04-13,3.6703
2000-04-14,3.4884
2000-04-17,3.493
2000-04-18,3.4384
2000-04-19,3.2565
2000-04-20,3.3383
2000-04-24,3.2474
2000-04-25,3.4066
2000-04-26,3.3292
2000-04-27,3.1973
2000-04-28,3.2656
2000-05-01,3.2656
2000-05-02,3.1837
2000-05-03,3.0927
2000-05-04,3.2155
2000-05-05,3.1473
2000-05-08,3.1746
2000-05-09,3.1291
2000-05-10,3.0973
2000-05-11,3.2974
2000-05-12,3.2747
2000-05-15,3.2929
2000-05-16,3.3884
2000-05-17,3.3611
2000-05-18,3.3338
2000-05-19,3.2474
2000-05-22,3.2883
2000-05-23,3.211
2000-05-24,3.2383
2000-05-25,3.2155
2000-05-26,2.9199
2000-05-30,2.9108
2000-05-31,2.7471
2000-06-01,2.7835
2000-06-02,2.6925
2000-06-05,2.697
2000-06-06,2.7289
2000-06-07,2.7152
2000-06-08,2.6789
2000-06-09,2.7016
2000-06-12,2.6834
2000-06-13,2.6789
2000-06-14,2.647
2000-06-15,2.6152
2000-06-16,2.547
2000-06-19,2.5697
2000-06-20,2.5652
2000-06-21,2.5151
2000-06-22,2.4878
2000-06-23,2.4833
2000-06-26,2.4833
2000-06-27,2.4787
2000-06-28,2.456
2000-06-29,2.5515
2000-06-30,2.5561
2000-07-03,2.5606
2000-07-05,2.7198
2000-07-06,2.7152
2000-07-07,2.6197
2000-07-10,2.6561
2000-07-11,2.6197
2000-07-12,2.6834
2000-07-13,2.6925
2000-07-14,2.6379
2000-07-17,2.6379
2000-07-18,2.6652
2000-07-19,2.6197
2000-07-20,2.6652
2000-07-21,2.7334
2000-07-24,2.6789
2000-07-25,2.647
2000-07-26,2.5924
2000-07-27,2.5833
2000-07-28,2.5561
2000-07-31,2.6425
2000-08-01,2.6288
2000-08-02,2.647
2000-08-03,2.6288
2000-08-04,2.6743
2000-08-07,2.7016
2000-08-08,2.7425
2000-08-09,2.7471
2000-08-10,2.6834
2000-08-11,2.7425
2000-08-14,2.8244
2000-08-15,2.9472
2000-08-16,2.9608
2000-08-17,2.9972
2000-08-18,3.0518
2000-08-21,3.1246
2000-08-22,3.1746
2000-08-23,3.1791
2000-08-24,3.2428
2000-08-25,3.3429
2000-08-28,3.3429
2000-08-29,3.4157
2000-08-30,3.3838
2000-08-31,3.4111
2000-09-01,3.3702
2000-09-05,3.3884
2000-09-06,3.4293
2000-09-07,3.4338
2000-09-08,3.4111
2000-09-11,3.3838
2000-09-12,3.3338
2000-09-13,3.2838
2000-09-14,3.3019
2000-09-15,3.2883
2000-09-18,3.2656
2000-09-19,3.2474
2000-09-20,3.2019
2000-09-21,3.1882
2000-09-22,3.1746
2000-09-25,3.12
2000-09-26,3.0382
2000-09-27,3.0291
2000-09-28,3.0654
2000-09-29,3.0563
2000-10-02,3.0427
2000-10-03,3.1382
2000-10-04,3.1746
2000-10-05,3.161
2000-10-06,3.1473
2000-10-09,3.1382
2000-10-10,3.0654
2000-10-11,3.0382
2000-10-12,3.0063
2000-10-13,3.0018
2000-10-16,2.9745
2000-10-17,2.9063
2000-10-18,2.8471
2000-10-19,2.8107
2000-10-20,2.7971
2000-10-23,2.7789
2000-10-24,2.7516
2000-10-25,2.7471
2000-10-26,2.7061
2000-10-27,2.7061
2000-10-30,2.7107
2000-10-31,2.7698
2000-11-01,2.7289
2000-11-02,2.7289
2000-11-03,2.688
2000-11-06,2.6561
2000-11-07,2.6197
2000-11-08,2.6152
2000-11-09,2.647
2000-11-10,2.5924
2000-11-13,2.6607
2000-11-14,2.6561
2000-11-15,2.738
2000-11-16,2.7425
2000-11-17,2.8244
2000-11-20,2.8335
2000-11-21,2.838
2000-11-22,2.8017
2000-11-24,2.838
2000-11-27,2.8653
2000-11-28,2.8198
2000-11-29,2.8426
2000-11-30,2.7926
2000-12-01,2.838
2000-12-04,2.8881
2000-12-05,2.8926
2000-12-06,2.8426
2000-12-07,2.879
2000-12-08,2.8926
2000-12-11,2.9381
2000-12-12,2.9199
2000-12-13,2.8244
2000-12-14,2.8289
2000-12-15,2.8926
2000-12-18,2.8562
2000-12-19,2.9335
2000-12-20,2.8835
2000-12-21,2.9972
2000-12-22,3.0836
2000-12-26,3.1246
2000-12-27,3.1564
2000-12-28,3.1746
2000-12-29,3.1791
