,Close
2000-01-03,5.1563
2000-01-04,5.25
2000-01-05,5.4219
2000-01-06,5.4219
2000-01-07,5.5547
2000-01-10,5.5313
2000-01-11,5.4922
2000-01-12,5.5859
2000-01-13,5.5313
2000-01-14,5.4297
2000-01-18,5.2969
2000-01-19,5.4219
2000-01-20,5.3594
2000-01-21,5.5
2000-01-24,5.4688
2000-01-25,5.2813
2000-01-26,5.2969
2000-01-27,5.1875
2000-01-28,5.1641
2000-01-31,5.2734
2000-02-01,5.1953
2000-02-02,5.1953
2000-02-03,5.3594
2000-02-04,5.2031
2000-02-07,5.2109
2000-02-08,5.2266
2000-02-09,5.1484
2000-02-10,5.0391
2000-02-11,5.1094
2000-02-14,5.0938
2000-02-15,5.1094
2000-02-16,5.1172
2000-02-17,5.125
2000-02-18,5.0391
2000-02-22,5.1094
2000-02-23,5.0234
2000-02-24,4.75
2000-02-25,4.6016
2000-02-28,4.7656
2000-02-29,4.8281
2000-03-01,4.8203
2000-03-02,4.8516
2000-03-03,4.875
2000-03-06,4.7422
2000-03-07,4.9141
2000-03-08,5.1641
2000-03-09,5.3516
2000-03-10,5.4688
2000-03-13,5.2656
2000-03-14,5.2344
2000-03-15,5.5469
2000-03-16,5.625
2000-03-17,5.4844
2000-03-20,5.3828
2000-03-21,5.1719
2000-03-22,5.0938
2000-03-23,5.3125
2000-03-24,5.4141
2000-03-27,5.8281
2000-03-28,5.6797
2000-03-29,5.5781
2000-03-30,5.75
2000-03-31,5.7578
2000-04-03,5.6641
2000-04-04,5.7734
2000-04-05,5.7578
2000-04-06,5.7188
2000-04-07,5.8203
2000-04-10,5.8984
2000-04-11,5.8438
2000-04-12,5.9063
2000-04-13,5.8828
2000-04-14,5.6172
2000-04-17,5.4453
2000-04-18,5.4141
2000-04-19,5.6094
2000-04-20,5.6484
2000-04-24,5.6797
2000-04-25,5.8906
2000-04-26,5.8828
2000-04-27,5.6875
2000-04-28,5.6484
2000-05-01,5.6719
2000-05-02,5.6484
2000-05-03,5.6875
2000-05-04,5.7266
2000-05-05,5.6641
2000-05-08,5.875
2000-05-09,5.8359
2000-05-10,5.9063
2000-05-11,6.0859
2000-05-12,5.9453
2000-05-15,6.0781
2000-05-16,5.8984
2000-05-17,5.8438
2000-05-18,5.9531
2000-05-19,5.9766
2000-05-22,5.9531
2000-05-23,6.0156
2000-05-24,6.0938
2000-05-25,6.1094
2000-05-26,6.2188
2000-05-30,6.1406
2000-05-31,6.1875
2000-06-01,6.1953
2000-06-02,6.1797
2000-06-05,5.9375
2000-06-06,6.0781
2000-06-07,6.0234
2000-06-08,6.0391
2000-06-09,6.0938
2000-06-12,6.1016
2000-06-13,6.0469
2000-06-14,5.9609
2000-06-15,6.1016
2000-06-16,6.0625
2000-06-19,5.9219
2000-06-20,5.9688
2000-06-21,6.0938
2000-06-22,6.1328
2000-06-23,6.2188
2000-06-26,6.2266
2000-06-27,6.1875
2000-06-28,6.2891
2000-06-29,6.1406
2000-06-30,6.1875
2000-07-03,6.2266
2000-07-05,6.2031
2000-07-06,6.2813
2000-07-07,6.375
2000-07-10,6.625
2000-07-11,6.6484
2000-07-12,6.6797
2000-07-13,6.7656
2000-07-14,6.7813
2000-07-17,6.7344
2000-07-18,6.6016
2000-07-19,6.6875
2000-07-20,6.6484
2000-07-21,6.5938
2000-07-24,6.6094
2000-07-25,6.6797
2000-07-26,6.6094
2000-07-27,6.6094
2000-07-28,6.6016
2000-07-31,6.0313
2000-08-01,6.2891
2000-08-02,6.5313
2000-08-03,6.6563
2000-08-04,6.625
2000-08-07,6.7188
2000-08-08,6.7422
2000-08-09,6.5781
2000-08-10,6.5234
2000-08-11,6.6719
2000-08-14,6.6797
2000-08-15,6.6953
2000-08-16,6.8281
2000-08-17,6.8438
2000-08-18,6.875
2000-08-21,6.7891
2000-08-22,6.8047
2000-08-23,6.8359
2000-08-24,6.7578
2000-08-25,6.6953
2000-08-28,6.6484
2000-08-29,6.625
2000-08-30,6.6875
2000-08-31,6.6719
2000-09-01,6.7734
2000-09-05,6.8516
2000-09-06,7.0313
2000-09-07,7.1563
2000-09-08,7.2422
2000-09-11,7.3672
2000-09-12,7.5391
2000-09-13,7.625
2000-09-14,7.6484
2000-09-15,7.7734
2000-09-18,7.8203
2000-09-19,7.5703
2000-09-20,7.6016
2000-09-21,7.5781
2000-09-22,7.625
2000-09-25,7.7109
2000-09-26,7.9141
2000-09-27,7.9922
2000-09-28,7.9922
2000-09-29,8.2188
2000-10-02,8.5313
2000-10-03,8.0313
2000-10-04,7.9844
2000-10-05,7.7969
2000-10-06,7.9766
2000-10-09,8.0469
2000-10-10,8.1719
2000-10-11,8.25
2000-10-12,8.1484
2000-10-13,8.4375
2000-10-16,8.5
2000-10-17,8.4609
2000-10-18,8.4375
2000-10-19,8.125
2000-10-20,8.125
2000-10-23,8.1172
2000-10-24,7.9531
2000-10-25,7.8984
2000-10-26,7.7109
2000-10-27,8.0938
2000-10-30,8.2656
2000-10-31,8.25
2000-11-01,8.25
2000-11-02,8.0625
2000-11-03,7.9766
2000-11-06,8.0859
2000-11-07,8.0391
2000-11-08,8.0156
2000-11-09,8.125
2000-11-10,8.1563
2000-11-13,8.25
2000-11-14,8.1875
2000-11-15,8.25
2000-11-16,8.2969
2000-11-17,8.3438
2000-11-20,8.3828
2000-11-21,8.2891
2000-11-22,8.25
2000-11-24,8.1641
2000-11-27,8.1406
2000-11-28,8.2813
2000-11-29,8.2891
2000-11-30,8.2813
2000-12-01,8.2188
2000-12-04,8.1406
2000-12-05,8.1406
2000-12-06,8.125
2000-12-07,8.1328
2000-12-08,8.0859
2000-12-11,7.9375
2000-12-12,8.0625
2000-12-13,8.1563
2000-12-14,8.0156
2000-12-15,8.1953
2000-12-18,8.2969
2000-12-19,8.4609
2000-12-20,8.7578
2000-12-21,8.8594
2000-12-22,8.8516
2000-12-26,9.0625
2000-12-27,8.9922
2000-12-28,8.8438
2000-12-29,8.9688
2001-01-02,8.7813
2001-01-03,8.3906
2001-01-04,7.8906
2001-01-05,7.9219
2001-01-08,7.9609
2001-01-09,7.8984
2001-01-10,7.7969
2001-01-11,7.1797
2001-01-12,7.2969
2001-01-16,7.25
2001-01-17,7.4531
2001-01-18,7.4922
2001-01-19,7.3672
2001-01-22,7.6016
2001-01-23,7.5156
2001-01-24,7.5469
2001-01-25,7.5859
2001-01-26,7.5
2001-01-29,7.4875
2001-01-30,7.4688
2001-01-31,7.25
2001-02-01,7.1738
2001-02-02,7.29
2001-02-05,7.3125
2001-02-06,7.435
2001-02-07,7.4925
2001-02-08,7.625
2001-02-09,7.775
2001-02-12,7.715
2001-02-13,7.725
2001-02-14,7.725
2001-02-15,7.725
2001-02-16,7.8875
2001-02-20,8.0688
2001-02-21,8.1125
2001-02-22,8.0675
2001-02-23,8.0163
2001-02-26,8.0262
2001-02-27,8.2625
2001-02-28,8.1313
2001-03-01,8.1688
2001-03-02,8.17
2001-03-05,8.1538
2001-03-06,8.1188
2001-03-07,8.125
2001-03-08,8.1738
2001-03-09,8.1962
2001-03-12,8.125
2001-03-13,8.0625
2001-03-14,7.9963
2001-03-15,8.0813
2001-03-16,8.0313
2001-03-19,7.7263
2001-03-20,7.4713
2001-03-21,7.405
