,Close
2011-01-03,25.487
2011-01-04,25.91
2011-01-05,25.676
2011-01-06,25.414
2011-01-07,25.614
2011-01-10,26.84
2011-01-11,26.671
2011-01-12,26.986
2011-01-13,27.356
2011-01-14,27.354
2011-01-18,27.669
2011-01-19,27.267
2011-01-20,26.429
2011-01-21,26.013
2011-01-24,26.28
2011-01-25,26.677
2011-01-26,26.147
2011-01-27,30.127
2011-01-28,31.141
2011-01-31,30.583
2011-02-01,30.414
2011-02-02,30.18
2011-02-03,30.213
2011-02-04,31.453
2011-02-07,31.146
2011-02-08,31.097
2011-02-09,31.756
2011-02-10,31.886
2011-02-11,33.01
2011-02-14,35.364
2011-02-15,34.399
2011-02-16,33.971
2011-02-17,33.661
2011-02-18,33.664
2011-02-22,31.657
2011-02-23,30.171
2011-02-24,30.74
2011-02-25,30.349
2011-02-28,29.524
2011-03-01,29.337
2011-03-02,29.176
2011-03-03,29.053
2011-03-04,30.101
2011-03-07,29.629
2011-03-08,27.916
2011-03-09,27.57
2011-03-10,28.574
2011-03-11,29.234
2011-03-14,28.743
2011-03-15,31.016
2011-03-16,30.561
2011-03-17,30.557
2011-03-18,29.914
2011-03-21,30.406
2011-03-22,31.627
2011-03-23,32.723
2011-03-24,32.749
2011-03-25,32.859
2011-03-28,33.903
2011-03-29,33.911
2011-03-30,33.993
2011-03-31,33.904
2011-04-01,34.584
2011-04-04,34.96
2011-04-05,34.89
2011-04-06,34.281
2011-04-07,33.423
2011-04-08,33.551
2011-04-11,32.594
2011-04-12,33.417
2011-04-13,34.096
2011-04-14,33.819
2011-04-15,33.641
2011-04-18,33.35
2011-04-19,34.507
2011-04-20,34.909
2011-04-21,36.037
2011-04-25,35.953
2011-04-26,32.701
2011-04-27,33.709
2011-04-28,33.504
2011-04-29,33.239
2011-05-02,33.903
2011-05-03,33.034
2011-05-04,32.753
2011-05-05,32.901
2011-05-06,32.781
2011-05-09,33.773
2011-05-10,33.947
2011-05-11,34.381
2011-05-12,35.11
2011-05-13,35.217
2011-05-16,33.87
2011-05-17,33.849
2011-05-18,34.649
2011-05-19,34.676
2011-05-20,35.126
2011-05-23,35.404
2011-05-24,35.373
2011-05-25,37.067
2011-05-26,37.679
2011-05-27,37.787
2011-05-31,38.686
2011-06-01,38.174
2011-06-02,38.779
2011-06-03,39.097
2011-06-06,37.513
2011-06-07,37.68
2011-06-08,37.459
2011-06-09,37.51
2011-06-10,36.943
2011-06-13,36.746
2011-06-14,37.287
2011-06-15,36.75
2011-06-16,35.614
2011-06-17,35.099
2011-06-20,35.09
2011-06-21,36.236
2011-06-22,35.526
2011-06-23,36.531
2011-06-24,36.709
2011-06-27,37.16
2011-06-28,37.87
2011-06-29,37.849
2011-06-30,37.527
2011-07-01,38.28
2011-07-05,41.376
2011-07-06,41.566
2011-07-07,41.774
2011-07-08,42.163
2011-07-11,41.534
2011-07-12,41.62
2011-07-13,42.676
2011-07-14,40.946
2011-07-15,40.99
2011-07-18,39.857
2011-07-19,41.041
2011-07-20,40.2
2011-07-21,39.401
2011-07-22,39.511
2011-07-25,40.219
2011-07-26,38.121
2011-07-27,38.507
2011-07-28,38.089
2011-07-29,37.999
2011-08-01,37.626
2011-08-02,36.743
2011-08-03,37.143
2011-08-04,35.11
2011-08-05,34.444
2011-08-08,32.377
2011-08-09,33.971
2011-08-10,33.203
2011-08-11,34.733
2011-08-12,34.857
2011-08-15,35.183
2011-08-16,34.149
2011-08-17,33.177
2011-08-18,31.069
2011-08-19,29.316
2011-08-22,29.316
2011-08-23,31.363
2011-08-24,30.861
2011-08-25,30.833
2011-08-26,31.699
2011-08-29,32.157
2011-08-30,33.744
2011-08-31,33.573
2011-09-01,33.324
2011-09-02,30.444
2011-09-06,31.216
2011-09-07,30.857
2011-09-08,30.171
2011-09-09,29.139
2011-09-12,30.024
2011-09-13,29.821
2011-09-14,29.816
2011-09-15,24.186
2011-09-16,22.17
2011-09-19,20.536
2011-09-20,18.576
2011-09-21,18.357
2011-09-22,18.361
2011-09-23,18.48
2011-09-26,18.889
2011-09-27,18.213
2011-09-28,18.157
2011-09-29,16.17
2011-09-30,16.166
2011-10-03,16.179
2011-10-04,16.414
2011-10-05,17.109
2011-10-06,17.606
2011-10-07,16.744
2011-10-10,15.946
2011-10-11,15.523
2011-10-12,16.231
2011-10-13,16.716
2011-10-14,16.577
2011-10-17,16.761
2011-10-18,15.963
2011-10-19,15.631
2011-10-20,15.926
2011-10-21,16.72
2011-10-24,16.977
2011-10-25,11.053
2011-10-26,11.356
2011-10-27,11.551
2011-10-28,12.02
2011-10-31,11.726
2011-11-01,11.441
2011-11-02,11.913
2011-11-03,13.184
2011-11-04,12.86
2011-11-07,12.976
2011-11-08,12.924
2011-11-09,12.579
2011-11-10,12.16
2011-11-11,12.536
2011-11-14,12.246
2011-11-15,12.326
2011-11-16,11.597
2011-11-17,10.923
2011-11-18,11.151
2011-11-21,10.639
2011-11-22,10.064
2011-11-23,9.786
2011-11-25,9.124
2011-11-28,9.993
2011-11-29,9.653
2011-11-30,9.219
2011-12-01,9.596
2011-12-02,9.481
2011-12-05,10.017
2011-12-06,9.734
2011-12-07,10.28
2011-12-08,9.94
2011-12-09,10.127
2011-12-12,10.751
2011-12-13,10.301
2011-12-14,10.149
2011-12-15,9.96
2011-12-16,9.974
2011-12-19,9.593
2011-12-20,10.2
2011-12-21,10.139
2011-12-22,10.549
2011-12-23,10.374
2011-12-27,10.083
2011-12-28,9.886
2011-12-29,9.9
2011-12-30,9.899
2012-01-03,10.32
2012-01-04,11.493
2012-01-05,11.329
2012-01-06,12.327
2012-01-09,14.026
2012-01-10,13.69
2012-01-11,13.164
2012-01-12,13.164
2012-01-13,13.483
2012-01-17,13.531
2012-01-18,14.076
2012-01-19,14.78
2012-01-20,14.32
2012-01-23,13.423
2012-01-24,13.239
2012-01-25,13.577
2012-01-26,16.573
2012-01-27,17.684
2012-01-30,17.919
2012-01-31,17.171
2012-02-01,17.567
2012-02-02,17.714
2012-02-03,18.061
2012-02-06,18.464
2012-02-07,18.269
2012-02-08,17.714
2012-02-09,17.834
2012-02-10,17.704
2012-02-13,16.9
2012-02-14,17.581
2012-02-15,17.437
2012-02-16,17.429
2012-02-17,17.407
2012-02-21,16.771
2012-02-22,16.057
2012-02-23,16.141
2012-02-24,15.953
2012-02-27,15.63
2012-02-28,16.189
2012-02-29,15.819
2012-03-01,16.107
2012-03-02,16.443
2012-03-05,15.83
2012-03-06,15.304
2012-03-07,15.027
2012-03-08,15.439
2012-03-09,15.59
2012-03-12,15.171
2012-03-13,15.193
2012-03-14,15.036
2012-03-15,15.739
2012-03-16,15.709
2012-03-19,16.333
2012-03-20,16.431
2012-03-21,17.157
2012-03-22,16.96
2012-03-23,17.17
2012-03-26,17.427
2012-03-27,17.239
2012-03-28,16.972
2012-03-29,16.436
2012-03-30,16.434
2012-04-02,16.281
2012-04-03,16.137
2012-04-04,15.751
2012-04-05,15.786
2012-04-09,15.237
2012-04-10,14.56
2012-04-11,14.259
2012-04-12,14.894
2012-04-13,14.881
2012-04-16,14.45
2012-04-17,15.289
2012-04-18,15.28
2012-04-19,15.299
2012-04-20,15.159
2012-04-23,14.549
2012-04-24,12.526
2012-04-25,12.336
2012-04-26,12.153
2012-04-27,11.963
2012-04-30,11.449
2012-05-01,11.623
2012-05-02,11.747
2012-05-03,10.853
2012-05-04,10.446
2012-05-07,10.493
2012-05-08,10.399
2012-05-09,10.621
2012-05-10,10.346
2012-05-11,11.054
2012-05-14,10.994
2012-05-15,11.069
2012-05-16,10.6
2012-05-17,10.281
2012-05-18,9.994
2012-05-21,10.249
2012-05-22,9.673
2012-05-23,10.273
2012-05-24,10.039
2012-05-25,10.031
2012-05-29,9.92
2012-05-30,9.62
2012-05-31,9.063
2012-06-01,8.993
2012-06-04,9.286
2012-06-05,9.261
2012-06-06,9.411
2012-06-07,9.236
2012-06-08,9.377
2012-06-11,9.0
2012-06-12,9.003
2012-06-13,8.976
2012-06-14,8.951
2012-06-15,9.399
2012-06-18,9.533
2012-06-19,9.976
2012-06-20,9.74
2012-06-21,9.407
2012-06-22,9.694
2012-06-25,9.574
2012-06-26,9.543
2012-06-27,9.499
2012-06-28,9.623
2012-06-29,9.781
2012-07-02,9.693
2012-07-03,10.291
2012-07-05,11.674
2012-07-06,11.699
2012-07-09,11.856
2012-07-10,11.461
2012-07-11,11.663
2012-07-12,12.139
2012-07-13,12.129
2012-07-16,11.854
2012-07-17,11.683
2012-07-18,11.61
2012-07-19,11.877
2012-07-20,11.689
2012-07-23,11.42
