,Close
2000-01-03,6.0156
2000-01-04,5.6875
2000-01-05,6.0156
2000-01-06,5.9844
2000-01-07,5.9844
2000-01-10,6.0859
2000-01-11,6.3906
2000-01-12,6.1719
2000-01-13,6.25
2000-01-14,6.4141
2000-01-18,6.3281
2000-01-19,6.6016
2000-01-20,6.4453
2000-01-21,6.3359
2000-01-24,6.2109
2000-01-25,6.1094
2000-01-26,6.1875
2000-01-27,5.9063
2000-01-28,5.8672
2000-01-31,5.6875
2000-02-01,5.8359
2000-02-02,5.9297
2000-02-03,5.9844
2000-02-04,5.8359
2000-02-07,5.6563
2000-02-08,4.5859
2000-02-09,4.1563
2000-02-10,4.2109
2000-02-11,4.25
2000-02-14,4.0391
2000-02-15,3.8047
2000-02-16,3.6953
2000-02-17,3.625
2000-02-18,3.5156
2000-02-22,3.5313
2000-02-23,3.5078
2000-02-24,3.3828
2000-02-25,3.3203
2000-02-28,3.4844
2000-02-29,3.5547
2000-03-01,3.5156
2000-03-02,3.6797
2000-03-03,3.6719
2000-03-06,3.5625
2000-03-07,3.4609
2000-03-08,3.4063
2000-03-09,3.3438
2000-03-10,3.3594
2000-03-13,3.625
2000-03-14,3.6094
2000-03-15,4.1641
2000-03-16,4.2344
2000-03-17,4.0156
2000-03-20,4.125
2000-03-21,4.1719
2000-03-22,4.2188
2000-03-23,4.25
2000-03-24,4.2578
2000-03-27,4.4922
2000-03-28,4.5938
2000-03-29,4.9063
2000-03-30,4.8359
2000-03-31,4.9531
2000-04-03,5.0
2000-04-04,4.8672
2000-04-05,4.8984
2000-04-06,5.1953
2000-04-07,5.3672
2000-04-10,5.375
2000-04-11,5.6406
2000-04-12,5.5625
2000-04-13,5.4922
2000-04-14,5.3125
2000-04-17,5.25
2000-04-18,5.2969
2000-04-19,5.5078
2000-04-20,5.4922
2000-04-24,5.3984
2000-04-25,5.7031
2000-04-26,5.4844
2000-04-27,5.4141
2000-04-28,5.4297
2000-05-01,5.8203
2000-05-02,5.6563
2000-05-03,5.2969
2000-05-04,5.3438
2000-05-05,5.3438
2000-05-08,5.3828
2000-05-09,5.3906
2000-05-10,5.2813
2000-05-11,5.3359
2000-05-12,5.3516
2000-05-15,5.5156
