,Close
2019-01-02,34.22
2019-01-03,31.58
2019-01-04,33.96
2019-01-07,36.62
2019-01-08,40.68
2019-01-09,41.18
2019-01-10,41.47
2019-01-11,41.01
2019-01-14,41.52
2019-01-15,44.52
2019-01-16,44.62
2019-01-17,45.42
2019-01-18,46.2
2019-01-22,44.76
2019-01-23,43.95
2019-01-24,43.23
2019-01-25,43.92
2019-01-28,42.99
2019-01-29,42.51
2019-01-30,43.1
2019-01-31,42.34
2019-02-01,42.24
2019-02-04,42.5
2019-02-05,43.75
2019-02-06,44.34
2019-02-07,43.82
2019-02-08,44.89
2019-02-11,46.35
2019-02-12,42.26
2019-02-13,42.25
2019-02-14,42.62
2019-02-15,41.69
2019-02-19,42.81
2019-02-20,43.03
2019-02-21,40.26
2019-02-22,40.05
2019-02-25,40.98
2019-02-26,41.03
2019-02-27,41.03
2019-02-28,40.54
2019-03-01,38.13
2019-03-04,38.3
2019-03-05,38.4
2019-03-06,36.39
2019-03-07,35.82
2019-03-08,35.13
2019-03-11,35.45
2019-03-12,36.21
2019-03-13,37.66
2019-03-14,36.32
2019-03-15,35.53
2019-03-18,34.93
2019-03-19,34.41
2019-03-20,32.61
2019-03-21,33.48
2019-03-22,32.17
2019-03-25,32.37
2019-03-26,32.32
2019-03-27,31.78
2019-03-28,32.69
2019-03-29,33.6
2019-04-01,33.24
2019-04-02,33.7
2019-04-03,35.29
2019-04-04,35.29
2019-04-05,36.3
2019-04-08,35.98
2019-04-09,35.45
2019-04-10,35.83
2019-04-11,35.75
2019-04-12,35.15
2019-04-15,33.49
2019-04-16,33.38
2019-04-17,31.19
2019-04-18,31.68
2019-04-22,31.0
2019-04-23,31.62
2019-04-24,31.13
2019-04-25,31.78
2019-04-26,32.26
2019-04-29,32.33
2019-04-30,32.02
2019-05-01,31.64
2019-05-02,32.14
2019-05-03,32.22
2019-05-06,32.69
2019-05-07,32.08
2019-05-08,32.98
2019-05-09,35.45
2019-05-10,34.79
2019-05-13,32.61
2019-05-14,33.75
2019-05-15,33.9
2019-05-16,31.34
2019-05-17,32.02
2019-05-20,32.15
2019-05-21,33.42
2019-05-22,33.47
2019-05-23,33.07
2019-05-24,33.79
2019-05-28,32.12
2019-05-29,32.54
2019-05-30,32.11
2019-05-31,31.32
2019-06-03,34.06
2019-06-04,32.92
2019-06-05,33.64
2019-06-06,32.98
2019-06-07,33.0
2019-06-10,33.13
2019-06-11,33.27
2019-06-12,33.63
2019-06-13,34.03
2019-06-14,33.4
2019-06-17,33.7
2019-06-18,35.17
2019-06-19,35.34
2019-06-20,35.39
2019-06-21,34.86
2019-06-24,33.89
2019-06-25,34.62
2019-06-26,33.29
2019-06-27,34.68
2019-06-28,35.58
2019-07-01,35.83
2019-07-02,36.13
2019-07-03,36.27
2019-07-05,35.14
2019-07-08,34.18
2019-07-09,34.84
2019-07-10,34.79
2019-07-11,33.53
2019-07-12,33.72
2019-07-15,33.21
2019-07-16,32.49
2019-07-17,31.98
2019-07-18,32.07
2019-07-19,31.97
2019-07-22,32.34
2019-07-23,32.09
2019-07-24,32.12
2019-07-25,29.99
2019-07-26,31.12
2019-07-29,29.27
2019-07-30,29.28
2019-07-31,28.46
2019-08-01,31.19
2019-08-02,31.09
2019-08-05,28.8
2019-08-06,28.76
2019-08-07,28.8
2019-08-08,29.57
2019-08-09,20.92
2019-08-12,18.58
2019-08-13,18.85
2019-08-14,18.72
2019-08-15,18.19
2019-08-16,18.1
2019-08-19,17.87
2019-08-20,17.11
2019-08-21,17.01
2019-08-22,16.98
2019-08-23,16.99
2019-08-26,17.29
2019-08-27,16.91
2019-08-28,17.46
2019-08-29,17.36
2019-08-30,17.57
2019-09-03,16.91
2019-09-04,16.96
2019-09-05,17.37
2019-09-06,17.01
2019-09-09,17.86
2019-09-10,19.91
2019-09-11,20.02
2019-09-12,19.94
2019-09-13,20.11
2019-09-16,21.22
2019-09-17,20.7
2019-09-18,20.1
2019-09-19,20.22
2019-09-20,20.15
2019-09-23,19.925
2019-09-24,18.91
2019-09-25,18.8
2019-09-26,17.56
2019-09-27,17.9
2019-09-30,18.215
2019-10-01,18.43
2019-10-02,17.33
2019-10-03,18.2
2019-10-04,18.965
2019-10-07,18.67
2019-10-08,16.18
2019-10-09,16.71
2019-10-10,16.13
2019-10-11,17.09
2019-10-14,15.87
2019-10-15,17.295
2019-10-16,17.54
2019-10-17,17.77
2019-10-18,17.27
2019-10-21,17.73
2019-10-22,17.2
2019-10-23,16.77
2019-10-24,16.47
2019-10-25,16.68
2019-10-28,17.7
2019-10-29,17.62
2019-10-30,17.55
2019-10-31,17.125
2019-11-01,18.31
2019-11-04,18.47
2019-11-05,18.54
2019-11-06,18.1
2019-11-07,18.7
2019-11-08,20.04
2019-11-11,20.98
2019-11-12,20.345
2019-11-13,19.94
2019-11-14,19.43
2019-11-15,19.65
2019-11-18,18.01
2019-11-19,18.31
2019-11-20,19.93
2019-11-21,20.115
2019-11-22,21.07
2019-11-25,21.185
2019-11-26,20.47
2019-11-27,20.54
2019-11-29,20.29
2019-12-02,19.48
2019-12-03,19.455
2019-12-04,20.295
2019-12-05,19.86
2019-12-06,20.45
2019-12-09,23.115
2019-12-10,22.45
2019-12-11,21.6
2019-12-12,21.79
2019-12-13,21.27
2019-12-16,20.92
2019-12-17,21.47
2019-12-18,21.285
2019-12-19,21.62
2019-12-20,21.32
2019-12-23,21.85
2019-12-24,22.33
2019-12-26,21.98
2019-12-27,21.57
2019-12-30,20.77
2019-12-31,21.585
