,Close
2000-01-03,51.75
2000-01-04,47.5625
2000-01-05,46.2813
2000-01-06,48.6875
2000-01-07,49.9375
2000-01-10,48.5
2000-01-11,47.625
2000-01-12,51.0313
2000-01-13,51.5
2000-01-14,52.9688
2000-01-18,57.625
2000-01-19,59.5625
2000-01-20,62.0625
2000-01-21,60.0
2000-01-24,55.9688
2000-01-25,55.25
2000-01-26,57.5313
2000-01-27,56.75
2000-01-28,53.3438
2000-01-31,53.1875
2000-02-01,55.4688
2000-02-02,56.0938
2000-02-03,58.0938
2000-02-04,58.9375
2000-02-07,59.7188
2000-02-08,64.5625
2000-02-09,62.3438
2000-02-10,64.9688
2000-02-11,62.4375
2000-02-14,62.6875
2000-02-15,62.5
2000-02-16,60.375
2000-02-17,62.4688
2000-02-18,59.3438
2000-02-22,65.5
2000-02-23,66.875
2000-02-24,70.2188
2000-02-25,69.0313
2000-02-28,67.75
2000-02-29,68.375
2000-03-01,66.625
2000-03-02,62.9375
2000-03-03,67.4375
2000-03-06,66.5313
2000-03-07,67.9063
2000-03-08,68.5
2000-03-09,76.4688
2000-03-10,79.8125
2000-03-13,79.5938
2000-03-14,72.7813
2000-03-15,66.0625
2000-03-16,72.5
2000-03-17,76.875
2000-03-20,70.8125
2000-03-21,74.3125
2000-03-22,76.1563
2000-03-23,79.5313
2000-03-24,77.0938
2000-03-27,78.6875
2000-03-28,75.4063
2000-03-29,74.5313
2000-03-30,74.0
2000-03-31,74.125
2000-04-03,71.3125
2000-04-04,67.9063
2000-04-05,62.9375
2000-04-06,63.2813
2000-04-07,71.2188
2000-04-10,65.875
2000-04-11,64.125
2000-04-12,55.3516
2000-04-13,56.7813
2000-04-14,52.4375
2000-04-17,54.9688
2000-04-18,59.2813
2000-04-19,58.5703
2000-04-20,55.0
2000-04-24,49.7813
2000-04-25,55.7813
2000-04-26,51.875
2000-04-27,56.0313
2000-04-28,54.7188
2000-05-01,57.3125
2000-05-02,55.2813
2000-05-03,54.25
2000-05-04,56.9688
2000-05-05,59.875
2000-05-08,58.125
2000-05-09,54.75
2000-05-10,49.9688
2000-05-11,48.9063
2000-05-12,46.4375
2000-05-15,50.25
2000-05-16,54.3438
2000-05-17,50.0
2000-05-18,51.5
2000-05-19,45.9688
2000-05-22,44.5
2000-05-23,38.0313
2000-05-24,41.0
2000-05-25,42.6875
2000-05-26,41.0625
2000-05-30,46.6875
2000-05-31,46.3125
2000-06-01,46.5
2000-06-02,50.6563
2000-06-05,53.4375
2000-06-06,51.25
2000-06-07,54.75
2000-06-08,52.875
2000-06-09,57.375
2000-06-12,58.875
2000-06-13,62.25
2000-06-14,58.6875
2000-06-15,62.8125
2000-06-16,67.625
2000-06-19,68.4375
2000-06-20,64.0625
2000-06-21,63.3125
2000-06-22,58.8125
2000-06-23,53.6875
2000-06-26,58.625
2000-06-27,60.0625
2000-06-28,61.1875
2000-06-29,56.0625
2000-06-30,61.1875
2000-07-03,59.1875
2000-07-05,57.1875
2000-07-06,61.5625
2000-07-07,62.4375
2000-07-10,64.125
2000-07-11,65.875
2000-07-12,69.5
2000-07-13,69.6875
2000-07-14,72.3125
2000-07-17,68.8125
2000-07-18,67.0
2000-07-19,67.75
2000-07-20,72.5
2000-07-21,69.8125
2000-07-24,63.125
2000-07-25,68.375
2000-07-26,64.0
2000-07-27,58.875
2000-07-28,55.875
2000-07-31,55.9375
2000-08-01,54.0
2000-08-02,53.75
2000-08-03,59.6875
2000-08-04,57.0
2000-08-07,57.625
2000-08-08,55.375
2000-08-09,54.25
2000-08-10,52.75
2000-08-11,54.1875
2000-08-14,54.8125
2000-08-15,54.75
2000-08-16,54.0
2000-08-17,57.6875
2000-08-18,57.25
2000-08-21,56.3125
2000-08-22,55.6875
2000-08-23,55.5
2000-08-24,53.9375
2000-08-25,51.125
2000-08-28,51.375
2000-08-29,48.375
2000-08-30,51.0625
2000-08-31,55.4375
2000-09-01,53.5
2000-09-05,51.3906
2000-09-06,50.0625
2000-09-07,53.0
2000-09-08,53.6875
2000-09-11,50.75
2000-09-12,51.375
2000-09-13,52.875
2000-09-14,51.1875
2000-09-15,50.875
2000-09-18,47.3125
2000-09-19,47.0
2000-09-20,44.3125
2000-09-21,46.9375
2000-09-22,47.9375
2000-09-25,46.5625
2000-09-26,44.8125
2000-09-27,44.1875
2000-09-28,46.5625
2000-09-29,46.75
2000-10-02,42.1875
2000-10-03,40.6875
2000-10-04,43.8125
2000-10-05,38.4375
2000-10-06,39.125
2000-10-09,39.6875
2000-10-10,37.25
2000-10-11,37.3125
2000-10-12,35.625
2000-10-13,38.25
2000-10-16,34.5
2000-10-17,31.1875
2000-10-18,33.0625
2000-10-19,37.3125
2000-10-20,37.875
2000-10-23,38.9375
2000-10-24,38.8125
2000-10-25,36.125
2000-10-26,28.8125
2000-10-27,34.875
2000-10-30,34.375
2000-10-31,38.4375
2000-11-01,36.75
2000-11-02,36.9375
2000-11-03,33.0625
2000-11-06,30.9375
2000-11-07,32.0625
2000-11-08,31.375
2000-11-09,31.0
2000-11-10,30.0625
2000-11-13,32.3125
2000-11-14,34.8125
2000-11-15,38.0
2000-11-16,35.8125
2000-11-17,33.5625
2000-11-20,36.3125
2000-11-21,33.5625
2000-11-22,32.0625
2000-11-24,34.875
2000-11-27,33.6875
2000-11-28,29.9063
2000-11-29,30.0
2000-11-30,31.0
2000-12-01,29.125
2000-12-04,28.25
2000-12-05,32.3125
