,Close
2020-01-02,128.02
2020-01-03,126.4933
2020-01-06,125.4933
2020-01-07,125.8533
2020-01-08,126.4467
2020-01-09,129.3467
2020-01-10,131.3133
2020-01-13,133.74
2020-01-14,136.0
2020-01-15,137.38
2020-01-16,139.3267
2020-01-17,138.96
2020-01-21,136.9467
2020-01-22,135.2
2020-01-23,136.9133
2020-01-24,136.3133
2020-01-27,133.7933
2020-01-28,134.2533
2020-01-29,135.28
2020-01-30,135.74
2020-01-31,130.82
2020-02-03,132.5667
2020-02-04,136.22
2020-02-05,137.9667
2020-02-06,145.2333
2020-02-07,147.06
2020-02-10,146.8067
2020-02-11,146.2933
2020-02-12,148.58
2020-02-13,148.6533
2020-02-14,147.94
2020-02-18,148.36
2020-02-19,150.0267
2020-02-20,150.48
2020-02-21,148.3667
2020-02-24,144.2667
2020-02-25,139.2867
2020-02-26,137.52
2020-02-27,132.1333
2020-02-28,129.2
2020-03-02,133.3867
2020-03-03,129.4667
2020-03-04,137.3533
2020-03-05,134.3667
2020-03-06,132.2933
2020-03-09,121.1333
2020-03-10,127.1733
2020-03-11,120.0
2020-03-12,111.5867
2020-03-13,118.62
2020-03-16,107.3267
2020-03-17,113.5667
2020-03-18,112.6733
2020-03-19,108.0667
2020-03-20,112.4533
2020-03-23,114.5733
2020-03-24,125.2467
2020-03-25,135.53
2020-03-26,140.6
2020-03-27,128.33
2020-03-30,134.67
2020-03-31,131.26
2020-04-01,122.33
2020-04-02,124.21
2020-04-03,122.51
2020-04-06,138.18
2020-04-07,142.64
2020-04-08,138.3
2020-04-09,135.15
2020-04-13,129.89
2020-04-14,133.5
2020-04-15,132.76
2020-04-16,136.17
2020-04-17,136.65
2020-04-20,129.89
2020-04-21,124.17
2020-04-22,128.25
2020-04-23,141.25
2020-04-24,141.63
2020-04-27,142.6
2020-04-28,144.49
2020-04-29,148.61
2020-04-30,145.29
2020-05-01,147.03
2020-05-04,148.07
2020-05-05,153.64
2020-05-06,152.29
2020-05-07,149.71
2020-05-08,152.76
2020-05-11,155.75
2020-05-12,154.54
2020-05-13,149.56
2020-05-14,148.15
2020-05-15,149.05
2020-05-18,154.45
2020-05-19,153.34
2020-05-20,155.51
2020-05-21,155.91
2020-05-22,158.79
2020-05-26,164.2
2020-05-27,166.79
2020-05-28,165.78
2020-05-29,171.09
2020-06-01,168.0
2020-06-02,165.58
2020-06-03,166.5
2020-06-04,165.94
2020-06-05,169.63
2020-06-08,166.87
2020-06-09,163.88
2020-06-10,165.31
2020-06-11,157.25
2020-06-12,157.88
2020-06-15,162.18
2020-06-16,162.27
2020-06-17,163.36
2020-06-18,164.68
2020-06-19,168.21
2020-06-22,163.5
2020-06-23,164.97
2020-06-24,163.34
2020-06-25,163.01
2020-06-26,163.0
2020-06-29,164.67
2020-06-30,169.59
2020-07-01,168.36
2020-07-02,170.87
2020-07-06,175.88
2020-07-07,175.63
2020-07-08,176.87
2020-07-09,176.42
2020-07-10,176.88
2020-07-13,172.29
2020-07-14,177.73
2020-07-15,179.36
2020-07-16,180.97
2020-07-17,186.43
2020-07-20,187.59
2020-07-21,187.44
2020-07-22,186.25
2020-07-23,184.12
2020-07-24,182.24
2020-07-27,185.29
2020-07-28,182.4
2020-07-29,182.32
2020-07-30,180.21
2020-07-31,182.82
2020-08-03,182.42
2020-08-04,185.01
2020-08-05,185.4
2020-08-06,187.19
2020-08-07,185.98
2020-08-10,186.98
2020-08-11,187.95
2020-08-12,192.35
2020-08-13,192.5
2020-08-14,191.56
2020-08-17,193.27
2020-08-18,195.4
2020-08-19,195.99
2020-08-20,195.82
2020-08-21,197.25
2020-08-24,198.83
2020-08-25,197.67
2020-08-26,199.0
2020-08-27,199.07
2020-08-28,200.32
2020-08-31,202.18
2020-09-01,204.13
2020-09-02,203.61
2020-09-03,198.72
2020-09-04,196.26
2020-09-08,194.28
2020-09-09,199.04
2020-09-10,194.57
2020-09-11,195.64
2020-09-14,193.15
2020-09-15,197.46
2020-09-16,190.08
2020-09-17,190.5
2020-09-18,184.07
2020-09-21,178.61
2020-09-22,180.72
2020-09-23,182.18
2020-09-24,183.93
2020-09-25,182.41
2020-09-28,187.35
2020-09-29,185.11
2020-09-30,180.92
2020-10-01,182.77
2020-10-02,184.56
2020-10-05,188.46
2020-10-06,189.11
2020-10-07,192.93
2020-10-08,197.11
2020-10-09,199.76
2020-10-12,200.76
2020-10-13,200.61
2020-10-14,202.51
2020-10-15,204.01
2020-10-16,200.58
2020-10-19,196.9
2020-10-20,199.12
2020-10-21,196.28
2020-10-22,196.16
2020-10-23,200.62
2020-10-26,198.41
2020-10-27,189.59
2020-10-28,186.66
2020-10-29,190.35
2020-10-30,190.37
2020-11-02,193.75
2020-11-03,198.14
2020-11-04,200.4
2020-11-05,206.17
2020-11-06,207.02
2020-11-09,199.29
2020-11-10,197.48
2020-11-11,198.0
2020-11-12,197.27
2020-11-13,202.75
2020-11-16,206.11
2020-11-17,205.93
2020-11-18,204.5
2020-11-19,205.53
2020-11-20,205.62
2020-11-23,202.24
2020-11-24,203.47
2020-11-25,202.91
2020-11-27,201.99
2020-11-30,203.36
2020-12-01,211.04
2020-12-02,204.83
2020-12-03,207.01
2020-12-04,209.25
2020-12-07,208.08
2020-12-08,210.14
2020-12-09,202.77
2020-12-10,198.7
2020-12-11,200.79
2020-12-14,195.35
2020-12-15,198.28
2020-12-16,195.0
2020-12-17,196.06
2020-12-18,199.54
2020-12-21,197.82
2020-12-22,198.66
2020-12-23,196.83
2020-12-24,198.25
2020-12-28,194.91
2020-12-29,194.13
2020-12-30,193.62
2020-12-31,195.18
2021-01-04,190.69
2021-01-05,191.75
2021-01-06,193.3
2021-01-07,201.96
2021-01-08,205.56
2021-01-11,202.34
2021-01-12,203.35
2021-01-13,200.96
2021-01-14,207.51
2021-01-15,207.39
2021-01-19,207.51
2021-01-20,208.96
2021-01-21,207.72
2021-01-22,204.61
2021-01-25,211.12
2021-01-26,207.54
2021-01-27,194.33
2021-01-28,199.02
2021-01-29,194.0
2021-02-01,199.1
2021-02-02,204.57
2021-02-03,197.75
2021-02-04,204.36
2021-02-05,209.45
2021-02-08,212.25
2021-02-09,215.52
2021-02-10,208.99
2021-02-11,208.04
2021-02-12,212.21
2021-02-16,210.19
2021-02-17,207.99
2021-02-18,211.79
2021-02-19,215.64
2021-02-22,211.76
2021-02-23,211.62
2021-02-24,217.31
2021-02-25,215.53
2021-02-26,214.77
2021-03-01,220.72
2021-03-02,222.41
2021-03-03,222.76
2021-03-04,215.02
2021-03-05,219.85
2021-03-08,218.65
2021-03-09,223.82
2021-03-10,225.93
2021-03-11,229.67
2021-03-12,233.81
2021-03-15,231.99
2021-03-16,228.98
2021-03-17,227.92
2021-03-18,230.1
2021-03-19,230.61
2021-03-22,231.25
2021-03-23,231.65
2021-03-24,234.11
2021-03-25,231.76
2021-03-26,235.75
2021-03-29,235.34
2021-03-30,240.61
2021-03-31,240.41
2021-04-01,243.69
2021-04-05,246.3
2021-04-06,244.59
2021-04-07,243.4
2021-04-08,244.98
2021-04-09,249.28
2021-04-12,249.02
2021-04-13,248.33
2021-04-14,247.89
2021-04-15,250.09
2021-04-16,251.37
2021-04-19,247.91
2021-04-20,247.64
2021-04-21,246.7
2021-04-22,250.75
2021-04-23,257.76
2021-04-26,253.49
2021-04-27,258.36
2021-04-28,257.22
2021-04-29,259.31
2021-04-30,257.81
2021-05-03,261.67
2021-05-04,264.75
2021-05-05,264.13
2021-05-06,264.96
2021-05-07,269.57
2021-05-10,270.13
2021-05-11,264.14
2021-05-12,256.38
2021-05-13,263.97
2021-05-14,269.57
2021-05-17,270.23
2021-05-18,265.02
2021-05-19,264.15
2021-05-20,264.6
2021-05-21,262.94
2021-05-24,264.69
2021-05-25,261.33
2021-05-26,262.67
2021-05-27,264.32
2021-05-28,265.45
2021-06-01,267.85
2021-06-02,263.42
2021-06-03,264.18
2021-06-04,260.27
2021-06-07,254.29
2021-06-08,255.4
2021-06-09,249.77
2021-06-10,248.41
2021-06-11,251.03
2021-06-14,250.13
2021-06-15,253.41
2021-06-16,252.44
2021-06-17,249.19
2021-06-18,246.35
2021-06-21,251.4
2021-06-22,252.93
2021-06-23,252.96
