,Close
2022-01-03,31.16
2022-01-04,31.52
2022-01-05,31.1
2022-01-06,31.51
2022-01-07,32.41
2022-01-10,32.21
2022-01-11,32.75
2022-01-12,32.61
2022-01-13,32.9
2022-01-14,32.86
2022-01-18,32.07
2022-01-19,32.24
2022-01-20,31.82
2022-01-21,30.97
2022-01-24,30.45
2022-01-25,30.71
2022-01-26,30.73
2022-01-27,30.7
2022-01-28,31.45
2022-01-31,31.91
2022-02-01,32.99
2022-02-02,33.33
2022-02-03,32.92
2022-02-04,33.12
2022-02-07,33.52
2022-02-08,33.75
2022-02-09,34.59
2022-02-10,34.45
2022-02-11,34.72
2022-02-14,34.38
2022-02-15,35.22
2022-02-16,36.34
2022-02-17,36.37
2022-02-18,36.09
2022-02-22,35.98
2022-02-23,35.5
2022-02-24,36.03
2022-02-25,37.57
2022-02-28,37.33
2022-03-01,37.46
2022-03-02,39.36
2022-03-03,39.02
2022-03-04,38.82
2022-03-07,38.42
2022-03-08,36.65
2022-03-09,36.46
2022-03-10,35.98
2022-03-11,35.83
2022-03-14,32.36
2022-03-15,32.29
2022-03-16,32.9
2022-03-17,34.34
2022-03-18,35.08
2022-03-21,34.77
2022-03-22,35.35
2022-03-23,35.34
2022-03-24,35.3
2022-03-25,34.99
2022-03-28,35.17
2022-03-29,35.32
2022-03-30,35.81
2022-03-31,34.93
2022-04-01,35.15
2022-04-04,34.72
2022-04-05,35.4
2022-04-06,36.2
2022-04-07,36.2
2022-04-08,35.87
2022-04-11,35.18
2022-04-12,34.99
2022-04-13,34.98
2022-04-14,34.9
2022-04-18,33.38
2022-04-19,33.95
2022-04-20,33.35
2022-04-21,32.77
2022-04-22,32.26
2022-04-25,32.51
2022-04-26,31.66
2022-04-27,32.42
2022-04-28,33.0
2022-04-29,32.33
2022-05-02,32.08
2022-05-03,32.44
2022-05-04,33.19
2022-05-05,34.87
2022-05-06,34.77
2022-05-09,34.72
2022-05-10,34.76
2022-05-11,33.35
2022-05-12,34.63
2022-05-13,34.94
2022-05-16,35.43
2022-05-17,36.73
2022-05-18,35.96
2022-05-19,36.57
2022-05-20,37.64
2022-05-23,37.53
2022-05-24,37.52
2022-05-25,38.1
2022-05-26,38.56
2022-05-27,38.9
2022-05-31,37.96
2022-06-01,37.75
2022-06-02,37.33
2022-06-03,37.18
2022-06-06,37.47
2022-06-07,37.81
2022-06-08,37.61
2022-06-09,36.39
2022-06-10,35.46
2022-06-13,34.2
2022-06-14,33.13
2022-06-15,33.59
2022-06-16,32.81
2022-06-17,33.17
2022-06-21,32.88
2022-06-22,33.59
2022-06-23,34.92
2022-06-24,35.86
2022-06-27,35.43
2022-06-28,34.79
2022-06-29,34.57
2022-06-30,33.75
2022-07-01,34.25
2022-07-05,34.2
2022-07-06,33.29
2022-07-07,33.05
2022-07-08,32.75
2022-07-11,32.7
2022-07-12,32.86
2022-07-13,32.28
2022-07-14,31.85
2022-07-15,31.97
2022-07-18,31.2
2022-07-19,31.57
2022-07-20,31.66
2022-07-21,31.76
2022-07-22,31.96
2022-07-25,32.8
2022-07-26,32.9
2022-07-27,32.64
2022-07-28,32.45
2022-07-29,31.72
2022-08-01,31.83
2022-08-02,31.77
2022-08-03,32.57
2022-08-04,32.41
2022-08-05,31.5
2022-08-08,31.54
2022-08-09,31.39
2022-08-10,31.52
2022-08-11,31.69
2022-08-12,30.99
2022-08-15,31.01
2022-08-16,31.18
2022-08-17,30.87
2022-08-18,30.73
2022-08-19,30.66
2022-08-22,30.37
2022-08-23,29.92
2022-08-24,30.06
2022-08-25,30.34
2022-08-26,29.69
2022-08-29,29.35
2022-08-30,28.66
2022-08-31,28.53
2022-09-01,28.81
2022-09-02,28.5
2022-09-06,28.71
2022-09-07,28.96
2022-09-08,29.36
2022-09-09,29.83
2022-09-12,29.71
2022-09-13,28.73
2022-09-14,28.62
2022-09-15,28.75
2022-09-16,28.61
2022-09-19,28.3
2022-09-20,27.3
2022-09-21,26.8
2022-09-22,26.29
2022-09-23,25.75
2022-09-26,25.15
2022-09-27,24.26
2022-09-28,24.51
2022-09-29,23.55
2022-09-30,23.4
2022-10-03,24.07
2022-10-04,25.71
2022-10-05,25.63
2022-10-06,24.76
2022-10-07,24.01
2022-10-10,23.67
2022-10-11,23.5
2022-10-12,23.65
2022-10-13,24.03
2022-10-14,23.31
2022-10-17,23.81
2022-10-18,24.17
2022-10-19,23.8
2022-10-20,23.56
2022-10-21,23.68
2022-10-24,24.04
2022-10-25,24.73
2022-10-26,25.29
2022-10-27,25.95
2022-10-28,26.18
2022-10-31,26.18
2022-11-01,26.39
