,Close
2000-01-03,39.875
2000-01-04,39.3125
2000-01-05,40.875
2000-01-06,42.6875
2000-01-07,41.375
2000-01-10,42.0625
2000-01-11,42.0625
2000-01-12,43.4375
2000-01-13,43.1875
2000-01-14,43.5
2000-01-18,41.0
2000-01-19,40.9375
2000-01-20,39.3125
2000-01-21,38.125
2000-01-24,36.0625
2000-01-25,35.625
2000-01-26,35.3125
2000-01-27,35.4375
2000-01-28,36.0625
2000-01-31,35.375
2000-02-01,34.5
2000-02-02,34.4375
2000-02-03,33.8125
2000-02-04,33.375
2000-02-07,32.25
2000-02-08,33.0625
2000-02-09,31.9375
2000-02-10,33.5625
2000-02-11,33.0625
2000-02-14,32.625
2000-02-15,34.1875
2000-02-16,33.8125
2000-02-17,33.0625
2000-02-18,31.625
2000-02-22,31.125
2000-02-23,29.125
2000-02-24,31.75
2000-02-25,29.5625
2000-02-28,29.1875
2000-02-29,29.8125
2000-03-01,28.625
2000-03-02,27.9375
2000-03-03,28.875
2000-03-06,28.4375
2000-03-07,26.5625
2000-03-08,28.1875
2000-03-09,27.4375
2000-03-10,28.1875
2000-03-13,28.25
2000-03-14,27.5625
2000-03-15,29.6875
2000-03-16,32.5
2000-03-17,31.125
2000-03-20,31.8125
2000-03-21,31.875
2000-03-22,30.4375
2000-03-23,31.875
2000-03-24,31.8125
2000-03-27,32.0625
2000-03-28,31.5625
2000-03-29,32.5
2000-03-30,32.25
2000-03-31,34.75
2000-04-03,34.875
2000-04-04,34.0625
2000-04-05,32.6875
2000-04-06,32.375
2000-04-07,32.1875
2000-04-10,33.5
2000-04-11,34.5
2000-04-12,33.6875
2000-04-13,33.25
2000-04-14,30.75
2000-04-17,31.1875
2000-04-18,31.0
2000-04-19,31.375
2000-04-20,32.375
2000-04-24,31.6875
2000-04-25,33.75
2000-04-26,33.6875
2000-04-27,32.5625
2000-04-28,32.5625
2000-05-01,33.5625
2000-05-02,34.3125
2000-05-03,33.3125
2000-05-04,32.875
2000-05-05,33.375
2000-05-08,32.9375
2000-05-09,33.375
2000-05-10,36.0
2000-05-11,35.5
2000-05-12,34.125
2000-05-15,37.0
2000-05-16,35.875
2000-05-17,36.5
2000-05-18,36.0
2000-05-19,36.4375
2000-05-22,35.0
2000-05-23,32.8125
2000-05-24,31.375
2000-05-25,29.75
2000-05-26,29.375
2000-05-30,28.9375
2000-05-31,29.125
2000-06-01,29.1875
2000-06-02,29.125
2000-06-05,28.9375
2000-06-06,28.3125
2000-06-07,26.875
2000-06-08,27.0625
2000-06-09,27.1875
2000-06-12,26.9375
2000-06-13,25.625
2000-06-14,27.75
2000-06-15,26.375
2000-06-16,27.0
2000-06-19,26.0
2000-06-20,25.5625
2000-06-21,25.5625
2000-06-22,25.8125
2000-06-23,25.75
2000-06-26,25.0625
2000-06-27,26.1875
2000-06-28,26.0
2000-06-29,26.4375
2000-06-30,25.875
2000-07-03,26.6875
2000-07-05,26.3125
2000-07-06,26.0625
2000-07-07,26.8125
2000-07-10,27.875
2000-07-11,29.25
2000-07-12,28.625
2000-07-13,29.5
2000-07-14,28.5
2000-07-17,29.8125
2000-07-18,29.1875
2000-07-19,29.25
2000-07-20,28.6875
2000-07-21,29.25
2000-07-24,28.625
2000-07-25,28.1875
2000-07-26,27.5
2000-07-27,27.5
2000-07-28,27.125
2000-07-31,27.625
2000-08-01,28.875
2000-08-02,28.875
2000-08-03,28.625
2000-08-04,28.4375
2000-08-07,28.625
2000-08-08,29.875
2000-08-09,30.5
2000-08-10,30.3125
2000-08-11,30.75
2000-08-14,30.125
2000-08-15,30.125
2000-08-16,30.0625
2000-08-17,29.625
2000-08-18,30.5625
2000-08-21,29.1875
2000-08-22,28.6875
2000-08-23,27.9375
2000-08-24,28.6875
2000-08-25,29.375
2000-08-28,28.8125
2000-08-29,28.75
2000-08-30,29.0625
2000-08-31,29.875
2000-09-01,29.8125
2000-09-05,30.5
2000-09-06,31.0625
2000-09-07,29.875
2000-09-08,28.8125
2000-09-11,28.875
2000-09-12,28.5625
2000-09-13,28.5
2000-09-14,28.0
2000-09-15,27.5
2000-09-18,27.8125
2000-09-19,26.875
2000-09-20,26.625
2000-09-21,26.5
2000-09-22,26.1875
2000-09-25,25.6875
2000-09-26,24.9375
2000-09-27,24.75
2000-09-28,26.1875
2000-09-29,26.5625
2000-10-02,25.625
2000-10-03,26.8125
2000-10-04,27.5
2000-10-05,26.5
2000-10-06,25.875
2000-10-09,25.875
2000-10-10,25.0
2000-10-11,25.5625
2000-10-12,24.875
2000-10-13,23.625
2000-10-16,23.8125
2000-10-17,22.1875
2000-10-18,24.625
2000-10-19,25.625
2000-10-20,24.5625
2000-10-23,24.0625
2000-10-24,26.25
2000-10-25,25.75
2000-10-26,26.3125
2000-10-27,26.5
2000-10-30,28.8125
2000-10-31,28.6875
2000-11-01,27.875
2000-11-02,27.8125
2000-11-03,29.0625
2000-11-06,29.1875
2000-11-07,29.9375
2000-11-08,30.125
2000-11-09,29.375
2000-11-10,29.125
2000-11-13,30.4375
2000-11-14,29.9375
2000-11-15,30.5
2000-11-16,29.5625
2000-11-17,29.0
2000-11-20,28.5
2000-11-21,27.875
2000-11-22,27.875
2000-11-24,28.5
2000-11-27,28.8125
2000-11-28,29.5
2000-11-29,30.125
2000-11-30,28.875
2000-12-01,30.0
2000-12-04,31.3125
2000-12-05,30.4375
2000-12-06,30.5
2000-12-07,29.625
2000-12-08,29.6875
2000-12-11,30.625
2000-12-12,29.75
2000-12-13,30.375
2000-12-14,29.8125
2000-12-15,30.125
2000-12-18,30.6875
2000-12-19,31.75
2000-12-20,31.25
2000-12-21,32.6875
2000-12-22,34.0
2000-12-26,34.1875
2000-12-27,34.0625
2000-12-28,34.625
2000-12-29,33.625
2001-01-02,33.0
2001-01-03,34.25
2001-01-04,34.4375
2001-01-05,34.4375
2001-01-08,34.0625
2001-01-09,32.75
2001-01-10,32.875
2001-01-11,32.3125
2001-01-12,31.125
2001-01-16,32.625
2001-01-17,31.9375
2001-01-18,30.875
2001-01-19,30.0625
2001-01-22,31.0
2001-01-23,31.4375
2001-01-24,30.875
2001-01-25,32.125
2001-01-26,31.375
2001-01-29,32.32
2001-01-30,33.05
2001-01-31,32.93
2001-02-01,33.24
2001-02-02,33.11
2001-02-05,33.1
2001-02-06,33.02
2001-02-07,32.81
2001-02-08,32.4
2001-02-09,32.0
2001-02-12,32.45
2001-02-13,32.59
2001-02-14,32.21
2001-02-15,33.07
2001-02-16,32.36
2001-02-20,31.82
2001-02-21,31.17
2001-02-22,31.06
2001-02-23,30.7
2001-02-26,32.11
2001-02-27,32.23
2001-02-28,32.08
2001-03-01,32.32
