,Close
2000-01-03,9.9822
2000-01-04,9.7723
2000-01-05,9.8323
2000-01-06,10.192
2000-01-07,10.4018
2000-01-10,10.0721
2000-01-11,10.4618
2000-01-12,10.4018
2000-01-13,10.7316
2000-01-14,10.5517
2000-01-18,10.5517
2000-01-19,10.7016
2000-01-20,10.6117
2000-01-21,10.4018
2000-01-24,9.9522
2000-01-25,9.5025
2000-01-26,9.7423
2000-01-27,9.6524
2000-01-28,9.5925
2000-01-31,9.5325
2000-02-01,9.5025
2000-02-02,9.4126
2000-02-03,9.3527
2000-02-04,9.3527
2000-02-07,9.3227
2000-02-08,9.2627
2000-02-09,9.1128
2000-02-10,9.0829
2000-02-11,8.873
2000-02-14,8.2135
2000-02-15,8.6032
2000-02-16,8.6332
2000-02-17,8.4534
2000-02-18,8.2735
2000-02-22,8.2735
2000-02-23,8.0637
2000-02-24,7.8838
2000-02-25,7.5541
2000-02-28,7.614
2000-02-29,7.7039
2000-03-01,7.7039
2000-03-02,8.0936
2000-03-03,8.2435
2000-03-06,8.2735
2000-03-07,8.5433
2000-03-08,8.3634
2000-03-09,8.2435
2000-03-10,8.3634
2000-03-13,8.3335
2000-03-14,8.2435
2000-03-15,8.3335
2000-03-16,8.7531
2000-03-17,8.7531
2000-03-20,8.6632
2000-03-21,8.873
2000-03-22,8.963
2000-03-23,9.0229
2000-03-24,9.0829
2000-03-27,9.1128
2000-03-28,9.1728
2000-03-29,9.3527
2000-03-30,9.7124
2000-03-31,9.9522
2000-04-03,9.9522
2000-04-04,9.8922
2000-04-05,10.0421
2000-04-06,10.4018
2000-04-07,10.2819
2000-04-10,10.2519
2000-04-11,10.3419
2000-04-12,10.4018
2000-04-13,10.3719
2000-04-14,10.2819
2000-04-17,10.0121
2000-04-18,9.6524
2000-04-19,9.8023
2000-04-20,9.8623
2000-04-24,10.1021
2000-04-25,10.2519
2000-04-26,10.4618
2000-04-27,10.5217
2000-04-28,10.2819
2000-05-01,10.4918
2000-05-02,10.4918
2000-05-03,10.192
2000-05-04,10.4018
2000-05-05,10.6416
2000-05-08,10.8815
2000-05-09,10.9114
2000-05-10,10.9714
2000-05-11,11.0913
2000-05-12,11.1213
2000-05-15,11.0613
2000-05-16,11.1512
2000-05-17,11.3311
2000-05-18,11.5709
2000-05-19,11.5709
2000-05-22,11.481
2000-05-23,11.2412
2000-05-24,11.2112
2000-05-25,10.8815
2000-05-26,10.9414
2000-05-30,10.9714
2000-05-31,11.3611
2000-06-01,11.2112
2000-06-02,10.8515
2000-06-05,10.6416
2000-06-06,11.0313
2000-06-07,10.9414
2000-06-08,10.8815
2000-06-09,10.8215
2000-06-12,10.9114
2000-06-13,10.8515
2000-06-14,10.8815
2000-06-15,10.7915
2000-06-16,11.3311
2000-06-19,10.9114
2000-06-20,10.8215
2000-06-21,11.2711
2000-06-22,11.1213
2000-06-23,11.2412
2000-06-26,10.7016
2000-06-27,10.5217
2000-06-28,10.4018
2000-06-29,10.2819
2000-06-30,10.1021
2000-07-03,10.3419
2000-07-05,9.8623
2000-07-06,10.0421
2000-07-07,10.0721
2000-07-10,9.9822
2000-07-11,10.6716
2000-07-12,10.3119
2000-07-13,10.132
2000-07-14,10.0721
2000-07-17,9.8623
2000-07-18,9.7723
2000-07-19,9.6224
2000-07-20,9.6524
2000-07-21,9.5025
2000-07-24,9.2327
2000-07-25,9.0529
2000-07-26,8.963
2000-07-27,9.2627
2000-07-28,9.3227
2000-07-31,9.7124
2000-08-01,9.4726
2000-08-02,9.5325
2000-08-03,9.5325
2000-08-04,9.5025
2000-08-07,9.7124
2000-08-08,9.6524
2000-08-09,9.6824
2000-08-10,9.7423
2000-08-11,9.7124
2000-08-14,9.8922
2000-08-15,9.8922
2000-08-16,9.9222
2000-08-17,10.4018
2000-08-18,10.222
2000-08-21,10.192
2000-08-22,10.3119
2000-08-23,10.5817
2000-08-24,10.192
2000-08-25,10.2819
2000-08-28,10.2519
2000-08-29,10.2519
2000-08-30,10.132
2000-08-31,10.3719
2000-09-01,10.6716
2000-09-05,10.7615
2000-09-06,10.9414
2000-09-07,10.9714
2000-09-08,10.9414
2000-09-11,11.2412
2000-09-12,11.2112
2000-09-13,10.9714
2000-09-14,10.7615
2000-09-15,11.421
2000-09-18,11.7208
2000-09-19,11.2711
2000-09-20,10.8815
2000-09-21,10.6416
2000-09-22,10.7016
2000-09-25,10.2519
2000-09-26,10.4318
2000-09-27,10.7615
2000-09-28,10.5217
2000-09-29,10.4618
2000-10-02,10.6117
2000-10-03,10.6416
2000-10-04,10.1021
2000-10-05,10.0721
2000-10-06,9.8323
2000-10-09,9.9822
2000-10-10,10.3119
2000-10-11,10.2819
2000-10-12,10.4018
2000-10-13,9.9222
2000-10-16,9.7723
2000-10-17,9.7723
2000-10-18,9.7124
2000-10-19,9.6524
2000-10-20,9.8023
2000-10-23,9.8323
2000-10-24,9.5325
2000-10-25,9.2927
2000-10-26,9.4126
2000-10-27,9.2927
2000-10-30,9.6524
2000-10-31,9.5325
2000-11-01,9.8922
2000-11-02,9.5625
2000-11-03,9.6224
2000-11-06,9.6224
2000-11-07,9.9222
2000-11-08,9.8323
2000-11-09,9.8023
2000-11-10,9.7423
2000-11-13,9.5925
2000-11-14,9.9822
2000-11-15,10.0421
2000-11-16,10.0421
2000-11-17,10.132
2000-11-20,9.9522
2000-11-21,10.5217
2000-11-22,10.3119
2000-11-24,10.4918
2000-11-27,10.6416
2000-11-28,10.9114
2000-11-29,10.7316
2000-11-30,10.3719
2000-12-01,10.8215
2000-12-04,10.9714
2000-12-05,10.7016
2000-12-06,10.4318
2000-12-07,10.2819
2000-12-08,10.2519
2000-12-11,10.2819
2000-12-12,10.3719
2000-12-13,10.4318
2000-12-14,10.192
2000-12-15,10.162
2000-12-18,10.9714
2000-12-19,11.0014
2000-12-20,11.0613
2000-12-21,11.2112
2000-12-22,11.391
2000-12-26,11.9606
2000-12-27,12.2304
2000-12-28,12.1704
2000-12-29,11.6309
2001-01-02,11.6009
2001-01-03,11.3311
2001-01-04,11.2711
2001-01-05,11.5409
2001-01-08,11.481
2001-01-09,11.1512
2001-01-10,11.2412
2001-01-11,11.2112
2001-01-12,11.0613
2001-01-16,11.0014
2001-01-17,10.8215
2001-01-18,10.6716
2001-01-19,10.7016
2001-01-22,10.8815
2001-01-23,11.0313
2001-01-24,10.9114
2001-01-25,10.8215
2001-01-26,10.7316
2001-01-29,10.7196
2001-01-30,10.7196
2001-01-31,10.8922
2001-02-01,10.5997
2001-02-02,10.8443
2001-02-05,11.2328
2001-02-06,11.3287
2001-02-07,11.4342
2001-02-08,11.5541
2001-02-09,11.7076
2001-02-12,11.6788
2001-02-13,11.6069
2001-02-14,11.5973
2001-02-15,11.5685
2001-02-16,11.5158
2001-02-20,11.5685
2001-02-21,11.3958
2001-02-22,11.3527
2001-02-23,11.4054
2001-02-26,11.6261
2001-02-27,11.5493
2001-02-28,11.5062
2001-03-01,11.4486
2001-03-02,11.8227
2001-03-05,12.0577
2001-03-06,12.0098
2001-03-07,12.1824
2001-03-08,12.6573
2001-03-09,12.451
2001-03-12,12.1057
2001-03-13,11.9762
2001-03-14,11.6788
2001-03-15,11.4534
2001-03-16,11.4822
2001-03-19,11.9138
2001-03-20,11.7795
2001-03-21,11.5541
2001-03-22,11.1608
2001-03-23,11.3767
2001-03-26,11.5829
2001-03-27,11.5493
2001-03-28,11.65
2001-03-29,11.4918
2001-03-30,11.8707
2001-04-02,11.7939
2001-04-03,11.698
2001-04-04,12.0242
2001-04-05,12.1584
2001-04-06,12.1968
2001-04-09,12.499
2001-04-10,12.6525
2001-04-11,12.5709
2001-04-12,12.523
2001-04-16,12.8251
2001-04-17,13.2376
2001-04-18,12.9978
2001-04-19,12.9834
2001-04-20,13.1513
2001-04-23,13.7796
2001-04-24,13.957
2001-04-25,14.2688
2001-04-26,14.2976
2001-04-27,14.2928
2001-04-30,14.4462
2001-05-01,14.1489
2001-05-02,13.463
2001-05-03,13.6741
2001-05-04,13.8947
2001-05-07,13.8515
2001-05-08,13.9091
2001-05-09,14.1201
2001-05-10,14.1201
2001-05-11,14.1489
2001-05-14,14.3839
2001-05-15,14.523
2001-05-16,14.6333
2001-05-17,14.6525
2001-05-18,14.9067
2001-05-21,14.7964
2001-05-22,14.5997
2001-05-23,14.4271
2001-05-24,14.3311
2001-05-25,14.1729
2001-05-29,14.4558
2001-05-30,14.3455
2001-05-31,14.3743
2001-06-01,14.1968
2001-06-04,14.4367
2001-06-05,14.6861
2001-06-06,14.3024
2001-06-07,14.1249
2001-06-08,14.1537
2001-06-11,14.216
2001-06-12,14.4462
2001-06-13,14.1968
2001-06-14,13.9666
2001-06-15,14.0817
2001-06-18,13.8851
2001-06-19,13.9043
2001-06-20,13.7412
2001-06-21,13.4294
2001-06-22,13.6021
2001-06-25,13.2856
2001-06-26,13.3143
2001-06-27,13.1129
2001-06-28,12.71
2001-06-29,12.7532
2001-07-02,12.6621
2001-07-03,12.6764
2001-07-05,12.8875
2001-07-06,13.017
2001-07-09,12.71
2001-07-10,12.8635
2001-07-11,12.8299
2001-07-12,12.9115
2001-07-13,12.9498
2001-07-16,12.782
2001-07-17,12.7436
2001-07-18,12.3023
2001-07-19,12.5038
2001-07-20,12.5613
2001-07-23,12.6381
2001-07-24,12.3551
