,Close
2000-01-03,26.6667
2000-01-04,24.6667
2000-01-05,26.125
2000-01-06,27.0833
2000-01-07,27.625
2000-01-10,28.0833
2000-01-11,27.1667
2000-01-12,26.7917
2000-01-13,28.25
2000-01-14,30.25
2000-01-18,30.0
2000-01-19,30.4167
2000-01-20,30.875
2000-01-21,30.5417
2000-01-24,27.0417
2000-01-25,28.6667
2000-01-26,28.625
2000-01-27,28.7083
2000-01-28,28.0
2000-01-31,29.375
2000-02-01,29.3333
2000-02-02,29.1667
2000-02-03,28.75
2000-02-04,28.3333
2000-02-07,28.5
2000-02-08,28.4167
2000-02-09,27.6667
2000-02-10,29.5
2000-02-11,28.4167
2000-02-14,31.0
2000-02-15,30.9167
2000-02-16,30.5
2000-02-17,32.3333
2000-02-18,30.4167
2000-02-22,30.9167
2000-02-23,32.9167
2000-02-24,34.125
2000-02-25,31.7083
2000-02-28,33.5
2000-02-29,33.375
2000-03-01,32.3333
2000-03-02,31.9167
2000-03-03,32.625
2000-03-06,33.25
2000-03-07,32.125
2000-03-08,32.625
2000-03-09,33.25
2000-03-10,33.9167
2000-03-13,32.5833
2000-03-14,32.5417
2000-03-15,32.9583
2000-03-16,31.4583
2000-03-17,33.7917
2000-03-20,33.375
2000-03-21,35.5417
2000-03-22,35.3333
2000-03-23,35.25
2000-03-24,34.3333
2000-03-27,35.1667
2000-03-28,34.75
2000-03-29,35.2917
2000-03-30,35.2083
2000-03-31,34.9167
2000-04-03,35.0417
2000-04-04,34.0417
2000-04-05,33.0
2000-04-06,34.0
2000-04-07,34.25
2000-04-10,32.375
2000-04-11,34.125
2000-04-12,35.2083
2000-04-13,35.5833
2000-04-14,31.875
2000-04-17,33.625
2000-04-18,33.4583
2000-04-19,32.4167
2000-04-20,33.8333
2000-04-24,34.7083
2000-04-25,36.875
2000-04-26,34.5833
2000-04-27,35.4167
2000-04-28,35.0833
2000-05-01,33.4896
2000-05-02,31.5417
2000-05-03,31.9583
2000-05-04,30.1667
2000-05-05,31.5833
2000-05-08,30.4167
2000-05-09,30.0417
2000-05-10,29.5417
2000-05-11,32.375
2000-05-12,31.5833
2000-05-15,32.0
2000-05-16,32.1667
2000-05-17,31.4167
2000-05-18,30.75
2000-05-19,30.1667
2000-05-22,30.625
2000-05-23,30.9375
2000-05-24,33.125
2000-05-25,33.25
2000-05-26,34.5
2000-05-30,35.6875
2000-05-31,35.0
2000-06-01,40.0
2000-06-02,38.0
2000-06-05,37.8125
2000-06-06,36.25
2000-06-07,37.6875
2000-06-08,36.125
2000-06-09,37.3125
2000-06-12,36.125
2000-06-13,37.5625
2000-06-14,38.5625
2000-06-15,40.0
2000-06-16,42.0625
2000-06-19,42.625
2000-06-20,42.0
2000-06-21,43.0625
2000-06-22,40.0625
2000-06-23,37.8125
2000-06-26,40.4375
2000-06-27,41.4375
2000-06-28,41.6875
2000-06-29,39.125
2000-06-30,42.0
2000-07-03,41.5625
2000-07-05,40.6875
2000-07-06,42.0625
2000-07-07,41.75
2000-07-10,41.625
2000-07-11,42.875
2000-07-12,43.5625
2000-07-13,42.6875
2000-07-14,42.625
2000-07-17,41.5625
2000-07-18,41.875
2000-07-19,42.0625
2000-07-20,43.3125
2000-07-21,43.25
2000-07-24,45.0625
2000-07-25,44.0
2000-07-26,44.875
2000-07-27,44.6875
2000-07-28,43.25
2000-07-31,45.75
2000-08-01,44.9375
2000-08-02,43.8125
2000-08-03,45.0625
2000-08-04,45.625
2000-08-07,46.9375
2000-08-08,46.125
2000-08-09,46.5
2000-08-10,45.0
2000-08-11,45.0625
2000-08-14,44.6875
2000-08-15,44.375
2000-08-16,43.75
2000-08-17,44.6875
2000-08-18,44.1875
2000-08-21,44.75
2000-08-22,45.4375
2000-08-23,44.5625
2000-08-24,44.125
2000-08-25,42.875
2000-08-28,40.0625
2000-08-29,41.4375
2000-08-30,43.9375
2000-08-31,44.625
2000-09-01,43.75
2000-09-05,43.5
2000-09-06,42.8125
2000-09-07,42.75
2000-09-08,41.625
2000-09-11,41.75
2000-09-12,43.0625
2000-09-13,43.6875
2000-09-14,42.9375
2000-09-15,44.125
2000-09-18,43.1875
2000-09-19,44.8125
2000-09-20,43.5625
2000-09-21,46.5
2000-09-22,47.0
2000-09-25,48.5625
2000-09-26,51.4375
2000-09-27,53.375
2000-09-28,52.4375
2000-09-29,52.5
2000-10-02,51.625
2000-10-03,51.125
2000-10-04,51.6875
2000-10-05,51.4375
2000-10-06,50.9375
2000-10-09,51.375
2000-10-10,49.5625
2000-10-11,49.75
2000-10-12,48.4375
2000-10-13,47.875
2000-10-16,50.8125
2000-10-17,50.625
2000-10-18,49.5
2000-10-19,50.625
2000-10-20,50.0
2000-10-23,49.8125
2000-10-24,53.0
2000-10-25,54.8125
2000-10-26,51.25
2000-10-27,53.6875
2000-10-30,58.25
2000-10-31,56.6875
2000-11-01,53.9375
2000-11-02,55.9375
2000-11-03,55.0625
2000-11-06,54.75
2000-11-07,56.25
2000-11-08,53.9375
2000-11-09,55.125
2000-11-10,55.1875
2000-11-13,56.6875
2000-11-14,56.6875
2000-11-15,57.1875
2000-11-16,57.3125
2000-11-17,55.9375
2000-11-20,59.4375
2000-11-21,59.6875
2000-11-22,57.875
2000-11-24,58.9375
2000-11-27,58.75
2000-11-28,57.4063
2000-11-29,59.375
2000-11-30,58.125
2000-12-01,52.5625
2000-12-04,46.5625
2000-12-05,44.125
2000-12-06,43.75
2000-12-07,44.875
2000-12-08,46.875
2000-12-11,43.6875
2000-12-12,42.1875
2000-12-13,43.125
2000-12-14,41.25
2000-12-15,39.0
2000-12-18,40.8125
2000-12-19,41.875
2000-12-20,42.0625
2000-12-21,46.875
2000-12-22,50.5625
2000-12-26,50.5625
2000-12-27,51.0625
2000-12-28,50.875
2000-12-29,48.625
2001-01-02,45.6875
2001-01-03,48.625
2001-01-04,45.3125
2001-01-05,44.6875
2001-01-08,46.4375
2001-01-09,48.5625
2001-01-10,47.375
2001-01-11,47.9375
2001-01-12,48.5
2001-01-16,47.375
2001-01-17,47.75
2001-01-18,48.625
2001-01-19,46.5
2001-01-22,45.75
2001-01-23,46.5
2001-01-24,45.5625
2001-01-25,44.5
2001-01-26,45.6875
2001-01-29,45.875
2001-01-30,45.25
2001-01-31,45.125
2001-02-01,41.4375
2001-02-02,39.625
2001-02-05,39.875
2001-02-06,40.75
2001-02-07,42.125
2001-02-08,41.625
2001-02-09,42.25
2001-02-12,43.0625
2001-02-13,41.25
2001-02-14,43.3125
2001-02-15,42.75
2001-02-16,41.625
2001-02-20,41.6875
2001-02-21,42.1875
2001-02-22,44.0625
2001-02-23,43.625
2001-02-26,42.875
2001-02-27,41.25
2001-02-28,39.9375
2001-03-01,39.4375
2001-03-02,39.0
2001-03-05,39.8125
2001-03-06,40.8125
2001-03-07,40.6875
2001-03-08,40.0625
2001-03-09,38.875
2001-03-12,35.125
2001-03-13,36.625
2001-03-14,35.6875
2001-03-15,35.0625
2001-03-16,33.7656
2001-03-19,36.375
2001-03-20,34.3125
2001-03-21,36.375
2001-03-22,38.25
2001-03-23,38.375
2001-03-26,37.9375
2001-03-27,38.3125
2001-03-28,38.4375
2001-03-29,37.625
2001-03-30,37.0625
2001-04-02,37.125
2001-04-03,35.5
2001-04-04,36.75
2001-04-05,36.75
2001-04-06,36.1875
2001-04-09,37.91
2001-04-10,38.6
2001-04-11,37.39
2001-04-12,34.11
2001-04-16,35.05
2001-04-17,36.06
2001-04-18,37.87
2001-04-19,36.85
2001-04-20,36.0
2001-04-23,34.5
2001-04-24,34.0
2001-04-25,36.5
2001-04-26,34.45
