,Close
2003-01-02,23.97
2003-01-03,23.85
2003-01-06,24.19
2003-01-07,23.92
2003-01-08,23.79
2003-01-09,24.2
2003-01-10,23.96
2003-01-13,23.83
2003-01-14,24.0
2003-01-15,23.6
2003-01-16,23.87
2003-01-17,23.61
2003-01-21,23.19
2003-01-22,23.22
2003-01-23,23.3
2003-01-24,22.42
2003-01-27,21.5
2003-01-28,21.91
2003-01-29,22.2
2003-01-30,21.45
2003-01-31,21.82
2003-02-03,21.69
2003-02-04,21.96
2003-02-05,22.01
2003-02-06,21.66
2003-02-07,21.58
2003-02-10,21.85
2003-02-11,21.67
2003-02-12,21.3
2003-02-13,21.42
2003-02-14,21.3
2003-02-18,21.59
2003-02-19,21.56
2003-02-20,21.42
2003-02-21,21.9
2003-02-24,21.35
2003-02-25,21.72
2003-02-26,21.49
2003-02-27,21.84
2003-02-28,21.7
2003-03-03,22.05
2003-03-04,21.42
2003-03-05,21.66
2003-03-06,21.21
2003-03-07,21.42
2003-03-10,21.15
2003-03-11,21.15
2003-03-12,21.24
2003-03-13,21.35
2003-03-14,21.5
2003-03-17,21.85
2003-03-18,22.1
2003-03-19,22.8
2003-03-20,22.79
2003-03-21,22.97
2003-03-24,22.32
2003-03-25,22.6
2003-03-26,22.5
2003-03-27,22.13
2003-03-28,22.05
2003-03-31,21.59
2003-04-01,21.77
2003-04-02,22.05
2003-04-03,22.0
2003-04-04,21.95
2003-04-07,22.42
2003-04-08,22.12
2003-04-09,22.05
2003-04-10,21.99
2003-04-11,22.11
2003-04-14,22.5
2003-04-15,22.55
2003-04-16,22.84
2003-04-17,23.13
2003-04-21,23.17
2003-04-22,23.45
2003-04-23,23.37
2003-04-24,23.14
2003-04-25,22.99
2003-04-28,23.27
2003-04-29,23.48
2003-04-30,23.26
2003-05-01,23.2
2003-05-02,23.69
2003-05-05,23.4
2003-05-06,23.79
2003-05-07,23.81
2003-05-08,23.93
2003-05-09,24.48
2003-05-12,24.64
2003-05-13,24.34
2003-05-14,24.12
2003-05-15,24.4
2003-05-16,24.76
2003-05-19,24.12
2003-05-20,24.29
2003-05-21,24.34
2003-05-22,24.64
2003-05-23,25.02
2003-05-27,25.7
2003-05-28,25.67
2003-05-29,25.42
2003-05-30,26.4
2003-06-02,26.15
2003-06-03,26.3
2003-06-04,26.5
2003-06-05,26.55
2003-06-06,26.99
2003-06-09,26.54
