,Close
2000-01-03,17.0313
2000-01-04,17.1563
2000-01-05,17.5938
2000-01-06,17.6563
2000-01-07,17.625
2000-01-10,17.5
2000-01-11,17.7188
2000-01-12,17.75
2000-01-13,17.6563
2000-01-14,17.375
2000-01-18,17.0938
2000-01-19,17.4063
2000-01-20,17.4375
2000-01-21,17.7813
2000-01-24,17.625
2000-01-25,17.3438
2000-01-26,17.25
2000-01-27,17.1563
2000-01-28,16.75
2000-01-31,17.1875
2000-02-01,17.2188
2000-02-02,16.9688
2000-02-03,17.2188
2000-02-04,16.8438
2000-02-07,16.75
2000-02-08,16.75
2000-02-09,16.5625
2000-02-10,16.3438
2000-02-11,16.2813
2000-02-14,16.3125
2000-02-15,16.125
2000-02-16,16.0313
2000-02-17,15.8125
2000-02-18,15.3438
2000-02-22,15.2813
2000-02-23,14.9688
2000-02-24,14.5313
2000-02-25,14.25
2000-02-28,14.4688
2000-02-29,14.5
2000-03-01,14.2813
2000-03-02,14.4063
2000-03-03,14.4688
2000-03-06,13.5313
2000-03-07,13.625
2000-03-08,13.375
2000-03-09,13.1875
2000-03-10,13.0625
2000-03-13,12.9375
2000-03-14,12.9688
2000-03-15,13.7813
2000-03-16,14.8125
2000-03-17,14.3438
2000-03-20,14.2813
2000-03-21,14.25
2000-03-22,13.8125
2000-03-23,14.2188
2000-03-24,13.9688
2000-03-27,14.0313
2000-03-28,14.0625
2000-03-29,14.7188
2000-03-30,14.875
2000-03-31,14.8125
2000-04-03,14.8438
2000-04-04,15.0313
2000-04-05,15.0625
2000-04-06,15.0
2000-04-07,14.7188
2000-04-10,15.375
2000-04-11,15.625
2000-04-12,16.0313
2000-04-13,16.75
2000-04-14,16.6563
2000-04-17,16.8125
2000-04-18,16.75
2000-04-19,16.8125
2000-04-20,17.0938
2000-04-24,17.5313
2000-04-25,18.125
2000-04-26,18.8125
2000-04-27,18.4063
2000-04-28,17.9375
2000-05-01,17.6563
2000-05-02,17.4063
2000-05-03,17.3438
2000-05-04,17.5625
2000-05-05,17.1875
2000-05-08,17.625
2000-05-09,17.5
2000-05-10,17.625
2000-05-11,18.125
2000-05-12,18.0
2000-05-15,18.25
2000-05-16,18.0625
2000-05-17,17.8125
2000-05-18,18.1875
2000-05-19,18.375
2000-05-22,18.7188
2000-05-23,18.4375
2000-05-24,18.5313
2000-05-25,18.5625
2000-05-26,18.7188
2000-05-30,18.5313
2000-05-31,18.625
2000-06-01,18.625
2000-06-02,18.3125
2000-06-05,17.6563
2000-06-06,18.0
2000-06-07,17.8125
2000-06-08,17.8438
2000-06-09,18.0938
