,Close
2022-01-03,50.64
2022-01-04,49.77
2022-01-05,46.61
2022-01-06,46.86
2022-01-07,47.28
2022-01-10,46.96
2022-01-11,48.01
2022-01-12,47.44
2022-01-13,45.73
2022-01-14,44.45
2022-01-18,42.55
2022-01-19,43.0
2022-01-20,41.93
2022-01-21,40.92
2022-01-24,42.4
2022-01-25,43.19
2022-01-26,43.46
2022-01-27,42.35
2022-01-28,44.2
2022-01-31,45.61
2022-02-01,47.24
2022-02-02,45.67
2022-02-03,45.33
2022-02-04,44.99
2022-02-07,46.81
2022-02-08,48.11
2022-02-09,50.81
2022-02-10,50.13
2022-02-11,48.71
2022-02-14,47.81
2022-02-15,49.92
2022-02-16,50.06
2022-02-17,49.31
2022-02-18,47.27
2022-02-22,46.14
2022-02-23,47.24
2022-02-24,49.69
2022-02-25,50.24
2022-02-28,51.35
2022-03-01,50.82
2022-03-02,50.74
2022-03-03,48.28
2022-03-04,46.35
2022-03-07,40.91
2022-03-08,41.75
2022-03-09,43.83
2022-03-10,44.19
2022-03-11,42.67
2022-03-14,40.3
2022-03-15,42.23
2022-03-16,44.77
2022-03-17,44.91
2022-03-18,44.86
2022-03-21,43.31
2022-03-22,43.98
2022-03-23,42.21
2022-03-24,43.17
2022-03-25,41.52
2022-03-28,41.65
2022-03-29,44.35
2022-03-30,44.0
2022-03-31,42.42
2022-04-01,42.01
2022-04-04,44.24
2022-04-05,41.83
2022-04-06,39.02
2022-04-07,37.75
2022-04-08,36.96
2022-04-11,37.38
2022-04-12,36.86
2022-04-13,37.87
2022-04-14,37.27
2022-04-18,36.89
2022-04-19,38.9
2022-04-20,38.43
2022-04-21,37.04
2022-04-22,36.55
2022-04-25,38.35
2022-04-26,36.69
2022-04-27,36.76
2022-04-28,37.88
2022-04-29,36.57
2022-05-02,37.7
2022-05-03,38.53
2022-05-04,38.73
2022-05-05,36.56
2022-05-06,34.33
2022-05-09,31.87
2022-05-10,30.64
2022-05-11,29.29
2022-05-12,29.05
2022-05-13,31.31
2022-05-16,29.74
2022-05-17,30.92
2022-05-18,30.2
2022-05-19,30.67
2022-05-20,31.79
2022-05-23,31.18
2022-05-24,28.49
2022-05-25,29.61
2022-05-26,31.5
2022-05-27,32.28
2022-05-31,31.96
2022-06-01,31.88
2022-06-02,33.68
2022-06-03,32.91
2022-06-06,33.86
2022-06-07,34.3
2022-06-08,34.28
2022-06-09,33.9
2022-06-10,32.18
2022-06-13,28.5
2022-06-14,29.0
2022-06-15,30.25
2022-06-16,26.91
2022-06-17,27.4
2022-06-21,27.87
2022-06-22,28.34
2022-06-23,28.51
2022-06-24,32.12
2022-06-27,32.32
2022-06-28,31.79
2022-06-29,31.14
2022-06-30,30.42
2022-07-01,31.46
2022-07-05,32.31
2022-07-06,31.02
2022-07-07,31.32
2022-07-08,30.59
2022-07-11,29.33
2022-07-12,29.83
2022-07-13,30.0
2022-07-14,29.15
2022-07-15,31.4
2022-07-18,31.83
2022-07-19,33.07
2022-07-20,34.33
2022-07-21,34.65
2022-07-22,33.79
2022-07-25,33.8
2022-07-26,32.81
2022-07-27,34.37
2022-07-28,34.23
2022-07-29,34.55
2022-08-01,34.53
2022-08-02,36.17
2022-08-03,36.59
2022-08-04,35.14
2022-08-05,34.15
2022-08-08,36.05
2022-08-09,34.11
2022-08-10,35.74
2022-08-11,35.6
2022-08-12,37.7
2022-08-15,37.45
2022-08-16,37.21
2022-08-17,36.03
2022-08-18,35.72
2022-08-19,34.34
2022-08-22,32.86
2022-08-23,33.11
2022-08-24,33.65
2022-08-25,34.2
2022-08-26,32.18
2022-08-29,32.13
2022-08-30,31.85
2022-08-31,31.23
2022-09-01,30.55
2022-09-02,31.3
2022-09-06,30.86
2022-09-07,31.83
2022-09-08,32.21
2022-09-09,32.47
2022-09-12,33.01
2022-09-13,30.73
2022-09-14,30.77
2022-09-15,30.78
2022-09-16,30.56
2022-09-19,31.41
2022-09-20,30.59
2022-09-21,29.14
2022-09-22,26.75
2022-09-23,26.62
2022-09-26,26.13
2022-09-27,26.53
2022-09-28,27.96
2022-09-29,27.3
2022-09-30,27.51
2022-10-03,28.1
2022-10-04,30.55
2022-10-05,31.4
2022-10-06,31.9
2022-10-07,30.68
2022-10-10,29.45
2022-10-11,29.27
2022-10-12,29.31
2022-10-13,29.6
2022-10-14,28.07
2022-10-17,29.08
2022-10-18,29.9
2022-10-19,28.12
2022-10-20,29.1
2022-10-21,30.43
2022-10-24,30.76
2022-10-25,31.4
2022-10-26,31.33
2022-10-27,31.435
2022-10-28,32.72
2022-10-31,33.1
2022-11-01,33.62
