,Close
2013-01-02,33.9857
2013-01-03,33.6835
2013-01-04,33.5358
2013-01-07,33.5358
2013-01-08,33.3411
2013-01-09,33.9589
2013-01-10,33.979
2013-01-11,33.838
2013-01-14,33.8044
2013-01-15,33.7843
2013-01-16,34.1335
2013-01-17,34.8184
2013-01-18,35.3086
2013-01-22,35.5705
2013-01-23,35.5437
2013-01-24,35.4899
2013-01-25,35.7585
2013-01-28,35.4765
2013-01-29,34.4827
2013-01-30,33.5089
2013-01-31,34.0327
2013-02-01,34.2543
2013-02-04,34.2476
2013-02-05,34.5364
2013-02-06,34.2342
2013-02-07,33.932
2013-02-08,34.2812
2013-02-11,34.3954
2013-02-12,34.9393
2013-02-13,35.5772
2013-02-14,35.4765
2013-02-15,35.5302
2013-02-19,35.3355
2013-02-20,34.5767
2013-02-21,34.1536
2013-02-22,34.6237
2013-02-25,34.0932
2013-02-26,34.073
2013-02-27,35.3355
2013-02-28,35.772
2013-03-01,35.0736
2013-03-04,34.9124
2013-03-05,35.3556
2013-03-06,34.8654
2013-03-07,34.6438
2013-03-08,34.711
2013-03-11,34.6438
2013-03-12,34.1939
2013-03-13,34.6371
2013-03-14,35.1743
2013-03-15,35.3825
2013-03-18,35.4429
2013-03-19,35.7921
2013-03-20,35.9197
2013-03-21,35.7183
2013-03-22,35.8526
2013-03-25,34.899
2013-03-26,34.6841
2013-03-27,34.6237
2013-03-28,35.4228
2013-04-01,34.6573
2013-04-02,34.8453
2013-04-03,34.7916
2013-04-04,35.4429
2013-04-05,34.9124
2013-04-08,35.5235
2013-04-09,35.7787
2013-04-10,36.2958
2013-04-11,36.2219
2013-04-12,35.8257
2013-04-15,34.6438
2013-04-16,35.2683
2013-04-17,34.8251
2013-04-18,33.979
2013-04-19,33.7373
2013-04-22,33.6097
2013-04-23,35.5504
2013-04-24,36.5107
2013-04-25,36.5107
2013-04-26,36.1279
2013-04-29,36.6248
2013-04-30,36.4972
2013-05-01,35.9264
2013-05-02,35.7585
2013-05-03,36.4099
2013-05-06,36.5979
2013-05-07,37.1755
2013-05-08,37.256
2013-05-09,37.4709
2013-05-10,37.4374
2013-05-13,37.7731
2013-05-14,38.2768
2013-05-15,38.7871
2013-05-16,38.6327
2013-05-17,38.8274
2013-05-20,39.002
2013-05-21,38.8677
2013-05-22,38.317
2013-05-23,37.894
2013-05-24,38.5924
2013-05-28,38.7468
2013-05-29,38.8677
2013-05-30,39.3781
2013-05-31,39.1094
2013-06-03,39.1229
2013-06-04,38.7938
2013-06-05,38.3909
2013-06-06,39.0893
2013-06-07,39.6534
2013-06-10,39.9287
2013-06-11,39.3848
2013-06-12,38.9819
2013-06-13,39.8817
2013-06-14,40.1033
2013-06-17,39.4922
2013-06-18,40.0026
2013-06-19,39.3982
2013-06-20,38.082
2013-06-21,38.1895
2013-06-24,37.4709
2013-06-25,38.0081
2013-06-26,38.4245
2013-06-27,39.2505
2013-06-28,38.7401
2013-07-01,39.1162
2013-07-02,38.908
2013-07-03,38.9013
2013-07-05,39.4721
2013-07-08,39.4922
2013-07-09,39.5459
2013-07-10,39.5191
2013-07-11,40.7278
2013-07-12,40.9427
2013-07-15,40.8823
2013-07-16,40.4189
2013-07-17,40.4458
2013-07-18,40.5935
2013-07-19,40.7882
2013-07-22,40.5801
2013-07-23,40.2376
2013-07-24,40.2107
2013-07-25,40.8218
2013-07-26,40.7144
2013-07-29,40.5331
2013-07-30,40.8823
2013-07-31,41.0166
2013-08-01,41.9433
2013-08-02,41.9903
2013-08-05,42.4469
2013-08-06,42.4603
2013-08-07,42.4805
2013-08-08,42.7155
2013-08-09,42.5946
2013-08-12,42.8834
2013-08-13,43.0916
2013-08-14,42.6148
2013-08-15,41.9231
2013-08-16,41.7082
2013-08-19,41.4262
2013-08-20,41.5806
2013-08-21,41.124
