,Close
2021-01-04,356.89
2021-01-05,356.87
2021-01-06,370.38
2021-01-07,385.95
2021-01-08,390.99
2021-01-11,385.25
2021-01-12,385.0
2021-01-13,373.72
2021-01-14,366.7
2021-01-15,359.4
2021-01-19,360.63
2021-01-20,366.24
2021-01-21,366.71
2021-01-22,369.31
2021-01-25,368.94
2021-01-26,363.68
2021-01-27,354.66
2021-01-28,362.66
2021-01-29,354.18
2021-02-01,359.82
2021-02-02,357.3
2021-02-03,354.85
2021-02-04,358.99
2021-02-05,359.32
2021-02-08,359.4
2021-02-09,360.29
2021-02-10,350.54
2021-02-11,329.89
2021-02-12,337.84
2021-02-16,333.33
2021-02-17,330.17
2021-02-18,330.43
2021-02-19,326.08
2021-02-22,314.43
2021-02-23,318.25
2021-02-24,328.39
2021-02-25,322.99
2021-02-26,334.77
2021-03-01,334.2
2021-03-02,330.7
2021-03-03,331.1
2021-03-04,323.59
2021-03-05,330.22
2021-03-08,328.34
2021-03-09,336.51
2021-03-10,343.2
2021-03-11,346.84
2021-03-12,342.44
2021-03-15,347.57
2021-03-16,343.97
2021-03-17,339.2
2021-03-18,336.87
2021-03-19,340.8
2021-03-22,336.22
2021-03-23,340.91
2021-03-24,340.1
2021-03-25,335.25
2021-03-26,341.86
2021-03-29,343.48
2021-03-30,342.37
2021-03-31,345.24
2021-04-01,351.57
2021-04-05,357.0
2021-04-06,357.72
2021-04-07,356.65
2021-04-08,360.76
2021-04-09,369.49
2021-04-12,371.18
2021-04-13,370.45
2021-04-14,367.7
2021-04-15,374.43
2021-04-16,382.21
2021-04-19,382.95
2021-04-20,386.06
2021-04-21,385.67
2021-04-22,410.46
2021-04-23,419.53
2021-04-26,413.25
2021-04-27,421.69
2021-04-28,415.29
2021-04-29,421.45
2021-04-30,422.52
2021-05-03,428.86
2021-05-04,431.15
2021-05-05,441.56
2021-05-06,434.85
2021-05-07,444.01
2021-05-10,444.96
2021-05-11,438.87
2021-05-12,419.76
2021-05-13,435.01
2021-05-14,437.87
2021-05-17,435.67
2021-05-18,427.1
2021-05-19,427.83
2021-05-20,429.73
2021-05-21,429.25
2021-05-24,430.74
2021-05-25,429.66
2021-05-26,429.63
2021-05-27,431.47
2021-05-28,436.55
2021-06-01,438.73
2021-06-02,440.58
2021-06-03,438.4
2021-06-04,438.04
2021-06-07,435.55
2021-06-08,440.0
2021-06-09,433.62
2021-06-10,429.0
2021-06-11,431.62
2021-06-14,430.96
2021-06-15,434.41
2021-06-16,432.52
2021-06-17,436.53
2021-06-18,442.02
2021-06-21,452.9
2021-06-22,459.76
2021-06-23,454.9
2021-06-24,459.03
2021-06-25,455.77
2021-06-28,456.54
2021-06-29,465.04
2021-06-30,458.66
2021-07-01,462.05
2021-07-02,466.83
2021-07-06,464.53
2021-07-07,470.32
2021-07-08,468.77
2021-07-09,476.24
2021-07-12,475.51
2021-07-13,470.88
2021-07-14,468.77
2021-07-15,459.82
2021-07-16,458.89
2021-07-19,453.52
2021-07-20,452.51
2021-07-21,457.69
2021-07-22,450.52
2021-07-23,462.37
2021-07-26,466.96
2021-07-27,471.87
2021-07-28,467.63
2021-07-29,477.8
2021-07-30,477.82
2021-08-02,476.51
2021-08-03,480.44
2021-08-04,486.97
2021-08-05,486.81
2021-08-06,481.09
2021-08-09,485.4
2021-08-10,484.18
2021-08-11,483.17
2021-08-12,484.73
2021-08-13,485.21
2021-08-16,493.4
2021-08-17,479.99
2021-08-18,476.64
2021-08-19,484.37
2021-08-20,486.43
2021-08-23,474.9
2021-08-24,477.59
2021-08-25,485.02
2021-08-26,477.47
2021-08-27,480.91
2021-08-30,491.43
2021-08-31,494.3
2021-09-01,491.23
2021-09-02,497.26
2021-09-03,496.89
2021-09-07,491.05
2021-09-08,497.39
2021-09-09,491.64
2021-09-10,493.43
2021-09-13,478.92
2021-09-14,474.68
2021-09-15,477.15
2021-09-16,470.69
2021-09-17,464.04
2021-09-20,462.52
2021-09-21,459.73
2021-09-22,456.0
2021-09-23,466.37
2021-09-24,465.49
2021-09-27,455.76
2021-09-28,444.08
2021-09-29,446.83
2021-09-30,434.41
2021-10-01,437.4
2021-10-04,435.92
2021-10-05,440.41
2021-10-06,440.95
2021-10-07,452.54
2021-10-08,446.53
2021-10-11,445.52
2021-10-12,440.86
2021-10-13,440.37
2021-10-14,452.87
2021-10-15,453.22
2021-10-18,460.46
2021-10-19,464.51
2021-10-20,463.84
2021-10-21,499.33
2021-10-22,503.08
2021-10-25,508.62
2021-10-26,503.62
2021-10-27,499.78
2021-10-28,506.64
2021-10-29,515.16
2021-11-01,514.95
2021-11-02,515.41
2021-11-03,516.43
2021-11-04,522.17
2021-11-05,517.97
2021-11-08,520.58
2021-11-09,526.31
2021-11-10,526.52
2021-11-11,553.92
2021-11-12,571.28
2021-11-15,569.88
2021-11-16,573.73
2021-11-17,573.0
2021-11-18,577.85
2021-11-19,577.0
2021-11-22,559.22
2021-11-23,561.57
2021-11-24,568.46
2021-11-26,559.19
2021-11-29,560.1
2021-11-30,554.12
2021-12-01,552.22
2021-12-02,556.7
2021-12-03,544.84
2021-12-06,547.95
2021-12-07,563.17
2021-12-08,564.77
2021-12-09,549.39
2021-12-10,562.67
2021-12-13,562.2
2021-12-14,558.7
2021-12-15,567.55
2021-12-16,551.56
2021-12-17,540.64
2021-12-20,538.27
2021-12-21,541.46
2021-12-22,549.13
2021-12-23,549.65
2021-12-27,560.91
2021-12-28,561.21
2021-12-29,567.63
2021-12-30,560.81
2021-12-31,566.0
2022-01-03,550.25
2022-01-04,549.89
2022-01-05,529.38
2022-01-06,520.52
2022-01-07,503.17
2022-01-10,496.31
2022-01-11,502.06
2022-01-12,512.81
2022-01-13,507.23
2022-01-14,494.1
2022-01-18,493.91
2022-01-19,490.66
2022-01-20,476.43
2022-01-21,470.88
2022-01-24,477.62
2022-01-25,459.99
2022-01-26,451.26
2022-01-27,451.75
2022-01-28,459.72
2022-01-31,476.25
2022-02-01,473.73
2022-02-02,471.27
2022-02-03,458.05
2022-02-04,448.62
2022-02-07,449.1
2022-02-08,452.17
2022-02-09,465.04
2022-02-10,453.68
2022-02-11,446.55
2022-02-14,450.94
2022-02-15,459.57
2022-02-16,460.18
2022-02-17,445.92
2022-02-18,454.83
2022-02-22,430.12
2022-02-23,415.42
2022-02-24,436.07
2022-02-25,449.39
2022-02-28,458.58
2022-03-01,462.51
2022-03-02,475.48
2022-03-03,469.45
2022-03-04,465.81
2022-03-07,451.55
2022-03-08,437.0
2022-03-09,456.74
2022-03-10,452.08
2022-03-11,442.1
2022-03-14,441.08
2022-03-15,452.81
2022-03-16,467.71
2022-03-17,475.15
2022-03-18,487.41
2022-03-21,475.82
2022-03-22,476.88
2022-03-23,460.13
2022-03-24,450.52
2022-03-25,431.24
2022-03-28,440.25
2022-03-29,454.49
2022-03-30,449.44
2022-03-31,422.85
2022-04-01,425.03
2022-04-04,430.74
2022-04-05,433.54
2022-04-06,419.91
2022-04-07,425.68
2022-04-08,422.09
2022-04-11,415.04
2022-04-12,410.97
2022-04-13,421.44
2022-04-14,414.06
2022-04-18,410.49
2022-04-19,429.79
2022-04-20,431.82
2022-04-21,427.19
2022-04-22,415.74
2022-04-25,427.64
2022-04-26,415.48
2022-04-27,404.95
2022-04-28,417.66
2022-04-29,405.22
2022-05-02,412.08
2022-05-03,406.16
2022-05-04,416.92
2022-05-05,400.56
2022-05-06,394.3
2022-05-09,399.84
2022-05-10,395.94
2022-05-11,381.41
2022-05-12,403.75
2022-05-13,411.16
2022-05-16,401.18
2022-05-17,405.21
2022-05-18,387.31
2022-05-19,393.46
2022-05-20,405.58
2022-05-23,404.76
2022-05-24,389.2
2022-05-25,393.49
2022-05-26,400.86
2022-05-27,406.0
2022-05-31,398.62
2022-06-01,393.04
2022-06-02,414.51
2022-06-03,407.27
2022-06-06,411.61
2022-06-07,410.8
2022-06-08,406.87
2022-06-09,416.39
2022-06-10,385.03
2022-06-13,368.87
2022-06-14,349.44
2022-06-15,353.82
2022-06-16,332.18
2022-06-17,332.93
2022-06-21,332.76
2022-06-22,335.78
2022-06-23,353.03
2022-06-24,356.94
2022-06-27,356.42
2022-06-28,353.08
2022-06-29,349.98
2022-06-30,351.23
2022-07-01,351.92
2022-07-05,363.44
2022-07-06,372.73
2022-07-07,387.63
2022-07-08,378.21
2022-07-11,371.08
2022-07-12,373.74
2022-07-13,367.92
2022-07-14,369.01
2022-07-15,373.85
2022-07-18,372.71
2022-07-19,386.49
2022-07-20,396.75
2022-07-21,356.57
2022-07-22,363.11
2022-07-25,355.0
2022-07-26,343.15
2022-07-27,355.11
2022-07-28,359.89
2022-07-29,357.7
2022-08-01,363.32
2022-08-02,359.93
2022-08-03,363.11
2022-08-04,370.72
2022-08-05,373.64
2022-08-08,381.67
2022-08-09,369.89
2022-08-10,382.48
2022-08-11,375.31
2022-08-12,388.79
2022-08-15,388.84
2022-08-16,392.67
2022-08-17,386.63
