,Close
2000-01-03,30.0
2000-01-04,28.969
2000-01-05,30.063
2000-01-06,31.5
2000-01-07,32.063
2000-01-10,31.063
2000-01-11,30.938
2000-01-12,31.406
2000-01-13,32.188
2000-01-14,31.5
2000-01-18,30.75
2000-01-19,30.156
2000-01-20,28.938
2000-01-21,29.313
2000-01-24,29.0
2000-01-25,28.281
2000-01-26,28.719
2000-01-27,29.063
2000-01-28,28.344
2000-01-31,27.531
2000-02-01,28.031
2000-02-02,27.531
2000-02-03,27.375
2000-02-04,27.031
2000-02-07,26.156
2000-02-08,25.938
2000-02-09,25.5
2000-02-10,25.25
2000-02-11,24.281
2000-02-14,25.313
2000-02-15,26.25
2000-02-16,26.406
2000-02-17,26.25
2000-02-18,25.531
2000-02-22,26.313
2000-02-23,26.688
2000-02-24,25.125
2000-02-25,24.531
2000-02-28,24.531
2000-02-29,24.688
2000-03-01,24.156
2000-03-02,23.563
2000-03-03,24.531
2000-03-06,24.0
2000-03-07,23.25
2000-03-08,23.031
2000-03-09,22.813
2000-03-10,23.344
2000-03-13,22.969
2000-03-14,23.0
2000-03-15,25.094
2000-03-16,26.406
2000-03-17,25.031
2000-03-20,25.531
2000-03-21,26.094
2000-03-22,24.906
2000-03-23,25.188
2000-03-24,25.281
2000-03-27,24.75
2000-03-28,24.875
2000-03-29,25.438
2000-03-30,26.563
2000-03-31,26.156
2000-04-03,26.5
2000-04-04,26.906
2000-04-05,26.344
2000-04-06,26.406
2000-04-07,26.031
2000-04-10,25.969
2000-04-11,27.031
2000-04-12,28.563
2000-04-13,28.031
2000-04-14,26.594
2000-04-17,26.625
2000-04-18,25.594
2000-04-19,25.313
2000-04-20,26.5
2000-04-24,27.156
2000-04-25,27.969
2000-04-26,27.188
2000-04-27,26.875
2000-04-28,27.188
2000-05-01,27.25
2000-05-02,27.188
2000-05-03,26.313
2000-05-04,26.688
2000-05-05,27.563
2000-05-08,27.438
2000-05-09,27.75
2000-05-10,27.281
2000-05-11,27.906
2000-05-12,27.563
2000-05-15,28.406
2000-05-16,28.313
2000-05-17,27.719
2000-05-18,27.719
2000-05-19,27.594
2000-05-22,27.594
2000-05-23,27.25
2000-05-24,27.5
2000-05-25,25.688
2000-05-26,25.531
2000-05-30,25.938
2000-05-31,24.781
2000-06-01,24.938
2000-06-02,25.0
2000-06-05,24.563
2000-06-06,24.188
2000-06-07,24.094
2000-06-08,23.938
2000-06-09,23.969
2000-06-12,24.313
2000-06-13,23.719
2000-06-14,24.063
2000-06-15,23.5
2000-06-16,23.281
2000-06-19,22.281
2000-06-20,21.75
2000-06-21,21.063
2000-06-22,21.5
2000-06-23,21.531
2000-06-26,21.5
2000-06-27,22.344
2000-06-28,22.625
2000-06-29,22.5
2000-06-30,22.156
2000-07-03,22.969
2000-07-05,22.438
2000-07-06,21.969
2000-07-07,21.844
2000-07-10,21.813
2000-07-11,22.75
2000-07-12,22.406
2000-07-13,22.969
2000-07-14,22.656
2000-07-17,21.969
2000-07-18,21.813
2000-07-19,21.344
2000-07-20,21.063
2000-07-21,21.406
2000-07-24,21.219
2000-07-25,21.281
2000-07-26,20.719
2000-07-27,20.656
2000-07-28,20.344
2000-07-31,20.344
2000-08-01,20.344
2000-08-02,20.5
2000-08-03,20.375
2000-08-04,20.219
2000-08-07,21.094
2000-08-08,21.094
2000-08-09,21.344
2000-08-10,20.656
2000-08-11,21.281
2000-08-14,21.219
2000-08-15,21.594
2000-08-16,21.719
2000-08-17,21.469
2000-08-18,21.531
2000-08-21,21.25
2000-08-22,21.406
2000-08-23,21.125
2000-08-24,21.094
2000-08-25,21.375
2000-08-28,21.344
2000-08-29,21.0
2000-08-30,20.625
2000-08-31,20.25
2000-09-01,20.25
2000-09-05,20.406
2000-09-06,20.844
2000-09-07,20.25
2000-09-08,19.813
2000-09-11,19.906
2000-09-12,20.0
2000-09-13,19.875
2000-09-14,19.563
2000-09-15,19.063
2000-09-18,18.813
2000-09-19,18.469
2000-09-20,18.156
2000-09-21,18.375
2000-09-22,18.563
2000-09-25,18.281
2000-09-26,18.063
2000-09-27,18.844
2000-09-28,19.375
2000-09-29,19.844
