,Close
2000-01-03,237.5
2000-01-04,225.0
2000-01-05,222.5
2000-01-06,215.0
2000-01-07,220.0
2000-01-10,215.0
2000-01-11,212.5
2000-01-12,156.25
2000-01-13,158.75
2000-01-14,158.75
2000-01-18,157.5
2000-01-19,150.0
2000-01-20,150.0
2000-01-21,141.25
2000-01-24,148.75
2000-01-25,147.5
2000-01-26,133.75
2000-01-27,136.25
2000-01-28,132.5
2000-01-31,141.25
2000-02-01,151.25
2000-02-02,148.75
2000-02-03,145.0
2000-02-04,143.75
2000-02-07,147.5
2000-02-08,148.75
2000-02-09,150.0
2000-02-10,146.25
2000-02-11,141.25
2000-02-14,138.75
2000-02-15,140.0
2000-02-16,140.0
2000-02-17,136.25
2000-02-18,131.25
2000-02-22,133.75
2000-02-23,145.0
2000-02-24,142.5
2000-02-25,142.5
2000-02-28,138.75
2000-02-29,137.5
2000-03-01,140.0
2000-03-02,133.75
2000-03-03,130.0
2000-03-06,125.0
2000-03-07,125.0
2000-03-08,125.0
2000-03-09,122.5
2000-03-10,122.5
2000-03-13,120.0
2000-03-14,120.0
2000-03-15,113.75
2000-03-16,117.5
2000-03-17,117.5
2000-03-20,115.0
2000-03-21,116.25
2000-03-22,113.75
2000-03-23,116.25
2000-03-24,115.0
2000-03-27,116.25
2000-03-28,117.5
2000-03-29,115.0
2000-03-30,112.5
2000-03-31,110.0
2000-04-03,113.75
2000-04-04,110.0
2000-04-05,108.75
2000-04-06,106.25
2000-04-07,105.0
2000-04-10,113.75
2000-04-11,146.25
2000-04-12,131.25
2000-04-13,133.75
2000-04-14,125.0
2000-04-17,117.5
2000-04-18,117.5
2000-04-19,112.5
2000-04-20,112.5
2000-04-24,108.75
2000-04-25,113.75
2000-04-26,108.75
2000-04-27,102.5
2000-04-28,100.0
2000-05-01,97.5
2000-05-02,105.0
2000-05-03,105.0
2000-05-04,107.5
2000-05-05,111.25
2000-05-08,112.5
2000-05-09,116.25
2000-05-10,113.75
2000-05-11,123.75
2000-05-12,121.25
2000-05-15,140.0
2000-05-16,140.0
2000-05-17,138.75
2000-05-18,156.25
2000-05-19,150.0
2000-05-22,145.0
2000-05-23,133.75
2000-05-24,135.0
2000-05-25,141.25
2000-05-26,136.25
2000-05-30,138.75
2000-05-31,138.75
2000-06-01,132.5
2000-06-02,132.5
2000-06-05,128.75
2000-06-06,133.75
2000-06-07,146.25
2000-06-08,147.5
2000-06-09,155.0
2000-06-12,157.5
2000-06-13,157.5
2000-06-14,158.75
2000-06-15,156.25
2000-06-16,147.5
2000-06-19,150.0
2000-06-20,141.25
2000-06-21,136.25
2000-06-22,131.25
2000-06-23,133.75
2000-06-26,128.75
2000-06-27,131.25
2000-06-28,131.25
2000-06-29,130.0
2000-06-30,131.25
2000-07-03,133.75
2000-07-05,137.5
2000-07-06,147.5
2000-07-07,152.5
2000-07-10,163.75
2000-07-11,152.5
2000-07-12,120.0
2000-07-13,111.25
2000-07-14,106.25
2000-07-17,98.75
2000-07-18,96.25
2000-07-19,103.75
2000-07-20,100.0
2000-07-21,98.75
2000-07-24,92.5
2000-07-25,91.25
2000-07-26,86.25
2000-07-27,83.75
2000-07-28,85.0
2000-07-31,86.25
2000-08-01,86.25
2000-08-02,88.75
2000-08-03,86.25
2000-08-04,86.25
2000-08-07,85.0
2000-08-08,87.5
2000-08-09,87.5
2000-08-10,88.75
2000-08-11,87.5
2000-08-14,92.5
2000-08-15,93.75
2000-08-16,90.0
2000-08-17,91.25
2000-08-18,87.5
2000-08-21,87.5
2000-08-22,87.5
2000-08-23,85.0
2000-08-24,82.5
2000-08-25,82.5
2000-08-28,81.25
2000-08-29,81.25
2000-08-30,81.25
2000-08-31,80.0
2000-09-01,81.25
2000-09-05,77.5
2000-09-06,80.0
2000-09-07,81.25
2000-09-08,80.0
2000-09-11,78.75
2000-09-12,78.75
2000-09-13,78.75
2000-09-14,77.5
2000-09-15,76.25
2000-09-18,73.75
2000-09-19,70.0
2000-09-20,62.5
2000-09-21,63.75
2000-09-22,67.5
2000-09-25,62.5
2000-09-26,62.5
2000-09-27,70.0
2000-09-28,77.5
2000-09-29,80.0
2000-10-02,78.75
2000-10-03,81.25
2000-10-04,81.25
2000-10-05,81.25
2000-10-06,77.5
2000-10-09,80.0
2000-10-10,63.75
2000-10-11,61.25
2000-10-12,61.25
2000-10-13,63.75
2000-10-16,61.25
2000-10-17,58.75
2000-10-18,56.25
2000-10-19,57.5
2000-10-20,57.5
2000-10-23,56.25
2000-10-24,57.5
2000-10-25,52.5
2000-10-26,51.25
2000-10-27,52.5
2000-10-30,52.5
2000-10-31,51.25
2000-11-01,55.0
2000-11-02,57.5
2000-11-03,70.0
2000-11-06,76.25
2000-11-07,68.75
2000-11-08,60.0
2000-11-09,60.0
2000-11-10,57.5
2000-11-13,57.5
2000-11-14,57.5
2000-11-15,56.25
2000-11-16,58.75
2000-11-17,57.5
2000-11-20,56.25
2000-11-21,58.75
2000-11-22,57.5
2000-11-24,58.75
2000-11-27,56.25
2000-11-28,56.25
2000-11-29,51.25
2000-11-30,50.0
2000-12-01,50.0
2000-12-04,48.75
2000-12-05,48.75
2000-12-06,50.0
2000-12-07,50.0
2000-12-08,52.5
2000-12-11,53.75
2000-12-12,53.75
2000-12-13,52.5
2000-12-14,50.0
2000-12-15,50.0
2000-12-18,48.75
2000-12-19,48.75
2000-12-20,48.75
2000-12-21,43.75
2000-12-22,42.5
2000-12-26,40.0
2000-12-27,37.5
2000-12-28,37.5
2000-12-29,47.5
