,Close
2003-01-02,10.39
2003-01-03,10.39
2003-01-06,10.37
2003-01-07,10.42
2003-01-08,10.41
2003-01-09,10.385
2003-01-10,10.385
2003-01-13,10.38
2003-01-14,10.39
2003-01-15,10.38
2003-01-16,10.3701
2003-01-17,10.3599
2003-01-21,10.37
2003-01-22,10.4
2003-01-23,10.42
2003-01-24,10.4
2003-01-27,10.41
2003-01-28,10.42
2003-01-29,10.41
2003-01-30,10.41
2003-01-31,10.4
2003-02-03,10.401
2003-02-04,10.41
2003-02-05,10.4
2003-02-06,10.39
2003-02-07,10.39
2003-02-10,10.395
2003-02-11,10.33
2003-02-12,10.25
2003-02-13,10.32
2003-02-14,10.38
2003-02-18,10.42
2003-02-19,10.43
2003-02-20,10.481
