,Close
2000-01-03,46.9911
2000-01-04,44.2217
2000-01-05,42.703
2000-01-06,45.9191
2000-01-07,48.8672
2000-01-10,48.6885
2000-01-11,49.1352
2000-01-12,47.8845
2000-01-13,50.0286
2000-01-14,50.4753
2000-01-18,55.0314
2000-01-19,52.7087
2000-01-20,51.994
2000-01-21,54.3168
2000-01-24,51.3686
2000-01-25,52.0833
2000-01-26,49.8499
2000-01-27,46.8125
2000-01-28,45.3831
2000-01-31,45.4724
2000-02-01,48.1525
2000-02-02,49.5819
2000-02-03,49.5819
2000-02-04,49.7606
2000-02-07,49.9393
2000-02-08,48.6885
2000-02-09,45.0257
2000-02-10,48.2419
2000-02-11,48.9565
2000-02-14,49.7606
2000-02-15,52.8874
2000-02-16,53.2447
2000-02-17,52.1727
2000-02-18,50.0286
2000-02-22,49.1352
2000-02-23,48.2419
2000-02-24,47.7952
2000-02-25,49.4032
2000-02-28,51.3686
2000-02-29,56.3715
2000-03-01,59.945
2000-03-02,64.2331
2000-03-03,63.6078
2000-03-06,65.5732
2000-03-07,70.9334
2000-03-08,62.8931
2000-03-09,62.2677
2000-03-10,63.2504
2000-03-13,62.5357
2000-03-14,60.8383
2000-03-15,58.9623
2000-03-16,62.8037
2000-03-17,61.4637
2000-03-20,57.3542
2000-03-21,59.677
2000-03-22,64.8585
2000-03-23,64.6798
2000-03-24,66.0199
2000-03-27,66.7346
2000-03-28,64.3225
2000-03-29,71.4694
2000-03-30,70.04
2000-03-31,73.3455
2000-04-03,75.4002
2000-04-04,69.9507
2000-04-05,65.6625
2000-04-06,66.7346
2000-04-07,65.6625
2000-04-10,61.9104
2000-04-11,65.3945
2000-04-12,68.7893
2000-04-13,64.8585
2000-04-14,63.4291
2000-04-17,62.0891
2000-04-18,67.1812
2000-04-19,66.8239
2000-04-20,66.6452
2000-04-24,65.0372
2000-04-25,63.6971
2000-04-26,65.8412
2000-04-27,67.8959
2000-04-28,67.1812
2000-05-01,67.6279
2000-05-02,70.4867
2000-05-03,68.3426
2000-05-04,70.8441
2000-05-05,71.2907
2000-05-08,71.2907
2000-05-09,72.0054
2000-05-10,70.8441
2000-05-11,71.2014
2000-05-12,73.7922
2000-05-15,77.723
2000-05-16,74.2389
2000-05-17,75.8469
2000-05-18,70.9334
2000-05-19,71.2907
2000-05-22,67.0919
2000-05-23,68.5213
2000-05-24,67.9853
2000-05-25,67.3599
2000-05-26,66.8239
2000-05-30,67.2706
2000-05-31,70.308
2000-06-01,68.968
2000-06-02,65.1265
2000-06-05,63.2504
2000-06-06,66.6452
2000-06-07,66.8239
2000-06-08,68.0746
2000-06-09,66.5559
2000-06-12,69.8613
2000-06-13,71.6481
2000-06-14,72.2734
2000-06-15,70.7547
2000-06-16,74.4175
2000-06-19,75.7576
2000-06-20,75.1322
2000-06-21,77.0976
2000-06-22,77.9017
2000-06-23,76.4723
2000-06-26,74.2389
2000-06-27,75.0429
2000-06-28,72.8988
2000-06-29,73.9708
2000-06-30,76.3829
2000-07-03,75.3109
2000-07-05,71.1121
2000-07-06,70.308
2000-07-07,69.5933
2000-07-10,67.8959
2000-07-11,74.5962
2000-07-12,75.7576
2000-07-13,74.3282
2000-07-14,74.2389
2000-07-17,70.9334
2000-07-18,74.8642
2000-07-19,74.2389
2000-07-20,73.7028
2000-07-21,71.4694
2000-07-24,68.3426
2000-07-25,65.7519
2000-07-26,67.2706
2000-07-27,71.0227
2000-07-28,72.7201
2000-07-31,70.7547
2000-08-01,72.5415
2000-08-02,71.4694
2000-08-03,69.9507
2000-08-04,71.9161
2000-08-07,72.4521
2000-08-08,72.7201
2000-08-09,76.919
2000-08-10,77.723
2000-08-11,76.919
2000-08-14,79.7777
2000-08-15,80.5818
2000-08-16,84.0659
2000-08-17,84.6913
2000-08-18,82.4578
2000-08-21,76.0256
2000-08-22,79.8671
2000-08-23,85.5846
2000-08-24,84.6019
2000-08-25,84.4232
2000-08-28,87.9074
2000-08-29,87.282
2000-08-30,85.8526
2000-08-31,85.4059
2000-09-01,85.674
2000-09-05,86.5673
2000-09-06,91.1235
2000-09-07,89.3368
2000-09-08,87.4607
2000-09-11,90.5875
2000-09-12,90.2301
2000-09-13,88.7114
2000-09-14,89.2474
2000-09-15,90.1408
2000-09-18,87.1927
2000-09-19,85.5846
2000-09-20,82.9045
2000-09-21,80.2244
2000-09-22,78.4377
2000-09-25,79.1524
2000-09-26,81.3858
2000-09-27,82.7258
2000-09-28,82.7258
2000-09-29,83.7979
2000-10-02,85.1379
2000-10-03,85.8526
2000-10-04,81.2965
2000-10-05,79.9564
2000-10-06,80.7604
2000-10-09,81.9218
2000-10-10,86.478
2000-10-11,90.2301
2000-10-12,91.9275
2000-10-13,88.2647
2000-10-16,85.1379
2000-10-17,86.0313
2000-10-18,86.1206
2000-10-19,84.5126
2000-10-20,87.014
2000-10-23,84.4232
2000-10-24,80.6711
2000-10-25,78.9737
2000-10-26,77.8123
2000-10-27,73.8815
2000-10-30,75.1322
2000-10-31,75.7576
2000-11-01,79.331
2000-11-02,77.0083
2000-11-03,77.2763
2000-11-06,75.7576
2000-11-07,75.7576
2000-11-08,79.331
2000-11-09,77.8123
2000-11-10,75.0429
2000-11-13,72.6308
2000-11-14,74.1495
2000-11-15,77.6336
2000-11-16,77.455
2000-11-17,72.9881
2000-11-20,70.4867
2000-11-21,68.432
2000-11-22,66.4666
2000-11-24,69.504
2000-11-27,68.8786
2000-11-28,67.6279
2000-11-29,61.1063
2000-11-30,56.9969
2000-12-01,57.2649
2000-12-04,55.7461
2000-12-05,52.8874
2000-12-06,51.0113
2000-12-07,50.0286
2000-12-08,50.7433
2000-12-11,54.4061
2000-12-12,55.8355
2000-12-13,56.4608
2000-12-14,54.8528
2000-12-15,56.1928
2000-12-18,62.5357
2000-12-19,63.7864
2000-12-20,60.213
2000-12-21,61.1957
2000-12-22,61.6424
2000-12-26,65.4838
2000-12-27,64.5011
2000-12-28,66.4666
2000-12-29,65.7519
2001-01-02,67.6279
2001-01-03,65.2158
2001-01-04,60.749
2001-01-05,60.6597
2001-01-08,60.481
2001-01-09,61.1957
2001-01-10,63.3398
2001-01-11,63.3398
2001-01-12,62.7144
2001-01-16,65.3052
2001-01-17,63.1611
2001-01-18,60.749
2001-01-19,59.677
2001-01-22,60.6597
2001-01-23,62.6251
2001-01-24,65.5732
2001-01-25,65.3052
2001-01-26,61.4637
2001-01-29,58.6049
2001-01-30,63.2504
2001-01-31,64.9657
2001-02-01,63.0503
2001-02-02,64.8513
2001-02-05,68.3962
2001-02-06,70.04
2001-02-07,70.1401
2001-02-08,71.1121
2001-02-09,72.1126
2001-02-12,70.5546
2001-02-13,69.7684
2001-02-14,70.4688
2001-02-15,69.6112
2001-02-16,71.5552
2001-02-20,71.3551
2001-02-21,69.5397
2001-02-22,67.6815
2001-02-23,66.781
2001-02-26,69.6827
2001-02-27,69.2967
2001-02-28,68.7965
2001-03-01,68.7536
2001-03-02,70.7547
2001-03-05,71.6409
2001-03-06,72.7559
2001-03-07,75.0429
2001-03-08,75.486
2001-03-09,73.7564
2001-03-12,71.5123
2001-03-13,68.6249
2001-03-14,66.8811
2001-03-15,66.2521
2001-03-16,66.2521
2001-03-19,68.1818
2001-03-20,69.1967
2001-03-21,67.753
2001-03-22,65.1801
2001-03-23,64.3939
2001-03-26,66.7524
2001-03-27,65.2516
2001-03-28,62.8788
2001-03-29,60.4631
2001-03-30,61.964
2001-04-02,59.1767
2001-04-03,57.9188
2001-04-04,61.5352
2001-04-05,64.7799
2001-04-06,65.0086
2001-04-09,67.1098
2001-04-10,67.8816
2001-04-11,66.5523
2001-04-12,66.3093
2001-04-16,67.6101
2001-04-17,69.4683
2001-04-18,68.3105
2001-04-19,66.1521
2001-04-20,67.9102
2001-04-23,71.1121
2001-04-24,71.4694
2001-04-25,73.2847
2001-04-26,76.1292
2001-04-27,75.7576
2001-04-30,77.5872
2001-05-01,77.5586
2001-05-02,72.47
2001-05-03,71.9411
2001-05-04,73.6278
2001-05-07,72.6129
2001-05-08,71.4265
2001-05-09,72.1841
2001-05-10,72.1126
2001-05-11,71.3408
2001-05-14,73.542
2001-05-15,75.972
2001-05-16,77.9017
2001-05-17,81.3036
2001-05-18,81.4751
2001-05-21,82.0898
2001-05-22,81.4322
2001-05-23,78.3591
2001-05-24,75.7433
2001-05-25,77.7587
2001-05-29,76.1006
2001-05-30,75.486
2001-05-31,76.4008
2001-06-01,76.3293
2001-06-04,78.2447
2001-06-05,78.4162
2001-06-06,74.8999
2001-06-07,72.9131
2001-06-08,73.9565
2001-06-11,72.7416
2001-06-12,73.4277
2001-06-13,72.8559
2001-06-14,71.984
2001-06-15,71.6123
2001-06-18,71.9983
2001-06-19,69.7541
2001-06-20,68.5392
2001-06-21,66.052
2001-06-22,65.7519
2001-06-25,65.5374
2001-06-26,65.7519
2001-06-27,61.3922
2001-06-28,59.3196
2001-06-29,58.9623
2001-07-02,58.076
2001-07-03,58.319
2001-07-05,58.6049
2001-07-06,59.534
2001-07-09,57.6758
2001-07-10,56.5323
2001-07-11,56.2464
2001-07-12,53.2161
2001-07-13,54.4168
2001-07-16,49.3282
2001-07-17,49.7856
2001-07-18,48.442
2001-07-19,49.028
2001-07-20,51.9868
2001-07-23,52.4728
2001-07-24,51.9154
2001-07-25,52.8874
2001-07-26,52.4585
2001-07-27,52.8588
2001-07-30,52.0726
2001-07-31,46.1549
2001-08-01,46.4122
2001-08-02,46.5981
2001-08-03,44.3396
2001-08-06,44.8828
2001-08-07,44.3253
2001-08-08,41.8096
2001-08-09,42.5243
2001-08-10,42.9102
2001-08-13,42.5529
2001-08-14,43.5535
2001-08-15,45.7261
2001-08-16,45.3831
2001-08-17,45.3831
2001-08-20,44.1252
2001-08-21,44.3825
2001-08-22,44.454
2001-08-23,43.5249
2001-08-24,43.8107
2001-08-27,43.3819
2001-08-28,42.8674
2001-08-29,42.6244
2001-08-30,41.0091
2001-08-31,41.3093
2001-09-04,41.7953
2001-09-05,40.7376
2001-09-06,42.167
2001-09-07,41.9954
2001-09-10,42.4957
2001-09-17,39.8656
2001-09-18,37.3785
2001-09-19,36.4494
2001-09-20,37.7358
2001-09-21,38.665
2001-09-24,37.1641
2001-09-25,35.8776
2001-09-26,34.8056
2001-09-27,34.2767
2001-09-28,37.7358
2001-10-01,36.4494
2001-10-02,36.0635
2001-10-03,36.8782
2001-10-04,39.0223
2001-10-05,38.7364
2001-10-08,38.036
2001-10-09,38.2218
2001-10-10,39.98
2001-10-11,40.7804
2001-10-12,41.4523
2001-10-15,40.0086
2001-10-16,42.0812
2001-10-17,41.2807
2001-10-18,40.0086
2001-10-19,41.0234
2001-10-22,42.267
2001-10-23,42.7387
2001-10-24,42.3814
2001-10-25,45.5832
2001-10-26,47.1841
2001-10-29,45.7404
2001-10-30,42.9531
2001-10-31,43.0961
2001-11-01,43.3533
2001-11-02,42.2956
2001-11-05,40.7376
2001-11-06,40.8662
2001-11-07,41.8811
2001-11-08,42.9102
2001-11-09,44.1681
2001-11-12,44.454
2001-11-13,44.8113
2001-11-14,40.3802
2001-11-15,36.8353
2001-11-16,38.665
2001-11-19,39.0366
2001-11-20,41.2236
2001-11-21,40.7519
2001-11-23,41.2236
2001-11-26,40.1658
2001-11-27,39.8799
2001-11-28,39.7227
2001-11-29,40.3087
2001-11-30,40.4517
2001-12-03,41.0234
2001-12-04,42.5958
2001-12-05,44.0966
2001-12-06,43.1675
2001-12-07,44.6541
2001-12-10,43.4105
2001-12-11,43.4677
2001-12-12,42.6244
2001-12-13,42.7101
2001-12-14,44.0823
2001-12-17,41.924
2001-12-18,42.4814
2001-12-19,45.0257
2001-12-20,44.0252
2001-12-21,45.1687
2001-12-24,45.6404
2001-12-26,47.3128
2001-12-27,46.9125
2001-12-28,48.2561
2001-12-31,48.3419
2002-01-02,46.4408
2002-01-03,45.1687
2002-01-04,46.3551
2002-01-07,46.5266
2002-01-08,45.3831
2002-01-09,45.426
2002-01-10,43.7679
2002-01-11,42.0955
2002-01-14,41.1807
2002-01-15,42.3242
2002-01-16,40.0943
2002-01-17,40.2802
2002-01-18,40.3945
2002-01-22,39.8799
2002-01-23,41.7381
2002-01-24,42.6529
2002-01-25,43.5963
2002-01-28,42.3099
2002-01-29,41.5237
2002-01-30,42.5243
2002-01-31,43.7965
2002-02-01,43.482
2002-02-04,42.4528
2002-02-05,39.9514
2002-02-06,40.5946
2002-02-07,38.8794
2002-02-08,39.737
2002-02-11,41.2379
2002-02-12,39.8085
2002-02-13,40.0229
2002-02-14,40.1372
2002-02-15,39.2224
2002-02-19,38.765
2002-02-20,38.0932
2002-02-21,39.2367
2002-02-22,40.1229
2002-02-25,41.2664
2002-02-26,41.4523
2002-02-27,40.7233
2002-02-28,40.0372
2002-03-01,40.3945
2002-03-04,41.7953
2002-03-05,42.0383
2002-03-06,43.3533
2002-03-07,44.3253
2002-03-08,44.5969
2002-03-11,46.5409
2002-03-12,47.7416
2002-03-13,46.9554
2002-03-14,45.669
2002-03-15,46.8839
2002-03-18,48.1418
2002-03-19,49.028
2002-03-20,48.1704
2002-03-21,48.3991
2002-03-22,46.1407
2002-03-25,45.8977
2002-03-26,45.426
2002-03-27,47.6701
2002-03-28,47.4986
2002-04-01,47.956
2002-04-02,48.5992
2002-04-03,47.1412
2002-04-04,45.6832
2002-04-05,46.8125
2002-04-08,46.8125
2002-04-09,45.7118
2002-04-10,46.2407
2002-04-11,45.7976
2002-04-12,43.3819
2002-04-15,45.4545
2002-04-16,46.5695
2002-04-17,47.813
2002-04-18,47.7559
2002-04-19,48.2561
2002-04-22,47.8845
2002-04-23,49.514
