,Close
2019-01-02,23.8467
2019-01-03,23.5667
2019-01-04,24.3333
2019-01-07,24.4
2019-01-08,24.84
2019-01-09,25.34
2019-01-10,25.7733
2019-01-11,25.5333
2019-01-14,25.58
2019-01-15,25.7267
2019-01-16,25.4333
2019-01-17,25.2667
2019-01-18,25.7867
2019-01-22,25.6
2019-01-23,24.8
2019-01-24,25.1867
2019-01-25,25.42
2019-01-28,24.9067
2019-01-29,24.62
2019-01-30,24.6933
2019-01-31,24.8267
2019-02-01,24.9467
2019-02-04,24.6067
2019-02-05,25.1
2019-02-06,24.9333
2019-02-07,25.0733
2019-02-08,25.24
2019-02-11,25.52
2019-02-12,25.9867
2019-02-13,26.2467
2019-02-14,26.4533
2019-02-15,26.74
2019-02-19,26.4733
2019-02-20,26.2333
2019-02-21,26.4133
2019-02-22,26.2867
2019-02-25,26.1133
2019-02-26,26.1067
2019-02-27,26.1933
2019-02-28,26.44
2019-03-01,26.52
2019-03-04,26.8667
2019-03-05,26.84
2019-03-06,26.8067
2019-03-07,26.6467
2019-03-08,26.74
2019-03-11,27.1333
2019-03-12,27.12
2019-03-13,27.3667
2019-03-14,27.3467
2019-03-15,26.9733
2019-03-18,27.3267
2019-03-19,27.22
2019-03-20,27.0333
2019-03-21,27.3933
2019-03-22,26.92
2019-03-25,27.0467
2019-03-26,27.3267
2019-03-27,27.4733
2019-03-28,27.7933
2019-03-29,27.7467
2019-04-01,27.9733
2019-04-02,27.9133
2019-04-03,28.1067
2019-04-04,27.8
2019-04-05,27.8267
2019-04-08,27.8733
2019-04-09,27.78
2019-04-10,27.8933
2019-04-11,28.2733
2019-04-12,28.62
2019-04-15,28.7067
2019-04-16,28.7667
2019-04-17,28.6333
2019-04-18,28.8667
2019-04-22,28.9667
2019-04-23,29.1667
2019-04-24,26.2333
2019-04-25,26.0733
2019-04-26,26.0667
2019-04-29,25.9333
2019-04-30,25.78
2019-05-01,24.76
2019-05-02,25.0133
2019-05-03,25.24
2019-05-06,25.0467
2019-05-07,24.5
2019-05-08,24.4867
2019-05-09,24.32
2019-05-10,24.2933
2019-05-13,23.8
2019-05-14,24.0867
2019-05-15,24.2133
2019-05-16,24.6
2019-05-17,24.5867
2019-05-20,24.68
2019-05-21,25.0267
2019-05-22,25.0
2019-05-23,24.5733
2019-05-24,24.6867
2019-05-28,24.3867
2019-05-29,24.6133
2019-05-30,25.1533
2019-05-31,25.0467
2019-06-03,24.88
2019-06-04,25.3133
2019-06-05,25.3267
2019-06-06,25.3133
2019-06-07,25.66
2019-06-10,25.48
2019-06-11,25.0267
2019-06-12,25.1933
2019-06-13,25.1667
2019-06-14,25.1
2019-06-17,24.9867
2019-06-18,25.1267
2019-06-19,25.2333
2019-06-20,25.3133
2019-06-21,25.0533
2019-06-24,24.4333
2019-06-25,24.4267
2019-06-26,23.6067
2019-06-27,24.42
