,Close
2000-01-03,26.125
2000-01-04,25.9375
2000-01-05,26.25
2000-01-06,26.375
2000-01-07,27.9375
2000-01-10,27.625
2000-01-11,27.5625
2000-01-12,26.5
2000-01-13,26.1875
2000-01-14,25.375
2000-01-18,19.0
2000-01-19,19.6875
2000-01-20,18.5
2000-01-21,19.5
2000-01-24,18.1875
2000-01-25,20.0
2000-01-26,21.5
2000-01-27,23.0625
2000-01-28,24.0625
2000-01-31,22.8125
2000-02-01,21.9375
2000-02-02,22.5
2000-02-03,22.1875
2000-02-04,22.0
2000-02-07,21.75
2000-02-08,21.5625
2000-02-09,21.25
2000-02-10,20.9375
2000-02-11,20.875
2000-02-14,20.375
2000-02-15,20.4375
2000-02-16,20.25
2000-02-17,19.875
2000-02-18,19.6875
2000-02-22,20.9375
2000-02-23,19.1875
2000-02-24,19.375
2000-02-25,19.3125
2000-02-28,19.125
2000-02-29,18.5
2000-03-01,18.6875
2000-03-02,18.25
2000-03-03,18.0
2000-03-06,17.875
2000-03-07,17.875
2000-03-08,18.0
2000-03-09,18.1875
2000-03-10,17.75
2000-03-13,18.4375
2000-03-14,18.125
2000-03-15,19.125
2000-03-16,19.5
2000-03-17,20.0
2000-03-20,19.875
2000-03-21,19.375
2000-03-22,19.0
2000-03-23,18.8125
2000-03-24,18.3125
2000-03-27,18.9375
2000-03-28,18.875
2000-03-29,19.0
2000-03-30,18.3125
2000-03-31,17.75
2000-04-03,18.25
2000-04-04,18.4375
2000-04-05,19.6875
2000-04-06,20.75
2000-04-07,20.0
2000-04-10,20.6875
2000-04-11,20.625
2000-04-12,21.625
2000-04-13,21.4375
2000-04-14,19.875
2000-04-17,20.0625
2000-04-18,19.6875
2000-04-19,19.6875
2000-04-20,21.375
2000-04-24,23.4375
2000-04-25,23.25
2000-04-26,22.4375
2000-04-27,21.9375
2000-04-28,22.1875
2000-05-01,23.4375
2000-05-02,23.4375
2000-05-03,22.9375
2000-05-04,24.0625
2000-05-05,23.4375
2000-05-08,24.0
2000-05-09,23.1875
2000-05-10,23.1875
2000-05-11,24.0625
2000-05-12,24.8125
2000-05-15,24.8125
2000-05-16,24.8125
2000-05-17,24.875
2000-05-18,24.9375
2000-05-19,23.0
2000-05-22,22.5
2000-05-23,22.6875
2000-05-24,22.9375
2000-05-25,22.5
2000-05-26,22.0
2000-05-30,22.75
2000-05-31,23.4375
2000-06-01,24.125
2000-06-02,24.5625
2000-06-05,24.0
2000-06-06,23.625
2000-06-07,22.625
2000-06-08,21.125
2000-06-09,23.25
2000-06-12,23.4375
2000-06-13,24.1875
2000-06-14,23.9375
2000-06-15,23.125
2000-06-16,23.5625
2000-06-19,23.1875
2000-06-20,22.25
2000-06-21,22.0625
2000-06-22,21.5
2000-06-23,21.875
2000-06-26,22.0
2000-06-27,21.125
2000-06-28,20.6875
2000-06-29,20.5625
2000-06-30,19.25
2000-07-03,20.375
2000-07-05,20.75
2000-07-06,20.9375
2000-07-07,20.4375
2000-07-10,19.8125
2000-07-11,20.25
2000-07-12,20.125
2000-07-13,20.5625
2000-07-14,20.625
2000-07-17,20.1875
2000-07-18,20.375
2000-07-19,20.9375
2000-07-20,23.4375
2000-07-21,23.0625
2000-07-24,22.9375
2000-07-25,22.875
2000-07-26,22.4375
2000-07-27,21.9375
2000-07-28,23.0
2000-07-31,24.25
2000-08-01,24.9375
2000-08-02,26.5625
2000-08-03,26.25
2000-08-04,28.0625
2000-08-07,28.125
2000-08-08,28.25
2000-08-09,27.5
2000-08-10,27.75
2000-08-11,29.5625
2000-08-14,28.6875
2000-08-15,28.375
2000-08-16,28.375
2000-08-17,28.0
2000-08-18,27.4375
2000-08-21,28.375
2000-08-22,28.75
2000-08-23,28.625
2000-08-24,28.625
2000-08-25,29.0
2000-08-28,28.5625
2000-08-29,27.0625
2000-08-30,26.5625
2000-08-31,27.8125
2000-09-01,28.125
2000-09-05,28.0625
2000-09-06,26.875
2000-09-07,27.5
2000-09-08,26.625
2000-09-11,26.0
2000-09-12,25.625
2000-09-13,25.625
2000-09-14,26.0625
2000-09-15,26.6875
2000-09-18,25.6875
2000-09-19,25.125
2000-09-20,25.0625
2000-09-21,26.0
2000-09-22,26.25
2000-09-25,25.875
2000-09-26,26.125
2000-09-27,26.875
2000-09-28,28.3125
2000-09-29,28.4375
2000-10-02,27.25
2000-10-03,29.0
2000-10-04,29.0625
2000-10-05,28.5625
2000-10-06,29.25
2000-10-09,29.25
2000-10-10,29.4375
2000-10-11,29.75
2000-10-12,31.625
2000-10-13,32.5625
2000-10-16,30.75
2000-10-17,29.125
