,Close
2000-01-03,18.432
2000-01-04,17.676
2000-01-05,17.326
2000-01-06,18.155
2000-01-07,18.874
2000-01-10,19.058
2000-01-11,18.616
2000-01-12,19.04
2000-01-13,19.243
2000-01-14,18.819
2000-01-18,18.505
2000-01-19,17.897
2000-01-20,17.492
2000-01-21,17.879
2000-01-24,17.694
2000-01-25,16.773
2000-01-26,16.81
2000-01-27,16.275
2000-01-28,15.409
2000-01-31,15.612
2000-02-01,15.833
2000-02-02,15.851
2000-02-03,15.612
2000-02-04,15.096
2000-02-07,14.948
2000-02-08,15.04
2000-02-09,14.93
2000-02-10,14.782
2000-02-11,14.266
2000-02-14,14.838
2000-02-15,15.464
2000-02-16,15.372
2000-02-17,15.962
2000-02-18,15.446
2000-02-22,15.778
2000-02-23,15.556
2000-02-24,15.003
2000-02-25,14.764
2000-02-28,15.059
2000-02-29,15.022
2000-03-01,14.985
2000-03-02,14.985
2000-03-03,15.28
2000-03-06,14.745
2000-03-07,14.893
2000-03-08,14.524
2000-03-09,14.174
2000-03-10,14.414
2000-03-13,14.45
2000-03-14,14.727
2000-03-15,16.183
2000-03-16,16.81
2000-03-17,16.109
2000-03-20,16.552
2000-03-21,16.736
2000-03-22,16.46
2000-03-23,17.215
2000-03-24,16.828
2000-03-27,16.939
2000-03-28,17.049
2000-03-29,16.994
2000-03-30,18.063
2000-03-31,18.634
2000-04-03,18.247
2000-04-04,18.634
2000-04-05,17.989
2000-04-06,18.137
2000-04-07,17.971
2000-04-10,18.874
2000-04-11,18.948
2000-04-12,18.966
2000-04-13,17.952
2000-04-14,16.699
2000-04-17,17.565
2000-04-18,17.123
2000-04-19,17.952
2000-04-20,18.892
2000-04-24,19.132
2000-04-25,19.04
2000-04-26,17.879
2000-04-27,18.284
2000-04-28,18.34
2000-05-01,18.284
2000-05-02,18.505
2000-05-03,18.082
2000-05-04,18.211
2000-05-05,19.261
2000-05-08,18.358
2000-05-09,18.432
2000-05-10,17.621
2000-05-11,18.727
2000-05-12,18.948
2000-05-15,18.892
2000-05-16,19.519
2000-05-17,19.224
2000-05-18,19.058
2000-05-19,18.395
2000-05-22,18.266
2000-05-23,17.934
2000-05-24,17.658
2000-05-25,17.51
2000-05-26,17.381
2000-05-30,17.4
2000-05-31,17.823
2000-06-01,18.192
2000-06-02,18.616
2000-06-05,17.916
2000-06-06,18.155
2000-06-07,17.694
2000-06-08,16.791
2000-06-09,17.307
2000-06-12,17.197
2000-06-13,16.865
2000-06-14,17.621
2000-06-15,17.584
2000-06-16,17.363
2000-06-19,16.92
2000-06-20,16.386
2000-06-21,16.773
2000-06-22,16.662
2000-06-23,16.828
2000-06-26,16.828
2000-06-27,16.662
2000-06-28,16.718
2000-06-29,16.072
2000-06-30,17.363
2000-07-03,16.718
2000-07-05,17.326
2000-07-06,17.012
2000-07-07,17.326
2000-07-10,17.492
2000-07-11,17.694
2000-07-12,17.768
2000-07-13,17.842
2000-07-14,18.026
2000-07-17,17.86
2000-07-18,17.4
2000-07-19,16.957
2000-07-20,16.92
2000-07-21,17.326
2000-07-24,17.418
2000-07-25,17.178
2000-07-26,16.92
2000-07-27,16.957
2000-07-28,16.939
2000-07-31,17.215
2000-08-01,17.436
2000-08-02,17.16
2000-08-03,16.847
2000-08-04,17.4
2000-08-07,17.989
2000-08-08,18.063
2000-08-09,17.952
2000-08-10,18.026
2000-08-11,17.916
2000-08-14,17.971
2000-08-15,17.713
2000-08-16,17.879
2000-08-17,18.432
2000-08-18,18.137
2000-08-21,18.727
2000-08-22,18.8
2000-08-23,18.911
2000-08-24,18.653
2000-08-25,18.653
2000-08-28,18.819
2000-08-29,18.45
2000-08-30,17.989
2000-08-31,18.413
2000-09-01,18.284
2000-09-05,18.063
2000-09-06,18.819
2000-09-07,18.69
2000-09-08,18.247
2000-09-11,18.542
2000-09-12,18.542
2000-09-13,18.561
2000-09-14,18.874
2000-09-15,18.856
2000-09-18,18.985
2000-09-19,18.45
2000-09-20,17.916
2000-09-21,18.505
2000-09-22,19.335
2000-09-25,19.685
2000-09-26,19.777
2000-09-27,20.293
2000-09-28,21.086
2000-09-29,20.422
2000-10-02,20.201
2000-10-03,20.828
2000-10-04,20.809
2000-10-05,21.455
2000-10-06,21.233
2000-10-09,20.662
2000-10-10,21.178
2000-10-11,21.086
2000-10-12,20.054
2000-10-13,20.551
2000-10-16,21.252
2000-10-17,20.551
2000-10-18,20.164
2000-10-19,20.054
2000-10-20,19.169
2000-10-23,18.727
2000-10-24,19.077
2000-10-25,18.874
2000-10-26,19.611
2000-10-27,19.833
2000-10-30,20.312
2000-10-31,20.588
2000-11-01,20.238
2000-11-02,20.275
2000-11-03,19.796
2000-11-06,20.588
2000-11-07,20.072
2000-11-08,19.962
2000-11-09,20.035
2000-11-10,19.519
2000-11-13,19.482
2000-11-14,19.851
2000-11-15,19.777
2000-11-16,20.22
2000-11-17,20.459
2000-11-20,20.349
2000-11-21,20.644
2000-11-22,20.699
2000-11-24,21.215
2000-11-27,20.625
2000-11-28,20.164
