,Close
2001-01-02,11.25
2001-01-03,14.6875
2001-01-04,15.0625
2001-01-05,15.0
2001-01-08,13.1875
2001-01-09,16.8125
2001-01-10,16.25
2001-01-11,16.375
2001-01-12,18.25
2001-01-16,16.3125
2001-01-17,18.375
2001-01-18,17.5
2001-01-19,18.125
2001-01-22,17.8125
2001-01-23,18.0
2001-01-24,19.4375
2001-01-25,16.625
2001-01-26,16.3125
2001-01-29,17.0
2001-01-30,16.8125
2001-01-31,16.875
2001-02-01,18.0
2001-02-02,16.75
2001-02-05,16.125
2001-02-06,15.1875
2001-02-07,14.25
2001-02-08,14.125
2001-02-09,13.4375
2001-02-12,14.0625
2001-02-13,12.9375
2001-02-14,13.5625
2001-02-15,14.3125
2001-02-16,13.375
2001-02-20,12.1875
2001-02-21,12.5625
2001-02-22,13.0
2001-02-23,12.4375
2001-02-26,12.9375
2001-02-27,13.1875
2001-02-28,12.875
2001-03-01,13.0
2001-03-02,11.25
2001-03-05,11.0
2001-03-06,11.125
2001-03-07,11.8125
2001-03-08,11.3125
2001-03-09,10.8125
2001-03-12,10.4375
2001-03-13,10.9375
2001-03-14,10.5
2001-03-15,10.3125
2001-03-16,9.8438
2001-03-19,9.8125
2001-03-20,9.0313
2001-03-21,8.5
2001-03-22,8.5625
2001-03-23,8.9375
2001-03-26,9.1563
2001-03-27,9.8438
2001-03-28,9.0938
2001-03-29,8.2188
2001-03-30,7.1875
2001-04-02,7.5625
2001-04-03,6.1875
2001-04-04,5.2813
2001-04-05,6.75
2001-04-06,6.25
2001-04-09,6.0
2001-04-10,7.45
2001-04-11,8.13
2001-04-12,7.56
2001-04-16,7.67
2001-04-17,8.14
2001-04-18,10.33
2001-04-19,13.74
2001-04-20,12.77
2001-04-23,11.89
2001-04-24,11.66
2001-04-25,12.87
2001-04-26,12.66
2001-04-27,13.05
2001-04-30,13.45
2001-05-01,12.33
2001-05-02,13.0
2001-05-03,12.24
2001-05-04,13.9
2001-05-07,12.29
2001-05-08,12.72
2001-05-09,12.17
2001-05-10,11.55
2001-05-11,11.87
2001-05-14,11.58
2001-05-15,10.9
2001-05-16,11.67
2001-05-17,12.39
2001-05-18,11.93
2001-05-21,12.84
2001-05-22,13.23
2001-05-23,12.04
2001-05-24,12.04
2001-05-25,11.84
2001-05-29,10.89
2001-05-30,9.67
2001-05-31,9.57
2001-06-01,9.48
2001-06-04,9.46
2001-06-05,9.4
2001-06-06,9.84
2001-06-07,9.89
2001-06-08,9.73
2001-06-11,9.16
2001-06-12,9.53
2001-06-13,9.47
2001-06-14,8.52
2001-06-15,8.18
2001-06-18,7.9
2001-06-19,7.32
2001-06-20,7.85
2001-06-21,8.32
2001-06-22,7.71
2001-06-25,8.4
2001-06-26,8.69
2001-06-27,8.76
2001-06-28,9.1
2001-06-29,9.75
2001-07-02,9.71
2001-07-03,8.86
2001-07-05,8.78
2001-07-06,8.58
2001-07-09,7.82
2001-07-10,7.3
2001-07-11,6.9
2001-07-12,7.12
2001-07-13,7.27
2001-07-16,6.39
2001-07-17,6.7
2001-07-18,6.46
2001-07-19,6.76
2001-07-20,6.73
2001-07-23,6.61
2001-07-24,6.55
2001-07-25,6.76
2001-07-26,6.85
2001-07-27,6.15
2001-07-30,6.26
2001-07-31,6.25
2001-08-01,6.22
2001-08-02,6.0
2001-08-03,5.82
2001-08-06,5.6
2001-08-07,5.86
2001-08-08,5.48
2001-08-09,5.28
2001-08-10,4.9
2001-08-13,5.2
2001-08-14,5.27
2001-08-15,4.91
2001-08-16,4.75
2001-08-17,5.07
2001-08-20,5.27
2001-08-21,5.0
2001-08-22,5.42
2001-08-23,5.4
2001-08-24,5.2
2001-08-27,5.68
2001-08-28,5.66
2001-08-29,5.6
2001-08-30,5.44
2001-08-31,5.41
2001-09-04,5.21
2001-09-05,5.43
2001-09-06,5.28
2001-09-07,4.95
2001-09-10,4.85
2001-09-17,4.78
2001-09-18,4.4
2001-09-19,3.55
2001-09-20,3.59
2001-09-21,3.8
2001-09-24,4.36
2001-09-25,4.0
2001-09-26,4.17
2001-09-27,3.85
2001-09-28,3.85
2001-10-01,3.73
2001-10-02,3.77
2001-10-03,4.12
2001-10-04,4.07
2001-10-05,4.39
2001-10-08,4.0
2001-10-09,4.08
2001-10-10,4.44
2001-10-11,4.04
2001-10-12,4.39
2001-10-15,4.31
2001-10-16,4.98
2001-10-17,5.0
2001-10-18,4.91
2001-10-19,5.21
2001-10-22,5.06
2001-10-23,4.87
2001-10-24,5.19
2001-10-25,5.1
2001-10-26,4.81
2001-10-29,4.61
2001-10-30,4.05
2001-10-31,4.31
2001-11-01,4.19
2001-11-02,4.34
2001-11-05,4.01
2001-11-06,4.64
2001-11-07,5.03
2001-11-08,5.61
2001-11-09,5.54
2001-11-12,5.47
2001-11-13,5.49
2001-11-14,5.47
2001-11-15,5.28
2001-11-16,5.98
2001-11-19,6.62
2001-11-20,6.6
2001-11-21,6.47
2001-11-23,7.04
2001-11-26,7.08
2001-11-27,6.89
2001-11-28,6.69
2001-11-29,6.27
2001-11-30,6.28
2001-12-03,5.93
2001-12-04,6.52
2001-12-05,7.02
2001-12-06,7.13
2001-12-07,7.0
2001-12-10,6.46
2001-12-11,7.03
2001-12-12,7.62
2001-12-13,7.12
2001-12-14,7.13
2001-12-17,7.21
2001-12-18,7.47
2001-12-19,7.37
2001-12-20,6.96
2001-12-21,7.25
2001-12-24,8.25
2001-12-26,7.88
2001-12-27,8.0
2001-12-28,7.8
2001-12-31,7.72
2002-01-02,7.25
2002-01-03,7.14
2002-01-04,7.01
2002-01-07,6.76
2002-01-08,6.67
2002-01-09,6.13
2002-01-10,6.23
2002-01-11,5.82
2002-01-14,6.2
2002-01-15,6.08
2002-01-16,5.5
2002-01-17,5.56
2002-01-18,5.41
2002-01-22,4.8
2002-01-23,4.83
2002-01-24,5.09
2002-01-25,5.23
2002-01-28,5.14
2002-01-29,4.78
2002-01-30,4.7
2002-01-31,5.5
2002-02-01,5.21
2002-02-04,4.35
2002-02-05,4.55
2002-02-06,4.1
2002-02-07,4.05
2002-02-08,4.15
2002-02-11,3.98
2002-02-12,4.24
2002-02-13,4.7
2002-02-14,4.89
2002-02-15,4.8
2002-02-19,4.36
2002-02-20,4.69
2002-02-21,3.9
2002-02-22,3.78
2002-02-25,4.13
2002-02-26,4.22
2002-02-27,4.01
2002-02-28,4.39
2002-03-01,4.3
2002-03-04,4.52
2002-03-05,4.5
2002-03-06,4.46
2002-03-07,4.39
2002-03-08,4.61
2002-03-11,4.62
2002-03-12,4.65
2002-03-13,4.45
2002-03-14,4.65
2002-03-15,4.65
2002-03-18,4.93
2002-03-19,5.11
2002-03-20,4.86
2002-03-21,5.15
2002-03-22,5.04
2002-03-25,4.88
2002-03-26,4.85
2002-03-27,4.77
2002-03-28,4.75
2002-04-01,4.53
2002-04-02,4.51
2002-04-03,4.479
2002-04-04,4.61
2002-04-05,4.62
2002-04-08,4.81
2002-04-09,4.4
2002-04-10,4.471
2002-04-11,3.929
2002-04-12,4.34
2002-04-15,4.29
2002-04-16,4.5
2002-04-17,4.68
2002-04-18,4.72
2002-04-19,5.4
2002-04-22,5.24
2002-04-23,5.19
