,Close
2001-01-02,54.0
2001-01-03,69.8125
2001-01-04,66.75
2001-01-05,58.3125
2001-01-08,63.25
2001-01-09,62.1875
2001-01-10,69.375
2001-01-11,75.5
2001-01-12,72.0
2001-01-16,68.4375
2001-01-17,75.4375
2001-01-18,77.0
2001-01-19,77.3281
2001-01-22,77.625
2001-01-23,78.4844
2001-01-24,79.375
2001-01-25,76.0
2001-01-26,73.375
2001-01-29,74.25
2001-01-30,71.4375
2001-01-31,66.3125
2001-02-01,66.8125
2001-02-02,63.0
2001-02-05,68.125
2001-02-06,66.25
2001-02-07,64.625
2001-02-08,62.25
2001-02-09,58.6875
2001-02-12,58.125
2001-02-13,55.9375
2001-02-14,63.375
2001-02-15,65.125
2001-02-16,62.3125
2001-02-20,55.125
2001-02-21,53.375
2001-02-22,53.9375
2001-02-23,48.0625
2001-02-26,48.5625
2001-02-27,41.5
2001-02-28,38.25
2001-03-01,44.625
2001-03-02,36.1094
2001-03-05,33.625
2001-03-06,29.0
2001-03-07,31.5625
2001-03-08,28.5625
2001-03-09,27.3125
2001-03-12,25.3125
2001-03-13,29.8438
2001-03-14,28.75
2001-03-15,25.75
2001-03-16,25.625
2001-03-19,29.1875
2001-03-20,25.125
2001-03-21,26.9375
2001-03-22,31.7969
2001-03-23,30.0625
2001-03-26,27.94
2001-03-27,31.51
2001-03-28,27.46
2001-03-29,25.88
2001-03-30,27.2
2001-04-02,28.65
2001-04-03,23.04
2001-04-04,23.88
2001-04-05,28.76
2001-04-06,29.29
2001-04-09,30.0
2001-04-10,35.46
2001-04-11,36.68
2001-04-12,37.11
2001-04-16,33.18
2001-04-17,32.88
2001-04-18,33.98
2001-04-19,46.44
2001-04-20,45.54
2001-04-23,41.75
2001-04-24,40.15
2001-04-25,42.93
2001-04-26,41.53
2001-04-27,45.7
2001-04-30,45.58
2001-05-01,47.49
2001-05-02,47.9
2001-05-03,45.99
2001-05-04,47.9
2001-05-07,44.1
2001-05-08,44.31
2001-05-09,44.19
2001-05-10,42.03
2001-05-11,41.44
2001-05-14,41.24
2001-05-15,42.71
2001-05-16,47.84
2001-05-17,49.18
2001-05-18,49.21
2001-05-21,54.97
2001-05-22,54.72
2001-05-23,50.26
2001-05-24,54.12
2001-05-25,51.92
2001-05-29,48.0
2001-05-30,43.64
2001-05-31,45.36
2001-06-01,45.88
2001-06-04,46.8
2001-06-05,49.33
2001-06-06,51.15
2001-06-07,51.83
2001-06-08,48.61
2001-06-11,46.87
2001-06-12,48.73
2001-06-13,45.1
2001-06-14,39.19
2001-06-15,40.07
2001-06-18,38.29
2001-06-19,41.9
2001-06-20,43.47
2001-06-21,44.76
2001-06-22,42.26
2001-06-25,40.06
2001-06-26,42.44
2001-06-27,44.15
2001-06-28,46.09
2001-06-29,46.9
2001-07-02,49.53
2001-07-03,47.67
2001-07-05,43.35
2001-07-06,42.97
2001-07-09,43.41
2001-07-10,40.0
2001-07-11,41.35
2001-07-12,44.74
2001-07-13,45.5
2001-07-16,40.41
2001-07-17,43.55
2001-07-18,37.64
2001-07-19,33.04
2001-07-20,33.12
2001-07-23,31.52
2001-07-24,31.03
2001-07-25,33.69
2001-07-26,34.83
2001-07-27,34.22
2001-07-30,33.96
2001-07-31,34.46
2001-08-01,36.07
2001-08-02,37.01
2001-08-03,36.89
2001-08-06,35.15
2001-08-07,34.47
2001-08-08,30.69
2001-08-09,29.77
2001-08-10,28.29
2001-08-13,28.95
2001-08-14,27.58
2001-08-15,26.26
2001-08-16,26.72
2001-08-17,25.46
2001-08-20,26.12
2001-08-21,23.51
2001-08-22,23.99
2001-08-23,21.9
2001-08-24,23.53
2001-08-27,24.04
2001-08-28,22.74
2001-08-29,22.37
2001-08-30,21.12
2001-08-31,21.6
2001-09-04,20.85
2001-09-05,21.05
2001-09-06,19.39
2001-09-07,18.96
2001-09-10,19.58
2001-09-17,16.71
2001-09-18,14.77
2001-09-19,15.01
2001-09-20,14.0
2001-09-21,13.33
2001-09-24,13.8
2001-09-25,14.33
2001-09-26,13.72
2001-09-27,12.98
2001-09-28,13.01
2001-10-01,13.05
2001-10-02,15.06
2001-10-03,17.61
2001-10-04,18.81
2001-10-05,18.21
2001-10-08,18.51
2001-10-09,17.67
2001-10-10,18.68
2001-10-11,20.49
2001-10-12,20.02
2001-10-15,19.79
2001-10-16,21.54
2001-10-17,17.38
2001-10-18,17.11
2001-10-19,17.49
2001-10-22,17.37
2001-10-23,17.7
2001-10-24,18.7
2001-10-25,20.0
2001-10-26,18.74
2001-10-29,17.25
2001-10-30,16.78
2001-10-31,16.33
2001-11-01,17.68
2001-11-02,17.29
2001-11-05,20.81
2001-11-06,21.78
2001-11-07,22.19
2001-11-08,22.75
2001-11-09,23.38
2001-11-12,23.85
2001-11-13,25.34
2001-11-14,25.3
2001-11-15,25.29
2001-11-16,25.0
2001-11-19,25.85
2001-11-20,22.97
2001-11-21,24.24
2001-11-23,24.54
2001-11-26,24.8
2001-11-27,24.31
2001-11-28,22.48
2001-11-29,23.96
2001-11-30,22.35
2001-12-03,21.2
2001-12-04,22.98
2001-12-05,24.8
2001-12-06,25.27
2001-12-07,24.02
2001-12-10,24.03
2001-12-11,24.91
2001-12-12,25.14
2001-12-13,25.41
2001-12-14,24.51
2001-12-17,27.2
2001-12-18,30.94
2001-12-19,29.8
2001-12-20,26.93
2001-12-21,28.85
2001-12-24,28.31
2001-12-26,27.72
2001-12-27,28.08
2001-12-28,28.82
2001-12-31,27.98
2002-01-02,29.25
2002-01-03,31.55
2002-01-04,32.7
2002-01-07,32.49
2002-01-08,33.3
2002-01-09,34.56
2002-01-10,35.15
2002-01-11,34.94
2002-01-14,34.15
2002-01-15,33.52
2002-01-16,32.19
2002-01-17,35.31
2002-01-18,34.26
2002-01-22,32.62
2002-01-23,34.8
2002-01-24,36.89
2002-01-25,37.2
2002-01-28,36.14
2002-01-29,34.93
2002-01-30,35.66
2002-01-31,35.39
2002-02-01,35.74
2002-02-04,34.42
2002-02-05,33.7
2002-02-06,32.81
2002-02-07,32.24
2002-02-08,34.11
2002-02-11,34.24
2002-02-12,34.33
2002-02-13,34.79
2002-02-14,35.0
2002-02-15,32.86
2002-02-19,31.9
2002-02-20,30.89
2002-02-21,29.77
2002-02-22,28.94
2002-02-25,31.46
2002-02-26,30.89
2002-02-27,30.35
2002-02-28,27.76
2002-03-01,30.43
2002-03-04,32.53
2002-03-05,32.94
2002-03-06,33.66
2002-03-07,34.22
2002-03-08,36.01
2002-03-11,36.64
2002-03-12,36.55
2002-03-13,34.93
2002-03-14,33.91
2002-03-15,34.12
2002-03-18,34.84
2002-03-19,34.8
2002-03-20,31.58
2002-03-21,33.14
2002-03-22,32.67
2002-03-25,30.76
2002-03-26,31.64
2002-03-27,32.15
2002-03-28,32.61
2002-04-01,34.2
2002-04-02,31.82
2002-04-03,29.0
2002-04-04,27.58
2002-04-05,27.88
2002-04-08,28.89
2002-04-09,27.56
2002-04-10,25.44
2002-04-11,23.67
2002-04-12,26.43
2002-04-15,25.99
2002-04-16,28.31
2002-04-17,25.9
2002-04-18,26.76
2002-04-19,27.11
2002-04-22,25.81
2002-04-23,25.18
2002-04-24,23.76
2002-04-25,24.28
2002-04-26,22.59
2002-04-29,23.68
2002-04-30,24.19
2002-05-01,23.16
2002-05-02,21.65
2002-05-03,21.16
2002-05-06,20.54
2002-05-07,19.89
2002-05-08,23.07
2002-05-09,23.01
2002-05-10,21.3
2002-05-13,22.88
2002-05-14,24.91
2002-05-15,24.01
2002-05-16,23.43
2002-05-17,23.55
2002-05-20,22.6
2002-05-21,20.98
2002-05-22,20.0
2002-05-23,20.89
2002-05-24,20.1
2002-05-28,19.8
2002-05-29,18.4
2002-05-30,19.46
2002-05-31,18.25
2002-06-03,17.62
2002-06-04,18.68
2002-06-05,19.2
2002-06-06,18.08
2002-06-07,17.96
2002-06-10,18.32
2002-06-11,17.66
2002-06-12,15.18
2002-06-13,15.12
2002-06-14,14.86
2002-06-17,15.7
2002-06-18,15.3
2002-06-19,15.13
2002-06-20,14.3
2002-06-21,13.47
2002-06-24,13.99
2002-06-25,13.65
2002-06-26,13.97
2002-06-27,14.78
2002-06-28,14.22
2002-07-01,13.36
2002-07-02,12.57
2002-07-03,13.35
2002-07-05,14.41
2002-07-08,13.19
2002-07-09,12.49
2002-07-10,11.96
2002-07-11,12.16
2002-07-12,11.53
2002-07-15,11.77
2002-07-16,11.38
2002-07-17,11.74
2002-07-18,9.616
2002-07-19,9.3
2002-07-22,9.07
2002-07-23,8.75
2002-07-24,9.64
2002-07-25,8.67
2002-07-26,9.39
2002-07-29,9.49
2002-07-30,9.91
2002-07-31,9.4
2002-08-01,9.12
2002-08-02,8.51
2002-08-05,8.17
2002-08-06,8.64
2002-08-07,8.57
2002-08-08,9.09
2002-08-09,8.8
2002-08-12,8.7
2002-08-13,7.59
2002-08-14,8.08
2002-08-15,8.18
2002-08-16,8.5
2002-08-19,9.41
2002-08-20,9.08
2002-08-21,9.41
2002-08-22,9.91
2002-08-23,9.54
2002-08-26,9.91
2002-08-27,9.38
2002-08-28,8.63
2002-08-29,8.81
2002-08-30,8.46
2002-09-03,7.72
2002-09-04,8.0
2002-09-05,8.31
2002-09-06,8.43
2002-09-09,8.6
2002-09-10,8.59
2002-09-11,8.66
2002-09-12,8.31
2002-09-13,8.22
2002-09-16,8.18
2002-09-17,8.155
2002-09-18,8.24
2002-09-19,7.51
2002-09-20,7.01
2002-09-23,6.5
2002-09-24,6.68
2002-09-25,6.93
2002-09-26,6.49
2002-09-27,6.44
2002-09-30,5.75
2002-10-01,5.99
2002-10-02,6.1
2002-10-03,5.53
2002-10-04,5.5
2002-10-07,5.49
2002-10-08,5.65
2002-10-09,6.32
2002-10-10,6.22
2002-10-11,6.81
2002-10-14,6.89
2002-10-15,7.05
2002-10-16,6.75
2002-10-17,7.299
2002-10-18,6.2
2002-10-21,6.47
2002-10-22,6.6
2002-10-23,7.05
2002-10-24,6.96
2002-10-25,7.47
2002-10-28,7.451
2002-10-29,6.97
2002-10-30,7.26
2002-10-31,7.52
2002-11-01,8.2
2002-11-04,8.9
2002-11-05,8.73
2002-11-06,9.06
2002-11-07,8.41
2002-11-08,7.86
2002-11-11,7.34
2002-11-12,7.71
2002-11-13,7.72
2002-11-14,8.15
2002-11-15,7.84
2002-11-18,7.83
2002-11-19,7.68
2002-11-20,8.0
