,Close
2022-01-03,282.45
2022-01-04,273.1
2022-01-05,249.81
2022-01-06,248.24
2022-01-07,248.91
2022-01-10,255.47
2022-01-11,261.09
2022-01-12,261.02
2022-01-13,260.43
2022-01-14,253.83
2022-01-18,238.8
2022-01-19,232.09
2022-01-20,231.32
2022-01-21,220.31
2022-01-24,225.87
2022-01-25,212.74
2022-01-26,214.13
2022-01-27,209.82
2022-01-28,212.07
2022-01-31,238.22
2022-02-01,242.23
2022-02-02,238.3
2022-02-03,231.2
2022-02-04,238.26
2022-02-07,240.97
2022-02-08,248.71
2022-02-09,265.98
2022-02-10,264.5
2022-02-11,250.09
2022-02-14,249.22
2022-02-15,262.16
2022-02-16,266.72
2022-02-17,263.26
2022-02-18,257.91
2022-02-22,246.07
2022-02-23,236.11
2022-02-24,271.19
2022-02-25,277.93
2022-02-28,319.42
2022-03-01,324.63
2022-03-02,314.46
2022-03-03,301.82
2022-03-04,293.23
2022-03-07,297.89
2022-03-08,328.91
2022-03-09,326.98
2022-03-10,315.13
2022-03-11,317.93
2022-03-14,298.51
2022-03-15,315.75
2022-03-16,334.16
2022-03-17,314.6
2022-03-18,312.51
2022-03-21,312.08
2022-03-22,325.11
2022-03-23,327.27
2022-03-24,337.74
2022-03-25,335.27
2022-03-28,333.07
2022-03-29,324.5
2022-03-30,314.23
2022-03-31,322.37
2022-04-01,322.83
2022-04-04,335.31
2022-04-05,328.69
2022-04-06,320.16
2022-04-07,314.93
2022-04-08,301.58
2022-04-11,300.03
2022-04-12,301.45
2022-04-13,308.0
2022-04-14,300.66
2022-04-18,302.27
2022-04-19,304.82
2022-04-20,281.61
2022-04-21,254.15
2022-04-22,251.58
2022-04-25,253.49
2022-04-26,244.76
2022-04-27,249.48
2022-04-28,254.41
2022-04-29,250.41
2022-05-02,255.31
2022-05-03,262.67
2022-05-04,284.6
2022-05-05,266.23
2022-05-06,251.81
2022-05-09,225.36
2022-05-10,233.8
2022-05-11,216.52
2022-05-12,211.92
2022-05-13,232.25
2022-05-16,222.79
2022-05-17,239.35
2022-05-18,238.8
2022-05-19,252.18
2022-05-20,256.81
2022-05-23,255.63
2022-05-24,248.23
2022-05-25,253.45
2022-05-26,266.44
2022-05-27,280.36
2022-05-31,272.79
2022-06-01,272.48
2022-06-02,300.49
2022-06-03,298.34
2022-06-06,306.88
2022-06-07,306.42
2022-06-08,298.44
2022-06-09,291.67
2022-06-10,284.36
2022-06-13,264.34
2022-06-14,264.63
2022-06-15,274.13
2022-06-16,253.98
2022-06-17,275.41
2022-06-21,283.1
2022-06-22,280.4
2022-06-23,291.53
2022-06-24,286.34
2022-06-27,298.52
2022-06-28,279.24
2022-06-29,262.96
2022-06-30,273.68
2022-07-01,276.3
2022-07-05,271.27
2022-07-06,269.79
2022-07-07,286.86
2022-07-08,295.11
2022-07-11,279.67
2022-07-12,265.37
2022-07-13,269.03
2022-07-14,269.02
2022-07-15,265.85
2022-07-18,280.68
2022-07-19,290.3
2022-07-20,295.86
2022-07-21,292.98
2022-07-22,288.93
2022-07-25,299.38
2022-07-26,296.48
2022-07-27,325.19
2022-07-28,341.19
2022-07-29,360.13
2022-08-01,358.59
2022-08-02,365.41
2022-08-03,295.52
2022-08-04,309.22
2022-08-05,315.5
2022-08-08,303.11
2022-08-09,312.63
2022-08-10,323.74
2022-08-11,319.02
2022-08-12,330.52
2022-08-15,324.18
2022-08-16,311.27
2022-08-17,310.62
2022-08-18,317.22
2022-08-19,300.33
2022-08-22,288.84
2022-08-23,288.46
2022-08-24,294.61
2022-08-25,300.74
2022-08-26,287.93
2022-08-29,279.46
2022-08-30,275.5
2022-08-31,275.97
2022-09-01,269.32
2022-09-02,267.12
2022-09-06,278.38
2022-09-07,311.365
2022-09-08,314.16
2022-09-09,313.0
2022-09-12,316.2
2022-09-13,313.18
2022-09-14,322.7
2022-09-15,313.25
2022-09-16,310.51
2022-09-19,307.95
2022-09-20,294.36
2022-09-21,287.96
2022-09-22,270.94
2022-09-23,258.8
2022-09-26,247.65
2022-09-27,249.58
2022-09-28,256.79
2022-09-29,235.56
2022-09-30,231.46
2022-10-03,236.84
2022-10-04,246.17
2022-10-05,234.24
2022-10-06,220.27
2022-10-07,209.62
2022-10-10,207.84
2022-10-11,203.59
2022-10-12,200.6
2022-10-13,200.07
2022-10-14,193.39
2022-10-17,197.29
2022-10-18,207.42
2022-10-19,199.46
2022-10-20,197.84
2022-10-21,202.66
2022-10-24,203.74
2022-10-25,215.61
2022-10-26,225.68
2022-10-27,228.83
2022-10-28,231.72
2022-10-31,230.03
2022-11-01,225.25
