,Close
2000-01-03,40.8125
2000-01-04,38.1875
2000-01-05,40.1875
2000-01-06,42.9375
2000-01-07,47.8125
2000-01-10,44.75
2000-01-11,45.1875
2000-01-12,44.875
2000-01-13,43.25
2000-01-14,43.375
2000-01-18,42.5625
2000-01-19,43.4375
2000-01-20,43.9375
2000-01-21,42.5
2000-01-24,39.625
2000-01-25,40.8125
2000-01-26,40.875
2000-01-27,40.9375
2000-01-28,42.5625
2000-01-31,44.0
2000-02-01,45.1875
2000-02-02,46.0
2000-02-03,46.75
2000-02-04,46.5625
2000-02-07,45.875
2000-02-08,47.0
2000-02-09,45.3125
2000-02-10,43.375
2000-02-11,40.5
2000-02-14,40.5
2000-02-15,41.25
2000-02-16,40.5
2000-02-17,38.875
2000-02-18,35.75
2000-02-22,37.75
2000-02-23,37.5625
2000-02-24,37.0625
2000-02-25,34.6875
2000-02-28,34.875
2000-02-29,34.875
2000-03-01,34.4375
2000-03-02,34.9375
2000-03-03,34.6875
2000-03-06,33.0625
2000-03-07,30.5625
2000-03-08,33.8125
2000-03-09,36.8125
2000-03-10,37.4375
2000-03-13,35.75
2000-03-14,34.4375
2000-03-15,38.0
2000-03-16,39.5
2000-03-17,37.25
2000-03-20,36.8125
2000-03-21,38.625
2000-03-22,38.0
2000-03-23,37.375
2000-03-24,36.25
2000-03-27,34.9375
2000-03-28,34.8125
2000-03-29,36.0625
2000-03-30,37.25
2000-03-31,36.75
2000-04-03,39.1875
2000-04-04,40.8125
2000-04-05,41.0
2000-04-06,38.75
2000-04-07,38.75
2000-04-10,38.4375
2000-04-11,41.9375
2000-04-12,41.9375
2000-04-13,41.9375
2000-04-14,40.75
2000-04-17,40.4375
2000-04-18,39.9375
2000-04-19,40.5
2000-04-20,40.0
2000-04-24,41.375
2000-04-25,41.75
2000-04-26,41.1875
2000-04-27,41.375
2000-04-28,40.3125
2000-05-01,40.875
2000-05-02,39.875
2000-05-03,39.5
2000-05-04,39.3125
2000-05-05,41.6875
2000-05-08,43.625
2000-05-09,43.5
2000-05-10,43.1875
2000-05-11,41.9375
2000-05-12,41.9375
2000-05-15,43.4375
2000-05-16,43.875
2000-05-17,44.3125
2000-05-18,44.625
2000-05-19,44.375
2000-05-22,43.8125
2000-05-23,45.5
2000-05-24,46.6875
2000-05-25,47.125
2000-05-26,47.4375
2000-05-30,47.3125
2000-05-31,48.375
2000-06-01,47.125
2000-06-02,44.75
2000-06-05,44.375
2000-06-06,45.25
2000-06-07,44.125
2000-06-08,44.5
2000-06-09,44.875
2000-06-12,43.75
2000-06-13,45.375
2000-06-14,48.5
2000-06-15,48.1875
2000-06-16,48.0
2000-06-19,48.9375
2000-06-20,47.375
2000-06-21,48.8125
2000-06-22,46.9375
2000-06-23,47.5
2000-06-26,48.25
2000-06-27,49.5
2000-06-28,48.8125
2000-06-29,50.0
2000-06-30,50.5
2000-07-03,50.4375
2000-07-05,50.8125
2000-07-06,49.5625
2000-07-07,49.5625
2000-07-10,50.75
2000-07-11,50.9375
2000-07-12,48.3125
2000-07-13,43.9375
2000-07-14,43.5625
2000-07-17,46.0625
2000-07-18,45.25
2000-07-19,44.4375
2000-07-20,43.875
2000-07-21,44.5625
2000-07-24,45.25
2000-07-25,43.25
2000-07-26,43.0625
2000-07-27,43.5625
2000-07-28,43.75
2000-07-31,43.1875
2000-08-01,44.5
2000-08-02,44.875
2000-08-03,43.9375
2000-08-04,43.125
2000-08-07,42.6875
2000-08-08,43.0
2000-08-09,41.4375
2000-08-10,39.6875
2000-08-11,41.125
2000-08-14,40.1875
2000-08-15,40.5
2000-08-16,41.8125
2000-08-17,41.875
2000-08-18,40.8125
2000-08-21,41.5625
2000-08-22,40.75
2000-08-23,41.375
2000-08-24,41.625
2000-08-25,41.5
2000-08-28,40.375
2000-08-29,39.9375
2000-08-30,40.0
2000-08-31,40.125
2000-09-01,40.0625
2000-09-05,39.6875
2000-09-06,39.0625
2000-09-07,40.5
2000-09-08,41.25
2000-09-11,41.4375
2000-09-12,41.875
2000-09-13,43.0
2000-09-14,43.1875
2000-09-15,43.3125
2000-09-18,43.25
2000-09-19,43.125
2000-09-20,43.6875
2000-09-21,45.375
2000-09-22,44.9375
2000-09-25,45.0625
2000-09-26,45.0
2000-09-27,45.125
2000-09-28,46.0625
2000-09-29,46.5
2000-10-02,45.75
2000-10-03,46.9375
2000-10-04,48.0
2000-10-05,49.125
2000-10-06,48.1875
2000-10-09,47.0
2000-10-10,49.25
2000-10-11,49.5625
2000-10-12,51.3125
2000-10-13,51.0
2000-10-16,51.5
2000-10-17,52.75
2000-10-18,51.5
2000-10-19,51.125
2000-10-20,51.1875
2000-10-23,53.0
2000-10-24,52.5
2000-10-25,53.5
2000-10-26,52.625
2000-10-27,51.8125
2000-10-30,53.125
2000-10-31,51.6875
2000-11-01,52.0625
2000-11-02,51.875
2000-11-03,51.25
2000-11-06,52.0
2000-11-07,51.0625
2000-11-08,51.875
2000-11-09,51.875
2000-11-10,53.0625
2000-11-13,50.3125
2000-11-14,52.0
2000-11-15,51.9375
2000-11-16,51.5
2000-11-17,52.0
2000-11-20,53.9375
2000-11-21,53.8125
2000-11-22,54.0
2000-11-24,53.5
2000-11-27,54.375
2000-11-28,55.4375
2000-11-29,56.4375
2000-11-30,56.0625
2000-12-01,53.625
2000-12-04,55.1875
2000-12-05,54.5
2000-12-06,53.6875
2000-12-07,54.25
2000-12-08,55.25
2000-12-11,55.75
2000-12-12,55.75
2000-12-13,57.875
2000-12-14,57.875
2000-12-15,57.9375
2000-12-18,58.5625
2000-12-19,59.125
2000-12-20,58.5
2000-12-21,57.875
2000-12-22,56.625
2000-12-26,57.4375
2000-12-27,57.0
2000-12-28,57.6875
2000-12-29,56.75
2001-01-02,54.25
2001-01-03,51.0
2001-01-04,52.1875
2001-01-05,51.25
2001-01-08,52.6875
2001-01-09,53.3125
2001-01-10,51.9375
2001-01-11,50.125
2001-01-12,50.75
2001-01-16,53.5625
