,Close
2019-01-02,195.84
2019-01-03,189.64
2019-01-04,200.41
2019-01-07,205.04
2019-01-08,207.06
2019-01-09,210.75
2019-01-10,212.47
2019-01-11,215.27
2019-01-14,215.73
2019-01-15,218.71
2019-01-16,224.77
2019-01-17,225.37
2019-01-18,230.99
2019-01-22,225.74
2019-01-23,225.34
2019-01-24,228.36
2019-01-25,242.09
2019-01-28,243.64
2019-01-29,240.68
2019-01-30,240.0
2019-01-31,233.38
2019-02-01,238.28
2019-02-04,239.56
2019-02-05,235.83
2019-02-06,236.83
2019-02-07,236.13
2019-02-08,233.22
2019-02-11,238.75
2019-02-12,242.13
2019-02-13,244.12
2019-02-14,240.39
2019-02-15,246.95
2019-02-19,248.85
2019-02-20,250.81
2019-02-21,245.65
2019-02-22,245.82
2019-02-25,247.78
2019-02-26,245.09
2019-02-27,250.51
2019-02-28,247.16
2019-03-01,249.67
2019-03-04,249.09
2019-03-05,248.01
2019-03-06,242.75
2019-03-07,239.2
2019-03-08,239.69
2019-03-11,242.19
2019-03-12,240.94
2019-03-13,244.01
2019-03-14,245.48
2019-03-15,246.21
2019-03-18,250.27
2019-03-19,245.53
2019-03-20,236.71
2019-03-21,228.31
2019-03-22,212.19
2019-03-25,214.67
2019-03-26,219.89
2019-03-27,218.3
2019-03-28,222.59
2019-03-29,222.36
2019-04-01,230.74
2019-04-02,232.36
2019-04-03,233.78
2019-04-04,236.02
2019-04-05,237.46
2019-04-08,238.92
2019-04-09,234.54
2019-04-10,237.27
2019-04-11,238.43
2019-04-12,243.74
2019-04-15,240.11
2019-04-16,246.2
2019-04-17,245.72
2019-04-18,243.14
2019-04-22,242.67
2019-04-23,249.75
2019-04-24,248.88
2019-04-25,247.36
2019-04-26,247.63
2019-04-29,252.69
2019-04-30,251.72
2019-05-01,250.43
2019-05-02,255.42
2019-05-03,258.61
2019-05-06,257.66
2019-05-07,251.35
2019-05-08,250.57
2019-05-09,250.15
2019-05-10,247.89
2019-05-13,232.08
2019-05-14,236.34
2019-05-15,229.48
2019-05-16,232.3
2019-05-17,229.77
2019-05-20,232.85
2019-05-21,236.85
2019-05-22,231.17
2019-05-23,221.0
2019-05-24,224.6
2019-05-28,219.65
2019-05-29,217.89
2019-05-30,211.64
2019-05-31,201.4
2019-06-03,202.78
2019-06-04,214.67
2019-06-05,212.27
2019-06-06,214.5
2019-06-07,212.94
2019-06-10,214.52
2019-06-11,215.52
2019-06-12,213.79
2019-06-13,217.54
2019-06-14,218.18
2019-06-17,217.51
2019-06-18,220.8
2019-06-19,213.74
2019-06-20,214.34
2019-06-21,216.19
2019-06-24,214.13
2019-06-25,214.5
2019-06-26,216.77
2019-06-27,221.29
2019-06-28,224.59
2019-07-01,223.36
2019-07-02,217.07
2019-07-03,218.27
2019-07-05,222.9
2019-07-08,215.17
2019-07-09,217.74
2019-07-10,212.64
2019-07-11,217.07
2019-07-12,222.25
2019-07-15,218.78
2019-07-16,217.64
2019-07-17,215.14
2019-07-18,217.21
2019-07-19,219.31
2019-07-22,219.03
2019-07-23,218.54
2019-07-24,226.07
2019-07-25,224.09
2019-07-26,233.79
2019-07-29,228.61
2019-07-30,230.83
2019-07-31,231.97
2019-08-01,218.24
2019-08-02,215.05
2019-08-05,205.81
2019-08-06,207.07
2019-08-07,197.32
2019-08-08,205.63
2019-08-09,199.23
2019-08-12,194.81
2019-08-13,198.55
2019-08-14,190.12
2019-08-15,185.93
2019-08-16,191.71
2019-08-19,195.71
2019-08-20,192.99
2019-08-21,194.45
2019-08-22,195.44
2019-08-23,187.45
2019-08-26,187.91
2019-08-27,184.71
2019-08-28,187.21
2019-08-29,193.83
2019-08-30,194.62
2019-09-03,190.01
2019-09-04,192.1
2019-09-05,199.78
2019-09-06,201.28
2019-09-09,211.73
2019-09-10,218.13
2019-09-11,222.08
2019-09-12,217.76
2019-09-13,224.01
2019-09-16,221.36
2019-09-17,213.43
2019-09-18,217.85
2019-09-19,216.06
2019-09-20,216.58
2019-09-23,215.57
2019-09-24,207.63
2019-09-25,214.05
2019-09-26,206.05
2019-09-27,206.15
2019-09-30,208.95
2019-10-01,198.93
2019-10-02,195.8
2019-10-03,195.56
2019-10-04,197.67
2019-10-07,197.34
2019-10-08,188.33
2019-10-09,190.85
2019-10-10,192.44
2019-10-11,202.16
2019-10-14,199.44
2019-10-15,206.77
2019-10-16,205.19
2019-10-17,204.84
2019-10-18,204.72
2019-10-21,210.48
2019-10-22,210.16
2019-10-23,210.13
2019-10-24,207.71
2019-10-25,219.79
2019-10-28,227.28
2019-10-29,229.15
2019-10-30,226.69
2019-10-31,221.48
2019-11-01,230.89
2019-11-04,237.96
2019-11-05,239.53
2019-11-06,231.47
2019-11-07,239.45
2019-11-08,238.6
2019-11-11,237.21
2019-11-12,238.68
2019-11-13,234.12
2019-11-14,232.95
2019-11-15,234.06
2019-11-18,229.18
2019-11-19,229.5
2019-11-20,228.38
2019-11-21,227.93
2019-11-22,231.02
2019-11-25,235.75
2019-11-26,232.96
2019-11-27,234.87
2019-11-29,231.73
2019-12-02,229.79
2019-12-03,225.27
2019-12-04,230.15
2019-12-05,229.4
2019-12-06,237.41
2019-12-09,236.36
2019-12-10,238.63
2019-12-11,239.42
2019-12-12,251.21
2019-12-13,249.31
2019-12-16,251.22
2019-12-17,254.21
2019-12-18,251.75
2019-12-19,250.12
2019-12-20,250.94
2019-12-23,252.16
2019-12-24,252.07
2019-12-26,253.18
2019-12-27,250.31
2019-12-30,249.82
2019-12-31,251.04
2020-01-02,254.27
2020-01-03,250.33
2020-01-06,249.24
2020-01-07,250.4
2020-01-08,252.78
2020-01-09,256.11
2020-01-10,251.73
2020-01-13,253.85
2020-01-14,253.49
2020-01-15,250.59
2020-01-16,252.3
2020-01-17,258.4
2020-01-21,254.2
2020-01-22,256.3
2020-01-23,259.08
2020-01-24,252.66
2020-01-27,243.38
2020-01-28,251.28
2020-01-29,246.02
2020-01-30,248.14
2020-01-31,240.33
2020-02-03,244.69
2020-02-04,254.73
2020-02-05,262.7
2020-02-06,262.09
2020-02-07,257.15
2020-02-10,256.31
2020-02-11,263.64
2020-02-12,265.1
2020-02-13,265.95
2020-02-14,265.42
2020-02-18,261.11
2020-02-19,266.99
2020-02-20,270.79
2020-02-21,261.42
2020-02-24,243.27
2020-02-25,232.16
2020-02-26,224.3
2020-02-27,211.37
2020-02-28,208.16
2020-03-02,216.75
2020-03-03,198.63
2020-03-04,202.38
2020-03-05,185.06
2020-03-06,174.44
2020-03-09,148.15
2020-03-10,161.97
2020-03-11,148.75
2020-03-12,136.96
2020-03-13,156.67
2020-03-16,130.98
2020-03-17,149.37
2020-03-18,150.51
2020-03-19,168.17
2020-03-20,150.64
2020-03-23,143.21
2020-03-24,158.37
2020-03-25,165.0
2020-03-26,171.53
2020-03-27,159.34
2020-03-30,155.78
2020-03-31,151.08
2020-04-01,140.01
2020-04-02,142.95
2020-04-03,139.34
2020-04-06,159.32
2020-04-07,160.1
2020-04-08,168.58
2020-04-09,185.69
2020-04-13,170.41
2020-04-14,172.06
2020-04-15,161.89
2020-04-16,161.36
2020-04-17,173.69
2020-04-20,174.67
2020-04-21,165.49
2020-04-22,167.5
2020-04-23,171.0
2020-04-24,184.0
2020-04-27,192.63
2020-04-28,193.25
2020-04-29,201.43
2020-04-30,193.17
2020-05-01,184.86
2020-05-04,182.35
2020-05-05,180.84
2020-05-06,180.01
2020-05-07,183.64
2020-05-08,185.85
2020-05-11,179.23
2020-05-12,169.85
2020-05-13,159.89
2020-05-14,173.28
2020-05-15,172.79
2020-05-18,187.46
2020-05-19,183.13
2020-05-20,194.92
2020-05-21,190.85
2020-05-22,189.49
2020-05-26,208.66
2020-05-27,221.38
2020-05-28,215.6
2020-05-29,214.75
2020-06-01,212.81
2020-06-02,209.9
2020-06-03,219.99
2020-06-04,223.19
2020-06-05,235.2
2020-06-08,236.04
2020-06-09,234.31
2020-06-10,221.81
2020-06-11,203.94
2020-06-12,208.53
2020-06-15,216.65
2020-06-16,221.81
2020-06-17,219.15
2020-06-18,220.58
2020-06-19,221.84
2020-06-22,219.9
2020-06-23,220.47
2020-06-24,207.98
2020-06-25,215.0
2020-06-26,203.86
2020-06-29,206.89
2020-06-30,215.53
2020-07-01,206.28
2020-07-02,208.34
2020-07-06,213.41
2020-07-07,207.78
2020-07-08,209.92
2020-07-09,201.65
2020-07-10,212.0
2020-07-13,214.43
2020-07-14,208.11
2020-07-15,220.78
2020-07-16,220.18
2020-07-17,217.57
2020-07-20,216.86
2020-07-21,224.73
2020-07-22,222.0
2020-07-23,224.89
2020-07-24,230.43
2020-07-27,225.69
2020-07-28,221.48
2020-07-29,228.78
2020-07-30,225.35
2020-07-31,224.27
2020-08-03,227.58
2020-08-04,226.71
2020-08-05,231.76
2020-08-06,229.38
2020-08-07,237.34
2020-08-10,240.1
2020-08-11,252.86
2020-08-12,252.98
2020-08-13,249.6
2020-08-14,250.38
2020-08-17,245.69
2020-08-18,241.51
2020-08-19,243.05
2020-08-20,240.71
2020-08-21,239.42
2020-08-24,249.36
2020-08-25,254.51
2020-08-26,249.35
2020-08-27,252.04
2020-08-28,255.01
2020-08-31,255.38
2020-09-01,256.16
2020-09-02,259.21
2020-09-03,259.0
2020-09-04,259.73
2020-09-08,253.38
2020-09-09,256.23
2020-09-10,248.33
2020-09-11,248.59
2020-09-14,250.68
2020-09-15,248.23
2020-09-16,249.67
2020-09-17,245.91
2020-09-18,246.37
2020-09-21,237.86
2020-09-22,230.47
2020-09-23,226.62
2020-09-24,225.51
2020-09-25,229.59
2020-09-28,237.48
2020-09-29,237.09
2020-09-30,240.62
2020-10-01,245.3
2020-10-02,245.65
2020-10-05,254.81
2020-10-06,254.06
2020-10-07,266.53
2020-10-08,273.2
2020-10-09,274.64
2020-10-12,276.29
2020-10-13,269.04
2020-10-14,267.78
2020-10-15,273.39
2020-10-16,273.21
2020-10-19,270.63
2020-10-20,275.95
2020-10-21,277.4
2020-10-22,285.06
2020-10-23,296.38
2020-10-26,289.94
2020-10-27,289.56
2020-10-28,278.54
2020-10-29,282.07
2020-10-30,290.7
2020-11-02,306.98
2020-11-03,310.57
2020-11-04,296.56
2020-11-05,312.67
2020-11-06,313.37
2020-11-09,332.04
2020-11-10,336.55
2020-11-11,328.82
2020-11-12,331.63
2020-11-13,345.91
2020-11-16,354.62
2020-11-17,348.34
2020-11-18,347.5
2020-11-19,354.67
2020-11-20,356.94
2020-11-23,348.81
2020-11-24,361.83
2020-11-25,354.58
2020-11-27,353.79
2020-11-30,344.86
2020-12-01,355.17
2020-12-02,353.15
2020-12-03,356.47
2020-12-04,358.32
2020-12-07,354.96
2020-12-08,354.26
2020-12-09,348.13
2020-12-10,353.73
2020-12-11,349.9
2020-12-14,349.49
2020-12-15,357.2
2020-12-16,358.34
2020-12-17,364.86
2020-12-18,357.8
2020-12-21,367.5
2020-12-22,368.2
2020-12-23,377.52
2020-12-24,375.99
2020-12-28,378.01
2020-12-29,376.0
2020-12-30,383.55
2020-12-31,387.83
2021-01-04,387.34
2021-01-05,386.16
2021-01-06,415.51
2021-01-07,431.34
2021-01-08,424.03
2021-01-11,434.06
