,Close
2009-01-02,52.66
2009-01-05,52.46
2009-01-06,51.24
2009-01-07,51.1
2009-01-08,51.59
2009-01-09,50.3
2009-01-12,48.75
2009-01-13,48.23
2009-01-14,45.82
2009-01-15,48.54
2009-01-16,50.69
2009-01-20,48.58
2009-01-21,49.09
2009-01-22,48.67
2009-01-23,48.65
2009-01-26,49.06
2009-01-27,49.46
2009-01-28,49.99
2009-01-29,49.64
2009-01-30,48.92
2009-02-02,48.62
2009-02-03,49.67
2009-02-04,49.73
2009-02-05,50.9
2009-02-06,47.98
2009-02-09,48.38
2009-02-10,46.83
2009-02-11,46.06
2009-02-12,46.82
2009-02-13,46.87
2009-02-17,46.19
2009-02-18,46.88
2009-02-19,47.13
2009-02-20,48.35
2009-02-23,46.56
2009-02-24,47.36
2009-02-25,48.04
2009-02-26,47.57
2009-02-27,47.98
2009-03-02,47.24
2009-03-03,47.64
2009-03-04,49.18
2009-03-05,47.68
2009-03-06,47.74
2009-03-09,46.57
2009-03-10,47.74
2009-03-11,48.38
2009-03-12,50.58
2009-03-13,48.42
2009-03-16,47.55
2009-03-17,48.56
2009-03-18,48.27
2009-03-19,48.11
2009-03-20,47.16
2009-03-23,48.07
2009-03-24,47.25
2009-03-25,47.0
2009-03-26,49.01
2009-03-27,47.91
2009-03-30,47.14
2009-03-31,47.73
2009-04-01,48.96
2009-04-02,50.41
2009-04-03,51.15
2009-04-06,52.05
2009-04-07,51.27
2009-04-08,51.8
2009-04-09,49.7
2009-04-13,49.58
2009-04-14,50.59
2009-04-15,51.32
2009-04-16,51.03
2009-04-17,50.89
2009-04-20,50.19
2009-04-21,50.89
2009-04-22,49.49
2009-04-23,48.03
2009-04-24,48.4
2009-04-27,48.84
2009-04-28,49.51
2009-04-29,46.74
2009-04-30,47.08
2009-05-01,47.78
2009-05-04,47.91
2009-05-05,47.42
2009-05-06,47.1
2009-05-07,46.11
2009-05-08,46.76
2009-05-11,49.25
2009-05-12,48.43
2009-05-13,48.13
2009-05-14,50.06
2009-05-15,52.09
2009-05-18,52.54
2009-05-19,51.94
2009-05-20,51.45
2009-05-21,50.28
2009-05-22,50.17
2009-05-26,51.13
2009-05-27,49.89
2009-05-28,49.76
2009-05-29,49.98
2009-06-01,51.04
2009-06-02,50.59
2009-06-03,50.65
2009-06-04,50.44
2009-06-05,50.08
2009-06-08,49.47
2009-06-09,49.87
2009-06-10,48.96
2009-06-11,50.12
2009-06-12,49.69
2009-06-15,49.28
2009-06-16,49.65
2009-06-17,50.2
2009-06-18,50.73
2009-06-19,51.2
2009-06-22,49.67
2009-06-23,49.48
2009-06-24,50.05
2009-06-25,51.19
2009-06-26,50.71
2009-06-29,51.8
2009-06-30,51.53
2009-07-01,50.75
2009-07-02,50.22
2009-07-06,50.38
2009-07-07,49.62
2009-07-08,49.32
2009-07-09,49.07
2009-07-10,48.98
2009-07-13,49.57
2009-07-14,49.95
2009-07-15,50.85
2009-07-16,50.77
2009-07-17,51.12
2009-07-20,50.49
2009-07-21,50.04
2009-07-22,50.02
2009-07-23,51.59
2009-07-24,51.58
2009-07-27,53.02
2009-07-28,53.18
2009-07-29,51.97
2009-07-30,51.41
2009-07-31,51.2
2009-08-03,51.75
2009-08-04,51.86
2009-08-05,51.27
2009-08-06,49.84
2009-08-07,51.07
2009-08-10,50.43
2009-08-11,50.3
2009-08-12,51.27
2009-08-13,50.03
2009-08-14,49.84
2009-08-17,49.27
2009-08-18,49.37
2009-08-19,49.6
2009-08-20,50.15
2009-08-21,51.5
2009-08-24,51.29
2009-08-25,50.82
2009-08-26,49.97
2009-08-27,50.31
2009-08-28,49.83
2009-08-31,49.52
2009-09-01,48.97
2009-09-02,49.14
2009-09-03,49.49
2009-09-04,49.62
2009-09-08,49.48
2009-09-09,49.0
2009-09-10,49.08
2009-09-11,48.43
2009-09-14,49.19
2009-09-15,48.57
2009-09-16,48.04
2009-09-17,47.94
2009-09-18,48.03
2009-09-21,48.46
2009-09-22,47.91
2009-09-23,47.61
2009-09-24,47.48
2009-09-25,47.46
2009-09-28,48.56
2009-09-29,48.51
2009-09-30,48.45
2009-10-01,47.58
2009-10-02,47.73
2009-10-05,47.84
2009-10-06,48.39
2009-10-07,48.03
2009-10-08,48.28
2009-10-09,48.35
2009-10-12,48.55
2009-10-13,48.6
2009-10-14,49.63
2009-10-15,52.12
2009-10-16,52.24
2009-10-19,52.67
2009-10-20,52.48
2009-10-21,52.89
2009-10-22,53.21
2009-10-23,53.17
2009-10-26,52.27
2009-10-27,53.35
2009-10-28,53.16
2009-10-29,52.96
2009-10-30,52.37
2009-11-02,52.64
2009-11-03,52.97
2009-11-04,53.04
2009-11-05,53.87
2009-11-06,54.3
2009-11-09,55.34
2009-11-10,54.56
2009-11-11,54.49
2009-11-12,54.05
2009-11-13,54.39
2009-11-16,55.2
2009-11-17,55.29
2009-11-18,54.94
2009-11-19,54.15
2009-11-20,54.1
2009-11-23,55.0
2009-11-24,54.79
2009-11-25,55.14
2009-11-27,54.13
2009-11-30,54.73
2009-12-01,55.86
2009-12-02,56.02
2009-12-03,55.91
2009-12-04,56.91
2009-12-07,58.1
2009-12-08,57.62
2009-12-09,57.85
2009-12-10,57.64
2009-12-11,57.24
2009-12-14,57.69
2009-12-15,56.84
2009-12-16,56.06
2009-12-17,55.25
2009-12-18,55.16
2009-12-21,55.51
2009-12-22,55.56
2009-12-23,55.72
2009-12-24,55.72
2009-12-28,55.6
2009-12-29,55.37
2009-12-30,55.33
2009-12-31,55.17
2010-01-04,55.16
2010-01-05,54.67
2010-01-06,54.63
2010-01-07,54.72
2010-01-08,55.34
2010-01-11,55.35
2010-01-12,54.87
2010-01-13,55.78
2010-01-14,55.52
2010-01-15,54.81
2010-01-19,56.12
2010-01-20,55.19
2010-01-21,55.01
2010-01-22,54.8
2010-01-25,54.27
2010-01-26,53.81
2010-01-27,53.77
2010-01-28,53.42
2010-01-29,52.93
2010-02-01,53.48
2010-02-02,53.59
2010-02-03,54.48
2010-02-04,52.99
2010-02-05,52.0
2010-02-08,51.16
2010-02-09,51.55
2010-02-10,51.2
2010-02-11,51.65
2010-02-12,51.36
2010-02-16,52.45
2010-02-17,53.02
2010-02-18,53.5
2010-02-19,54.3
2010-02-22,54.6
2010-02-23,53.98
2010-02-24,54.83
2010-02-25,55.93
2010-02-26,55.18
2010-03-01,55.57
2010-03-02,56.14
2010-03-03,55.78
2010-03-04,55.25
2010-03-05,55.35
2010-03-08,54.68
2010-03-09,54.65
2010-03-10,54.33
2010-03-11,54.56
2010-03-12,54.49
2010-03-15,54.93
2010-03-16,55.27
2010-03-17,55.49
2010-03-18,55.49
2010-03-19,55.61
2010-03-22,56.1
2010-03-23,56.38
2010-03-24,54.71
2010-03-25,54.5
2010-03-26,54.5
2010-03-29,55.04
2010-03-30,54.9
2010-03-31,54.5
2010-04-01,54.73
2010-04-05,55.08
2010-04-06,55.14
2010-04-07,54.57
2010-04-08,54.35
2010-04-09,54.58
2010-04-12,55.57
2010-04-13,55.81
2010-04-14,55.9
2010-04-15,55.75
2010-04-16,55.66
2010-04-19,55.86
2010-04-20,56.12
2010-04-21,55.75
2010-04-22,56.56
2010-04-23,57.0
2010-04-26,57.16
2010-04-27,56.0
2010-04-28,57.07
2010-04-29,58.1
2010-04-30,58.9
2010-05-03,58.61
2010-05-04,57.44
2010-05-05,57.44
2010-05-06,56.03
2010-05-07,55.53
2010-05-10,57.64
2010-05-11,57.57
2010-05-12,57.77
2010-05-13,57.19
2010-05-14,56.7
2010-05-17,57.44
2010-05-18,58.06
2010-05-19,58.36
2010-05-20,56.9
2010-05-21,57.54
2010-05-24,56.76
2010-05-25,56.7
2010-05-26,56.44
2010-05-27,57.94
2010-05-28,58.62
2010-06-01,58.43
2010-06-02,59.52
2010-06-03,59.94
2010-06-04,58.29
2010-06-07,57.3
2010-06-08,58.79
2010-06-09,61.46
2010-06-10,63.19
2010-06-11,63.57
2010-06-14,63.72
2010-06-15,64.51
2010-06-16,64.68
2010-06-17,65.08
2010-06-18,65.44
2010-06-21,65.27
2010-06-22,64.8
2010-06-23,64.46
2010-06-24,64.59
2010-06-25,66.0
2010-06-28,66.57
2010-06-29,65.94
2010-06-30,65.58
2010-07-01,65.24
2010-07-02,64.52
2010-07-06,63.97
2010-07-07,65.25
2010-07-08,65.31
2010-07-09,65.54
2010-07-12,65.95
2010-07-13,66.23
2010-07-14,66.21
2010-07-15,65.87
2010-07-16,64.53
2010-07-19,64.96
2010-07-20,65.82
2010-07-21,63.91
2010-07-22,63.45
2010-07-23,64.77
2010-07-26,65.41
2010-07-27,64.51
2010-07-28,63.89
2010-07-29,62.57
2010-07-30,63.0
2010-08-02,63.57
2010-08-03,63.67
2010-08-04,64.38
2010-08-05,64.16
2010-08-06,64.26
2010-08-09,64.93
2010-08-10,64.61
2010-08-11,63.62
2010-08-12,64.52
2010-08-13,64.76
2010-08-16,65.76
2010-08-17,67.0
2010-08-18,67.06
2010-08-19,66.12
2010-08-20,65.92
2010-08-23,65.82
2010-08-24,65.2
2010-08-25,64.88
2010-08-26,64.58
2010-08-27,66.04
2010-08-30,66.25
2010-08-31,65.5
2010-09-01,66.55
2010-09-02,66.5
2010-09-03,66.53
2010-09-07,66.31
2010-09-08,67.49
2010-09-09,68.13
2010-09-10,69.0
2010-09-13,69.34
2010-09-14,69.86
2010-09-15,70.09
2010-09-16,69.66
2010-09-17,69.97
2010-09-20,69.8
2010-09-21,70.36
2010-09-22,70.19
2010-09-23,68.61
2010-09-24,69.86
2010-09-27,68.57
2010-09-28,68.95
2010-09-29,69.75
2010-09-30,69.48
2010-10-01,70.73
2010-10-04,69.75
2010-10-05,71.77
2010-10-06,71.91
2010-10-07,71.46
2010-10-08,71.65
2010-10-11,71.16
2010-10-12,70.82
2010-10-13,72.19
2010-10-14,71.9
2010-10-15,71.9
2010-10-18,72.62
2010-10-19,71.18
2010-10-20,72.27
2010-10-21,72.21
2010-10-22,72.21
2010-10-25,72.6
2010-10-26,72.78
2010-10-27,71.94
2010-10-28,71.07
2010-10-29,71.74
2010-11-01,71.48
2010-11-02,72.43
2010-11-03,72.2
2010-11-04,72.68
2010-11-05,72.39
2010-11-08,71.49
2010-11-09,71.61
2010-11-10,71.83
2010-11-11,72.08
2010-11-12,71.24
2010-11-15,71.34
2010-11-16,70.55
2010-11-17,70.26
2010-11-18,71.51
2010-11-19,72.5
2010-11-22,72.78
2010-11-23,72.12
2010-11-24,73.8
2010-11-26,72.69
2010-11-29,73.4
2010-11-30,73.9
2010-12-01,75.54
2010-12-02,77.25
2010-12-03,77.12
2010-12-06,77.38
2010-12-07,77.36
2010-12-08,77.22
2010-12-09,77.78
2010-12-10,78.59
2010-12-13,79.5
2010-12-14,80.4
2010-12-15,79.64
2010-12-16,78.69
2010-12-17,78.75
2010-12-20,79.5
2010-12-21,79.61
2010-12-22,79.94
2010-12-23,79.45
2010-12-27,80.09
2010-12-28,80.46
2010-12-29,81.78
2010-12-30,81.42
2010-12-31,80.92
2011-01-03,81.65
2011-01-04,79.26
2011-01-05,79.25
2011-01-06,78.57
2011-01-07,77.74
2011-01-10,77.0
2011-01-11,77.3
2011-01-12,78.04
2011-01-13,77.32
2011-01-14,78.13
2011-01-18,78.78
2011-01-19,79.02
2011-01-20,78.64
2011-01-21,79.2
2011-01-24,80.27
2011-01-25,79.9
2011-01-26,79.34
2011-01-27,79.25
2011-01-28,78.44
