,Close
2008-01-02,87.69
2008-01-03,87.88
2008-01-04,81.4
2008-01-07,75.45
2008-01-08,70.47
2008-01-09,73.33
2008-01-10,76.4
2008-01-11,71.75
2008-01-14,75.74
2008-01-15,69.07
2008-01-16,64.66
2008-01-17,63.08
2008-01-18,65.83
2008-01-22,67.0
2008-01-23,70.58
2008-01-24,71.52
2008-01-25,72.02
2008-01-28,73.32
2008-01-29,74.86
2008-01-30,71.53
2008-01-31,71.46
2008-02-01,75.25
2008-02-04,74.18
2008-02-05,69.62
2008-02-06,71.32
2008-02-07,74.22
2008-02-08,75.68
2008-02-11,79.18
2008-02-12,76.88
2008-02-13,80.93
2008-02-14,78.79
2008-02-15,75.95
2008-02-19,77.63
2008-02-20,78.41
2008-02-21,80.25
2008-02-22,81.55
2008-02-25,81.41
2008-02-26,81.79
2008-02-27,80.0
2008-02-28,78.68
2008-02-29,76.28
2008-03-03,78.75
2008-03-04,78.22
2008-03-05,78.14
2008-03-06,75.02
2008-03-07,74.11
2008-03-10,72.42
2008-03-11,76.89
2008-03-12,79.34
2008-03-13,83.24
2008-03-14,81.05
2008-03-17,81.27
2008-03-18,86.12
2008-03-19,80.32
2008-03-20,81.79
2008-03-24,83.91
2008-03-25,82.44
2008-03-26,81.03
2008-03-27,72.81
2008-03-28,70.5
2008-03-31,70.9
2008-04-01,75.46
2008-04-02,76.39
2008-04-03,73.76
2008-04-04,76.23
2008-04-07,73.39
2008-04-08,73.23
2008-04-09,73.85
2008-04-10,76.44
2008-04-11,73.43
2008-04-14,72.55
2008-04-15,72.28
2008-04-16,73.81
2008-04-17,73.85
2008-04-18,77.35
2008-04-21,75.96
2008-04-22,74.11
2008-04-23,73.2
2008-04-24,75.35
2008-04-25,70.5
2008-04-28,68.37
2008-04-29,69.4
2008-04-30,62.97
2008-05-01,64.76
2008-05-02,65.37
2008-05-05,63.89
2008-05-06,65.53
2008-05-07,65.61
2008-05-08,65.42
2008-05-09,64.38
2008-05-12,67.44
2008-05-13,68.04
2008-05-14,69.98
2008-05-15,72.34
2008-05-16,73.08
2008-05-19,69.84
2008-05-20,68.73
2008-05-21,66.95
2008-05-22,67.0
2008-05-23,66.74
2008-05-27,67.89
2008-05-28,69.13
2008-05-29,67.26
2008-05-30,68.66
2008-06-02,66.62
2008-06-03,64.85
2008-06-04,64.25
2008-06-05,64.97
2008-06-06,65.26
2008-06-09,63.24
2008-06-10,61.76
2008-06-11,61.5
2008-06-12,61.38
2008-06-13,63.48
2008-06-16,65.5
2008-06-17,66.03
2008-06-18,64.86
2008-06-19,67.05
2008-06-20,65.13
2008-06-23,65.68
2008-06-24,64.8
2008-06-25,66.31
2008-06-26,62.84
2008-06-27,63.18
2008-06-30,61.54
2008-07-01,59.64
2008-07-02,57.29
2008-07-03,54.96
2008-07-07,56.21
2008-07-08,55.0
2008-07-09,52.25
2008-07-10,51.59
2008-07-11,51.03
2008-07-14,50.63
2008-07-15,50.72
2008-07-16,52.28
2008-07-17,53.72
2008-07-18,52.66
2008-07-21,53.62
2008-07-22,51.63
2008-07-23,53.8
2008-07-24,42.23
2008-07-25,45.47
2008-07-28,44.99
2008-07-29,46.93
2008-07-30,47.5
2008-07-31,46.21
2008-08-01,45.73
2008-08-04,44.41
2008-08-05,43.55
2008-08-06,44.15
2008-08-07,43.86
2008-08-08,44.86
2008-08-11,46.11
2008-08-12,45.39
