,Close
2009-01-02,31.09
2009-01-05,32.87
2009-01-06,33.74
2009-01-07,31.8
2009-01-08,31.01
2009-01-09,30.23
2009-01-12,28.34
2009-01-13,29.5
2009-01-14,27.68
2009-01-15,27.71
2009-01-16,28.6
2009-01-20,26.92
2009-01-21,30.17
2009-01-22,29.48
2009-01-23,31.74
2009-01-26,31.93
2009-01-27,31.15
2009-01-28,32.29
2009-01-29,31.86
2009-01-30,31.65
2009-02-02,30.88
2009-02-03,32.25
2009-02-04,32.47
2009-02-05,32.83
2009-02-06,32.73
2009-02-09,33.0
2009-02-10,32.18
2009-02-11,31.17
2009-02-12,31.6
2009-02-13,32.33
2009-02-17,29.71
2009-02-18,28.56
2009-02-19,28.59
2009-02-20,27.63
2009-02-23,25.99
2009-02-24,26.93
2009-02-25,27.42
2009-02-26,27.53
2009-02-27,28.77
2009-03-02,27.05
2009-03-03,28.05
2009-03-04,29.16
2009-03-05,29.2
2009-03-06,28.72
2009-03-09,28.27
2009-03-10,28.43
2009-03-11,28.01
2009-03-12,28.39
2009-03-13,27.43
2009-03-16,28.67
2009-03-17,30.43
2009-03-18,30.89
2009-03-19,32.01
2009-03-20,30.85
2009-03-23,34.14
2009-03-24,32.96
2009-03-25,33.9
2009-03-26,33.88
2009-03-27,31.97
2009-03-30,30.37
2009-03-31,29.69
2009-04-01,30.01
2009-04-02,31.69
2009-04-03,32.32
2009-04-06,31.84
2009-04-07,30.75
2009-04-08,31.5
2009-04-09,31.21
2009-04-13,30.96
2009-04-14,30.59
2009-04-15,30.58
2009-04-16,32.24
2009-04-17,33.71
2009-04-20,32.89
2009-04-21,32.9
2009-04-22,32.82
2009-04-23,33.78
2009-04-24,34.43
2009-04-27,33.47
2009-04-28,36.64
2009-04-29,36.41
2009-04-30,35.86
2009-05-01,38.49
2009-05-04,41.19
2009-05-05,39.63
2009-05-06,41.76
2009-05-07,40.26
2009-05-08,41.32
2009-05-11,40.02
2009-05-12,40.75
2009-05-13,39.17
2009-05-14,39.24
2009-05-15,39.05
2009-05-18,40.55
2009-05-19,40.44
2009-05-20,40.75
2009-05-21,39.71
2009-05-22,40.11
2009-05-26,41.86
2009-05-27,41.92
2009-05-28,43.52
2009-05-29,43.47
2009-06-01,45.65
2009-06-02,44.66
2009-06-03,42.13
2009-06-04,43.31
2009-06-05,42.38
2009-06-08,42.57
2009-06-09,42.77
2009-06-10,42.35
2009-06-11,45.19
2009-06-12,44.53
2009-06-15,43.89
2009-06-16,42.75
2009-06-17,42.1
2009-06-18,41.6
2009-06-19,40.96
2009-06-22,38.26
2009-06-23,38.15
2009-06-24,38.69
2009-06-25,39.67
2009-06-26,38.94
2009-06-29,39.18
2009-06-30,38.85
2009-07-01,38.49
2009-07-02,36.56
2009-07-06,36.61
2009-07-07,35.52
2009-07-08,35.39
2009-07-09,37.09
2009-07-10,36.78
2009-07-13,37.58
2009-07-14,38.54
2009-07-15,39.11
2009-07-16,39.77
2009-07-17,40.6
2009-07-20,41.02
2009-07-21,41.27
2009-07-22,41.22
2009-07-23,42.15
2009-07-24,42.46
2009-07-27,41.74
2009-07-28,41.24
2009-07-29,40.13
2009-07-30,41.44
2009-07-31,41.43
2009-08-03,43.31
2009-08-04,42.79
2009-08-05,41.02
2009-08-06,39.63
2009-08-07,39.62
2009-08-10,38.89
2009-08-11,38.03
2009-08-12,38.76
2009-08-13,39.69
2009-08-14,38.11
2009-08-17,37.02
2009-08-18,37.7
2009-08-19,38.74
2009-08-20,39.84
2009-08-21,41.48
2009-08-24,41.25
2009-08-25,39.67
2009-08-26,38.71
2009-08-27,38.4
2009-08-28,38.43
2009-08-31,36.86
2009-09-01,36.28
2009-09-02,35.87
2009-09-03,35.85
2009-09-04,37.21
2009-09-08,39.05
2009-09-09,39.65
2009-09-10,40.64
2009-09-11,41.59
2009-09-14,42.05
2009-09-15,43.21
2009-09-16,44.81
2009-09-17,45.08
2009-09-18,44.03
2009-09-21,43.34
2009-09-22,44.39
2009-09-23,42.81
2009-09-24,41.91
2009-09-25,41.0
2009-09-28,41.47
2009-09-29,42.31
2009-09-30,42.68
2009-10-01,40.28
2009-10-02,40.77
2009-10-05,41.97
2009-10-06,43.15
2009-10-07,42.97
2009-10-08,44.76
2009-10-09,45.34
2009-10-12,45.39
2009-10-13,45.31
2009-10-14,46.67
2009-10-15,49.49
2009-10-16,49.12
2009-10-19,50.17
2009-10-20,49.46
2009-10-21,48.74
2009-10-22,48.62
2009-10-23,47.22
2009-10-26,46.14
2009-10-27,46.78
2009-10-28,43.62
2009-10-29,45.89
2009-10-30,43.58
2009-11-02,44.55
2009-11-03,45.46
2009-11-04,44.78
2009-11-05,45.55
2009-11-06,44.74
2009-11-09,46.18
2009-11-10,45.51
2009-11-11,44.7
2009-11-12,42.57
2009-11-13,42.29
2009-11-16,42.71
2009-11-17,42.31
2009-11-18,42.14
2009-11-19,41.49
2009-11-20,41.49
2009-11-23,42.28
2009-11-24,43.17
2009-11-25,45.11
2009-11-27,43.86
2009-11-30,43.96
2009-12-01,44.56
2009-12-02,44.1
2009-12-03,43.08
2009-12-04,42.95
2009-12-07,42.93
2009-12-08,41.31
2009-12-09,40.73
2009-12-10,42.04
2009-12-11,41.45
2009-12-14,44.46
2009-12-15,44.47
2009-12-16,45.32
2009-12-17,45.4
2009-12-18,47.45
2009-12-21,48.79
2009-12-22,49.35
2009-12-23,50.57
2009-12-24,50.62
2009-12-28,49.99
2009-12-29,49.36
2009-12-30,48.93
2009-12-31,48.2
2010-01-04,50.83
2010-01-05,51.65
2010-01-06,51.4
2010-01-07,50.95
2010-01-08,51.47
2010-01-11,50.48
2010-01-12,48.72
2010-01-13,49.78
2010-01-14,49.41
2010-01-15,48.65
2010-01-19,48.71
2010-01-20,47.66
2010-01-21,46.63
2010-01-22,45.44
2010-01-25,46.32
2010-01-26,45.55
2010-01-27,44.57
2010-01-28,43.94
2010-01-29,42.88
2010-02-01,44.81
2010-02-02,45.48
2010-02-03,44.38
2010-02-04,41.88
2010-02-05,42.1
2010-02-08,41.76
2010-02-09,42.64
2010-02-10,43.05
2010-02-11,44.34
2010-02-12,44.27
2010-02-16,45.57
2010-02-17,45.7
2010-02-18,45.81
2010-02-19,45.3
2010-02-22,43.43
2010-02-23,42.49
2010-02-24,42.74
2010-02-25,42.99
2010-02-26,42.55
2010-03-01,42.53
2010-03-02,42.41
2010-03-03,42.49
2010-03-04,40.77
2010-03-05,42.59
2010-03-08,42.25
2010-03-09,43.89
2010-03-10,44.94
2010-03-11,44.38
2010-03-12,44.36
2010-03-15,43.42
2010-03-16,42.58
2010-03-17,42.96
2010-03-18,40.78
2010-03-19,39.6
2010-03-22,39.95
2010-03-23,39.93
2010-03-24,39.42
2010-03-25,38.13
2010-03-26,37.7
2010-03-29,40.73
2010-03-30,40.22
2010-03-31,40.72
2010-04-01,41.48
2010-04-05,42.74
2010-04-06,41.93
2010-04-07,40.78
2010-04-08,40.74
2010-04-09,41.3
2010-04-12,41.76
2010-04-13,41.57
2010-04-14,41.59
2010-04-15,41.63
2010-04-16,40.48
2010-04-19,39.7
2010-04-20,40.79
2010-04-21,40.66
2010-04-22,41.51
2010-04-23,43.09
2010-04-26,42.41
2010-04-27,40.92
2010-04-28,41.23
2010-04-29,40.38
2010-04-30,39.68
2010-05-03,40.54
2010-05-04,39.32
2010-05-05,39.6
2010-05-06,38.09
2010-05-07,37.16
2010-05-10,39.24
2010-05-11,38.91
2010-05-12,40.09
2010-05-13,39.78
2010-05-14,39.06
2010-05-17,38.46
2010-05-18,38.37
2010-05-19,38.06
2010-05-20,36.35
2010-05-21,37.27
2010-05-24,35.89
2010-05-25,36.35
2010-05-26,35.86
2010-05-27,37.45
2010-05-28,37.61
2010-06-01,36.79
2010-06-02,40.42
2010-06-03,42.43
2010-06-04,41.7
2010-06-07,41.85
2010-06-08,42.05
2010-06-09,41.9
2010-06-10,44.01
2010-06-11,43.91
2010-06-14,43.54
2010-06-15,44.99
2010-06-16,44.68
2010-06-17,44.57
2010-06-18,44.08
2010-06-21,43.76
2010-06-22,42.06
2010-06-23,42.12
2010-06-24,40.91
2010-06-25,41.55
2010-06-28,41.05
2010-06-29,39.02
2010-06-30,38.64
2010-07-01,38.83
2010-07-02,37.75
2010-07-06,37.66
2010-07-07,38.24
2010-07-08,38.67
2010-07-09,38.41
2010-07-12,38.37
2010-07-13,38.36
2010-07-14,38.76
2010-07-15,38.81
2010-07-16,37.41
2010-07-19,36.36
2010-07-20,36.86
2010-07-21,37.37
2010-07-22,37.86
2010-07-23,37.75
2010-07-26,37.58
2010-07-27,37.34
2010-07-28,37.03
2010-07-29,36.73
2010-07-30,36.45
2010-08-02,37.13
2010-08-03,37.28
2010-08-04,38.14
2010-08-05,38.46
2010-08-06,37.45
2010-08-09,37.62
2010-08-10,37.07
2010-08-11,34.93
2010-08-12,34.66
2010-08-13,34.47
2010-08-16,33.53
2010-08-17,34.96
2010-08-18,34.79
2010-08-19,34.32
2010-08-20,33.71
2010-08-23,33.88
2010-08-24,32.81
2010-08-25,32.91
2010-08-26,32.41
2010-08-27,33.35
2010-08-30,33.17
2010-08-31,32.72
2010-09-01,33.55
2010-09-02,33.78
2010-09-03,34.07
2010-09-07,33.04
2010-09-08,33.22
2010-09-09,32.94
2010-09-10,33.37
2010-09-13,33.06
2010-09-14,32.88
2010-09-15,32.52
2010-09-16,31.91
2010-09-17,31.44
2010-09-20,31.94
2010-09-21,32.09
2010-09-22,32.2
2010-09-23,32.28
2010-09-24,33.05
2010-09-27,32.48
2010-09-28,32.75
2010-09-29,33.64
2010-09-30,33.44
2010-10-01,33.46
2010-10-04,32.73
2010-10-05,33.27
2010-10-06,33.89
2010-10-07,33.28
2010-10-08,33.87
2010-10-11,33.7
2010-10-12,33.6
2010-10-13,34.67
2010-10-14,34.49
2010-10-15,34.62
2010-10-18,34.9
2010-10-19,34.04
2010-10-20,34.54
2010-10-21,34.33
2010-10-22,33.91
2010-10-25,33.96
2010-10-26,33.28
2010-10-27,33.39
2010-10-28,33.64
2010-10-29,33.85
2010-11-01,34.56
2010-11-02,34.92
2010-11-03,35.53
2010-11-04,36.47
2010-11-05,36.09
2010-11-08,37.24
2010-11-09,37.81
2010-11-10,38.14
2010-11-11,38.45
2010-11-12,37.89
2010-11-15,38.01
2010-11-16,37.18
2010-11-17,37.44
2010-11-18,38.13
2010-11-19,38.44
2010-11-22,38.14
2010-11-23,36.37
2010-11-24,36.72
2010-11-26,36.31
2010-11-29,36.49
2010-11-30,36.2
2010-12-01,36.88
2010-12-02,37.72
2010-12-03,37.91
2010-12-06,37.36
2010-12-07,36.92
2010-12-08,36.22
2010-12-09,36.1
2010-12-10,35.65
2010-12-13,36.23
2010-12-14,35.31
2010-12-15,35.11
2010-12-16,35.68
2010-12-17,35.77
2010-12-20,35.51
2010-12-21,35.5
2010-12-22,35.93
2010-12-23,36.19
2010-12-27,36.19
2010-12-28,36.55
2010-12-29,37.01
2010-12-30,37.23
2010-12-31,37.43
2011-01-03,38.07
2011-01-04,37.58
2011-01-05,37.33
2011-01-06,37.75
2011-01-07,38.15
2011-01-10,38.09
2011-01-11,38.27
2011-01-12,38.91
2011-01-13,39.26
2011-01-14,39.38
2011-01-18,38.95
2011-01-19,38.94
2011-01-20,38.0
2011-01-21,38.17
2011-01-24,39.05
2011-01-25,38.48
2011-01-26,39.82
2011-01-27,39.27
2011-01-28,38.79
2011-01-31,39.5
2011-02-01,39.44
2011-02-02,39.03
2011-02-03,39.31
