,Close
2003-01-02,15.16
2003-01-03,15.37
2003-01-06,15.67
2003-01-07,15.8
2003-01-08,15.47
2003-01-09,15.92
2003-01-10,16.05
2003-01-13,15.88
2003-01-14,16.5
2003-01-15,16.5
2003-01-16,16.25
2003-01-17,16.01
2003-01-21,16.05
2003-01-22,16.15
2003-01-23,16.47
2003-01-24,16.03
2003-01-27,15.4
2003-01-28,15.93
2003-01-29,15.89
2003-01-30,15.87
2003-01-31,16.26
2003-02-03,16.31
2003-02-04,15.6
2003-02-05,15.75
2003-02-06,15.41
2003-02-07,15.11
2003-02-10,15.55
2003-02-11,15.23
2003-02-12,15.03
2003-02-13,14.79
2003-02-14,15.15
2003-02-18,15.7
2003-02-19,15.55
2003-02-20,15.26
2003-02-21,15.53
2003-02-24,15.5
2003-02-25,15.15
2003-02-26,15.11
2003-02-27,15.55
2003-02-28,15.9
2003-03-03,15.77
2003-03-04,15.58
2003-03-05,15.65
2003-03-06,15.43
2003-03-07,15.27
2003-03-10,14.8
2003-03-11,13.84
2003-03-12,13.4
2003-03-13,14.13
2003-03-14,14.59
2003-03-17,14.39
2003-03-18,14.38
2003-03-19,14.59
2003-03-20,14.9
2003-03-21,14.95
2003-03-24,14.56
2003-03-25,14.71
2003-03-26,14.46
2003-03-27,14.49
2003-03-28,14.31
2003-03-31,14.11
2003-04-01,14.33
2003-04-02,14.66
2003-04-03,14.49
2003-04-04,14.75
2003-04-07,15.01
2003-04-08,15.1
2003-04-09,15.26
2003-04-10,15.51
2003-04-11,15.35
2003-04-14,15.55
2003-04-15,15.35
2003-04-16,15.57
2003-04-17,15.51
2003-04-21,15.82
2003-04-22,16.45
2003-04-23,16.51
2003-04-24,16.18
2003-04-25,16.12
2003-04-28,16.21
2003-04-29,16.28
2003-04-30,16.25
2003-05-01,16.19
2003-05-02,16.34
2003-05-05,16.34
2003-05-06,16.16
2003-05-07,16.03
2003-05-08,15.78
2003-05-09,15.87
2003-05-12,16.16
2003-05-13,16.12
2003-05-14,16.66
2003-05-15,16.9
2003-05-16,16.7
2003-05-19,16.5
2003-05-20,16.58
2003-05-21,16.75
2003-05-22,16.47
2003-05-23,16.28
2003-05-27,16.45
2003-05-28,16.14
2003-05-29,15.98
2003-05-30,16.17
2003-06-02,16.14
2003-06-03,16.19
2003-06-04,16.2
2003-06-05,16.02
2003-06-06,15.9
2003-06-09,15.97
2003-06-10,16.34
2003-06-11,16.5
