,Close
2022-01-03,487.79
2022-01-04,468.02
2022-01-05,434.73
2022-01-06,426.54
2022-01-07,415.28
2022-01-10,427.77
2022-01-11,432.31
2022-01-12,428.37
2022-01-13,397.68
2022-01-14,390.11
2022-01-18,379.0
2022-01-19,379.83
2022-01-20,377.22
2022-01-21,367.1
2022-01-24,381.89
2022-01-25,368.0
2022-01-26,363.81
2022-01-27,353.85
2022-01-28,367.09
2022-01-31,376.41
2022-02-01,401.57
2022-02-02,417.86
2022-02-03,409.6
2022-02-04,410.07
2022-02-07,412.68
2022-02-08,413.35
2022-02-09,424.09
2022-02-10,422.87
2022-02-11,418.58
2022-02-14,413.64
2022-02-15,412.75
2022-02-16,412.03
2022-02-17,398.19
2022-02-18,401.01
2022-02-22,400.11
2022-02-23,392.36
2022-02-24,412.9
2022-02-25,422.69
2022-02-28,419.41
2022-03-01,420.18
2022-03-02,423.68
2022-03-03,419.82
2022-03-04,417.59
2022-03-07,401.32
2022-03-08,393.72
2022-03-09,418.3
2022-03-10,415.09
2022-03-11,400.84
2022-03-14,392.21
2022-03-15,405.6
2022-03-16,423.42
2022-03-17,431.73
2022-03-18,445.6
2022-03-21,438.24
2022-03-22,442.14
2022-03-23,429.02
2022-03-24,435.06
2022-03-25,435.45
2022-03-28,437.32
2022-03-29,446.02
2022-03-30,442.38
2022-03-31,433.04
2022-04-01,433.27
2022-04-04,432.04
2022-04-05,433.05
2022-04-06,434.2
2022-04-07,449.65
2022-04-08,433.17
2022-04-11,422.51
2022-04-12,412.75
2022-04-13,419.4
2022-04-14,418.08
2022-04-18,412.06
2022-04-19,413.25
2022-04-20,424.61
2022-04-21,412.09
2022-04-22,402.99
2022-04-25,400.91
2022-04-26,382.13
2022-04-27,380.93
2022-04-28,386.89
2022-04-29,379.69
2022-05-02,382.58
2022-05-03,383.43
2022-05-04,395.84
2022-05-05,386.15
2022-05-06,372.93
2022-05-09,347.06
2022-05-10,351.54
2022-05-11,338.67
2022-05-12,348.88
2022-05-13,367.77
2022-05-16,362.13
2022-05-17,371.05
2022-05-18,359.09
2022-05-19,366.44
2022-05-20,366.35
2022-05-23,364.51
2022-05-24,357.17
2022-05-25,352.81
2022-05-26,365.32
2022-05-27,386.56
2022-05-31,369.73
2022-06-01,359.95
2022-06-02,374.01
2022-06-03,363.1
2022-06-06,363.4
2022-06-07,366.0
2022-06-08,364.45
2022-06-09,355.44
2022-06-10,334.55
2022-06-13,324.98
2022-06-14,324.18
2022-06-15,330.66
2022-06-16,322.67
2022-06-17,327.15
2022-06-21,329.3
2022-06-22,329.7
2022-06-23,345.3
2022-06-24,352.76
2022-06-27,353.34
2022-06-28,346.01
2022-06-29,348.5
2022-06-30,346.64
2022-07-01,353.18
2022-07-05,362.3
2022-07-06,362.78
2022-07-07,368.24
2022-07-08,369.93
2022-07-11,363.04
2022-07-12,352.8
2022-07-13,348.95
2022-07-14,341.39
2022-07-15,344.35
2022-07-18,336.24
2022-07-19,350.24
2022-07-20,356.57
2022-07-21,370.11
2022-07-22,363.25
2022-07-25,361.1
2022-07-26,370.63
2022-07-27,374.44
2022-07-28,380.76
2022-07-29,385.28
2022-08-01,383.26
2022-08-02,387.01
2022-08-03,391.85
2022-08-04,390.9
2022-08-05,382.97
2022-08-08,375.15
2022-08-09,361.12
2022-08-10,379.95
2022-08-11,374.43
2022-08-12,379.65
2022-08-15,378.08
2022-08-16,370.06
2022-08-17,362.77
2022-08-18,361.45
2022-08-19,354.83
2022-08-22,345.65
2022-08-23,342.13
2022-08-24,346.98
2022-08-25,358.6
2022-08-26,338.74
2022-08-29,333.39
2022-08-30,333.38
2022-08-31,331.81
2022-09-01,332.84
2022-09-02,330.03
2022-09-06,329.04
2022-09-07,334.13
2022-09-08,342.68
2022-09-09,346.78
2022-09-12,344.81
2022-09-13,323.86
2022-09-14,319.67
2022-09-15,316.37
2022-09-16,307.59
2022-09-19,303.98
2022-09-20,300.09
2022-09-21,296.25
2022-09-22,290.22
2022-09-23,291.06
2022-09-26,290.08
2022-09-27,282.54
2022-09-28,289.65
2022-09-29,285.63
2022-09-30,284.0
2022-10-03,293.07
2022-10-04,308.56
2022-10-05,308.55
2022-10-06,309.08
2022-10-07,296.0
2022-10-10,284.49
2022-10-11,281.98
2022-10-12,282.87
2022-10-13,288.95
2022-10-14,282.86
2022-10-17,296.16
2022-10-18,302.62
2022-10-19,290.02
2022-10-20,282.13
2022-10-21,283.29
2022-10-24,283.78
2022-10-25,296.6
2022-10-26,301.89
2022-10-27,295.77
2022-10-28,295.5
2022-10-31,296.26
2022-11-01,309.29
