,Close
2000-01-03,61.8125
2000-01-04,59.9375
2000-01-05,58.625
2000-01-06,55.75
2000-01-07,56.9375
2000-01-10,61.9375
2000-01-11,60.125
2000-01-12,61.0625
2000-01-13,60.625
2000-01-14,68.25
2000-01-18,69.8125
2000-01-19,77.25
2000-01-20,74.3125
2000-01-21,72.375
2000-01-24,71.3125
2000-01-25,72.25
2000-01-26,69.25
2000-01-27,68.625
2000-01-28,62.875
2000-01-31,64.75
2000-02-01,70.1875
2000-02-02,71.8125
2000-02-03,75.0625
2000-02-04,72.625
2000-02-07,77.0
2000-02-08,77.5
2000-02-09,75.0
2000-02-10,78.9375
2000-02-11,75.375
2000-02-14,77.3125
2000-02-15,78.4375
2000-02-16,79.25
2000-02-17,80.625
2000-02-18,77.5
2000-02-22,83.25
2000-02-23,80.9375
2000-02-24,86.0
2000-02-25,84.125
2000-02-28,84.9375
2000-02-29,87.0
2000-03-01,89.5
2000-03-02,83.9375
2000-03-03,88.4375
2000-03-06,87.1875
2000-03-07,87.0
2000-03-08,82.125
2000-03-09,82.75
2000-03-10,90.0
2000-03-13,89.0
2000-03-14,81.5625
2000-03-15,74.75
2000-03-16,76.0
2000-03-17,83.0
2000-03-20,84.75
2000-03-21,83.0
2000-03-22,90.0
2000-03-23,88.1875
2000-03-24,91.6875
2000-03-27,89.125
2000-03-28,86.4375
2000-03-29,83.75
2000-03-30,79.75
2000-03-31,82.25
2000-04-03,74.125
2000-04-04,80.9375
2000-04-05,88.0
2000-04-06,95.9375
2000-04-07,98.25
2000-04-10,94.125
2000-04-11,92.1875
2000-04-12,84.4375
2000-04-13,83.25
2000-04-14,75.75
2000-04-17,87.25
2000-04-18,93.0
2000-04-19,92.125
2000-04-20,96.3125
2000-04-24,92.5
2000-04-25,103.375
2000-04-26,102.1875
2000-04-27,107.9375
2000-04-28,110.0
2000-05-01,109.3125
2000-05-02,108.0
2000-05-03,100.1875
2000-05-04,104.9375
2000-05-05,108.0625
2000-05-08,101.4375
2000-05-09,93.75
2000-05-10,84.0
2000-05-11,83.0
2000-05-12,88.0
2000-05-15,87.125
2000-05-16,89.25
2000-05-17,91.5
2000-05-18,90.75
2000-05-19,83.875
2000-05-22,84.5
2000-05-23,75.375
2000-05-24,69.8125
2000-05-25,74.0
2000-05-26,72.75
2000-05-30,84.5625
2000-05-31,86.0
2000-06-01,90.5625
2000-06-02,99.3125
2000-06-05,96.3125
2000-06-06,92.0
2000-06-07,94.9375
2000-06-08,93.625
2000-06-09,91.75
2000-06-12,87.5
2000-06-13,87.0
2000-06-14,84.875
2000-06-15,87.0
2000-06-16,80.75
2000-06-19,83.0
2000-06-20,81.875
2000-06-21,79.0625
2000-06-22,81.0
2000-06-23,81.0
2000-06-26,78.3125
2000-06-27,76.375
2000-06-28,77.25
2000-06-29,75.0
2000-06-30,73.5
2000-07-03,77.5625
2000-07-05,73.125
2000-07-06,75.6875
2000-07-07,78.0625
2000-07-10,79.25
2000-07-11,75.9375
2000-07-12,72.5
2000-07-13,72.0
2000-07-14,75.4375
2000-07-17,78.25
2000-07-18,72.875
2000-07-19,68.25
2000-07-20,70.3125
2000-07-21,68.8125
2000-07-24,65.5
2000-07-25,64.3125
2000-07-26,61.0
2000-07-27,55.9375
2000-07-28,59.875
2000-07-31,63.375
2000-08-01,61.0
2000-08-02,59.1875
2000-08-03,53.25
2000-08-04,51.3125
2000-08-07,54.8125
2000-08-08,52.1875
2000-08-09,51.5
2000-08-10,52.875
2000-08-11,53.8125
2000-08-14,57.5625
2000-08-15,58.875
2000-08-16,59.8125
2000-08-17,63.3125
2000-08-18,66.875
2000-08-21,64.25
2000-08-22,63.5625
2000-08-23,67.25
2000-08-24,68.8125
2000-08-25,68.0625
2000-08-28,67.3125
2000-08-29,67.4375
