,Close
2000-01-03,64.6667
2000-01-04,63.6667
2000-01-05,64.6667
2000-01-06,68.1667
2000-01-07,73.6667
2000-01-10,72.6667
2000-01-11,70.1667
2000-01-12,70.1667
2000-01-13,72.6667
2000-01-14,72.0
2000-01-18,71.5
2000-01-19,69.0
2000-01-20,70.6667
2000-01-21,67.3333
2000-01-24,64.1667
2000-01-25,63.3333
2000-01-26,63.8333
2000-01-27,61.0
2000-01-28,62.3333
2000-01-31,60.6667
2000-02-01,60.5
2000-02-02,62.5
2000-02-03,61.1667
2000-02-04,62.3333
2000-02-07,60.8333
2000-02-08,61.1667
2000-02-09,59.6667
2000-02-10,56.5
2000-02-11,55.6667
2000-02-14,54.8333
2000-02-15,55.1667
2000-02-16,54.0
2000-02-17,54.0
2000-02-18,52.3333
2000-02-22,52.6667
2000-02-23,50.0
2000-02-24,49.6667
2000-02-25,48.1667
2000-02-28,46.3333
2000-02-29,46.6667
2000-03-01,49.8333
2000-03-02,52.1667
2000-03-03,55.5
2000-03-06,52.5
2000-03-07,53.3333
2000-03-08,51.8333
2000-03-09,53.0
2000-03-10,55.1667
2000-03-13,54.0
2000-03-14,53.3333
2000-03-15,58.6667
2000-03-16,63.6667
2000-03-17,61.8333
2000-03-20,60.3333
2000-03-21,61.1667
2000-03-22,58.6667
2000-03-23,57.5
2000-03-24,58.0
2000-03-27,56.8333
2000-03-28,58.3333
2000-03-29,60.1667
2000-03-30,61.3333
2000-03-31,61.3333
2000-04-03,64.8333
2000-04-04,63.3333
2000-04-05,65.6667
2000-04-06,67.8333
2000-04-07,66.0
2000-04-10,66.0
2000-04-11,68.0
2000-04-12,71.3333
2000-04-13,69.1667
2000-04-14,67.3333
2000-04-17,67.0
2000-04-18,67.6667
2000-04-19,67.1667
2000-04-20,68.8333
2000-04-24,68.6667
2000-04-25,69.8333
2000-04-26,69.6667
2000-04-27,68.3333
2000-04-28,68.0
2000-05-01,64.8333
2000-05-02,65.6667
2000-05-03,64.3333
