,Close
2008-01-02,26.15
2008-01-03,26.1
2008-01-04,25.0
2008-01-07,23.74
2008-01-08,23.47
2008-01-09,22.76
2008-01-10,24.61
2008-01-11,23.59
2008-01-14,24.62
2008-01-15,23.23
2008-01-16,22.34
2008-01-17,20.44
2008-01-18,20.16
2008-01-22,19.85
2008-01-23,20.02
2008-01-24,20.9
2008-01-25,20.91
2008-01-28,20.89
2008-01-29,21.4
2008-01-30,21.52
2008-01-31,21.74
2008-02-01,22.72
2008-02-04,22.48
2008-02-05,21.44
2008-02-06,21.16
2008-02-07,21.7
2008-02-08,22.16
2008-02-11,22.43
2008-02-12,21.65
2008-02-13,22.69
2008-02-14,22.28
2008-02-15,22.37
2008-02-19,23.03
2008-02-20,24.01
2008-02-21,23.83
2008-02-22,23.81
2008-02-25,25.04
2008-02-26,25.11
2008-02-27,24.79
2008-02-28,24.82
2008-02-29,20.62
2008-03-03,20.66
2008-03-04,19.26
2008-03-05,19.46
2008-03-06,18.93
2008-03-07,17.94
2008-03-10,15.89
2008-03-11,16.62
2008-03-12,15.92
2008-03-13,15.79
2008-03-14,15.03
2008-03-17,14.22
2008-03-18,14.8
2008-03-19,13.68
2008-03-20,13.96
2008-03-24,14.67
2008-03-25,15.21
2008-03-26,15.48
2008-03-27,14.97
2008-03-28,15.1
2008-03-31,15.05
2008-04-01,16.13
2008-04-02,16.62
2008-04-03,16.52
2008-04-04,18.03
2008-04-07,17.99
2008-04-08,17.62
2008-04-09,17.02
2008-04-10,16.55
2008-04-11,16.03
2008-04-14,16.0
2008-04-15,15.26
2008-04-16,16.7
2008-04-17,16.35
2008-04-18,16.47
2008-04-21,16.57
2008-04-22,16.7
2008-04-23,16.71
2008-04-24,16.63
2008-04-25,16.88
2008-04-28,16.97
2008-04-29,15.95
2008-04-30,15.24
2008-05-01,15.36
2008-05-02,16.12
2008-05-05,15.55
2008-05-06,15.84
2008-05-07,17.67
2008-05-08,17.97
2008-05-09,17.36
2008-05-12,17.22
2008-05-13,16.86
2008-05-14,17.01
2008-05-15,17.86
2008-05-16,18.23
2008-05-19,18.83
2008-05-20,18.46
2008-05-21,17.8
2008-05-22,17.31
2008-05-23,17.3
2008-05-27,16.94
2008-05-28,17.68
2008-05-29,17.17
2008-05-30,17.4
2008-06-02,17.27
2008-06-03,16.79
2008-06-04,16.12
2008-06-05,17.12
2008-06-06,16.79
2008-06-09,16.76
2008-06-10,15.93
2008-06-11,15.52
2008-06-12,15.62
2008-06-13,16.01
2008-06-16,15.96
2008-06-17,15.88
2008-06-18,15.09
2008-06-19,15.25
2008-06-20,14.66
2008-06-23,14.71
2008-06-24,14.25
2008-06-25,13.94
2008-06-26,13.63
2008-06-27,14.07
2008-06-30,13.99
2008-07-01,13.67
2008-07-02,12.68
2008-07-03,12.01
2008-07-07,11.34
2008-07-08,11.68
2008-07-09,11.49
2008-07-10,11.69
2008-07-11,11.85
2008-07-14,11.73
2008-07-15,11.17
2008-07-16,11.31
2008-07-17,10.79
2008-07-18,10.83
2008-07-21,12.23
2008-07-22,11.26
2008-07-23,11.0
2008-07-24,10.33
2008-07-25,10.89
2008-07-28,10.65
2008-07-29,11.72
2008-07-30,11.87
2008-07-31,11.26
2008-08-01,10.5
2008-08-04,9.98
2008-08-05,10.68
2008-08-06,11.4
2008-08-07,11.07
2008-08-08,11.02
2008-08-11,10.63
2008-08-12,11.22
2008-08-13,11.66
2008-08-14,11.57
2008-08-15,11.13
2008-08-18,11.29
2008-08-19,11.33
2008-08-20,11.94
2008-08-21,12.47
2008-08-22,12.19
2008-08-25,12.92
2008-08-26,13.46
2008-08-27,13.75
2008-08-28,14.66
2008-08-29,14.41
2008-09-02,13.79
2008-09-03,13.84
2008-09-04,12.51
2008-09-05,13.02
2008-09-08,12.19
2008-09-09,11.52
2008-09-10,12.26
2008-09-11,11.71
2008-09-12,11.46
2008-09-15,10.36
2008-09-16,10.71
2008-09-17,10.83
2008-09-18,12.01
2008-09-19,12.95
2008-09-22,12.17
2008-09-23,12.14
2008-09-24,12.13
2008-09-25,12.03
2008-09-26,11.38
2008-09-29,10.61
2008-09-30,11.34
2008-10-01,10.58
2008-10-02,9.84
2008-10-03,9.14
2008-10-06,8.64
2008-10-07,7.31
2008-10-08,8.39
2008-10-09,7.44
2008-10-10,7.47
2008-10-13,9.05
2008-10-14,9.17
2008-10-15,7.79
2008-10-16,8.65
2008-10-17,8.52
2008-10-20,8.84
2008-10-21,8.84
2008-10-22,7.84
2008-10-23,7.57
2008-10-24,6.9
2008-10-27,6.72
2008-10-28,8.14
2008-10-29,8.3
2008-10-30,8.85
2008-10-31,9.31
2008-11-03,9.74
2008-11-04,10.55
2008-11-05,9.47
2008-11-06,8.63
2008-11-07,8.8
2008-11-10,8.66
2008-11-11,8.28
2008-11-12,7.46
2008-11-13,8.4
2008-11-14,7.67
2008-11-17,7.06
2008-11-18,6.84
2008-11-19,6.22
2008-11-20,5.35
2008-11-21,5.89
2008-11-24,6.85
2008-11-25,7.6
2008-11-26,8.51
2008-11-28,8.45
2008-12-01,7.28
2008-12-02,7.49
2008-12-03,7.62
2008-12-04,7.18
2008-12-05,7.56
2008-12-08,8.12
2008-12-09,8.16
2008-12-10,8.54
2008-12-11,8.36
2008-12-12,8.59
2008-12-15,8.37
2008-12-16,9.0
2008-12-17,9.32
2008-12-18,8.59
2008-12-19,8.55
2008-12-22,8.15
2008-12-23,8.27
2008-12-24,8.27
2008-12-26,8.5
2008-12-29,8.32
2008-12-30,8.4
2008-12-31,8.81
2009-01-02,9.26
2009-01-05,9.56
2009-01-06,9.39
2009-01-07,8.64
2009-01-08,8.66
2009-01-09,8.03
2009-01-12,7.35
2009-01-13,7.44
2009-01-14,6.9
2009-01-15,6.89
2009-01-16,7.24
2009-01-20,6.68
2009-01-21,6.97
2009-01-22,6.8
2009-01-23,7.12
2009-01-26,7.12
2009-01-27,7.19
2009-01-28,7.65
2009-01-29,7.39
2009-01-30,7.05
2009-02-02,7.13
2009-02-03,7.51
2009-02-04,7.67
2009-02-05,7.94
2009-02-06,8.31
2009-02-09,8.25
2009-02-10,7.68
2009-02-11,7.81
2009-02-12,7.95
2009-02-13,8.09
2009-02-17,7.31
2009-02-18,7.33
2009-02-19,7.15
2009-02-20,6.92
2009-02-23,6.18
2009-02-24,6.1
2009-02-25,5.93
2009-02-26,5.94
2009-02-27,5.84
2009-03-02,4.88
2009-03-03,4.47
2009-03-04,4.68
2009-03-05,4.17
2009-03-06,4.26
2009-03-09,4.11
2009-03-10,4.65
2009-03-11,4.71
2009-03-12,4.9
2009-03-13,4.89
2009-03-16,4.98
2009-03-17,5.07
2009-03-18,5.22
2009-03-19,5.56
2009-03-20,5.37
2009-03-23,5.91
2009-03-24,5.79
2009-03-25,5.74
2009-03-26,5.85
2009-03-27,5.73
2009-03-30,5.27
2009-03-31,5.47
2009-04-01,5.8
2009-04-02,6.3
2009-04-03,6.5
2009-04-06,6.39
2009-04-07,6.0
2009-04-08,6.3
2009-04-09,6.82
2009-04-13,7.28
2009-04-14,7.29
2009-04-15,7.61
2009-04-16,7.7
2009-04-17,7.44
2009-04-20,6.27
2009-04-21,6.04
2009-04-22,6.28
2009-04-23,6.19
2009-04-24,6.23
2009-04-27,6.52
2009-04-28,6.26
2009-04-29,6.6
2009-04-30,6.79
2009-05-01,7.06
2009-05-04,7.69
2009-05-05,7.68
2009-05-06,8.37
2009-05-07,8.0
2009-05-08,8.59
2009-05-11,8.13
2009-05-12,8.24
2009-05-13,7.57
2009-05-14,7.82
2009-05-15,7.67
2009-05-18,8.26
2009-05-19,8.9
2009-05-20,8.99
2009-05-21,8.58
2009-05-22,8.68
2009-05-26,9.07
2009-05-27,8.78
2009-05-28,8.98
2009-05-29,9.26
2009-06-01,10.18
2009-06-02,10.69
2009-06-03,9.99
2009-06-04,10.28
2009-06-05,10.92
2009-06-08,10.74
2009-06-09,10.99
2009-06-10,11.04
2009-06-11,11.37
2009-06-12,11.03
2009-06-15,10.31
2009-06-16,10.01
2009-06-17,9.65
2009-06-18,9.92
2009-06-19,9.9
2009-06-22,8.74
2009-06-23,8.95
2009-06-24,9.0
2009-06-25,9.38
2009-06-26,9.2
2009-06-29,9.32
2009-06-30,9.19
2009-07-01,9.15
2009-07-02,8.85
2009-07-06,7.98
2009-07-07,7.82
2009-07-08,7.62
2009-07-09,7.82
2009-07-10,7.58
2009-07-13,7.93
2009-07-14,7.77
2009-07-15,8.23
2009-07-16,8.55
2009-07-17,8.29
2009-07-20,8.65
2009-07-21,8.53
2009-07-22,7.85
2009-07-23,8.13
2009-07-24,8.35
2009-07-27,8.4
2009-07-28,8.32
2009-07-29,8.04
2009-07-30,8.28
2009-07-31,8.37
2009-08-03,8.89
2009-08-04,8.87
2009-08-05,8.53
2009-08-06,8.06
2009-08-07,8.03
2009-08-10,8.05
