,Close
2000-01-03,65.625
2000-01-04,65.0
2000-01-05,61.625
2000-01-06,63.8125
2000-01-07,66.0625
2000-01-10,74.4375
2000-01-11,72.25
2000-01-12,68.4375
2000-01-13,70.25
2000-01-14,69.0625
2000-01-18,72.4375
2000-01-19,71.4375
2000-01-20,70.0625
2000-01-21,69.625
2000-01-24,69.0625
2000-01-25,59.5
2000-01-26,60.5625
2000-01-27,58.375
2000-01-28,55.0625
2000-01-31,54.0
2000-02-01,56.0
2000-02-02,56.625
2000-02-03,61.5
2000-02-04,59.75
2000-02-07,61.5
2000-02-08,66.3125
2000-02-09,63.375
2000-02-10,60.8125
2000-02-11,60.5625
2000-02-14,60.5625
2000-02-15,59.9375
2000-02-16,58.0
2000-02-17,60.0
2000-02-18,57.1875
2000-02-22,56.0
2000-02-23,53.8125
2000-02-24,51.6875
2000-02-25,49.3125
2000-02-28,48.25
2000-02-29,48.0
2000-03-01,52.4375
2000-03-02,53.0625
2000-03-03,54.4375
2000-03-06,52.375
2000-03-07,53.6875
2000-03-08,50.3125
2000-03-09,54.625
2000-03-10,57.0
2000-03-13,55.0625
2000-03-14,57.0
2000-03-15,60.8125
2000-03-16,63.0
2000-03-17,64.9375
2000-03-20,60.25
2000-03-21,61.4375
2000-03-22,63.125
2000-03-23,63.875
2000-03-24,64.0
2000-03-27,65.75
2000-03-28,61.125
2000-03-29,58.6875
2000-03-30,59.5625
2000-03-31,62.9844
2000-04-03,59.5625
2000-04-04,57.375
2000-04-05,61.0
2000-04-06,58.125
2000-04-07,58.375
2000-04-10,58.875
2000-04-11,55.75
2000-04-12,47.875
2000-04-13,50.75
2000-04-14,46.875
2000-04-17,43.3125
2000-04-18,49.3125
2000-04-19,45.0625
2000-04-20,46.3125
2000-04-24,47.375
2000-04-25,51.625
2000-04-26,52.3125
2000-04-27,53.6875
2000-04-28,54.8125
2000-05-01,55.8125
2000-05-02,51.6875
2000-05-03,49.6875
2000-05-04,50.375
2000-05-05,50.625
2000-05-08,49.875
2000-05-09,49.6875
2000-05-10,48.625
2000-05-11,55.625
2000-05-12,56.5
2000-05-15,58.0
2000-05-16,59.0
2000-05-17,61.25
2000-05-18,61.125
2000-05-19,59.8125
2000-05-22,59.4375
2000-05-23,58.9375
2000-05-24,61.9375
2000-05-25,63.0
2000-05-26,59.9375
2000-05-30,64.3281
2000-05-31,64.9375
2000-06-01,65.0625
2000-06-02,65.6875
2000-06-05,66.6875
2000-06-06,65.0625
2000-06-07,70.0
2000-06-08,68.0
2000-06-09,67.3125
2000-06-12,68.1875
2000-06-13,67.1875
2000-06-14,67.625
2000-06-15,66.8125
2000-06-16,65.3125
2000-06-19,69.5
2000-06-20,67.5
2000-06-21,69.0
2000-06-22,64.25
2000-06-23,61.875
2000-06-26,62.125
2000-06-27,62.6875
2000-06-28,68.0
2000-06-29,71.5
2000-06-30,68.4375
2000-07-03,70.625
2000-07-05,66.25
2000-07-06,71.9375
2000-07-07,74.5
2000-07-10,71.9375
2000-07-11,70.0625
2000-07-12,73.3125
2000-07-13,73.5625
2000-07-14,74.9375
2000-07-17,74.875
2000-07-18,73.25
2000-07-19,68.1875
2000-07-20,66.0625
2000-07-21,63.0
2000-07-24,63.5625
2000-07-25,67.1875
2000-07-26,65.5
2000-07-27,64.5
2000-07-28,63.9375
2000-07-31,65.0
2000-08-01,61.75
2000-08-02,62.0
2000-08-03,62.1875
2000-08-04,64.125
2000-08-07,66.8125
2000-08-08,67.125
2000-08-09,64.0625
2000-08-10,64.625
2000-08-11,64.5
2000-08-14,65.9375
2000-08-15,62.75
2000-08-16,61.625
2000-08-17,62.6875
2000-08-18,59.1875
2000-08-21,57.9375
2000-08-22,54.9375
2000-08-23,56.375
2000-08-24,58.5625
2000-08-25,57.6875
2000-08-28,58.625
2000-08-29,57.125
