,Close
2000-01-03,25.8125
2000-01-04,25.375
2000-01-05,26.0
2000-01-06,26.875
2000-01-07,26.25
2000-01-10,26.125
2000-01-11,26.5
2000-01-12,25.75
2000-01-13,25.375
2000-01-14,25.1875
2000-01-18,25.375
2000-01-19,24.6875
2000-01-20,25.625
2000-01-21,25.8125
2000-01-24,25.125
2000-01-25,24.5
2000-01-26,26.0
2000-01-27,25.5
2000-01-28,25.0
2000-01-31,25.6875
2000-02-01,25.8125
2000-02-02,26.6875
2000-02-03,26.75
2000-02-04,26.5
2000-02-07,26.5625
2000-02-08,26.6875
2000-02-09,26.3125
2000-02-10,27.3125
2000-02-11,27.0
2000-02-14,26.9375
2000-02-15,27.125
2000-02-16,27.3125
2000-02-17,27.375
2000-02-18,26.9375
2000-02-22,26.9375
2000-02-23,26.5625
2000-02-24,26.875
2000-02-25,26.4375
2000-02-28,26.9375
2000-02-29,26.75
2000-03-01,28.375
2000-03-02,28.9375
2000-03-03,28.0625
2000-03-06,26.875
2000-03-07,28.125
2000-03-08,27.875
2000-03-09,28.125
2000-03-10,28.0625
2000-03-13,27.875
2000-03-14,27.125
2000-03-15,26.75
2000-03-16,28.6875
2000-03-17,28.0
2000-03-20,27.9375
2000-03-21,28.875
2000-03-22,28.75
2000-03-23,28.875
2000-03-24,28.75
2000-03-27,28.375
2000-03-28,28.625
2000-03-29,29.8125
2000-03-30,31.4375
2000-03-31,30.4375
2000-04-03,30.5
2000-04-04,29.8125
2000-04-05,28.9375
2000-04-06,29.5
2000-04-07,31.0
2000-04-10,30.0
2000-04-11,30.5
2000-04-12,31.3125
2000-04-13,31.0625
2000-04-14,30.875
2000-04-17,31.6875
2000-04-18,31.75
2000-04-19,32.25
2000-04-20,32.0625
2000-04-24,32.875
2000-04-25,31.875
2000-04-26,32.125
2000-04-27,32.75
2000-04-28,32.0625
2000-05-01,32.375
2000-05-02,31.8125
2000-05-03,31.0
2000-05-04,31.25
2000-05-05,31.375
2000-05-08,31.25
2000-05-09,31.125
2000-05-10,30.75
2000-05-11,31.625
2000-05-12,32.125
2000-05-15,32.75
2000-05-16,32.4375
2000-05-17,32.875
2000-05-18,33.0
2000-05-19,32.5
2000-05-22,32.375
2000-05-23,32.5625
2000-05-24,32.1875
2000-05-25,31.375
2000-05-26,30.125
2000-05-30,30.3125
2000-05-31,30.625
2000-06-01,31.25
2000-06-02,30.0
2000-06-05,29.3125
2000-06-06,29.875
2000-06-07,29.6875
2000-06-08,30.0
2000-06-09,30.9375
2000-06-12,31.9375
2000-06-13,31.4375
2000-06-14,31.75
2000-06-15,30.9375
2000-06-16,31.1875
2000-06-19,30.1875
2000-06-20,30.25
2000-06-21,30.625
2000-06-22,29.1875
2000-06-23,29.25
2000-06-26,28.5
2000-06-27,28.25
2000-06-28,28.5
2000-06-29,29.375
2000-06-30,28.3125
2000-07-03,28.875
2000-07-05,28.4375
2000-07-06,28.9375
2000-07-07,29.0
2000-07-10,29.5
2000-07-11,30.875
2000-07-12,28.75
2000-07-13,29.25
2000-07-14,29.75
2000-07-17,29.75
2000-07-18,29.75
2000-07-19,29.4375
2000-07-20,28.8125
2000-07-21,28.5
2000-07-24,27.9375
2000-07-25,27.5625
2000-07-26,26.1875
2000-07-27,26.5625
2000-07-28,26.375
2000-07-31,26.5
2000-08-01,26.375
2000-08-02,27.125
2000-08-03,26.75
2000-08-04,27.9375
2000-08-07,27.5625
2000-08-08,27.625
2000-08-09,28.375
2000-08-10,28.8125
2000-08-11,28.8125
2000-08-14,28.375
2000-08-15,28.8125
2000-08-16,29.5
2000-08-17,29.75
2000-08-18,29.125
2000-08-21,29.4375
2000-08-22,30.0625
2000-08-23,31.0
2000-08-24,29.6875
2000-08-25,29.5625
2000-08-28,30.375
2000-08-29,30.625
2000-08-30,30.4375
2000-08-31,30.5
2000-09-01,29.9375
2000-09-05,30.0
2000-09-06,30.375
2000-09-07,31.375
2000-09-08,30.9375
2000-09-11,32.4375
2000-09-12,32.5625
2000-09-13,31.5
2000-09-14,31.8125
2000-09-15,32.5
2000-09-18,32.9375
2000-09-19,31.6875
2000-09-20,31.0
2000-09-21,30.1875
2000-09-22,30.0625
2000-09-25,29.8125
2000-09-26,31.3125
2000-09-27,32.125
2000-09-28,31.375
2000-09-29,31.1875
2000-10-02,31.625
2000-10-03,31.0
2000-10-04,30.3125
