,Close
2000-01-03,52.5
2000-01-04,51.125
2000-01-05,50.375
2000-01-06,50.5
2000-01-07,50.5
2000-01-10,53.9375
2000-01-11,52.6875
2000-01-12,51.25
2000-01-13,51.25
2000-01-14,50.1875
2000-01-18,48.875
2000-01-19,50.125
2000-01-20,48.5625
2000-01-21,49.0625
2000-01-24,46.9375
2000-01-25,44.875
2000-01-26,43.5625
2000-01-27,43.5
2000-01-28,41.9375
2000-01-31,42.1875
2000-02-01,43.25
2000-02-02,44.8125
2000-02-03,45.1875
2000-02-04,45.25
2000-02-07,44.0625
2000-02-08,44.625
2000-02-09,43.8125
2000-02-10,42.0625
2000-02-11,40.0
2000-02-14,39.8125
2000-02-15,38.625
2000-02-16,38.6875
2000-02-17,38.5
2000-02-18,37.5625
2000-02-22,37.5625
2000-02-23,37.25
2000-02-24,35.6875
2000-02-25,36.625
2000-02-28,38.3125
2000-02-29,38.9375
2000-03-01,38.0
2000-03-02,36.1875
2000-03-03,36.9375
2000-03-06,39.1875
2000-03-07,39.4375
2000-03-08,38.6875
2000-03-09,39.5
2000-03-10,37.1875
2000-03-13,30.75
2000-03-14,33.4375
2000-03-15,34.0625
2000-03-16,37.375
2000-03-17,37.5
2000-03-20,38.5
2000-03-21,38.6875
2000-03-22,38.5
2000-03-23,38.875
2000-03-24,38.0625
2000-03-27,37.1875
2000-03-28,37.75
2000-03-29,36.75
2000-03-30,36.75
2000-03-31,36.5625
2000-04-03,37.875
2000-04-04,37.9375
2000-04-05,37.4375
2000-04-06,37.5625
2000-04-07,37.8125
2000-04-10,38.3125
2000-04-11,38.75
2000-04-12,38.125
2000-04-13,37.875
2000-04-14,37.6875
2000-04-17,38.5625
2000-04-18,39.375
2000-04-19,40.25
2000-04-20,40.0
2000-04-24,39.75
2000-04-25,40.1875
2000-04-26,39.875
2000-04-27,38.8125
2000-04-28,38.875
2000-05-01,38.0625
2000-05-02,38.0625
2000-05-03,38.5625
2000-05-04,37.9375
2000-05-05,37.6875
2000-05-08,38.3125
2000-05-09,37.9375
2000-05-10,38.375
2000-05-11,38.5625
2000-05-12,38.875
2000-05-15,39.3125
2000-05-16,39.125
2000-05-17,38.75
2000-05-18,38.4375
2000-05-19,37.0625
2000-05-22,37.3125
2000-05-23,37.6875
2000-05-24,38.875
2000-05-25,38.4375
2000-05-26,37.5625
2000-05-30,39.3125
2000-05-31,38.5
2000-06-01,37.8125
2000-06-02,38.0
2000-06-05,38.25
2000-06-06,37.4375
2000-06-07,37.0
2000-06-08,37.8125
2000-06-09,37.0625
2000-06-12,36.0
2000-06-13,37.25
2000-06-14,36.6875
2000-06-15,36.875
2000-06-16,36.8125
2000-06-19,36.875
2000-06-20,35.5625
2000-06-21,35.8125
2000-06-22,36.0625
2000-06-23,34.6875
2000-06-26,34.75
2000-06-27,36.125
2000-06-28,35.75
2000-06-29,35.4375
2000-06-30,35.0
2000-07-03,34.6875
2000-07-05,32.9375
2000-07-06,33.75
2000-07-07,33.5
2000-07-10,33.5
2000-07-11,33.25
2000-07-12,34.625
2000-07-13,34.0
2000-07-14,34.25
2000-07-17,34.3125
2000-07-18,34.25
2000-07-19,34.3125
2000-07-20,34.125
2000-07-21,33.1875
2000-07-24,32.5
2000-07-25,32.75
2000-07-26,32.0625
2000-07-27,32.5
2000-07-28,32.5
2000-07-31,32.5
2000-08-01,32.6875
2000-08-02,32.9375
2000-08-03,33.125
2000-08-04,33.3125
2000-08-07,34.1875
2000-08-08,34.125
2000-08-09,34.3125
2000-08-10,34.0
2000-08-11,34.1875
2000-08-14,34.9375
2000-08-15,35.1875
2000-08-16,36.0
2000-08-17,35.625
2000-08-18,36.0
2000-08-21,36.0625
2000-08-22,36.3125
2000-08-23,36.0
2000-08-24,35.625
2000-08-25,36.1875
2000-08-28,35.9375
2000-08-29,35.9375
2000-08-30,36.4375
2000-08-31,35.6875
2000-09-01,36.6875
2000-09-05,36.0
2000-09-06,36.25
2000-09-07,36.375
2000-09-08,36.0
2000-09-11,36.375
2000-09-12,37.5625
2000-09-13,37.0625
2000-09-14,36.875
2000-09-15,37.0625
2000-09-18,37.6875
2000-09-19,37.375
2000-09-20,37.875
2000-09-21,39.0625
2000-09-22,39.25
2000-09-25,39.875
2000-09-26,39.75
2000-09-27,39.75
2000-09-28,42.5625
2000-09-29,43.625
2000-10-02,43.75
2000-10-03,45.3125
2000-10-04,40.75
2000-10-05,41.0625
2000-10-06,40.625
2000-10-09,40.3125
2000-10-10,40.0
2000-10-11,39.6875
2000-10-12,38.375
2000-10-13,38.1875
2000-10-16,37.25
2000-10-17,36.125
2000-10-18,35.8125
2000-10-19,36.4375
2000-10-20,36.125
2000-10-23,35.625
2000-10-24,36.25
2000-10-25,36.4375
2000-10-26,36.5625
2000-10-27,36.625
2000-10-30,37.375
2000-10-31,37.0625
2000-11-01,36.9375
2000-11-02,37.25
2000-11-03,37.8125
2000-11-06,37.9375
2000-11-07,37.9375
2000-11-08,38.875
2000-11-09,38.125
2000-11-10,37.875
2000-11-13,38.0
2000-11-14,38.5
2000-11-15,38.6875
2000-11-16,38.25
2000-11-17,38.75
