,Close
2015-01-02,34.5538
2015-01-05,33.7324
2015-01-06,33.1745
2015-01-07,34.3833
2015-01-08,35.2666
2015-01-09,34.9464
2015-01-12,34.6777
2015-01-13,34.404
2015-01-14,33.9649
2015-01-15,33.3966
2015-01-16,33.6808
2015-01-20,33.8202
2015-01-21,34.3936
2015-01-22,35.8607
2015-01-23,36.0673
2015-01-26,36.992
2015-01-27,37.1728
2015-01-28,36.6097
2015-01-29,37.6067
2015-01-30,37.2348
2015-02-02,37.1676
2015-02-03,37.6222
2015-02-04,38.0045
2015-02-05,37.865
2015-02-06,38.2834
2015-02-09,37.5447
2015-02-10,37.9012
2015-02-11,38.113
2015-02-12,38.2008
2015-02-13,38.1026
2015-02-17,37.6584
2015-02-18,38.2886
2015-02-19,38.1388
2015-02-20,38.7587
2015-02-23,39.1926
2015-02-24,39.0273
2015-02-25,39.4922
2015-02-26,39.7815
2015-02-27,39.7815
2015-03-02,39.797
2015-03-03,39.4871
2015-03-04,39.0067
2015-03-05,39.1513
2015-03-06,38.6399
2015-03-09,39.1565
2015-03-10,38.5366
2015-03-11,38.5417
2015-03-12,39.6162
2015-03-13,39.2856
2015-03-16,39.9262
2015-03-17,40.7114
2015-03-18,41.3416
2015-03-19,41.8478
2015-03-20,42.0648
2015-03-23,42.2766
2015-03-24,42.1009
2015-03-25,41.042
2015-03-26,40.6184
2015-03-27,41.1711
2015-03-30,41.2796
2015-03-31,41.7135
2015-04-01,40.7062
2015-04-02,41.0213
2015-04-06,41.4552
2015-04-07,41.76
2015-04-08,42.7312
2015-04-09,43.4905
2015-04-10,43.2632
2015-04-13,43.9658
2015-04-14,43.3975
2015-04-15,43.5009
2015-04-16,44.2757
2015-04-17,43.9813
2015-04-20,45.3347
2015-04-21,43.1444
2015-04-22,42.4987
2015-04-23,43.0101
2015-04-24,42.6485
2015-04-27,42.0751
2015-04-28,41.5792
2015-04-29,40.7578
2015-04-30,40.0605
2015-05-01,40.2723
2015-05-04,39.8332
2015-05-05,39.8177
2015-05-06,39.642
2015-05-07,40.1689
2015-05-08,40.8508
2015-05-11,40.4272
2015-05-12,40.2516
2015-05-13,39.9675
2015-05-14,40.3394
2015-05-15,40.1999
2015-05-18,40.7372
2015-05-19,40.5925
2015-05-20,40.5977
2015-05-21,40.3962
2015-05-22,40.5357
2015-05-26,40.1483
2015-05-27,39.735
2015-05-28,40.4892
2015-05-29,40.5047
2015-06-01,40.6132
2015-06-02,40.2413
2015-06-03,40.4892
2015-06-04,40.3136
2015-06-05,42.2766
2015-06-08,41.822
2015-06-09,41.6722
2015-06-10,42.1319
2015-06-11,41.977
2015-06-12,41.9925
2015-06-15,41.9408
2015-06-16,42.7622
2015-06-17,42.6898
2015-06-18,43.2374
2015-06-19,42.9688
2015-06-22,43.8573
2015-06-23,44.1104
2015-06-24,43.568
2015-06-25,43.9864
2015-06-26,44.3894
2015-06-29,42.8396
2015-06-30,43.1031
2015-07-01,43.5267
2015-07-02,43.6972
2015-07-06,43.692
2015-07-07,43.878
2015-07-08,43.5938
2015-07-09,43.6455
2015-07-10,44.5495
2015-07-13,46.1561
2015-07-14,45.8719
2015-07-15,45.6033
2015-07-16,44.0898
2015-07-17,45.0558
2015-07-20,45.9494
2015-07-21,45.6343
2015-07-22,46.1664
2015-07-23,49.5551
2015-07-24,49.6171
2015-07-27,49.8134
2015-07-28,50.547
2015-07-29,51.048
2015-07-30,51.2857
2015-07-31,51.3115
2015-08-03,50.7588
2015-08-04,51.3218
2015-08-05,52.1948
2015-08-06,50.7226
2015-08-07,50.5883
2015-08-10,51.0119
2015-08-11,51.1875
2015-08-12,50.5056
2015-08-13,51.3477
2015-08-14,51.7867
2015-08-17,52.0399
2015-08-18,51.8436
2015-08-19,51.6886
