,Close
2000-01-03,32.25
2000-01-04,32.4375
2000-01-05,33.75
2000-01-06,33.625
2000-01-07,35.1875
2000-01-10,36.375
2000-01-11,36.25
2000-01-12,36.5
2000-01-13,37.3125
2000-01-14,36.8125
2000-01-18,36.375
2000-01-19,37.1875
2000-01-20,36.4375
2000-01-21,36.5625
2000-01-24,38.125
2000-01-25,37.0625
2000-01-26,37.875
2000-01-27,38.75
2000-01-28,38.6875
2000-01-31,39.125
2000-02-01,40.5
2000-02-02,41.0
2000-02-03,41.3125
2000-02-04,40.9375
2000-02-07,39.25
2000-02-08,39.5625
2000-02-09,39.4375
2000-02-10,38.5
2000-02-11,37.6875
2000-02-14,37.375
2000-02-15,37.75
2000-02-16,37.5
2000-02-17,37.5
2000-02-18,37.25
2000-02-22,37.625
2000-02-23,37.1875
2000-02-24,36.5
2000-02-25,36.5
2000-02-28,38.3125
2000-02-29,37.8125
2000-03-01,38.0625
2000-03-02,38.0625
2000-03-03,38.0
2000-03-06,37.3125
2000-03-07,37.0
2000-03-08,37.1875
2000-03-09,37.375
2000-03-10,37.5625
2000-03-13,37.25
2000-03-14,37.0625
2000-03-15,37.5625
2000-03-16,39.25
2000-03-17,37.8125
2000-03-20,38.0
2000-03-21,38.125
2000-03-22,37.5
2000-03-23,37.6875
2000-03-24,38.0
2000-03-27,37.8125
2000-03-28,36.75
2000-03-29,36.9375
2000-03-30,37.0
2000-03-31,36.5
2000-04-03,36.4375
2000-04-04,37.5
2000-04-05,39.125
2000-04-06,38.125
2000-04-07,38.25
2000-04-10,39.5625
2000-04-11,39.75
2000-04-12,40.0
2000-04-13,41.0625
2000-04-14,39.9375
2000-04-17,40.1875
2000-04-18,38.875
2000-04-19,38.5625
2000-04-20,39.5
2000-04-24,39.3125
2000-04-25,40.3125
2000-04-26,41.4375
2000-04-27,40.4375
2000-04-28,39.75
2000-05-01,40.0
2000-05-02,39.0625
2000-05-03,39.375
2000-05-04,40.375
2000-05-05,40.0625
2000-05-08,40.75
2000-05-09,40.6875
2000-05-10,41.5
2000-05-11,42.8125
2000-05-12,42.125
2000-05-15,42.4375
2000-05-16,42.1875
2000-05-17,40.875
2000-05-18,41.25
2000-05-19,41.4375
2000-05-22,42.8125
2000-05-23,43.0
2000-05-24,43.1875
2000-05-25,42.875
2000-05-26,42.8125
2000-05-30,42.0
2000-05-31,41.6875
2000-06-01,40.9375
2000-06-02,41.0
2000-06-05,39.75
2000-06-06,40.25
2000-06-07,40.0625
2000-06-08,40.5
2000-06-09,42.25
2000-06-12,42.4375
2000-06-13,42.25
2000-06-14,40.5625
2000-06-15,40.6875
2000-06-16,40.0
2000-06-19,40.125
2000-06-20,39.875
2000-06-21,40.0
2000-06-22,39.6875
2000-06-23,40.125
2000-06-26,40.0625
2000-06-27,38.75
2000-06-28,40.5625
2000-06-29,39.375
2000-06-30,38.6875
2000-07-03,38.625
2000-07-05,38.0
2000-07-06,38.375
2000-07-07,38.375
2000-07-10,39.125
2000-07-11,40.5
2000-07-12,39.625
2000-07-13,40.5
2000-07-14,39.8125
2000-07-17,40.6875
2000-07-18,41.3125
2000-07-19,42.0625
2000-07-20,41.125
2000-07-21,41.625
2000-07-24,41.625
2000-07-25,41.75
2000-07-26,41.0625
2000-07-27,41.6875
2000-07-28,41.625
2000-07-31,41.0625
2000-08-01,42.0
2000-08-02,42.375
2000-08-03,43.0625
2000-08-04,43.4375
2000-08-07,44.375
2000-08-08,44.125
2000-08-09,43.875
2000-08-10,44.0625
2000-08-11,44.75
2000-08-14,45.25
2000-08-15,46.25
2000-08-16,45.8125
2000-08-17,45.6875
2000-08-18,45.75
2000-08-21,45.375
2000-08-22,45.8125
2000-08-23,46.25
2000-08-24,45.75
2000-08-25,45.3125
2000-08-28,46.0
2000-08-29,45.5625
2000-08-30,45.5625
2000-08-31,45.6875
2000-09-01,45.8125
2000-09-05,46.625
2000-09-06,47.1875
2000-09-07,48.0
2000-09-08,50.375
2000-09-11,52.0
2000-09-12,52.125
2000-09-13,52.0
2000-09-14,51.75
2000-09-15,53.3125
2000-09-18,52.8125
2000-09-19,51.0
2000-09-20,50.875
2000-09-21,51.1875
2000-09-22,52.5625
2000-09-25,52.25
2000-09-26,53.875
2000-09-27,55.25
2000-09-28,55.5
2000-09-29,56.1875
2000-10-02,57.0
2000-10-03,55.0625
2000-10-04,52.375
2000-10-05,51.6875
2000-10-06,52.4375
2000-10-09,52.25
2000-10-10,54.0
2000-10-11,53.0625
2000-10-12,52.1875
2000-10-13,53.4375
2000-10-16,55.625
2000-10-17,56.75
2000-10-18,55.0625
2000-10-19,55.3125
2000-10-20,54.8125
