,Close
2000-01-03,313.75
2000-01-04,298.75
2000-01-05,291.875
2000-01-06,291.875
2000-01-07,286.875
2000-01-10,300.0
2000-01-11,299.375
2000-01-12,302.5
2000-01-13,296.25
2000-01-14,307.5
2000-01-18,294.375
2000-01-19,301.25
2000-01-20,333.75
2000-01-21,335.0
2000-01-24,349.375
2000-01-25,340.0
2000-01-26,326.25
2000-01-27,327.5
2000-01-28,310.625
2000-01-31,318.75
2000-02-01,333.75
2000-02-02,330.0
2000-02-03,330.625
2000-02-04,322.5
2000-02-07,322.5
2000-02-08,337.5
2000-02-09,320.0
2000-02-10,315.625
2000-02-11,309.375
2000-02-14,308.125
2000-02-15,302.5
2000-02-16,335.625
2000-02-17,348.125
2000-02-18,329.375
2000-02-22,328.125
2000-02-23,325.0
2000-02-24,312.5
2000-02-25,310.625
2000-02-28,311.875
2000-02-29,299.375
2000-03-01,301.875
2000-03-02,295.625
2000-03-03,280.0
2000-03-06,268.125
2000-03-07,271.875
2000-03-08,267.5
2000-03-09,288.75
2000-03-10,269.375
2000-03-13,277.5
2000-03-14,261.25
2000-03-15,256.875
2000-03-16,267.5
2000-03-17,265.0
2000-03-20,250.625
2000-03-21,261.875
2000-03-22,267.5
2000-03-23,266.25
2000-03-24,253.125
2000-03-27,277.5
2000-03-28,278.125
2000-03-29,269.375
2000-03-30,261.25
2000-03-31,255.0
2000-04-03,254.375
2000-04-04,232.5
2000-04-05,235.625
2000-04-06,250.0
2000-04-07,251.25
2000-04-10,245.625
2000-04-11,240.625
2000-04-12,236.25
2000-04-13,225.0
2000-04-14,197.5
2000-04-17,217.5
2000-04-18,239.375
2000-04-19,237.5
2000-04-20,235.625
2000-04-24,225.0
2000-04-25,235.0
2000-04-26,233.75
2000-04-27,233.125
2000-04-28,231.875
2000-05-01,246.875
2000-05-02,234.375
2000-05-03,219.375
2000-05-04,228.75
2000-05-05,244.375
2000-05-08,242.5
2000-05-09,236.25
2000-05-10,223.125
2000-05-11,232.5
2000-05-12,240.625
2000-05-15,244.375
2000-05-16,258.75
2000-05-17,248.75
2000-05-18,242.5
2000-05-19,242.5
2000-05-22,253.125
2000-05-23,251.25
2000-05-24,249.375
2000-05-25,248.125
2000-05-26,237.5
2000-05-30,253.75
2000-05-31,271.25
2000-06-01,265.625
2000-06-02,269.375
2000-06-05,277.5
2000-06-06,258.75
2000-06-07,271.875
2000-06-08,261.875
2000-06-09,249.375
2000-06-12,232.5
2000-06-13,236.25
2000-06-14,238.75
2000-06-15,233.125
2000-06-16,235.0
2000-06-19,263.125
2000-06-20,245.0
2000-06-21,258.125
2000-06-22,263.125
2000-06-23,249.375
2000-06-26,245.625
2000-06-27,239.375
2000-06-28,236.25
2000-06-29,147.5
2000-06-30,145.625
2000-07-03,150.625
2000-07-05,142.5
2000-07-06,139.375
2000-07-07,135.625
2000-07-10,138.125
2000-07-11,136.875
2000-07-12,133.75
2000-07-13,133.125
2000-07-14,134.375
2000-07-17,139.375
2000-07-18,110.0
2000-07-19,103.125
2000-07-20,99.375
2000-07-21,98.75
2000-07-24,97.5
2000-07-25,102.5
2000-07-26,96.25
2000-07-27,95.625
2000-07-28,93.75
2000-07-31,98.125
2000-08-01,100.625
2000-08-02,104.375
2000-08-03,106.875
2000-08-04,112.5
2000-08-07,121.875
2000-08-08,120.625
2000-08-09,117.5
2000-08-10,116.875
2000-08-11,114.375
2000-08-14,113.75
2000-08-15,111.875
2000-08-16,111.875
2000-08-17,113.125
2000-08-18,111.25
2000-08-21,111.25
2000-08-22,111.25
2000-08-23,110.625
2000-08-24,106.875
2000-08-25,108.75
2000-08-28,113.75
2000-08-29,115.625
2000-08-30,130.0
2000-08-31,130.0
2000-09-01,131.875
2000-09-05,130.625
2000-09-06,131.25
2000-09-07,144.375
2000-09-08,143.75
2000-09-11,138.75
2000-09-12,136.875
2000-09-13,135.0
2000-09-14,136.25
2000-09-15,134.375
2000-09-18,126.875
2000-09-19,126.25
2000-09-20,121.875
2000-09-21,113.75
2000-09-22,108.75
2000-09-25,109.375
2000-09-26,101.875
2000-09-27,105.625
2000-09-28,113.75
2000-09-29,112.5
2000-10-02,109.375
2000-10-03,106.875
2000-10-04,105.0
2000-10-05,108.125
2000-10-06,105.0
2000-10-09,105.0
2000-10-10,100.0
2000-10-11,96.875
2000-10-12,98.75
2000-10-13,105.625
2000-10-16,111.875
2000-10-17,108.75
2000-10-18,111.875
2000-10-19,116.875
2000-10-20,121.25
2000-10-23,120.0
2000-10-24,121.875
2000-10-25,120.625
2000-10-26,121.25
2000-10-27,123.75
2000-10-30,122.5
2000-10-31,127.5
2000-11-01,132.5
2000-11-02,133.125
2000-11-03,130.0
2000-11-06,130.625
2000-11-07,137.5
2000-11-08,135.0
2000-11-09,136.25
2000-11-10,132.5
2000-11-13,125.625
2000-11-14,128.125
2000-11-15,130.625
2000-11-16,126.875
2000-11-17,128.75
2000-11-20,130.625
2000-11-21,117.5
2000-11-22,123.125
2000-11-24,123.75
2000-11-27,120.0
2000-11-28,118.75
2000-11-29,123.75
2000-11-30,121.875
2000-12-01,125.625
2000-12-04,121.25
2000-12-05,131.25
2000-12-06,141.25
2000-12-07,140.0
2000-12-08,155.0
2000-12-11,155.0
2000-12-12,162.5
2000-12-13,155.625
2000-12-14,150.625
2000-12-15,150.0
2000-12-18,154.375
2000-12-19,150.625
2000-12-20,138.75
2000-12-21,138.125
2000-12-22,142.5
2000-12-26,146.875
2000-12-27,160.0
2000-12-28,153.125
2000-12-29,146.25
2001-01-02,145.625
2001-01-03,155.625
2001-01-04,166.25
2001-01-05,155.625
2001-01-08,151.875
2001-01-09,147.5
2001-01-10,151.875
2001-01-11,173.75
2001-01-12,163.125
2001-01-16,168.75
2001-01-17,166.875
2001-01-18,152.5
2001-01-19,150.0
2001-01-22,150.625
2001-01-23,155.625
2001-01-24,154.375
2001-01-25,152.5
2001-01-26,160.625
2001-01-29,174.9
2001-01-30,178.0
2001-01-31,171.5
2001-02-01,171.1
2001-02-02,172.5
2001-02-05,169.9
2001-02-06,170.6
2001-02-07,171.5
2001-02-08,174.5
2001-02-09,166.5
2001-02-12,174.4
2001-02-13,175.4
2001-02-14,176.5
2001-02-15,184.7
2001-02-16,189.1
2001-02-20,185.8
2001-02-21,178.8
2001-02-22,176.0
2001-02-23,171.2
2001-02-26,175.0
2001-02-27,167.8
2001-02-28,163.8
2001-03-01,170.0
2001-03-02,168.9
2001-03-05,166.7
2001-03-06,170.1
2001-03-07,173.0
2001-03-08,164.1
2001-03-09,155.5
2001-03-12,145.9
2001-03-13,147.7
2001-03-14,144.9
2001-03-15,146.2
2001-03-16,131.3
2001-03-19,143.6
2001-03-20,142.4
2001-03-21,142.2
2001-03-22,153.5
2001-03-23,150.0
2001-03-26,144.8
2001-03-27,147.8
2001-03-28,142.2
2001-03-29,135.8
2001-03-30,140.0
