,Close
2000-01-03,78.375
2000-01-04,77.625
2000-01-05,76.125
2000-01-06,75.3125
2000-01-07,75.4375
2000-01-10,76.5625
2000-01-11,76.9375
2000-01-12,79.5
2000-01-13,78.6875
2000-01-14,80.125
2000-01-18,79.5
2000-01-19,79.1875
2000-01-20,78.5
2000-01-21,78.8125
2000-01-24,78.0625
2000-01-25,78.875
2000-01-26,78.875
2000-01-27,78.875
2000-01-28,77.75
2000-01-31,79.5
2000-02-01,80.0
2000-02-02,78.8125
2000-02-03,78.5
2000-02-04,78.5625
2000-02-07,78.875
2000-02-08,78.5
2000-02-09,77.375
2000-02-10,78.125
2000-02-11,77.1875
2000-02-14,77.6875
2000-02-15,76.5625
2000-02-16,77.625
2000-02-17,77.0625
2000-02-18,75.6875
2000-02-22,74.4375
2000-02-23,75.0
2000-02-24,74.1875
2000-02-25,73.0625
2000-02-28,73.625
2000-02-29,78.5
2000-03-01,76.3125
2000-03-02,80.25
2000-03-03,80.3125
2000-03-06,78.4375
2000-03-07,77.625
2000-03-08,77.75
2000-03-09,77.3125
2000-03-10,78.125
2000-03-13,76.5625
2000-03-14,76.0
2000-03-15,75.5
2000-03-16,77.0
2000-03-17,77.75
2000-03-20,79.8125
2000-03-21,79.25
2000-03-22,79.6875
2000-03-23,81.125
2000-03-24,82.9375
2000-03-27,83.6875
2000-03-28,82.0
2000-03-29,82.9375
2000-03-30,80.625
2000-03-31,81.0
2000-04-03,82.0
2000-04-04,80.125
2000-04-05,79.5
2000-04-06,80.9375
2000-04-07,81.625
2000-04-10,81.5625
2000-04-11,81.0
2000-04-12,79.3125
2000-04-13,79.5
2000-04-14,77.5
2000-04-17,75.375
2000-04-18,78.4375
2000-04-19,78.625
2000-04-20,78.125
2000-04-24,78.3125
2000-04-25,81.0
2000-04-26,78.25
2000-04-27,76.5
2000-04-28,75.625
2000-05-01,78.0
2000-05-02,71.4375
2000-05-03,68.75
2000-05-04,68.25
2000-05-05,68.75
2000-05-08,67.375
2000-05-09,68.4375
2000-05-10,67.375
2000-05-11,67.0
2000-05-12,69.25
2000-05-15,70.0
2000-05-16,69.9375
2000-05-17,69.0
2000-05-18,67.6875
2000-05-19,66.125
2000-05-22,66.625
2000-05-23,65.5
2000-05-24,65.75
2000-05-25,64.9375
2000-05-26,66.4375
2000-05-30,67.1875
2000-05-31,66.8125
2000-06-01,67.5625
2000-06-02,67.0
2000-06-05,69.0625
2000-06-06,69.25
2000-06-07,69.375
2000-06-08,68.0
2000-06-09,67.0625
2000-06-12,66.875
2000-06-13,66.4375
2000-06-14,66.625
