,Close
2000-01-03,17.9583
2000-01-04,17.6667
2000-01-05,18.6458
2000-01-06,18.9583
2000-01-07,19.75
2000-01-10,19.0625
2000-01-11,18.8125
2000-01-12,19.0
2000-01-13,18.9792
2000-01-14,18.6875
2000-01-18,18.3333
2000-01-19,17.6875
2000-01-20,17.0625
2000-01-21,16.9792
2000-01-24,16.6042
2000-01-25,16.625
2000-01-26,16.4583
2000-01-27,15.9792
2000-01-28,15.3333
2000-01-31,15.4167
2000-02-01,14.9583
2000-02-02,14.9167
2000-02-03,14.9375
2000-02-04,14.125
2000-02-07,13.8125
2000-02-08,13.7917
2000-02-09,13.8125
2000-02-10,13.9167
2000-02-11,13.5833
2000-02-14,13.7917
2000-02-15,14.4167
2000-02-16,14.7083
2000-02-17,15.0625
2000-02-18,15.3542
2000-02-22,15.9583
2000-02-23,15.875
2000-02-24,15.0417
2000-02-25,14.5625
2000-02-28,14.75
2000-02-29,15.1667
2000-03-01,15.6667
2000-03-02,15.625
2000-03-03,15.5
2000-03-06,15.0
2000-03-07,13.8958
2000-03-08,13.875
2000-03-09,14.25
2000-03-10,13.75
2000-03-13,13.5417
2000-03-14,13.2917
2000-03-15,14.3333
2000-03-16,16.0625
2000-03-17,15.1667
2000-03-20,15.0833
2000-03-21,15.8542
2000-03-22,15.4167
2000-03-23,15.5833
2000-03-24,15.625
2000-03-27,15.4792
2000-03-28,15.5833
2000-03-29,15.875
2000-03-30,16.1042
2000-03-31,16.0417
2000-04-03,16.5
2000-04-04,17.3542
2000-04-05,16.8958
2000-04-06,16.5208
2000-04-07,16.8125
2000-04-10,16.5625
2000-04-11,16.7292
2000-04-12,17.0833
2000-04-13,17.3125
2000-04-14,16.5625
2000-04-17,17.1458
2000-04-18,16.3333
2000-04-19,16.0417
2000-04-20,16.3125
2000-04-24,16.375
2000-04-25,16.5208
2000-04-26,15.6875
2000-04-27,15.2292
2000-04-28,15.1875
2000-05-01,15.0833
2000-05-02,15.1458
2000-05-03,14.3333
2000-05-04,14.3958
2000-05-05,14.6042
2000-05-08,14.4792
2000-05-09,14.625
2000-05-10,15.6667
2000-05-11,15.9167
2000-05-12,16.0208
2000-05-15,16.2917
2000-05-16,16.1042
2000-05-17,15.875
2000-05-18,16.2292
2000-05-19,16.5417
2000-05-22,17.0625
2000-05-23,17.0833
2000-05-24,17.6667
2000-05-25,17.5833
2000-05-26,17.9167
2000-05-30,17.5625
2000-05-31,16.9375
2000-06-01,16.7708
2000-06-02,16.6042
2000-06-05,16.7917
