,Close
2008-01-02,244.4
2008-01-03,245.48
2008-01-04,236.12
2008-01-07,232.04
2008-01-08,221.44
2008-01-09,227.08
2008-01-10,222.08
2008-01-11,218.44
2008-01-14,223.44
2008-01-15,213.04
2008-01-16,205.36
2008-01-17,200.44
2008-01-18,201.28
2008-01-22,199.8
2008-01-23,204.96
2008-01-24,208.2
2008-01-25,202.52
2008-01-28,206.92
2008-01-29,204.44
2008-01-30,198.12
2008-01-31,204.48
2008-02-01,208.44
2008-02-04,212.88
2008-02-05,202.84
2008-02-06,201.64
2008-02-07,205.44
2008-02-08,209.88
2008-02-11,214.04
2008-02-12,214.52
2008-02-13,223.24
2008-02-14,222.68
2008-02-15,222.64
2008-02-19,228.56
2008-02-20,232.88
2008-02-21,225.4
2008-02-22,225.64
2008-02-25,232.76
2008-02-26,242.88
2008-02-27,240.84
2008-02-28,244.96
2008-02-29,239.36
2008-03-03,236.88
2008-03-04,243.88
2008-03-05,251.44
2008-03-06,244.08
2008-03-07,243.96
2008-03-10,240.52
2008-03-11,247.8
2008-03-12,246.72
2008-03-13,253.0
2008-03-14,253.32
2008-03-17,244.2
2008-03-18,257.36
2008-03-19,243.36
2008-03-20,240.92
2008-03-24,244.36
2008-03-25,245.68
2008-03-26,251.24
2008-03-27,249.2
2008-03-28,239.6
2008-03-31,250.48
2008-04-01,247.32
2008-04-02,252.28
2008-04-03,256.76
2008-04-04,261.96
2008-04-07,259.32
2008-04-08,260.52
2008-04-09,267.8
2008-04-10,265.72
2008-04-11,258.48
2008-04-14,266.84
2008-04-15,260.0
2008-04-16,269.52
2008-04-17,269.72
2008-04-18,279.64
2008-04-21,280.2
2008-04-22,275.44
2008-04-23,271.08
2008-04-24,268.48
2008-04-25,265.28
2008-04-28,266.12
2008-04-29,252.84
2008-04-30,254.92
2008-05-01,249.92
2008-05-02,258.12
2008-05-05,262.04
2008-05-06,266.2
2008-05-07,263.44
2008-05-08,270.88
2008-05-09,272.36
2008-05-12,271.28
2008-05-13,274.72
2008-05-14,272.92
2008-05-15,280.64
2008-05-16,295.72
2008-05-19,296.12
2008-05-20,304.12
2008-05-21,296.44
2008-05-22,295.96
2008-05-23,289.04
2008-05-27,289.16
2008-05-28,291.96
2008-05-29,284.88
2008-05-30,287.32
2008-06-02,289.12
2008-06-03,280.88
2008-06-04,285.4
2008-06-05,298.16
2008-06-06,297.6
2008-06-09,317.08
2008-06-10,304.88
2008-06-11,318.4
2008-06-12,303.36
2008-06-13,304.0
2008-06-16,311.2
2008-06-17,319.04
2008-06-18,327.96
2008-06-19,317.48
2008-06-20,316.6
2008-06-23,328.88
2008-06-24,320.36
2008-06-25,321.36
2008-06-26,319.88
2008-06-27,322.72
2008-06-30,322.96
2008-07-01,319.64
2008-07-02,303.0
2008-07-03,297.76
2008-07-07,294.44
2008-07-08,293.56
2008-07-09,296.08
2008-07-10,304.08
2008-07-11,298.8
2008-07-14,311.08
2008-07-15,295.04
2008-07-16,293.92
2008-07-17,292.36
2008-07-18,293.92
2008-07-21,306.6
2008-07-22,305.84
2008-07-23,291.2
2008-07-24,280.2
2008-07-25,278.4
2008-07-28,283.96
2008-07-29,279.08
2008-07-30,292.76
2008-07-31,276.56
2008-08-01,280.92
2008-08-04,259.04
2008-08-05,261.0
2008-08-06,267.56
2008-08-07,260.96
2008-08-08,256.04
2008-08-11,256.48
2008-08-12,259.12
2008-08-13,267.12
2008-08-14,261.96
2008-08-15,258.52
2008-08-18,260.4
2008-08-19,270.48
2008-08-20,276.28
2008-08-21,276.64
2008-08-22,274.36
2008-08-25,276.8
2008-08-26,276.08
2008-08-27,280.88
2008-08-28,276.8
2008-08-29,271.12
2008-09-02,251.2
2008-09-03,253.6
2008-09-04,245.28
2008-09-05,247.64
2008-09-08,243.12
2008-09-09,232.28
2008-09-10,237.48
2008-09-11,237.96
2008-09-12,244.88
2008-09-15,230.28
2008-09-16,235.96
2008-09-17,220.12
2008-09-18,233.64
2008-09-19,243.56
2008-09-22,247.04
2008-09-23,241.56
2008-09-24,245.16
2008-09-25,244.8
2008-09-26,235.92
2008-09-29,215.6
2008-09-30,230.52
2008-10-01,224.28
2008-10-02,204.08
2008-10-03,202.72
2008-10-06,189.6
2008-10-07,172.04
2008-10-08,167.88
2008-10-09,151.56
2008-10-10,133.08
2008-10-13,164.8
2008-10-14,164.8
2008-10-15,138.68
2008-10-16,147.68
2008-10-17,148.92
2008-10-20,158.92
2008-10-21,155.8
2008-10-22,135.64
2008-10-23,138.32
2008-10-24,129.36
2008-10-27,133.48
2008-10-28,151.08
2008-10-29,148.6
2008-10-30,159.92
2008-10-31,152.04
2008-11-03,148.36
2008-11-04,157.04
2008-11-05,149.24
2008-11-06,138.0
2008-11-07,140.8
2008-11-10,142.56
2008-11-11,133.24
2008-11-12,124.56
2008-11-13,138.08
2008-11-14,129.48
2008-11-17,127.32
2008-11-18,126.64
2008-11-19,119.4
2008-11-20,95.64
2008-11-21,108.32
2008-11-24,121.08
2008-11-25,120.96
2008-11-26,132.76
2008-11-28,129.64
2008-12-01,111.52
2008-12-02,114.64
2008-12-03,114.48
2008-12-04,99.56
2008-12-05,102.88
2008-12-08,115.48
2008-12-09,118.44
2008-12-10,126.64
2008-12-11,124.16
2008-12-12,127.4
2008-12-15,127.48
2008-12-16,130.28
2008-12-17,128.12
2008-12-18,110.48
2008-12-19,110.44
2008-12-22,110.04
2008-12-23,106.44
2008-12-24,106.52
2008-12-26,109.88
2008-12-29,109.08
2008-12-30,110.2
2008-12-31,113.56
2009-01-02,121.32
2009-01-05,123.72
2009-01-06,123.64
2009-01-07,119.32
2009-01-08,122.12
2009-01-09,114.52
2009-01-12,108.48
2009-01-13,111.44
2009-01-14,108.24
2009-01-15,110.68
2009-01-16,108.68
2009-01-20,103.76
2009-01-21,111.48
2009-01-22,107.64
2009-01-23,112.24
2009-01-26,116.52
2009-01-27,118.88
2009-01-28,121.6
2009-01-29,115.08
2009-01-30,109.44
2009-02-02,110.72
2009-02-03,109.6
2009-02-04,109.96
2009-02-05,111.64
2009-02-06,114.4
2009-02-09,113.72
2009-02-10,107.32
2009-02-11,105.68
2009-02-12,106.6
2009-02-13,108.04
2009-02-17,98.84
2009-02-18,97.08
2009-02-19,100.8
2009-02-20,100.52
2009-02-23,93.96
2009-02-24,99.76
2009-02-25,97.6
2009-02-26,103.44
2009-02-27,98.32
2009-03-02,88.44
2009-03-03,90.48
2009-03-04,97.92
2009-03-05,93.04
2009-03-06,94.56
2009-03-09,93.56
2009-03-10,97.88
2009-03-11,96.64
2009-03-12,102.28
2009-03-13,101.48
2009-03-16,102.64
2009-03-17,109.56
2009-03-18,111.56
2009-03-19,114.68
2009-03-20,112.48
2009-03-23,124.88
2009-03-24,118.32
2009-03-25,118.12
2009-03-26,119.36
2009-03-27,114.48
2009-03-30,109.84
2009-03-31,105.6
2009-04-01,106.36
2009-04-02,114.0
2009-04-03,120.32
2009-04-06,111.24
2009-04-07,107.64
2009-04-08,110.04
2009-04-09,117.12
2009-04-13,119.6
2009-04-14,125.4
2009-04-15,127.04
2009-04-16,128.68
2009-04-17,128.2
2009-04-20,118.2
2009-04-21,125.52
2009-04-22,127.56
2009-04-23,126.2
2009-04-24,130.32
2009-04-27,123.2
2009-04-28,118.4
2009-04-29,119.44
2009-04-30,113.12
2009-05-01,119.96
2009-05-04,130.08
2009-05-05,130.44
2009-05-06,132.56
2009-05-07,126.88
2009-05-08,137.32
2009-05-11,130.84
2009-05-12,131.52
2009-05-13,124.36
2009-05-14,126.28
2009-05-15,122.2
2009-05-18,131.12
2009-05-19,135.32
2009-05-20,138.96
2009-05-21,133.28
2009-05-22,139.44
2009-05-26,144.28
2009-05-27,143.12
2009-05-28,150.56
2009-05-29,155.56
2009-06-01,165.16
2009-06-02,165.36
2009-06-03,155.24
2009-06-04,160.16
2009-06-05,154.6
2009-06-08,156.32
2009-06-09,160.68
2009-06-10,161.88
2009-06-11,166.48
2009-06-12,163.24
2009-06-15,157.56
2009-06-16,152.96
2009-06-17,149.36
2009-06-18,147.76
2009-06-19,146.52
2009-06-22,135.8
2009-06-23,135.4
2009-06-24,135.88
2009-06-25,141.12
2009-06-26,141.32
2009-06-29,141.72
2009-06-30,139.48
2009-07-01,139.92
2009-07-02,134.24
2009-07-06,134.52
2009-07-07,130.8
