,Close
2021-01-04,18.54
2021-01-05,18.1
2021-01-06,18.49
2021-01-07,18.52
2021-01-08,18.3
2021-01-11,18.47
2021-01-12,18.24
2021-01-13,18.4
2021-01-14,17.31
2021-01-15,17.05
2021-01-19,17.44
2021-01-20,17.69
2021-01-21,17.31
2021-01-22,17.43
2021-01-25,17.23
2021-01-26,17.09
2021-01-27,16.86
2021-01-28,17.19
2021-01-29,16.99
2021-02-01,17.445
2021-02-02,17.38
2021-02-03,18.09
2021-02-04,18.0
2021-02-05,17.895
2021-02-08,18.0
2021-02-09,18.47
2021-02-10,18.39
2021-02-11,18.24
2021-02-12,18.24
2021-02-16,18.335
2021-02-17,18.52
2021-02-18,18.27
2021-02-19,18.21
2021-02-22,15.5
2021-02-23,15.22
2021-02-24,15.3
2021-02-25,15.05
2021-02-26,14.85
2021-03-01,14.72
2021-03-02,14.29
2021-03-03,13.88
2021-03-04,13.59
2021-03-05,13.91
2021-03-08,13.83
2021-03-09,13.91
2021-03-10,14.06
2021-03-11,14.1
2021-03-12,14.36
2021-03-15,14.67
2021-03-16,14.53
2021-03-17,15.08
2021-03-18,14.59
2021-03-19,14.78
2021-03-22,14.79
2021-03-23,14.17
2021-03-24,14.01
2021-03-25,14.02
2021-03-26,14.36
2021-03-29,14.32
2021-03-30,14.15
2021-03-31,13.97
2021-04-01,13.9
2021-04-05,14.05
2021-04-06,13.83
2021-04-07,13.39
2021-04-08,13.29
2021-04-09,13.395
2021-04-12,13.26
2021-04-13,12.97
2021-04-14,13.21
2021-04-15,13.28
2021-04-16,13.4
2021-04-19,13.25
2021-04-20,13.11
2021-04-21,13.3
2021-04-22,13.36
2021-04-23,13.36
2021-04-26,13.55
2021-04-27,13.28
2021-04-28,13.46
2021-04-29,13.36
2021-04-30,13.3
2021-05-03,13.5
2021-05-04,13.4
2021-05-05,13.64
2021-05-06,13.93
2021-05-07,14.08
2021-05-10,15.04
2021-05-11,15.14
2021-05-12,15.72
2021-05-13,15.93
2021-05-14,16.0
2021-05-17,16.15
2021-05-18,16.05
2021-05-19,15.5
2021-05-20,15.59
2021-05-21,15.31
2021-05-24,15.36
2021-05-25,14.98
2021-05-26,15.16
2021-05-27,15.14
2021-05-28,15.24
2021-06-01,15.26
2021-06-02,15.46
2021-06-03,15.41
2021-06-04,15.39
2021-06-07,15.39
2021-06-08,15.49
2021-06-09,15.45
2021-06-10,15.79
2021-06-11,15.73
2021-06-14,15.63
2021-06-15,15.3
2021-06-16,15.22
2021-06-17,14.67
2021-06-18,14.26
2021-06-21,14.35
2021-06-22,14.22
2021-06-23,14.17
2021-06-24,14.36
2021-06-25,14.57
2021-06-28,14.38
2021-06-29,14.52
2021-06-30,14.29
2021-07-01,14.75
2021-07-02,14.71
2021-07-06,14.19
2021-07-07,14.03
2021-07-08,13.78
2021-07-09,14.31
2021-07-12,14.18
2021-07-13,13.92
2021-07-14,14.07
2021-07-15,13.88
2021-07-16,13.76
2021-07-19,13.6
2021-07-20,13.89
2021-07-21,14.06
2021-07-22,13.85
2021-07-23,13.92
2021-07-26,13.84
2021-07-27,13.91
2021-07-28,14.23
2021-07-29,14.29
2021-07-30,14.07
2021-08-02,14.23
2021-08-03,14.19
2021-08-04,13.76
2021-08-05,13.93
2021-08-06,14.25
2021-08-09,15.1
2021-08-10,15.11
2021-08-11,14.82
2021-08-12,14.95
2021-08-13,14.95
2021-08-16,14.91
2021-08-17,14.77
2021-08-18,14.79
2021-08-19,14.73
2021-08-20,14.69
2021-08-23,14.76
2021-08-24,14.66
2021-08-25,14.52
2021-08-26,14.29
2021-08-27,14.37
2021-08-30,14.41
2021-08-31,14.63
2021-09-01,14.59
2021-09-02,15.13
2021-09-03,14.89
2021-09-07,14.66
2021-09-08,14.55
2021-09-09,14.29
2021-09-10,13.8
2021-09-13,13.92
2021-09-14,13.68
2021-09-15,13.73
2021-09-16,13.69
2021-09-17,13.57
2021-09-20,13.33
2021-09-21,13.28
2021-09-22,13.25
2021-09-23,13.34
2021-09-24,13.38
2021-09-27,13.82
2021-09-28,13.7
2021-09-29,13.86
2021-09-30,13.55
2021-10-01,13.6
2021-10-04,13.43
2021-10-05,13.5
2021-10-06,13.44
2021-10-07,13.63
2021-10-08,13.63
2021-10-11,13.61
2021-10-12,13.46
2021-10-13,13.37
2021-10-14,13.48
2021-10-15,13.46
2021-10-18,13.49
2021-10-19,13.57
2021-10-20,13.99
2021-10-21,14.01
2021-10-22,13.94
2021-10-25,13.8
2021-10-26,13.48
2021-10-27,13.1
2021-10-28,13.33
2021-10-29,13.35
2021-11-01,13.82
2021-11-02,13.83
2021-11-03,13.9
2021-11-04,13.68
2021-11-05,13.73
2021-11-08,14.68
2021-11-09,14.57
2021-11-10,14.54
2021-11-11,14.46
2021-11-12,14.11
2021-11-15,13.9
2021-11-16,13.88
2021-11-17,13.65
2021-11-18,13.39
2021-11-19,13.08
2021-11-22,13.12
2021-11-23,13.16
2021-11-24,13.05
2021-11-26,12.75
2021-11-29,12.52
2021-11-30,12.31
2021-12-01,12.09
2021-12-02,12.2
2021-12-03,12.2
2021-12-06,12.44
2021-12-07,12.4
2021-12-08,12.43
2021-12-09,12.59
2021-12-10,12.7
2021-12-13,12.55
2021-12-14,12.81
2021-12-15,12.69
2021-12-16,13.02
2021-12-17,13.03
2021-12-20,12.76
2021-12-21,13.09
2021-12-22,13.25
2021-12-23,13.63
2021-12-27,13.67
2021-12-28,13.64
2021-12-29,13.56
2021-12-30,13.55
2021-12-31,13.53
2022-01-03,14.21
2022-01-04,14.37
2022-01-05,14.44
2022-01-06,14.5
2022-01-07,14.74
2022-01-10,15.01
2022-01-11,15.32
2022-01-12,15.17
2022-01-13,15.02
2022-01-14,15.22
2022-01-18,15.06
2022-01-19,14.72
2022-01-20,14.64
2022-01-21,14.53
2022-01-24,14.36
2022-01-25,14.68
2022-01-26,14.62
2022-01-27,14.59
2022-01-28,14.63
2022-01-31,14.97
2022-02-01,15.07
2022-02-02,15.3
2022-02-03,15.13
2022-02-04,15.13
2022-02-07,15.26
2022-02-08,15.22
2022-02-09,15.4
2022-02-10,15.37
2022-02-11,15.17
2022-02-14,15.03
2022-02-15,15.32
2022-02-16,15.25
2022-02-17,14.83
2022-02-18,14.71
2022-02-22,14.55
2022-02-23,14.32
2022-02-24,13.93
2022-02-25,14.54
2022-02-28,11.01
2022-03-01,10.15
2022-03-02,10.48
2022-03-03,10.41
2022-03-04,10.2
2022-03-07,9.88
2022-03-08,9.95
2022-03-09,10.28
2022-03-10,10.12
2022-03-11,10.02
2022-03-14,9.81
2022-03-15,9.96
2022-03-16,10.39
2022-03-17,10.64
2022-03-18,10.66
2022-03-21,10.77
2022-03-22,10.85
2022-03-23,10.88
2022-03-24,10.95
2022-03-25,11.19
2022-03-28,10.9
2022-03-29,11.18
2022-03-30,10.99
2022-03-31,10.88
2022-04-01,10.82
2022-04-04,10.85
2022-04-05,10.67
2022-04-06,10.69
2022-04-07,10.81
2022-04-08,11.04
2022-04-11,10.7
2022-04-12,10.67
2022-04-13,10.99
2022-04-14,10.96
2022-04-18,10.71
2022-04-19,10.92
2022-04-20,10.84
2022-04-21,10.65
2022-04-22,10.28
2022-04-25,10.39
2022-04-26,10.29
2022-04-27,10.36
2022-04-28,10.49
2022-04-29,10.33
2022-05-02,10.21
2022-05-03,10.4
2022-05-04,10.52
2022-05-05,10.05
2022-05-06,9.95
2022-05-09,10.48
2022-05-10,10.46
2022-05-11,10.39
2022-05-12,10.85
2022-05-13,11.08
2022-05-16,11.14
2022-05-17,11.47
2022-05-18,11.27
2022-05-19,11.69
2022-05-20,11.8
2022-05-23,11.63
2022-05-24,11.53
2022-05-25,11.84
2022-05-26,12.01
2022-05-27,12.25
2022-05-31,12.27
2022-06-01,12.07
2022-06-02,12.11
2022-06-03,11.71
2022-06-06,11.77
2022-06-07,11.89
2022-06-08,11.86
2022-06-09,11.62
2022-06-10,11.2
2022-06-13,10.77
2022-06-14,10.32
2022-06-15,10.7
2022-06-16,10.28
2022-06-17,10.46
2022-06-21,10.6
2022-06-22,10.63
2022-06-23,10.73
2022-06-24,10.96
2022-06-27,11.07
2022-06-28,10.9
2022-06-29,10.81
2022-06-30,10.47
2022-07-01,10.71
2022-07-05,10.5
2022-07-06,10.3
2022-07-07,10.42
2022-07-08,10.35
2022-07-11,10.05
2022-07-12,10.22
2022-07-13,9.98
2022-07-14,9.85
2022-07-15,9.85
2022-07-18,9.83
2022-07-19,10.07
2022-07-20,9.97
2022-07-21,9.88
2022-07-22,9.55
2022-07-25,9.74
2022-07-26,9.92
2022-07-27,10.07
2022-07-28,9.78
2022-07-29,9.69
2022-08-01,9.66
2022-08-02,9.71
2022-08-03,9.75
2022-08-04,9.62
2022-08-05,9.73
2022-08-08,10.09
2022-08-09,10.46
2022-08-10,10.77
2022-08-11,10.96
2022-08-12,11.13
2022-08-15,11.11
2022-08-16,11.04
2022-08-17,10.75
2022-08-18,10.59
2022-08-19,10.57
2022-08-22,10.35
2022-08-23,10.15
2022-08-24,10.16
2022-08-25,10.17
2022-08-26,9.88
2022-08-29,9.87
2022-08-30,9.7
2022-08-31,9.55
2022-09-01,9.57
2022-09-02,9.45
2022-09-06,9.41
2022-09-07,9.72
2022-09-08,9.68
2022-09-09,9.88
2022-09-12,10.11
2022-09-13,9.49
2022-09-14,9.43
2022-09-15,9.55
2022-09-16,9.3
2022-09-19,9.29
2022-09-20,9.04
2022-09-21,9.04
2022-09-22,8.94
2022-09-23,8.69
2022-09-26,8.53
2022-09-27,8.48
2022-09-28,8.73
2022-09-29,8.6
2022-09-30,8.52
2022-10-03,8.72
2022-10-04,9.21
2022-10-05,9.18
2022-10-06,8.94
2022-10-07,8.74
2022-10-10,8.75
2022-10-11,9.39
2022-10-12,9.39
2022-10-13,9.65
2022-10-14,9.55
2022-10-17,9.61
2022-10-18,9.61
2022-10-19,9.38
2022-10-20,9.34
2022-10-21,9.38
2022-10-24,9.53
2022-10-25,9.78
2022-10-26,9.97
2022-10-27,9.87
2022-10-28,10.07
2022-10-31,10.13
2022-11-01,10.25
