,Close
2000-01-03,49.9171
2000-01-04,47.5745
2000-01-05,49.2564
2000-01-06,45.3519
2000-01-07,45.3519
2000-01-10,44.9915
2000-01-11,40.9068
2000-01-12,42.4686
2000-01-13,46.0127
2000-01-14,44.7512
2000-01-18,42.7689
2000-01-19,43.3096
2000-01-20,41.6877
2000-01-21,40.0058
2000-01-24,39.2249
2000-01-25,41.5075
2000-01-26,40.0659
2000-01-27,40.4863
2000-01-28,40.0058
2000-01-31,44.1505
2000-02-01,43.67
2000-02-02,43.2495
2000-02-03,42.4085
2000-02-04,42.5887
2000-02-07,46.1328
2000-02-08,48.956
2000-02-09,46.2529
2000-02-10,47.8748
2000-02-11,48.4154
2000-02-14,48.1151
2000-02-15,45.9526
2000-02-16,46.0727
2000-02-17,47.3342
2000-02-18,44.3307
2000-02-22,45.2918
2000-02-23,44.6311
2000-02-24,45.1116
2000-02-25,43.1894
2000-02-28,42.5287
2000-02-29,42.8891
2000-03-01,43.9703
2000-03-02,45.9526
2000-03-03,45.7123
2000-03-06,45.1717
2000-03-07,42.829
2000-03-08,44.5109
2000-03-09,45.8325
2000-03-10,44.8714
2000-03-13,43.9103
2000-03-14,41.3874
2000-03-15,41.8679
2000-03-16,43.1294
2000-03-17,41.9881
2000-03-20,41.5075
2000-03-21,42.1082
2000-03-22,41.9881
2000-03-23,41.2672
2000-03-24,41.0119
2000-03-27,41.3273
2000-03-28,40.6065
2000-03-29,39.8857
2000-03-30,40.9068
2000-03-31,43.5498
2000-04-03,43.67
2000-04-04,42.7089
2000-04-05,42.1082
2000-04-06,40.8468
2000-04-07,41.087
2000-04-10,41.027
2000-04-11,40.7266
2000-04-12,39.7655
2000-04-13,39.4652
2000-04-14,36.5218
2000-04-17,38.5641
2000-04-18,39.6454
2000-04-19,39.4051
2000-04-20,38.444
2000-04-24,38.2037
2000-04-25,40.3061
2000-04-26,39.285
2000-04-27,43.6099
2000-04-28,43.67
2000-05-01,44.1505
2000-05-02,41.2672
2000-05-03,40.7266
2000-05-04,42.1082
2000-05-05,41.2072
2000-05-08,41.7478
2000-05-09,41.3273
2000-05-10,40.3061
2000-05-11,40.6665
2000-05-12,39.6454
2000-05-15,39.8256
2000-05-16,41.3273
2000-05-17,40.3662
2000-05-18,38.0235
2000-05-19,36.2815
2000-05-22,36.717
2000-05-23,34.8399
2000-05-24,36.7621
2000-05-25,36.1614
2000-05-26,35.7409
2000-05-30,36.5819
2000-05-31,36.1614
2000-06-01,37.2426
2000-06-02,39.1048
2000-06-05,39.345
2000-06-06,40.3061
2000-06-07,41.3273
2000-06-08,40.2461
2000-06-09,40.4863
2000-06-12,41.8679
2000-06-13,41.9881
2000-06-14,39.2249
2000-06-15,40.2461
2000-06-16,39.4051
2000-06-19,40.3662
2000-06-20,40.0659
2000-06-21,38.7443
2000-06-22,37.4829
2000-06-23,36.2815
2000-06-26,36.0413
2000-06-27,38.1437
2000-06-28,42.829
2000-06-29,42.3485
2000-06-30,44.0905
2000-07-03,43.3696
2000-07-05,43.7301
2000-07-06,44.6311
2000-07-07,45.1717
2000-07-10,43.5498
2000-07-11,42.7089
2000-07-12,42.7689
2000-07-13,46.0727
2000-07-14,47.2741
2000-07-17,44.6912
2000-07-18,45.5922
2000-07-19,44.4509
2000-07-20,43.1294
2000-07-21,43.3696
2000-07-24,41.3874
2000-07-25,43.4898
2000-07-26,43.0092
2000-07-27,37.7832
2000-07-28,35.1402
2000-07-31,37.543
2000-08-01,36.5819
2000-08-02,36.8221
2000-08-03,36.7621
2000-08-04,36.1614
2000-08-07,35.9812
2000-08-08,34.5395
2000-08-09,33.5784
2000-08-10,32.0767
2000-08-11,32.3771
2000-08-14,34.1191
2000-08-15,33.7586
2000-08-16,33.5184
2000-08-17,33.7586
2000-08-18,33.218
2000-08-21,33.7586
2000-08-22,32.9777
2000-08-23,33.218
2000-08-24,33.5784
2000-08-25,34.6597
2000-08-28,35.7409
2000-08-29,35.2003
2000-08-30,34.96
2000-08-31,35.0801
2000-09-01,35.5006
2000-09-05,32.4371
2000-09-06,30.2747
2000-09-07,29.3736
2000-09-08,28.7729
2000-09-11,28.833
2000-09-12,28.833
2000-09-13,29.1934
2000-09-14,28.8931
2000-09-15,28.2924
2000-09-18,27.5716
2000-09-19,27.3313
2000-09-20,26.25
2000-09-21,25.5893
2000-09-22,25.4692
2000-09-25,25.1087
