,Close
2021-01-04,285.57
2021-01-05,291.02
2021-01-06,294.14
2021-01-07,304.06
2021-01-08,307.53
2021-01-11,302.41
2021-01-12,298.49
2021-01-13,298.0
2021-01-14,298.72
2021-01-15,299.41
2021-01-19,300.12
2021-01-20,305.05
2021-01-21,299.68
2021-01-22,300.09
2021-01-25,300.26
2021-01-26,299.68
2021-01-27,293.23
2021-01-28,298.92
2021-01-29,299.49
2021-02-01,297.02
2021-02-02,294.6
2021-02-03,292.08
2021-02-04,290.25
2021-02-05,291.35
2021-02-08,294.46
2021-02-09,289.89
2021-02-10,292.29
2021-02-11,291.09
2021-02-12,294.01
2021-02-16,295.61
2021-02-17,293.99
2021-02-18,296.74
2021-02-19,281.55
2021-02-22,272.65
2021-02-23,274.29
2021-02-24,278.92
2021-02-25,277.68
2021-02-26,280.65
2021-03-01,282.99
2021-03-02,278.1
2021-03-03,267.62
2021-03-04,257.29
2021-03-05,262.4
2021-03-08,261.35
2021-03-09,267.42
2021-03-10,267.73
2021-03-11,272.89
2021-03-12,274.12
2021-03-15,276.02
2021-03-16,274.17
2021-03-17,274.59
2021-03-18,268.95
2021-03-19,277.15
2021-03-22,282.49
2021-03-23,283.25
2021-03-24,278.08
2021-03-25,275.45
2021-03-26,280.31
2021-03-29,280.51
2021-03-30,278.34
2021-03-31,281.78
2021-04-01,284.77
2021-04-05,289.56
2021-04-06,291.28
2021-04-07,289.18
2021-04-08,291.88
2021-04-09,296.52
2021-04-12,296.94
2021-04-13,306.45
2021-04-14,300.06
2021-04-15,310.95
2021-04-16,313.83
2021-04-19,316.79
2021-04-20,319.19
2021-04-21,323.83
2021-04-22,321.84
2021-04-23,323.68
2021-04-26,322.41
2021-04-27,320.35
2021-04-28,322.22
2021-04-29,324.55
2021-04-30,328.52
2021-05-03,329.88
2021-05-04,329.2
2021-05-05,328.6
2021-05-06,329.42
2021-05-07,333.68
2021-05-10,333.73
2021-05-11,335.22
2021-05-12,324.8
2021-05-13,328.3
2021-05-14,333.07
2021-05-17,326.7
2021-05-18,326.87
2021-05-19,325.87
2021-05-20,332.79
2021-05-21,333.45
2021-05-24,339.52
2021-05-25,345.36
2021-05-26,344.39
2021-05-27,344.7
2021-05-28,347.51
2021-06-01,340.16
2021-06-02,333.77
2021-06-03,332.77
2021-06-04,333.43
2021-06-07,333.32
2021-06-08,330.3
2021-06-09,335.93
2021-06-10,343.78
2021-06-11,345.33
2021-06-14,345.14
2021-06-15,344.84
2021-06-16,346.11
2021-06-17,352.03
2021-06-18,352.29
2021-06-21,357.59
2021-06-22,360.09
2021-06-23,358.7
2021-06-24,359.54
2021-06-25,360.06
2021-06-28,363.2
2021-06-29,360.0
2021-06-30,359.1
2021-07-01,363.01
2021-07-02,365.74
2021-07-06,368.99
2021-07-07,372.66
2021-07-08,373.11
2021-07-09,374.19
2021-07-12,375.99
2021-07-13,372.65
2021-07-14,371.44
2021-07-15,371.96
2021-07-16,373.66
2021-07-19,371.0
2021-07-20,372.69
2021-07-21,367.95
2021-07-22,373.98
2021-07-23,381.07
2021-07-26,377.51
2021-07-27,378.38
2021-07-28,384.01
2021-07-29,404.92
2021-07-30,411.73
2021-08-02,415.23
2021-08-03,422.19
2021-08-04,428.14
2021-08-05,425.66
2021-08-06,427.49
2021-08-09,429.01
2021-08-10,425.01
2021-08-11,422.81
2021-08-12,429.72
2021-08-13,434.28
2021-08-16,441.61
2021-08-17,441.85
2021-08-18,442.22
2021-08-19,446.96
2021-08-20,449.51
2021-08-23,446.57
2021-08-24,445.88
2021-08-25,444.52
2021-08-26,446.7
2021-08-27,446.96
2021-08-30,451.69
2021-08-31,451.62
2021-09-01,453.12
2021-09-02,459.0
2021-09-03,464.38
2021-09-07,461.86
2021-09-08,468.47
2021-09-09,461.24
2021-09-10,459.03
2021-09-13,442.21
2021-09-14,452.06
2021-09-15,452.49
2021-09-16,454.47
2021-09-17,448.62
2021-09-20,444.65
2021-09-21,448.12
2021-09-22,449.18
2021-09-23,455.22
2021-09-24,457.11
2021-09-27,441.59
2021-09-28,427.43
2021-09-29,432.41
2021-09-30,424.54
2021-10-01,419.73
2021-10-04,409.82
2021-10-05,413.48
2021-10-06,413.29
2021-10-07,417.72
2021-10-08,407.14
2021-10-11,403.57
2021-10-12,403.2
2021-10-13,402.25
2021-10-14,407.43
2021-10-15,404.81
2021-10-18,408.72
2021-10-19,417.57
2021-10-20,414.6
2021-10-21,422.23
2021-10-22,421.19
2021-10-25,417.43
2021-10-26,420.3
2021-10-27,421.34
2021-10-28,421.13
2021-10-29,429.88
2021-11-01,426.74
2021-11-02,438.03
2021-11-03,438.21
2021-11-04,433.07
2021-11-05,403.78
2021-11-08,413.27
2021-11-09,414.11
2021-11-10,409.48
2021-11-11,416.88
2021-11-12,419.21
2021-11-15,422.46
2021-11-16,442.23
2021-11-17,444.66
2021-11-18,449.36
2021-11-19,448.45
2021-11-22,437.68
2021-11-23,430.69
2021-11-24,433.72
2021-11-26,438.88
2021-11-29,447.38
2021-11-30,442.66
2021-12-01,435.41
2021-12-02,437.39
2021-12-03,434.13
2021-12-06,423.58
2021-12-07,429.97
2021-12-08,435.51
2021-12-09,429.19
2021-12-10,431.57
2021-12-13,440.91
2021-12-14,428.69
2021-12-15,443.52
2021-12-16,444.82
2021-12-17,449.81
2021-12-20,439.03
2021-12-21,444.52
2021-12-22,453.61
2021-12-23,459.84
2021-12-27,465.89
2021-12-28,464.87
2021-12-29,467.99
2021-12-30,471.34
2021-12-31,469.01
2022-01-03,445.92
2022-01-04,429.0
2022-01-05,403.97
2022-01-06,407.74
2022-01-07,390.47
2022-01-10,392.57
2022-01-11,399.49
2022-01-12,401.27
2022-01-13,380.78
2022-01-14,379.78
2022-01-18,372.16
2022-01-19,375.45
2022-01-20,373.59
2022-01-21,367.8
2022-01-24,383.52
2022-01-25,378.36
2022-01-26,378.57
2022-01-27,383.86
2022-01-28,393.03
2022-01-31,393.22
2022-02-01,397.24
2022-02-02,408.73
2022-02-03,402.15
2022-02-04,400.75
2022-02-07,400.72
2022-02-08,400.69
2022-02-09,408.78
2022-02-10,399.55
2022-02-11,391.2
2022-02-14,383.68
2022-02-15,385.37
2022-02-16,379.32
