,Close
2000-01-03,32.275
2000-01-04,31.6
2000-01-05,31.2
2000-01-06,31.725
2000-01-07,32.0
2000-01-10,31.175
2000-01-11,31.25
2000-01-12,31.675
2000-01-13,32.65
2000-01-14,31.875
2000-01-18,32.4
2000-01-19,31.8
2000-01-20,31.05
2000-01-21,30.825
2000-01-24,29.75
2000-01-25,30.075
2000-01-26,31.5
2000-01-27,31.225
2000-01-28,30.775
2000-01-31,31.2
2000-02-01,30.525
2000-02-02,30.375
2000-02-03,30.7
2000-02-04,30.55
2000-02-07,30.725
2000-02-08,30.95
2000-02-09,30.425
2000-02-10,29.975
2000-02-11,29.725
2000-02-14,29.85
2000-02-15,30.55
2000-02-16,29.925
2000-02-17,29.95
2000-02-18,29.575
2000-02-22,29.85
2000-02-23,29.025
2000-02-24,27.175
2000-02-25,26.225
2000-02-28,27.425
2000-02-29,27.05
2000-03-01,26.275
2000-03-02,25.525
2000-03-03,26.025
2000-03-06,25.625
2000-03-07,25.025
2000-03-08,25.0
2000-03-09,25.175
2000-03-10,24.7
2000-03-13,24.825
2000-03-14,24.25
2000-03-15,26.5
2000-03-16,29.375
2000-03-17,28.825
2000-03-20,29.2
2000-03-21,29.525
2000-03-22,28.925
2000-03-23,29.375
2000-03-24,28.15
2000-03-27,27.7
2000-03-28,27.925
2000-03-29,28.675
2000-03-30,30.675
2000-03-31,30.725
2000-04-03,30.525
2000-04-04,31.125
2000-04-05,30.6
2000-04-06,30.625
2000-04-07,30.65
2000-04-10,31.025
2000-04-11,31.25
2000-04-12,31.525
2000-04-13,31.425
2000-04-14,30.575
2000-04-17,31.05
2000-04-18,30.925
2000-04-19,30.4
2000-04-20,30.4
2000-04-24,31.1
2000-04-25,31.075
2000-04-26,30.325
2000-04-27,29.525
2000-04-28,28.95
2000-05-01,28.775
2000-05-02,28.9
2000-05-03,29.2
2000-05-04,29.525
2000-05-05,29.25
2000-05-08,29.4
2000-05-09,29.55
2000-05-10,29.75
2000-05-11,29.925
2000-05-12,29.575
2000-05-15,29.85
2000-05-16,29.9
2000-05-17,28.975
2000-05-18,29.0
2000-05-19,28.925
2000-05-22,29.6
2000-05-23,29.975
2000-05-24,31.275
2000-05-25,31.15
2000-05-26,32.05
2000-05-30,32.25
2000-05-31,32.025
2000-06-01,32.125
2000-06-02,32.025
2000-06-05,31.85
2000-06-06,32.325
2000-06-07,32.55
2000-06-08,32.5
2000-06-09,32.375
2000-06-12,32.9
2000-06-13,33.475
2000-06-14,33.25
2000-06-15,32.4
2000-06-16,31.8
2000-06-19,31.625
2000-06-20,30.85
2000-06-21,30.55
2000-06-22,31.025
2000-06-23,31.4
2000-06-26,32.55
2000-06-27,32.2
2000-06-28,31.65
2000-06-29,31.125
2000-06-30,32.075
2000-07-03,31.975
2000-07-05,32.25
2000-07-06,32.45
2000-07-07,32.425
2000-07-10,32.0
2000-07-11,31.65
2000-07-12,31.35
2000-07-13,31.225
2000-07-14,31.575
2000-07-17,30.925
