,Close
2000-01-03,40.1875
2000-01-04,40.0
2000-01-05,41.625
2000-01-06,42.5625
2000-01-07,45.1875
2000-01-10,42.5
2000-01-11,41.75
2000-01-12,42.1875
2000-01-13,42.625
2000-01-14,44.25
2000-01-18,44.1875
2000-01-19,46.0
2000-01-20,46.125
2000-01-21,48.0
2000-01-24,42.625
2000-01-25,40.5
2000-01-26,44.0
2000-01-27,43.375
2000-01-28,44.25
2000-01-31,47.0625
2000-02-01,45.0
2000-02-02,46.0625
2000-02-03,47.75
2000-02-04,45.5
2000-02-07,48.0
2000-02-08,50.0
2000-02-09,48.6875
2000-02-10,46.6875
2000-02-11,46.6875
2000-02-14,47.5
2000-02-15,48.375
2000-02-16,47.0625
2000-02-17,46.5625
2000-02-18,45.9375
2000-02-22,46.5
2000-02-23,46.0
2000-02-24,44.5625
2000-02-25,43.0625
2000-02-28,44.0
2000-02-29,43.5
2000-03-01,42.6875
2000-03-02,44.9375
2000-03-03,46.8125
2000-03-06,46.875
2000-03-07,41.5
2000-03-08,45.6875
2000-03-09,49.5
2000-03-10,49.5
2000-03-13,47.125
2000-03-14,46.375
2000-03-15,51.9375
2000-03-16,54.875
2000-03-17,51.25
2000-03-20,52.4375
2000-03-21,55.6875
2000-03-22,54.9375
2000-03-23,54.1875
2000-03-24,52.5
2000-03-27,51.125
2000-03-28,51.8125
2000-03-29,53.875
2000-03-30,52.125
2000-03-31,53.625
2000-04-03,54.75
2000-04-04,56.375
2000-04-05,53.9375
2000-04-06,51.75
2000-04-07,52.25
2000-04-10,53.625
2000-04-11,55.0625
2000-04-12,55.625
2000-04-13,53.375
2000-04-14,55.125
2000-04-17,57.125
2000-04-18,56.3125
2000-04-19,59.25
2000-04-20,59.75
2000-04-24,60.1875
2000-04-25,59.4375
2000-04-26,56.625
2000-04-27,56.5625
2000-04-28,56.1875
2000-05-01,55.875
2000-05-02,56.8125
2000-05-03,55.875
2000-05-04,55.125
2000-05-05,57.9375
2000-05-08,59.875
2000-05-09,57.6875
2000-05-10,58.1875
2000-05-11,56.0625
2000-05-12,56.0625
2000-05-15,57.5
2000-05-16,56.8125
2000-05-17,56.75
2000-05-18,58.0
2000-05-19,59.5
2000-05-22,57.875
2000-05-23,58.375
2000-05-24,57.0
2000-05-25,56.0
2000-05-26,55.25
2000-05-30,53.125
2000-05-31,53.875
2000-06-01,54.8125
2000-06-02,51.875
2000-06-05,52.5
2000-06-06,53.8125
2000-06-07,54.625
2000-06-08,54.75
2000-06-09,52.875
2000-06-12,52.75
2000-06-13,55.625
2000-06-14,55.9375
2000-06-15,56.125
2000-06-16,58.5
2000-06-19,59.0
2000-06-20,58.875
2000-06-21,61.5625
2000-06-22,60.0
2000-06-23,59.3125
2000-06-26,59.5
2000-06-27,59.0
2000-06-28,58.6875
2000-06-29,60.4375
2000-06-30,58.75
2000-07-03,58.625
2000-07-05,57.125
2000-07-06,57.4375
2000-07-07,58.125
2000-07-10,58.625
2000-07-11,60.0
2000-07-12,59.4375
2000-07-13,58.0
2000-07-14,54.75
2000-07-17,56.6875
2000-07-18,56.3125
2000-07-19,55.25
2000-07-20,53.5625
2000-07-21,52.5625
2000-07-24,53.5
2000-07-25,53.875
2000-07-26,54.0625
2000-07-27,53.6875
